Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Very Appreciative,rohitsrain,n/a,16/08/2025,"The series make sarcasism on the hazardous ""jumla"" taken by government of india in formbof lockdown. It shows how inequality exists in nation. It is one of best documentary.",False
2,8,very painful,sameerlodaya,n/a,16/08/2025,This documentary will make you feel the actual thing happened while lockdown with poor labours which we just heard and learnedthe documentary was very painful and the impossible things which this labours did to save their life and went a record 1232 kms on cycles to meet their loved onesit did gave Goosebumps and tears for the helpless people who were suffering on roadsthe makers should had showed other stories also.,False
3,8,Must Watch : Story of Indian Miragrant Worker after Lockdown,dipesh-barot3,n/a,16/08/2025,"Excellent documentary by Vinod Kapri , People emotion, situation of labour/poor in that tough time, their love for they family and gulzar sahab's touching line with Sukhi Jo's voice and Vishal sir music, Marenge nahi jaa kar jahan zindgi hai""..All should atleast watch 1 time to understand suden lockdwon effect on lower or lower middel class / migrant labour.",False
4,10,Satirical. A less known side effect of the pandemic,samabc-31952,n/a,16/08/2025,"""We will die where there is life""
Largest exodus since partition.. a treacherous journey, the despair, the determination, the hunger, the courage.. while most of us, 'the privileged' relaxed at home, keeping ourselves busy with social media, tablets and TVs, or busy joining thali Bajao, Diya jalao to fight the inconspicuous nanoscopic diablo or venerating and glorifying people of certain profession , there were thousands of starving migrant workers who overnight became jobless, homeless due to lockdown were walking or bicycling hundreds of miles on roads going back their homes... This is a Vinod Kapri's film who is a Journalist too . He follows a group of 7 men who set out on a 1232 Kms journey on their bicycles...Hats off to the team who made this documentary ..Gulzar Saab's lyrics, soothing voice of Rekha Bharadwaj and another beautiful song by Sukhwinder Singh .. a MUST MUST see ..",False
5,10,JABARDAST DOCUMENTARY,vyasverma-72329,n/a,16/08/2025,Main stream media never show this. everyone must watch.,False
6,10,Speechless,Tamashha,n/a,16/08/2025,"If you think you were frustrated cus of the lockdown and were emotionally disappointed cus you were locked inside your house, just go and watch this documentary and you will say to yourself how lucky you were. It tells the story of real India and not the India that lives in metro. After watching this documentary you will hate your politicians more cus they were just useless hiding inside their bungalows doing nothing.",False
7,10,Just phenomenal,ayeshasiddiqa-88225,n/a,16/08/2025,"Awesome documentary,describes the struggle of poor labourers of India , can't imagine the struggles of all labourers this documentary shows only of some selected people,worth a watch,",False
8,10,Plight of a democracy,shashihunt,n/a,16/08/2025,This is what happens when you elected leader start behaving like supreme leader. Everyone must watch this i know that the people who is reading this they have the luxury discuss hours on the impact of COVID but they can never fell the real pain.,False
9,10,A Basic yet excellent documentry,pandeys-48233,n/a,16/08/2025,"No fancy stuff drone or anything, Still it was a masterpiece. Followed them throughout their journey and helped them in need. We need this kind of real life stories not some European stories filmed casting Indian people, This is our reality and we have to go a long way to become a nation We dream of.",False
10,7,Bone chilling,vaibhavrainmaker,n/a,16/08/2025,"And then, he demonetized people. Live human beings. People who voted for him.",False
11,10,Heart Touching Documentary,singhalok-16346,n/a,16/08/2025,Main stream media never show this. I reccomend everyone must watch.,False
12,9,Everyone MUST WATCH this Documentary.,MandalBros-5,n/a,16/08/2025,"In the nationwide lockdown, when many of us were enjoying at home a huge number of people were struggling for their life. This documentary deals with that. It features 7 migrant labourers, on their journey from Ghaziabad, UP to Saharsa, Bihar.It was the largest mass migration after Partition 1947. You'll get to know that in this pandemic situation the rich became richer and the poor became poorer. This will directly connect with you and make you very emotional. So, everyone MUST WATCH this Documentary. Thanks to the director VINOD KAPRI to show us the exact situation and for helping them on their long journey.Available on Disney+ Hotstar VIP.© MandalBros.",False
13,8,Very Good ...!,ankityadav_info,n/a,16/08/2025,This movie filled with emotions. Movie show the reality of India.Indian media not show us the reality .Please go and watch this movie .,False
14,10,This shows the real face of humanity.,aruncom,n/a,16/08/2025,"The local government should have been helping poor and helpless people's, but they couldn't help them. This movie show us the real face of both government local and center.",False
15,10,Phenomenal,sumitkumar-47502,n/a,16/08/2025,This review is for the hard work of Vinod and his team to document this crisis. It was so apt and it was needed to come as a movie. Heard that the money earned from this movie was shared with the people who were part of the movie.,False
16,9,Phenomenal,jindalsamarth,n/a,16/08/2025,"Pretty basic yet super intense, soundtrack is spot on!",False
17,10,Never Forget,prolead,n/a,16/08/2025,"This should never happen again. Lockdowns have done nothing but destroy the lives of people all over the world especially the poor. A few thousand politicians and so called scientists have shut down the world for an invisible ""virus"" that is not proven. According to them, we are the virus. Wake up people, this should never be allowed to happen ever again. Never forget!",False
18,9,Feeling sad,rahuldigimkt,n/a,16/08/2025,"Really felling very bad after watching this, no one really cares about the labour class, the politician are very corrupt just taking advantage of innocent Bihari. No one is thinking about job creation at all. Again delhi government started imposing lock down and curfew from 6 April 2021, if the situation became again worst what will they do. Again they have to lost lives, jobs and much more.",False
19,10,Great,priyankabhora,n/a,16/08/2025,"If you want to see something good, then you should see it because it is really very good.",False
20,10,SAD but TRUE.,aryeshshakya,n/a,16/08/2025,Best best best that's it.You should watch it to know the reality.,False
21,10,Really good,sspbajwas-63276,n/a,16/08/2025,"It was the largest mass migration after Partition 1947. You'll get to know that in this pandemic situation the rich became richer and the poor became poorer. This will directly connect with you and make you very emotional. So, everyone MUST WATCH this Documentary. Thanks to the director VINOD KAPRI to show us the exact situation and for helping them on their long journey.",False
22,10,Very nice,sharmakapil-03739,n/a,16/08/2025,"I love stories like this, it won my heart. You guys must see it.",False
23,10,Must watch,ballimnm,n/a,16/08/2025,People should watch this and get to know what they have been through.,False
24,10,Soundtrack,sspbajwas-84999,n/a,16/08/2025,"Pretty basic yet super intense, soundtrack is spot on.",False
25,10,Nice,satyams-03763,n/a,16/08/2025,Haven't watched anything so heart-wrenching like #1232kms on OTT platforms. Bravo to the team that made it.,False
