Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Coming from someone who's not an American,AaronRush9,n/a,16/08/2025,"I'm from the UK so over here there's some police brutality, but not as casual as it is in America it seems the system is at fault watching this documentary seeing how some officers react to a situation and see red 137 shots thats absurd give a human a gun and they think they are a GOD that's the way I see it, not saying every single officer is unstable or racist but I think the system needs to background check and control officers that are coming in for example the man who jumped onto the car and fired at the two victims, served in a war in his eyes this situation was like he was back on the front lines, America in general is its own matrix I could never understand the politics and how guns are just essentials over there but it will always be runned by law loving politicians and there will always be corruption....",False
2,7,EVERYONE Should be ACCOUNTABLE,kvnnagel,n/a,16/08/2025,"I know that there is nothing anyone can say to Tamire Rices mother to besiege her anger or Sadness. A mistake is a mistake, sometimes mistakes come with dire consequences. Accountability is a TWO SIDED STREET. Now, I've never had any love for cops or police departments, I spent years as a career criminal and outlaw biker. But I also always recognized my own accountability in the actions I took ESPECIALLY when it came to incarceration. Police had a job to do, get me off the streets.. I tried to avoid getting caught.. There were bad cops, certainly there were. Dirty cops were Bad Cops. But then I had. Choices... if I jumped out of a car with a gun, I would EXPECT to be fired upon. If I had a car chase I would EXPECT a bad outcome. I remained ACCOUNTABLE for my actions. If I don't want to get shot by an over zealous cop I WILL COMPLY. If I had a weapon I told them I had it and I kept my fingered interlocked on my head. And certainly things still may happen, If you don't want to get shot don't force the cop to make that choice. I don't know if they will be AS ACCOUNTABLE as I am, but if you watch what's going on in the world right now it's a complete LACK OF COMMON SENSE if you think that attacking a cop will have a positive outcome. If you're being questioned and you want to be belligerent.. THERES AN OUTCOME to that behaviour.Criminals.. BE ACCOUNTABLE.., COPS be ACCOUNTABLE and if you have a choice to comply or attack UNDERSTAND that it has CONSEQUENCES.",False
3,5,"Not bad but not amazing, it is informative though",18Buddha,n/a,16/08/2025,"I see such split reviews with some accusing it of being woke propaganda and the other side applauding this documentary.Im asian n i have no love for cops at all and i was a troubled youth that got into lots of trouble with the law many times from the start of my teenage years into my young adult life.Racism with white cops is real n theirs alot of bad ones But theirs also many good white cops also, now I cant say if each of those cops who killed an unarmed black person was a racist or not but i think that the perception of black ppl being dangerous or bad usually comes from the community themselves.In my city most crimes on average are race divided, so for example :
most gun crime deaths are 8/10 times committed by black teens/adults and my city does not have an overwhelming population of more black people then whites like how in america does, so if black people represent an overwhelming amount of violent crimes in my city not being the most dominant in populace then imagine how it is in cities in america where blacks outnumber white ppl in population?? Their crime stats would be even higher by 10x! Or more!Most robberies with weapons on the street or at stores are also majority black, home invasions also are too, as well as brazen shootings in public places like busy streets or inside malls or wherever is also majority blacks as well.Of course crimes are also committed by other races too but in my big populated city the higher percentage for these violent crimes are usually done by black.These black gangs terrorize neighbourhoods n then the black community blames the cops for not protecting them and yet these same communities refuse too help cops solve murder cases to stop gangs in their neighbourhood out of fear. They want other ppl to do something n yet they wont themselves.BLM highlights nonstop the past racism from colonial years up to presently for causing how blacks are viewed but yet they refuse to acknowledge that even just viewing them only by the present year alone u will see them as dangerous, no need to even look further back to claim its a persistent racism culture.Now cops now n days get more edgy around black suspects because black criminals tend to kill someone over $1 even, because they themselves view their lives as worth nothing and they also carry the Hiphop culture of how its gangster to shoot ppl that wrong them.Other criminal groups that are white or east asian usually focus on money first before violence because their smarter that way n value their lives more thus they are viewed differently in the eyes of cops. Are their gangs that are white n asian that cause violence? Of course but its not common as black on black broad day light shootings.I have seen lots of racism by white people as a kid but i have seen just as much by black people if not more.I think the perfect saying goes like
""we lay in the beds we make""If u wanta stop black people from being percieved as violent or dangerous then u need to first focus on the overwhelming amount of black kids,teens, adults that join gangs. Only by fixing your community n making it better can u change perception.Even in the criminal world everyone knows u can do proper business with any race except blacks or white/asian gangs that chill with black gangs n heavily influenced by them, because all they do is try to rob people.Asian and white gangs not associating with any black gangs most often will do proper business.Just that mindset alone between the racial divide of crime groups behaviours should already highlight why cops fear black suspects more cuz they are willing to give their life over nothing.U wont see white kids or asian kids trying to rob ppl on the street for $1 or $5 or whatever, thats all black kids.Most cases where cops killed a black suspect often involved the suspect not complying or they make it difficult by trying hard to argue back.Yes theirs abunch of cases where they did nothint wrong but thats literally like 1 out of 10 000 cases. They can find 100 cases but thats still 100 out of 100k cases. BLM paints narrative as if everyone n All of them thats are black suspects is being killed and thats just false narrative.",False
4,7,Non-American's Opinion,brettsanace,n/a,16/08/2025,"Upfront - I am Australian.Yes, this documentary was largely one sided but any discerning person can tell that the police's behaviour during the various incidents, and in their subsequent interviews and court appearances was deplorable.But, in their defence ...If America had sensible gun control laws like the rest of the first world countries, the police probably would behave differently and often would not be put in these situations to start with.So whilst the documentary is mainly trying to blame the police for the specific incidents described a broader perspective, which was not considered in the documentary, could assign blame to American society as a whole.",False
5,n/a,This can't keep happening,n/a,n/a,16/08/2025,"SpoilerYou could say this documentary is one sided however, we've only been hearing the policies side for SO LONG. It's important to take all information with a grain of salt, you can't take everything in this documentary they say at face value.As a non-american I think it's insane how easy it is to access guns. It's ridiculous that these officers who hold ALL the power in these situations can just claim to be scared and get away with killing people. The whole car chase and shoot out could have been easily avoided, why did so many officers circle one car with an unconfirmed shots fired call? The officer on trial clearly is not the type of person who we should want on the streets, claiming to ""protect"" people: Saying he was more scared of a single shooter in a car with multiple other cops around than when he served in Iraq is INSANE.These cops care more about themselves than the communities they are supposed to serve. Drug addicts and homeless people do not deserve to die, or be chased until they have a reason to be arrested. It's a horrifying story of abuse of power and police solidarity. Officers should not be proud they ""won"" a shoot-out. Isn't policing about prevention of crime? They are literally creating the crime, chasing people around who have good reason to be terrified of police. We should not have to be afraid of the people who are supposed to protect our communities.The justice system has failed everyone involved, putting these officers above the law and not holding them accountable. It's terrifying to think that children get killed in their own neighborhoods for playing with toy guns, but police officers can come in and kill anyone they perceive as threatening. I truly believe every single one of the officers who plead the fifth in this case are guilty. I cannot believe the ignorance and lack of accountability that they all have. By refusing to acknowledge the crimes, yes CRIMES, they have committed against the citizens they serve, it is continuing to create an unsafe environment for EVERYONE.No one deserves to be killed, and no one should have more rights to justify themselves for killing others.",True
6,6,Sometimes feels one sided,tarjmehta,n/a,16/08/2025,"SpoilerAt times it feels that the documentary has a biased view. My very first question is WHY Mr. Russel did not pull-over when the cops were chasing him. WHY he did not stop even after 50+ cars and 23mins into chase. WHAT did he had to hide? Cops will obviously find it suspicious and they will use the force to stop you.In case of Tamir, my heart goes out to his family and cops are to be held ACCOUNTABLE for their actions. Taking advantage of the 5th amendment is not a solution. Using the law for own good and destruction of civil society is not a step in right direction.The end speech by I guess father of the church (in black robe) was very much one sided. It seemed more like he was motivating people in wrong direction with the use of jargon.",True
7,6,No one has ever seen the flash on the other side?,hamidrezavaezi,n/a,16/08/2025,"I got the same question as the other reviewer has here? What's that light on the other side if the street just before the victim's car passing by?Check 45:06 on Netflix and you would clearly see it.I am confused tbh.Rating, although no one can deny the racism and corrupted police but why some should ran away from police?",False
8,7,What an embarrassment...,katyork-26478,n/a,16/08/2025,To the city of Cleveland these officers are. Just a bunch of bumbling idiots who end up murdering 2 innocent people. Brelo lies in his interview with police because he is scared as he knows he did wrong. He should be incarcerated for life for his actions. All these men and women will eventually pay for the taking of human life. Murder. Not self defense. Lasso is a laughing stock going to schools. What a joke. This documentary made me sick and so sad for the families of the slain victims.,False
9,10,Too many racists providing reviews about this documentary,Cleve714,n/a,16/08/2025,"I am white. I am in a Clevelander. I am a criminal defense attorney. I see the injustice every day in Cleveland courts. All the negative reviews about this documentary are by scared white people. We live in a state of fear that has justified police brutality. The documentary is not meandering, it is simply chronological. Black people in Cleveland rarely get justice. We need more justice for people of color, and we need more documentaries like this that tell the true story.",False
10,5,WOW. COPS ARE CRAY CRAY AND RECKLESS,jdbrunette,n/a,16/08/2025,"I have supported law and order all my life. I follow the law, except i occasionally speed or maybe cheat on the old taxxes a bit. But this doc shows clearly how cowboy mentality runs fervently within most police officers and how that can become tragic. When I saw the vids of 30 or more cop cars racing down the street after a single old car, like a nascar event, it was then I realized these cops were mostly low IQ, meathead, highschool jock, with hero complexxes and a need for validation. Well made doc. It avoids showing the false and fake cop narrative where they smear the dead. I would recomend it to most people.",False
