Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,4,Just a bad movie,Derek-18,n/a,16/08/2025,"Let me start by saying that I agree with all of the politics, and all of the warnings in this movie.Despite that, this is a terrible movie. There is no story, the characters are not developed, the plot is thin as wax paper, and I honestly don't think much effort was made for it to be otherwise. The film is a vehicle for delivering the political message.For me, that's not good enough. Better to call it a documentary and to just explicitly make that argument.The producers intersperse political history from 1980s-2024 to explain how the world tumbled into a fascist global system, where average people are serfs, and only a few wealthy people survive, on the backs of labor performed by robots and AI.I agree. I agree. But a movie also has to be entertaining. This was slow, boring, depressing (as is the news today), and painful to watch.",False
2,4,Either Make A Movie Or A Documentary,grimmfilment,n/a,16/08/2025,"The atmosphere this ""movie"" sets up is brilliant. The downtrodden, harrowing, depressing, soul crushing vision of the future. Had it told that story in the fictional 2073 world and simply tied it to the real life events, it would have worked fine just fine.But then it drops back into early 2000's and starts weaving real life footage of events from all over the world into its tread... and loses what was built at the start.It becomes a documentary that's trying to present itself like in a feature film form but it ends up being neither. There isn't just one message here, there are countless, each touching on everything you'd see on some conspiracy theory You Tube video or obscure website visited by people with questionable mental faculty. Reemergence of the far left in mainstream politics, corrupt interconnected politicians, systematic disassembly of democracy, abuse of power, abuse of social media, racism, environment, and so on and so forth.Don't get me wrong, all of the topics it touches are worthy of your attention and should be addressed, sooner rather than later. But the moment you tangle real life events with fictional narrative... the relevance of the message becomes fictional itself.This documovie offers causes to issues, exacerbates them as a stepping stone into the fictional environment and the offers nothing in the form of a solution, just a melancholic voice over from the main character that deliberately tip toes around what it really wants to say.Shame. Because if this had been a fictional movie or a proper documentary... I think I would have loved it.",False
3,6,It is what it says it is: A warning! Take it seriously.,justahunch-70549,n/a,16/08/2025,"""A woman living in a ruined Earth tries to comprehend how the world was destroyed.""And thus begins some of the greatest hits of the dark side of humanity since the 1990's. As the trailer states, this is not fiction and it is not a documentary, so what is it?! It also states that what you view is a warning and that is exactly what it is. It starts with what seems like the usual apocalyptic scenario, but it quickly becomes obvious that is not the intention of this film. The film starts off in 2073 and backtracks constantly to actual events that have occurred from then to now and it is indeed a scary, punishing thing to view. Since this frequently returns to the present, it is quite clear what the warning is about and you should be frightened as the future is perilous as I write this. This is not entertainment. It is primarily clips of real events over the past few decades, but it also has some interesting visuals for what life might look like in 2073. To say it's not pretty would be putting it mildly. Humans! As smart as we can be, as much as we learn, so many just can never stop being greedy, power hungry and violent. Sadly, it has been this way since our existence began and clearly some never learn and seemingly never will. Good luck.",False
4,n/a,The ratings don't do this movie justice.,n/a,n/a,16/08/2025,"I almost skipped out on this movie after taking a glance at the lackluster reviews. But then I noticed a pattern: It really felt like a lot of the reviewers didn't even give the movie a chance before tuning out.Samantha Morton truly shines in this film - she does a great job at conveying a staggering amount of emotion with her facial expressions alone. (Her character is mute.) The story is mainly told from her POV through narration that is both nostalgic and pensively depressing.The movie paints a prescient and chilling vision of what our future could look like in the next ~50 years, given our current trajectory. Blending real-life archival footage and stark depictions of an authoritarian future, it offers a sobering reminder of how fragile our freedoms can be.While the movie doesn't provide much hope or a clear way to fight back against 'the machine,' I felt this was intentional. The bleakness perfectly reflects the circumstances of the characters, leaving you with a haunting sense of inevitability.It's not a light or hopeful film, but it's one that left an impression which will stick with me for a long time.",False
5,1,Not a movie - a political documentary,kurtmdx,n/a,16/08/2025,"I was really really looking forward to a compelling post-apocalyptic movie, but ""2073"" was a huge disappointment. Instead of an engaging story set in a dystopian future, it turned out to be little more than a political documentary disguised as a film. The entire production feels empty, with only three actors trying to convince the audience that this is an actual movie. The lack of world-building, depth, and any real action made it a tedious watch. If you're expecting an exciting, immersive experience, this isn't it. Save your money and time for something actually worth watching.. I rented movie in early 2025 for viewing...",False
6,2,Unwatchable.,ugmac,n/a,16/08/2025,"This production barely qualifies as a 'movie'; it feels more like an amateur attempt at storytelling, resembling a PowerPoint presentation with video clips haphazardly pulled from Facebook, X, and YouTube. The lack of coherence is glaring, with no meaningful structure or narrative flow to tie the footage together. Instead of presenting well-reasoned arguments or nuanced perspectives, the content relies on an authoritarian tone, stamping every message with an air of absolute certainty: 'Because I said so, it's the truth and the only truth.'The over-simplistic approach assumes an audience incapable of critical thought, treating complex topics with the subtlety of a children's cartoon. It fails to challenge or engage viewers meaningfully, relying instead on condescension and a dismissive attitude toward alternate viewpoints. This might appeal to an audience of five-year-olds, but for anyone seeking depth, originality, or intellectual stimulation, it quickly becomes tiresome and patronizing.In short, it's a frustrating watch for anyone expecting the creativity, depth, and authenticity that the term 'movie' implies. Instead, it feels like a poorly-executed slideshow that lacks the polish, insight, or effort to deserve its audience's attention.",False
7,7,I don't know where to begin...,vxqyvj,n/a,16/08/2025,"Ignore this being called a ""movie"". It is not. It is a documentary punctuated by some illustrative fictional moments. Just keep in mind that this can be a very upsetting viewing experience.As if we needed anything else to make us angry, divided, stressed, worried, etc, this hard slap across our faces is meant to wake us up to what is actually happening in our world...and where we are heading if we let it. No wonder the 1% want us to keep our eyes locked on our smartphones and Tik Tok.I was not expecting this when I pressed play, but I'm glad I squirmed through it.Be sure and stay beyond the credits, as there is an interesting hidden scene.I need a drink...",False
8,3,Not really a movie,Trepus,n/a,16/08/2025,"SpoilerThe movie elements were weak, I feel like I was bait and switched into watching this for propaganda sake. I don't know how this got into the to 10. Was just a bunch of news clips with a narrative about how democracies are falling apart and inspiring folks to act by some quaint robotics fascist dystopia. Not worth the watch.Overall this contained about 12 minutes of movie with no rea characters and a lot of things that went unexplained or were a far stretch. They never really said what the event was and this was billed as ascifo movie, but it really wasn't any more than a documentary of sorts.",True
9,7,A Dystopia of our own creation,steviegjd,n/a,16/08/2025,"Most dystopian tales are about a place that could never exist. They exist in the stories and draw parallels to our time or serve as metaphors for our struggles. This movie is not a documentary, but it uses documentary to explain how the future will be created by what is happening now and by what's happened in the last 2, 5, 20, and 30 years.It doesn't offer hope or answers. Answers aren't that easy. Hope may be a fantasy. What if this is all happening and there's nothing we can do about it? Is it too late already? ""If we do not act when we can will we fall off the cliff?""Will voting change anything? Will not voting change anything? Will continuing to consume and benefit from technological comforts yield any different result than going back to a simpler life that is unconnected to information collection?These are not equations answered in this movie. But they're questions I have because of it.I'm sure there many people who think this film is leftist propaganda. These same people don't see how bad things are in this country and the world. They're ok with making American great again. I'm not sure we are ever going to be ok again, neither is this film.This is not for everyone.",False
10,10,It won't sway the cult,radiohead1000-516-748582,n/a,16/08/2025,"It's a fact filled documentary that shows the trajectory that any honest person can see is happening already. It'll get rating bombed by the cult members of course, so no change there. Where I think it might be wrong is the alliance of dictators will eventually start a war between themselves once they have complete control of their regions which is what will probably be an extinction event.It could be an explanation for the Fermi Paradox though because when civilisations reach a technological advancement at speed as we are now, when they're still childlike, they throw a tantrum and destroy themselves.Oh well.the earth will recover at some point.",False
11,7,Doom Scroll Meta-verse,Jaiare,n/a,16/08/2025,"This is not a film. This is not a documentary. This is a warning.This is a quote from 2024's 2073, a dystopian docudrama that brilliantly uses news and television clips to weave a science fiction story we are already living. Imagine Facebook doom scrolling for one hour and twenty-four minutes and you have the emotional impact of this prescient movie. Unfortunately, I believe the title is as optimistic as the movie is bleak. 2028 would have been more appropriate, as we hurl toward Democracy's demise faster than the director, Asif Kapadia, could imagine.2073 premiered at the 81st Venice International Film Festival in the category ""Out of Competition,"" which could not be more appropriate for Kapadia's dynamic, passionate, admirable and beautifully rendered imagining of our near future. At its heart, 2073 immerses us into a Meta-verse where humanity teeters between incredible technological advancements and deep ethical dilemmas.Staring the frighteningly beautiful Samantha Jane Morton (Alpha from The Walking Dead), 2073 sets us in a vast metropolis that is both breathtaking and bleak, showcasing a stunning yet haunting city filled with vivid colors and dark shadows, the film maker using lighting to evoke emotions, and creating the documentary feel of this art piece. With skyscrapers towering into the clouds and streets pulsating with technological energy, each frame is meticulously designed and its this attention to detail that establishes a captivating visual language, beautifully complimenting the nearly extinct plot.Morton is a brilliant actress, and riveting on screen, but there's only so much heavy lifting she can do in a film so obviously motivated to sway audiences to one side of the political debate. In today's polarized politics, this feels manipulative even while I silently scream ""Yes, yes, yes!"" It's as if the director is inside my head, capturing my dismay at today's state of affairs and my fear of what's to come.This is a solid film. Very watchable. And at times, extraordinary in it's achievement of blurring fact and fiction. But at its core, its as shallow as the news anchors it highlights, reading from teleprompters with dead eyes and an emptiness that makes us feel as if we are reliving the news like a memory versus witnessing it in real time.I encourage you to watch it. And I know it will change nothing.God Bless the Americas.",False
