Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,3,At a loss,tarantul99,n/a,16/08/2025,"I live 1 Mile from where this occurred. I followed this story. Two children never found. Movie said one. But it was two. The little girls calf and foot found the rest of her not. Oldest boy not found and hopefully never was there, and he's living somewhere free of these women. I found movie to attempt to portray them as ""so good they took on too much"" ...this by many interviews of acquaintances. They had no friends per day. How dare anyone attempt to portray these women other than the monsters that they are...
I think honest truth would have been a better choice if content. More interviews with needed with those that were there and saw it.",False
2,3,Puff piece for murderers,sallymichellenelson,n/a,16/08/2025,SpoilerThis was literally just people that loved that couple putting them on a pedestal for over 11mins straight. Then throughout.Eventually we hear from others who saw the signs of abuse. But still these people that loved them mostly still don't see them for what they were. They can't reconcile their experience with what was rumoured to of happened. They go on about the kids but where were they? These kids were visibly emaciated yet where were their self proclaimed village when they needed them. No way they were as close as the go on about.Too many ways this shouldn't have been able to happen but repeatedly these kids were failed.Six beautiful souls tortured and killed for these women's twisted evil minds pleasure.,True
3,3,Stop the background music,fssd21,n/a,16/08/2025,"Try re-releasing this documentary without the corny background music and maybe you'll land a couple more stars. This could have been so much better. Delve into the personalities of these women-talk to their families, figure out what went wrong, was it something in their past? I saw the ratings before I started watching and thought, ""Well, I'll see what I can deduce myself from the interviews,"" but honestly, the music was so annoying-I couldn't get through it.",False
4,1,Heartless Movie Lacking Information,gaellevoltaire,n/a,16/08/2025,"This movie is disgusting. Don't rent or buy this, this is just a movie about their friends defending the abusive parents, and trashing the people who stood up for the children. This movie is terrible, excuses were being made for the parents right and left and the children were forgotten. I can't believe they took the time to make this and thought this was a good idea.",False
5,2,Big failings,porcelainjungle,n/a,16/08/2025,"This film fails in how it allows friends of the Hart family to make excuses for the two Hart women without confronting this behaviour. Instead, many of the talking heads place the blame on social media, or suggest the two Hart women were simply desperate or ""insane"". There is no evidence to suggest either. There IS evidence to suggest that they were aware of what they planned to do, which was/is murder, and evidence to suggest a pattern of abuse behind closed doors in that family home.That this film does not confront the making of excuses by the talking head friends of the family is truly infuriating, if not utterly disrespectful to the memory of the six(!) children whose lives were taken from them.",False
6,2,Why?,sotmog,n/a,16/08/2025,"There were way too many interviews with people who tried their best to turn these witches into humans, but why? Why weren't there more interviews with the children's biological family members? Why didn't this documentary expose more details regarding the abuse these children suffered? Why weren't there more interviews with members of the justice system who ripped these kids away from their biological family members? Why, why, why?
I asked myself why throughout this documentary and to say I was frustrated and annoyed while watching this, is an understatement.",False
7,2,Puff Piece,agreenwalt,n/a,16/08/2025,This movie does no justice to the murders of these children. I completely understand the need of people who loved Jenn and Sarah to want to defend them or not believe the horror that happened behind closed doors. But there is too much evidence that wasn't even presented in this film that they were child abusers. Repeatedly reported and never really caught. There is definitely something to be said for the mental health issues that must have plagued these women. But the victims here are throes children. I implore anyone interested in the truth to do more research on this case. And check out the podcast Broken Harts. It dives way deeper and gives a lot more insight as to what was really going on .,False
8,1,Worst Documentary I've ever seen!,clagunamail,n/a,16/08/2025,"So much information missing and too much talking by people who really didn't even know them besides on social media.
Needed to focus more on facts and filling in information.
Waste of money and time!
Does an injustice to the children by not telling their whole story.",False
9,n/a,This film is a disgusting apologia for child murderers,n/a,n/a,16/08/2025,"A relative of mine worked this case. It is bad enough that this MASS murder of children took place. But the California investigators who could see all the clear signs these woke women killed them were hampered by woke poltical interference as well as media which promoted conspiracy theories instead of the obvious facts of the case.These women took the adopted kids to Ferguson and used them. They abused the kids in every way for years and years, yet various adoption authorities ignored the obvious signs of systematic abuse because, well, this was a gay couple and therefore no on should say anything negative about them.This was a mass murder of black kids. But even to this day the left wing nuts who made this ""documentary"" (and they are left wing producers) are denying the mountain of facts, including the objective data from the vehicle computer, that these two women MURDERED these kids.",False
10,6,Missing details - but still deserves a six,LittlePenguin2,n/a,16/08/2025,"This documentary was not brainwashing and did not deserve so few stars. Few stars is about the story and what happened, only. It was missing a lot of details in my opinion, I'd like to have known or been explored. These women were monsters. The choice they made was horrid. It is not a choice many ppl would make. There is obviously more to the story, and we'll never know the missing jigsaw pieces. Unless you've been in a headspace where you're spinning out of control, desperate for help, making decisions out of fear only? Yu will never understand, have empathy or understanding about the two moms were going through. Saying all these things does NOT excuse their choices or behaviors when the children were alive, or had their lives taken from them.",False
