Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Mind-bending musings about infinity (and beyond?),paul-allaer,n/a,16/08/2025,"As ""A Trip To Infinity"" (2022 release; 79 min) opens, we are introduced to a group of smart, very smart talking heads including mathematicians, physicists, cosmologists, etc. And they start talking about what infinity is. One of them, applied mathematician Steven Strogatz, explains it by way of the story of The Infinite Hotel, as a cartoon plays out what Strogatz is talking about. At this point we are 10 minutes into the movie.Couple of comments: this is co-directed by veteran documentarian Jon Halperin (who also co=wrote and co-produced this) and newcomer Drew Takahashi. The movie is divided into 9 Chapters and a Conclusion. There is of course no plot to speak of, and along the way we are confronted with seemingly simple questions like ""can you go beyond infinity?"", ""is infinity real or a human invention"", etc. The talking heads provide their perspectives, and I haven't a clue whether what they way is true or not. The fascinating thing is that their mind-bending musings are all accompanied by a montage of some sort, at times quite literally (see: The Infinite Hotel), at times very abstract. The original score is an intriguing electronic collage by newcomer Efrim Manuel Menuck. Can't wait to hear more where that came from. Bottom line: this is not your average documentary. I quite enjoyed it for what it was.""A Trip To Infinity"" premiered on Netflix earlier this week. If you are in the mood for something different altogether and don't mind that your brain might get scrambled a bit along the way, I'd readily suggest you check this out, and draw your own conclusion.",False
2,7,Materials are thin but not inane,MeadtheMan,n/a,16/08/2025,"This documentary avoids some of the mistakes that physics documentaries usually make. The visuals take a lot of artistic license but they're mostly not inane and actually help us visualize certain concepts, the experts give a lot of one-liners but they don't feel too much like trolling us or just bantering (for the most part), the subject is open-ended but there's a focus to ponder over just that.However, I wish the questions and cues were a little less of a shtick so that the experts could expound on the subject a little more, in their own ways - there are actually many of us who like to be intellectually challenged (those who are seeking for entertainment wouldn't even give this a shot anyway).For example, when the experts are given a glass globe in their hands and asked about holding infinity, it's cute but a little cringey. In fact, Levin already points out that's not how infinity works, if it's truly infinity, we won't be having a comfortable bird's-eye view of it, it's just a very human-centric approach. Moments like these attempt to lure profound statements over something that's already very profound on its own. Instead, what may work better is that, with each example that the experts give, they could go a little deeper, discussing things like how they may try to prove it mathematically/experimentally, what are the limits, paradoxes, different theories on it, etc.",False
3,8,I find that it's hard for me to really imagine numbers bigger than ten.,Dominic_25_,n/a,16/08/2025,"SpoilerI watched this documentary after it had been talked about at work. My relationship to the concept of infinity largely framed my experience of this one, which I guess is true for everybody with their experiences with everything. But having never been fascinated by this concept really did not set this up for success. And yet I enjoyed it.Many of the concepts I've delved into and read and watched about over the years. In my free time I watch video essays and sometimes about math and physics so a lot of the concepts discussed I had heard before. So throughout I felt strange for not being as impacted by them as I expect I was supposed to.Yet the end is my absolute favorite part. After an hour of various experts talking about the properties and ramifications of infinity, none of them seem to be able to comprehend that humans, who have studied and probably invented the concept, could have infinite creativity. Such a humbling experience and it made the whole thing better.",True
4,7,"Not for everyone, sorry",skatenorulez,n/a,16/08/2025,"Not a documentary for people without a scientific background, most of the concepts are pretty complex and will not be understandable by the regular folk. In fact, many people will probably be offended just because they don't believe in science in the first place and want to live in blissful ignorance. That is why it has reviews below 5 stars.There is also the risk of people mistaking infinity with god, which is a long stretch. Infinity is a mathematical convention that helps us understand things outside our scale, but math in itself isn't even a perfect representation of reality (although we use it as an approximation). There probably is a complex math-like language underlying the tissue of reality, one that could explain what infinity really aims to be, but it is still not within our reach.An advice: if you felt interested or doubtful about the concepts represented in this documentary, they are not new, there are a thousand of youtube videos and creators devoted to explain this matter better.",False
5,7,A skin deep exploration of two very different concepts of the same name,zbartepstein,n/a,16/08/2025,"Infinity is a mathematical concept. This documentary does a nice job of exploring it.The question of whether our universe is finite or infinite, is a wildly different issue. Brilliant books have been written about the evidence for each possibility question and what created the universe in the first place.Unfortunately, this beautiful documentary does not make anything other than a cursory attempt to describe the issue.The computer graphics and music in this documentary are exceptional. But the entire thing seems to be aimed at the 10th grade audience that has never thought about infinity before.",False
6,7,Great for kids! Very introductory science.,nanojo12,n/a,16/08/2025,"Not a bad documentary, but definitely viewed it as more of an introductory teaching lesson for children. It's not great for anyone who is at all versed or has any deep interest in science or math, as it does not go any deeper than the surface level for all the theories it posits. Most of the documentary is introductory paradoxes, theories, or thought experiments. Like Hilbert's paradox of the Grand Hotel (a hotel with infinite rooms and infinite guests), along with a good explanation of the Poincaré recurrence theorem. The example of the latter used in the doc was an apple in a box left for a near infinite or infinite amount of time would decay into particles and eventually after such a period of time elapsed would have to return back into its original state of a fresh apple. Because there are a finite amount of particles making up the state of the original apple, there are a finite amount of states those particles can be in. Therefore once the amount of time it takes for all the particles to go into every state they can, they will have to return into its original state of a fresh apple at some point; after repeated other states as well.",False
7,10,"It was a brain food, want more like this",mahbubcu,n/a,16/08/2025,"The never-ending curiosity to know the unknown is something that scientists devote their life. And infinity is one of the biggest of them.When we talk about the existence of God and the end of infinity, it seems like we don't know; or maybe we have an infinite answer to it, yet we can't be so sure. It made me feel that every second of our life is crucial in the realm of infinity, where my existence is so tiny.Apart from my philosophical understanding, the documentary was very thoughtful and insightful. It explains infinity from different perspectives. It felt like my brain was enjoying a good meal. The psychedelic animations and VFX were undoubtedly creative, aesthetic, and eye-soothing. Loved it!",False
8,6,A unique take on a concept,keigca,n/a,16/08/2025,"SpoilerA Trip to Infinity is a documentary about the concept of infinity. Which seems like a daunting and intimidating topic to make a documentary on- which is a reason why I was curious to watch it and see what would be said and explained about it. The documentary divided the concept into segments of explanations as well as examples to explain the concept. My favorite aspect of the explanations would be the usage of old-fashioned cartoon-like animations as the thematic string to tie all the segments together. While I did enjoy these moments, the other moment did the documentary fell a bit flat in comparison and I found myself wanting to just watch the animated segmented for the documentary. One unique aspect I liked was how the different interviewees knew the other interviewees and referenced each other, I found that fun and different. Overall, this documentary was okay with keeping interest on something I thought could have been portrayed a bit more interestingly.",True
9,10,A Feast for Thought,idesignwebsites,n/a,16/08/2025,"I'm not a scientist, so I can't verify the science in this film. But I'm a designer and I have to say - visually this Netflix production is really breath-taking.In my opinion, this is how popular science films should be. The visuals here are not only beautiful, visually pleasing and exciting, but they are really smart, creative and really exciting. The creators did a really fantastic job connecting creativity, VFX and science to make these extremely complex scientific concepts accessible and digestible for the general public.A great watch for all ages and probably a really good chance to make your teenage kids excited about science.Also, unlike many woke Hollywood productions these days, this one is actually a great example of inclusivity and diversity.",False
10,6,Materials are thin but not inane,eugene-alexander,n/a,16/08/2025,"No, but they is no connection between the two.Our universe is finite, infinity is on another level.To see the world in a grain of sand,
and Heaven in a wild flower,
to hold Infinity in the palm of your hand
and Eternity in one hour.Every multidimensional system tends to infinity, increasing its complexity by itself.He has seen everything that is now, everything that has been made from heaven and everything that is in the infinite. Always homogenous and similar.If the doors of perception were cleared, everything would be presented to man as it really is: infinite.Man is like a fraction where the numerator is his real self and the denominator his idea of himself. The larger the denominator, the smaller the value of the fraction. And as the denominator expands to infinity, the fraction tends to zero.",False
