Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,2,"When you are looking for confirmation, you always find it.",wrighttodd,n/a,16/08/2025,"The documentary might be a Christopher Guest work, but no, Mike Lindell (linen entrepreneur, Trump confidante, documentation) is serious with this work. It's weak; too weak to be taken seriously. As I do not wish to provide suppliers, I shan't get into specific examples of absurd levels of confirmation bias, but they abound.""Absolute Proof"" is only strongly indicative of Mr. Lindell being a better purveyor of bed linen than quality documentaries. Unlike the opinion piece the movie is, there is good evidence to support my notion. As someone once said(this quote has been improperly cited as being uttered by many, but like many a good idea, it has legs) ""It's good to have an open mind, but not so open that your brain falls out.""If you have 3 hours of your life to waste, I recommend you waste it elsewhere..If Mr. Lindell had delivered ""Proof"" in 30 minute format it would have been less intolerable, but at 6x that length, it's a must miss.",False
2,1,Psychopath conspiracy theorist,shearinjason,n/a,16/08/2025,"You're insane, literally.
Nothing in this is based in reality.",False
3,1,This is not the proof you're looking for,Texan_Since_93,n/a,16/08/2025,"If you are one of those who believes the 2020 election was fraudulent and are looking for evidence to support that belief, then you'll probably be convinced by this video.If you do not believe that the election was fraudulent, you might be intrigued...But - If you have read all the articles and analysis by credible and reputable and factual and accurate sources, then you'll recognize that everything in this video has been discredited and disproven, and none of this has been shown to be credible. Not to mention that election officials in all 50 states certified their elections, following their laws and knowing full well how to conduct an election and recognize when fraud has occurred. And the Department of Justice (with Trump buddy Bill Barr) and the Cybersecurity and Infrastructure Security Agency verified the security of the election. And Republican officials at all levels, including those on the record as being Trump supporters, have admitted that there is no basis in the claims of election fraud.If you believe that the election was fraudulent, however, nothing in the previous paragraph will convince you otherwise, and you'll latch on to these conspiracy theories by ""experts"" who have jobs at cool-sounding places and fancy degrees from top schools. Lindell does try to pull out all the stops to make this ""evidence"" sound credible. But this ""evidence"" is nothing more than disjointed info presented from a biased host and biased ""experts"" using valid terminology but totally taken out of context and delivered with tons of spin and with the confidence and conviction designed to fool those who really want to believe it and who do not have the knowledge of election processes and technology and the legal system to recognize that this just simply is not valid. It may sound convincing, but if you take the time to do your own fact checking, you can see for yourself.I watched this video 2+ times. First with an ""open mind"" - as open as it could be considering my bias. If I didn't already know from everything I'd seen the past three months (and I have seen a lot) that most of this info had been disproven and that these experts were hardly credible, yeah, I might have thought there was something there. The second time involved taking notes and searching each witness and claim. This absolutely confirmed what I already knew, and it destroyed the claims that were new to me - which apparently didn't even merit the usual fact-checking scrutiny, since really, everyone should have moved past this election long ago. And I spot-checked a few spots a third time. Yeah, this documentary is painful, and I spent too much time on it. But I challenge anyone who truly believes anything in it to give it the same scrutiny that I did. If you don't come to the same conclusion, then, I don't know if you can be helped.In summary, I really hope you see this video for what it is - a pathetic attempt to continue to spread disinformation about the 2020 election. There is nothing here that should convince you that it is indeed ""Absolute Proof"" - just a rehash of half-baked conspiracy theories that would not have a chance in any court if it could even meet the standard to be heard.UPDATE 2-22-2021 - Mike Lindell has been sued today by Dominion. He gets his wish. He seems to be giddy about it. I fully expect him to get destroyed in court.UPDATE 1-24-2022 - Wow, this documentary has not aged well... For everyone claiming that ""the truth will come out in time"", the only truth that has come out is that absolutely nothing that Loony Mike presents here is real. And I find it absolutely hilarious that there are absolutely zero user reviews for his second video in his election fraud fantasy series, ""Absolute Interference"". I have one absolutely blistering review sitting on my PC ready to be posted - but I find it more significant that the count remains at zero since it came out last April. (It's kinda fun overusing ""absolutely"" - I can see how Loony Mike gets off on it.)UPDATE 3-30-2023 - Another year, and nothing here has come remotely true to being proven true, has it? Does anyone still believe any of this? Do you folks who raved about this movie feel the least bit sheepish about believing it? Mike seems to be finally fading into irrelevancy.",False
4,1,Even as fiction has too many plot holes,edwardburch,n/a,16/08/2025,"The big reveal at the end is disappointment. First IP address I looked at was not near the location their list defined. Where the ""attack"" failed the list still states votes were changed.
All these conclusions are blown out the water as the hand recounts that were done also confirmed the accuracy of the machine tally.",False
5,1,Fact-Free Conspiracy Theories,Orchrist,n/a,16/08/2025,"Well, what can you expect? Mike Lindell's Shakespearean descent into insanity has been well documented, mostly by himself. This was undoubtedly the product of the same sad mind who claimed that ordering a military coup was the most patriotic thing Trump could do.Every single shred of so-called ""evidence"" this infomercial presents has been stomped on, destroyed, and debunked before. Lindell has the gall to bring on Melissa ""No, I Wasn't Drunk at the Michigan Hearing"" Carone to tell her self-aggrandizing fantasies about Michigan vote counting. At least she made Saturday Night Live as a result.Also prominently featured: Russell Ramsland, famous for conducting a ""forensic analysis"" that confused counties in different states, and a revival of the ""German servers held the smoking gun"" conspiracy theory that even QAnon has abandoned.What is equally weird is the music. Most of it sounds like student film horror movie material, but it is paced in the strangest places and with inappropriate volumes. Finally, Mr. Lindell states, repeatedly, that he expects his film to be so compelling, even Congress and the Supreme Court will see how Joe Biden is ""The Manchurian Candidate."" Pretty sure he is going to be disappointed about that one. The silver lining: the guests were cheap, and the production values so low, it must not have cost him too much.",False
6,1,Hilarious and Sad,billrabara,n/a,16/08/2025,"Delusion is tricky. If you an accept an argument based upon suspicion alone and then hold onto that belief and protect it as a mother would her children then you are well on your way to be delusional. The next step is fall waist deep into the logical fallacy of confirmation bias, Like quicksand you cannot escape but unlike quicksand you will not desire to escape. You revel in it. This 'documentary' is a textbook example of how delusion can take an otherwise healthy individual into a sickened mental state. The arguments are comically absurd to even my ten year old child.",False
7,9,Liars don't figure and figures don't lie,moynemusic,n/a,16/08/2025,"Excellent data and substance. Appreciate the detailed information and facts. Wish he would allow his guests a little more uninterrupted time to clarify their content.
Overall, an excellent illustration of a shocking process that should have been stopped long before the 2020 presidential election. No honest democrat wants to win by cheating and no republican wants wants theirs stolen. Even numerous down ticket races were marred by these atrocities",False
8,1,Absolute Proof of No Absolute Proof,syllee,n/a,16/08/2025,"After sitting through this two-hour film, I am disappointed that there was absolutely nothing substantial that we haven't heard before.Mike Lindell desperately tries to make a mountain out of a mole hill. The problem is, there is no mole, much less a hill.In the end, I can't help but feel sorry for Mike Lindell. He is so desperate to believe that Trump won the election and that his ""proof"" is going to unite this country once again. As much as I too would love to see America united again, I'm afraid this film isn't going to do it.Bottom line, there was absolutely no proof to change anyone's mind on the 2020 election. You either believe Trump won or Biden won.",False
9,7,Mike Lindell My Pillow Documentary,chrisbrooks-19259,n/a,16/08/2025,"A documentary about the election fraud that happened during our last Presidental election. People are asking questions about if the election was fair? The issue is everyone is trying to sweep it under the rug, tech companies deleting videos and posts about it, most judges wont even take the case to review the evidence and even many local legislators not looking into the case, at least actually review the evidence. With allegations this serious, and a lot of valid evidence, it makes it worse that the government is trying to dodge the question.Mike Lindell, CEO of My Pillow, put together a documentary on evidence that he has uncovered about election fraud. I think he put it out as he felt no one would look into this VERY serious matter.No matter if you agree or disagree with his opinion I think everyone will agree that we MUST have elections in this country without fraud.",False
10,1,Absolute Poop,mcslain,n/a,16/08/2025,"The My Pillow guy is an idiot, and this 'docu-movie' is a total snooze fest. Lots of made up data without credible sources or more commonly sources not even provided. So called 'experts' are just as bad. A bunch of fringe characters who have been discredited and whose opinions have been proven to be without merit in the courts. The worst part though is how boring it is. Two hours of the pillow guy stroking his massive ego.",False
