Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Good Watch for Those Willing to Think Critically,maximusthemerciful,n/a,16/08/2025,"I'd like to disclaim that I am a U.S. citizen who does not identify as either Republican or Democrat. I also do not get my news from any TV networks. If you believe Trump is an ethical and honest person, or if Fox News and Info Wars are your only source of ""news,"" or if you are not prepared to recognize the fact that the majority of misinformation and fake news originates from international sources (mostly Russian) and domestic white nationalists, then you will not enjoy this documentary that addresses perpetrators on both sides of the political spectrum.""After Truth"" explores the origins, spread, and devastating consequences and human costs of fake news and misinformation via interviews with various journalists, political operatives, conspiracy theorists, and real-life victims. Topics include Jade Helm 15; Pizzagate; the murder of Seth Rich; the attempt to smear Robert Mueller; the Doug Jones/Roy Moore Alabama Senate race; Mark Zuckerberg and the Facebook Senate hearings; and the fate of psychopathic hatemonger Alex Jones of Info Wars.Filmmaker Andrew Rossi does a good job of providing just the facts and various people's perspectives who are both Republican and Democrat, without putting his own spin on the events or concepts. His message is one that rings the alarm to warn us of the nefarious and insidious psychological effects of fake news and urges people of all political persuasions to think critically when evaluating information and to fact check using reliable sources before adopting that information as truth and sharing it with others. It shows the devastating costs, the worst of which being the erosion of civil political discourse and human costs such as the pizza restaurant's employees and owner that still to this day receive death threats (and had an armed gunman drive from North Carolina to Washington who stormed the restaurant) all due to completely unsubstantiated and fabricated allegations that started on the internet and was fueled by fear, resentment, and animosity toward the Democratic Party.Where the film falls a bit flat is proposing an effective solution to fight the circulation of fake news. ""Stop using online social media and interact with people face-to-face"" is one obvious but unrealistic and impractical proposed solution. ""Ensure our populace is better educated and trained to think critically"" is idealistic but unlikely to eradicate the problem. The inherent problem, as recognized by Rossi, is that one cannot stop a fake news article from being circulated without serious censorship and First Amendment considerations. The slippery slope argument applies here more than ever, as without free speech and freedom of the press, we cease being a democratic republic and descend into authoritarianism.I recommend this quick 90-minute watch to those seeking to learn and understand the serious threat fake news poses to our political process, especially with the upcoming presidential election. In the end, it's up to each of us to do our due diligence to determine whether the information provided to us is real or fabricated. We should never blindly trust what we hear on TV, what we read on the internet, or the speech of public figures, especially politicians, and especially politicians who have been objectively proven to have no integrity and no interest in serving the needs of the American people, Democrat and Republican alike.",False
2,8,The sad truth.,marnoldcst,n/a,16/08/2025,Well made documentary. The look in some of the victims eyes shows how incredible and frustrating it must be to be a target of the fake news culture. The saddest thing is knowing our current president has utilized this counter culture for political gain.,False
3,8,Very Disturbing,alderton-116-668214,n/a,16/08/2025,It's very disappointing and disturbing that people make up stories they know to be false and publish them without any thought to the consequences.,False
4,n/a,It only proved one thing:,n/a,n/a,16/08/2025,"The American education system is a totally failure. Half of the American population is so easily to be manipulated by certain people with illogical way of thinking. They are so naive to be manipulated and so easy to be mouth fed by fake news created by certain ideological extremists. Some of the fake news creators are completely depending on what they sow daily over their radio programs or particularly by a specific TV News. The so-called Fake News, if I remember correctly was appeared and spread like wild fire across America since 2016. The ""Fake News"" creators actually created Fake News on a daily basis. It was used by a guy on the Twitter to discredit any news that were not to his favor, anything not good to him would be tagged as ""Fake News"" by him. The No.1 Fake News creator has since divided America into two parts. He uses Fake News to polarize the naive Americans, creating a cult like belief that if anything and everything he doesn't like or not in his favor IS FAKE NEWS. Before this guy appeared, I never thought America got so many rednecks with guns. They are waving American flags to show that they are the true patriots, they love and care about America more than those who don't wave the flags or hold guns. These hotheads don't believe anything that was not from or certified by the fake news creator. They don't believe science, they don't trust anything from the other side of the aisle if they don't carry the same political color like them. The result: America has the largest number of death from COVID-19. They even believe if they wear MASK would only mean the loss of their FREEDOM. Fake News is the weapon of certain politicians to fool the poorly educated Americans, it's also how certain people make their living by creating and spreading them.",False
5,7,"Informative, engagingly done",Mysterygeneration,n/a,16/08/2025,"After Truth: Disinformation and the Cost of Fake News is a very current, suspenseful documentary that holds up the dark mirror to the dangers of disinformation in today's digital society. With biting acuity and telling case studies, it reveals how fake news has been weaponized to manage public opinion, create division within democracies, and incite unrest. What really drives this documentary home is the incisive analysis and humanization needed to show tangible real-world effects on people and communities. Sobering in subject matter, it is informative, engagingly done, and incredibly important to any person who would like to understand the harmful power of disinformation in the digital age.",False
6,9,"Feeling sad for USA, and sad for everybody with",theowlofthegame,n/a,16/08/2025,"Disclaimer: I'm European and I only read quality newspapers, both domestic and international. Sorry, I prefer specialist experts over self-proclaimed investigators.That being said, I have a few friends who believe in multiple conspiracy theories. I see them sucked deeper into the rabbit hole everyday. Strangely enough, they present me with 'proof' of these outlandish theories (articles and videos), that, as it turns out, come from abroad, mostly USA and Russia. So this infowar is affecting the rest of the world also, slowly but surely.Russia's tactic is simple: ""Divide et impera""
In the USA the tactic it's less clear: false news is being spread to discredit people, influence elections or just to make money.In the documentary some guy says 'it's a war'.
I don't understand: who are you fighting against? Another political party?This documentary shows the consequences of spreading lies, and the effects are devastating. I nearly fell off my chair. Fake news, alternative facts, conspiracy theories, trolling, clickbait... This divisive messages are undermining the democracy in the USA. A country which could achieve anything if only they would work together, all politicians. Now they are bombarding each other with smear. Happens elsewhere too, but not in such a nasty way... yet..",False
7,10,Everyone needs to see this,dorian007,n/a,16/08/2025,"The documentary covers in astonishing clarity the cancer of fake news in our too connected society.Please watch and give an honest review, the only defense we have agianst tabloid news is information. I was aware of the fake news problem but I was still aghast at the raw view this piece gives of this detrimental outlet.",False
8,9,Informing on the dangers of misinforming.🤔,kippenn,n/a,16/08/2025,"SpoilerGreat information. For anyone who rates 6 or less they're realizing everything they've believed before now IS WRONG apparently. Like mom always said- the truth hurts. But nonetheless, it's a great reminder to all. It's not cool to be a rumor mill, gossiper or someone who spread lies. That makes you a liar actually. Cool, smart and popular people are the ones trying to learn the truth.
(Somewhat) Spoiler🚨
I will say, for what it's worth, Alex Jones was a pioneer in ""getting to the truth"" or lambasting the conspiracies (so to speak). The biggest mistake he made (this can be researched too btw) was Sandy Hook. That sealed his fate, his fall from grace started there IMO. I told him, let it go Alex, don't mess with the kid stories. I saw the death certificates, these children died, LET IT GO. He made his own choices. Look where he is now. All the best to Alex. God love him but he needs to take care of his health. Anyway- you should watch this if you're in a mood to learn. If the truth hurts don't blame just feel blessed, for crying out loud. Be informed on how to not be misinformed!
👍🏼",True
9,10,Must see this election year,llossow,n/a,16/08/2025,"This doc examines (primarily) the alt right's creative manufacture and use of Fake news to push its pro-Trump anti government agenda.
It may start as one post on Reddit or 4Chan and within weeks is being shown on Fox News.
Please see for yourself.",False
10,1,What a waste of time,samayun,n/a,16/08/2025,It's a documentary about fake news that literally focuses only on making the liberal polititions and media look good. How the hell is this a documentary instead of propaganda? To find the truth you can't start off by pick sides.On another note as of writing this there were two 1 star and two 8 star reviews. Yet the average score for the film was still 8 stars.,False
