Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Not overwhelming for me. But nevertheless an interesting and powerful story,gricey_sandgrounder,n/a,16/08/2025,"It still amazes me how evolved the documentary film genre has become over the years.The amount of freedom you can experiment within a documentary has become more noticeable. In this one particularly, you see a bunch of different styles and even story branches.There is a mix of themes such as topical activism, what can be classified as art, a determination for justice and accountability, a woman's struggling life and the power of family.The central character I had no idea about and we certainly got a thorough look into her life both as an artist and as a daughter.It felt very definitive as I felt it gave you the perfect portrait of this person's upbringing and how certain traumas lead to this groundbreaking change in the art world.I also liked at how they told each aspect of her life in a parallel style. The timings of shift to a different part of her life felt well-timed and gave us a very satisfying conclusion.This was pretty interesting and while I wasn't overwhelmed by it, I can see others feeling that way.It's well made, the content and imagery is strong and the central character was not afraid to open herself up to her life story.",False
2,8,"Patrons, Peddlers & Pushers...",Xstal,n/a,16/08/2025,"There's a family who had legalised addiction, who pushed their products to administer more affliction, once you're trapped it's hard to leave, there's a good chance that you'll grieve, if you know someone, they'll need more than benediction.A wonderful piece of factual storytelling focused around Nan Goldin's pursuit of justice and recompense for those helplessly hooked on Oxycontin, a drug that was peddled without remorse by people who thought they were above the law. The film also explores in some detail the life of Nan, her career as an artist, the wild and colourful characters she got to know in NYC, and the often crazy things she found herself doing, as well as her life as a child and the sister she lost.",False
3,8,Powerful and well-made,Jeremy_Urquhart,n/a,16/08/2025,"All the Beauty and the Bloodshed can join Fire of Love in the club of Oscar-nominated documentaries from 2022 that would have been more worthy winners than Navalny. It's admittedly a small club, but I feel like both of those movies have moments that demonstrate documentary filmmaking at its best.In the case of All the Beauty and the Bloodshed, it's probably the final 15-20 minutes that shines the brightest. It can be a slow and somewhat uneven feeling documentary at some points, but it builds to some phenomenal and emotionally hard hitting final scenes. The rest of the documentary still tends to hit far more often than it misses, but I did get the sense it may have been a tiny bit too long, and while I respect the choice not to tie together its two primary narratives more explicitly, part of me was waiting for them to collide more directly at a point. Still, leaving some of that up to the viewer felt like a deliberate choice, and I can respect that.It follows Nan Goldin, with the film both recounting her life story from the 1950s to the 1990s and detailing her activism against the Sackler family and their role in the opioid epidemic in the 2010s. The latter might be more interesting narratively, but the former has the more interesting presentation, seeing as Goldin's an accomplished artist/photographer, and the documentary frequently relies on her work to serve as visuals.It's a heavy and often sad documentary, dealing with mental illness, addiction, corruption, censorship, the AIDS crisis, discrimination, and domestic violence. It might be upsetting to some viewers as a result, but I think it was best not to pull punches (so long as people know what they're in for before deciding to watch it). It's a largely powerful documentary that I think will stick with me. Not perfect, but it has some amazing sequences that were very striking and moving.",False
4,n/a,"Read the book, then see this film",n/a,n/a,16/08/2025,"I read the review by CinemaSerf and had similar reaction: I had expected much more of an exposé of the Sacklers. The documentary assumed that viewers would just take the side of the protesters against Sackler, but anyone with an enquiring mind might just wonder what the evidence was. I was in the fortunate position of having read Empire of Pain by Patrick Radden Keefe, which does a thorough and gripping account of the origins of the Sackler family and all their dodgy dealings, pushing opioid drugs to physicians, and recommending alarmingly high doses while arguing that only certain types of people got addicted. Once you have that background, any doubts about Nan Goldin's activism are dispelled, and you look in awe at what she's done. In effect, this film, which is quirky and relies mainly on vision and sound rather than words to convey messages, complements the scholarly verbal account in Empire of Pain. The Sackler story is only part of it - it sits in the context of Nan Goldin's remarkable life and career as photographer documenting the underground life of unconventional people after she escaped her dysfunctional family. It's an important film documenting an era in history, and showing how individuals can take on the rich and powerful. Nan features in Patrick Radden Keefe's book, and he features in her film, but I think that if you put the two together, it's perfect and the whole is greater than the parts.",False
5,10,The Darkness and Bravery of a Soul,Quinoa1984,n/a,16/08/2025,"Really two documentaries in one, though they're inextricably linked not simply because of the person at the center but because of Nan Goldin's life, how open she made herself (through visual distortions but sometimes just with the total, brutal truth in photography) and how dedicated she was and is, as the person to be a major driving force in the fight against the Sackler's, in particular with their All the Money in the World style stamp on museums and places. But above all, it's a great film (documentary or otherwise) about community - the ones that Goldin was in as a young artist, as an art organizer in 1989 with the AUDS exhibit, and then in the past several years against the Sacklers.This is a film that would have been on its own a terrific story of this group staging these protests (taking as direct influence the Act Up protests of the height of the AIDS crisis); what takes it into feeling so important and unique is how Poitras weaves Goldin's recent times, and how harrowing and terrifying it becomes for people in the group (spoiler, the Sackler's were spying on Goldin and others), with her story as told through the thousands of photographs she took over the years. Just the use of the sound of that slide projector with those clanks immerses you into her memories and the rich, daring, wonderful and sometimes very tragic tales she had of those she knew (not least of which John Waters collaborator Cookie Mueller).It's an equally inspiring and devastating portrait of a life - among other lives - where there was almost no other way to go except to create and find a voice through artistic expression. It doesn't take long for one to be taken with her storytelling, not just her story, and because Poitras is careful with using music and needle drops, like they are there but used to emphasize a particular time or place like ""Sunday Morning"" over footage of Provincetown in the 70s, you have an intimacy, like you are with her in the room seeing these slides and seeing an entire world that is now more celebrated of course (what Hipster or borderline Hipster hasn't said ""damn I wish I could've lived in New York in the 70s and early 80s), but then it was such that, as Goldin says, they were seen as the outsiders, but they saw the Normies of the world as those outside of their world.What's also so great is how the storyline of the Sackler/Opioid protests and that entire campaign - which turned out to be a mixed success, sadly Purdue and the Sacklers got a way with a lot and it's frustrating to see that (it doesn't make the film frustrating, it actually is good that nothing is sugar-coated and, ultimately, the outcome of the names being taken off like the Met and the Louvre is as good as they might very have expected - does dovetail into how Goldin found her voice as an activist, past just with her artistic/erotic photography, into that exhibition that caused a mountain of controversy. You almost may take for granted how skillfully and seamlessly Poitras brings the strands of history and governmental and business-related chicanery, and despite the several important supporting characters, like the journalist and the one woman who are central to the Sackler case, Goldin never gets lost as the subject.This is sensational documentary filmmaking because of how it draws us in thematically, politically, and personally and emotionally. This is a story of a hero who wasn't in her early years always but bared witness always. And I'm sure Goldin would bristle at anyone calling her that, but she went through a lot of pain and struggle (and addiction and isolation), and it cant help but feel *monumental as a saga of what is possible in America (against what many in the Powers that Be would want to see or know in art, culture or from victims of addiction). I knew very little about her going in and I suspect many will become absorbed as I was; moreover, you may find yourself affected by the heart-break that these families shown on camera confronting the Sacklers. Or, if not that, the catharsis that Goldin comes to regarding her sister and her parents.",False
6,9,You Would Think,Oakman139,n/a,16/08/2025,"You would think, as an enterpreneur who had created/developed this product, as you saw that it was contributing to 100s of thousands of deaths throughout the world, you would attempt to do something, anything, to reign in the misuse and misapplication of the product. Maybe you would put some money into combatting the misuse and consequences of misuse, of your product. But no, the family put money, lots of it, into entertainment for the wealthy, the educated, the priviliged few who attend the Louvre, the Met, the Guggenheim, etc. After all, they believed ""no one is forcing them to misuse our product"". The film is powerful. It shows the power of people who come together to fight evil and apathy, in spite of themselves. I enjoyed the film and I would have joined them on their march for justice.",False
7,7,Coulb be better,y-12236,n/a,16/08/2025,"Another important story to tell but the film itself is lacking some of that connection I'm expecting to feel.The choice to weave Nan's personal, artistic and activism journey all together is an interesting but risky one because it weakens the delivery on either one of them.Personally, it feels like the film is putting Nan on a pedestal, instead of where she was most of her life, the dark, dirty and forgotten edges of the city. As a result, her on screen persona sometimes feels even more out of touch than a fictional character.For what it's worth, the film comes back to the title in the end where it ties All The Beauty And The Bloodshed that Nan has seen throughout her whole life with who she is and what she is trying to achieve now. But it's just a little bit too late for my liking.",False
8,9,"All the beauty, FREEDOM and the bloodshed!!!",li0904426,n/a,16/08/2025,"The movie ""All the beauty and the bloodshed"" is a beautiful documentary that covers two aspects of the life of the American photographer Nan Goldin. Her fight against the Sackler/Purdue pharmaceutical empire, the creator of OxyContin that triggered the opioid crisis, and also her journey of sexual freedom, drugs, and rock'n'roll spanning from the 70s until 2000.Once again, experienced director Laura Poitras sensitively captures Nan's struggle with psychological survival, drug abuse, and determination to fight against the companies that influenced her drug addiction and the deaths of over 400K people. And we follow Nan's journey only through her photography lens. It's simply touching to witness her passing through the AIDS epidemic, the loss of her older sister to suicide, and the opium epidemic.Nan's spirit life without judgment or traditionalism is very inspired.",False
9,7,The Roots and Power of Anger,jcampbell-06364,n/a,16/08/2025,"This documentary about Nan Goldin and her battles throughout her life--personally and professionally--is many pronged with New York as the background. She was part of the art movement in the 1980's when AIDS started to invade that scene unabated since the administration of the time felt it was only a gay disease and would not be addressed. Her anger could have been surmised as the beginning there, but then we got a glimpse of her life growing up with the poor treatment her sister got by her parents. Things progressed from there. Her activism developed in the 1980's and continued into the age of Purdue Pharmacy's creation and rampant spread of oxycodone. The documentary may seem to be a bit of a hodgepodge of memories, but when you understand that her anger was developing almost from the moment she was born, you can understand how heartfelt her concern was for those who died around her. This was nominated as Best Feature Documentary for the Oscars It is an uncomfortable yet quite informative watch.",False
10,8,"One of the very best movies of 2022, period",paul-allaer,n/a,16/08/2025,"As ""All the Beauty and the Bloodshed"" (2022 release; 118 min.) opens, it is ""March 10, 2018"", and a group of activists is staging a protest at the Met, more particularly the Sackler Wing. We then go to ""1. Merciless Logic"" as Nan Goldin starts talking about her early youth, and how her sister Barbara commits suicide when Nan was only 7. At this point we are less than 10 minutes into the film.Couple of comments: this is the latest from well respected documentarian Laura Poitras (""Citizenfour""). Here she brings us a nuanced portrait and assessment of photographer Nan Goldin, best known for documenting the NY underground scene in the 70s and 80s. At the same time Poitras looks back at the mysterious suicide of Nan's sister Barbara in 1965. And last but not least, Poitras follows Goldin and other members of the activist group P. A. I. N. in their attempts to hold the Sackler family which owns Purdue Company, manufacturer of Valium and Oxycontin, responsible for the opioid crisis in this country (Goldin herself is a survivor of Oxycontin addiction). The beauty of this documentary consisting of 7 chapters is how these three subjects are woven together, with Goldin herself narrating much of it. I was absolutely fascinated by it all, and I am already going on record that this documentary is a shoo-in to get a Best Documentary Oscar nomination.""All the Beauty and the Bloodshed"" premiered at last Fall's Venice Film Festival to immediate critical acclaim, winning the festival's top prize along the way. It is currently rated 93% Certified Fresh on Rotten Tomatoes, and for very good reasons. I see a LOT of documentaries, and surely this is one of the very best, if not THE best, documentaries of 2022, and also one of the very best movies of 2002, period. The documentary opened this weekend at my local arthouse theater here in Cincinnati. The Tuesday evening screening where I saw this at was attended very nicely (I counted about 25-30 people). If you like a top-notch documentary, I'd readily suggest you check this out, and draw your own conclusion.",False
