Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Great Dive into the Racism Controversy,ingodwetrust-58966,n/a,16/08/2025,"I've been a fan of Matt Walsh's since i watched ""What is a Woman"" and this movie was just as good in my opinion. It's definitely not for everyone. It definitely exposes what's going on in the world today with everyone calling everyone else racist which a lot of people are profiting from. Some of the moments in this movie can seem a little long at times, but not too bad. There were also a few moments in the movie where I was just wondering how there can be people like this in the US. How Matt Walsh kept a straight face while making this movie is amazing. If you are curious or not about watching this movie, just go see it.",False
2,8,It's a Good Start,tfurmato,n/a,16/08/2025,"My biggest complaint about the movie was that it was too short. It could easily have been 15-30 more minutes, and covered more conversations. The amount that was payed out to some of the activists was so outlandish, it's a shame we couldn't get more content from their interaction. Maybe even a litttle behind the scene action too. Daily Wire could easily come out with a second movie to this, with a lot of that content in it, and it would still be interesting to watch.The premise of Matt going on a journey was fitting, and it all works. The laughs were deep and plentiful. He artfully exposes the pushers of racism, who claim anti-racism.",False
3,8,7 quality 8 for relevance,contacttedjohnson,n/a,16/08/2025,We laughed more than I expected and the commentary really was not provocative. The documentary does a good job of showing not telling and the unifying overall message is exactly what we need these days. Glad to have someone call out the racism and division being spread under the guise of DEI. The movie is heads and shoulders better than any of the other daily wire films and I would happily watch it again and recommend to everyone I know. I think that even people that don't Share the producer's worldview can appreciate the social commentary and the fact that he seems to only punch up not down. The people that he confronts negatively are people specifically trying to spread here and division and making money on it can't picture a more worthy endeavor in filmmaking.,False
4,9,Brilliantly sarcastic take on the racism and hate industry,rutledgech,n/a,16/08/2025,"This is the first movie in a long time where the arguments being presented are so absurd - so logically cork screwy -that laughter rolled through the cinema. There are horrible racist acts happening in our society - but the conclusion that our society is racist to the core, or that we are all racists, is bunkum. This film sets out to show the DEI industry (and cult) in all its intellectual shoddiness.The skill of this film is to depict exactly the absurdity of these ideas.Walsh is a remarkably skilled actor - wins the Borat award for straight faced interviews with people tying themselves up in absurd arguments. There are so many scenes that begin with a grave and seriously proposed premise...that then get taken by the 'white guilt/society is totally racist' workshop and TV show crowd to total farce.A broader theme - brilliantly presented and established - is the degree to which we, as a society, have become a herd of grazing sheep, digesting whatever the media (of any type or any ideological leaning) present to us as ""expert"" information. The film is a must see as to how we are all being manipulated unless we keep our critical thinking skills in shape.",False
5,10,Hilarious movie. Well worth the watch and everyone should see it.,invisible_mango,n/a,16/08/2025,"This movie is excellent. My wife and I saw it over the weekend, and we haven't laughed this much in a long time at the theatre. We both thought it was hilarious.On top of that it is also enlightening and gives you a glimpse inside the world of DEI and systemic racism along with those who profit from it. Eye opening. I feel like everyone should watch this movie.It's also great to watch it in theatres because watching it with a crowd is just enhances the experience. Everyone was laughing the whole time.I don't want to give any spoilers at all because it's worth it to see it all unspoiled. Many of the situations that Matt Walsh finds himself in have to be seen to be believed.Fantastic watch and well worth the price of admission, and I'm far happier to spend my hard earned money on a movie like this than many other movies coming out of Hollywood these days.",False
6,6,"Almost There, But Too Obvious",buteea,n/a,16/08/2025,"I had high hopes for Am I Racist? After seeing the trailer, and while the film had some genuinely funny moments, it didn't fully meet my expectations. Matt Walsh did let the other side talk, and in many cases, they exposed themselves quite a bit. However, I think the film could have gone even deeper if Walsh had taken a more subtle approach. Many of the questions and comments he made sounded pretty much exactly like what they were: A right-wing person trying trying to pretend to Take on a left wing view of race relations.Throughout the mockumentary, it was clear that people were suspicious of him-often because his satirical comments were obvious, and this put them more on guard than they probably would have been if he had asked more genuine, open-ended questions that were worded in a manner more in line with how they actually think.One such moment was when Walsh interviewed Robin DiAngelo. By presenting contradictions in her thinking in a 'confused' and inquisitive tone, he managed to highlight the flaws without being overly confrontational or raising much suspicion. If the film had maintained this kind of subtle questioning throughout, I think it would have been even more effective in exposing the contradictions in modern discussions on race. As it stands, the film feels like it missed an opportunity to dig deeper and reach a wider audience by over-relying on obvious satire. I predict that it will fall short of reaching or affecting people who do not already stand on the same side of the discussion as Matt Walsh.It's still worth watching if you enjoy political satire, but I think it could have been stronger with a more nuanced approach.",False
7,5,Lack of Direction,TheKeeMaker,n/a,16/08/2025,"SpoilerThis movie would have been much better if Matt stuck to being himself. It wasn't necessary to play a character who drops plates and says random things which don't apply to the scene. This film had great potential but felt a bit haphazard in its approach, there could have been much more thought given to where the interviews would go and what the point of them would be. At times, for example the story of the alleged racist mascot, the film opens lines of thought which never actually go anywhere. As a viewer, you expect Matt to find out the truth behind the mascot story, or at least attempt to but, no, the thread thats opened up is dropped and the film moves on to something totally different. I really wanted this to be better than it was. Still worth a watch.",True
8,7,Worthy of a Review,scryptkeeper-09126,n/a,16/08/2025,"""Am I Racist?"" is an amusing documentary that features Matt Walsh on a largely whimsical journey to educate himself on the in's and out's of racial discrimination.As far as the comedic elements were concerned, the humor was witty and well-placed; serving as both an adept tool for moving the plot along and extra icing in terms of the overall presentation.The story (though intentionally hyperbolic in nature) was more coherent and streamlined than most $100,000,000+ movies that have fallen by the wayside in recent years, and the through-line message was spot on.For entertainment value alone, the film is worthy of a review. Moreover, it's a thorough presentation for those looking to learn a thing or two about one of the greatest modern blights few are willing to address.",False
9,5,Potentially cutting satire undermined by Walsh's dumb clowning,arcweldx,n/a,16/08/2025,"SpoilerAm I Racist? Is Matt Walsh and the Daily Wire's follow-up to the documentary What is a Woman?, their satirical critique of transgender ideology. What is a Woman? Succeeded because Walsh simply let gender experts and activits talk freely. No jokes, just honest listening with some insightful but straight-faced questions. It was the experts and activists who made a mockery of themselves and revealed the incoherence and intolerance of their beliefs. Funny, troubling...and honest.Am I Racist? Might have succeeded if they'd followed the same formula. Take the centrepiece of the documentary, Race to Dinner, where DEI consultants Saira Rao and Regina Jackson are invited to berate a group of white women about their racism as they all enjoy an expensive meal. The ridiculousness of the situation is the stuff of high comedy and I would have loved to hear the whole conversation. Sadly, we hear little of it. Matt Walsh, channeling Borat, crashes the scene disguised as a waiter, interrupts the speakers with his own dumb comments, does stupid slapstick like dropping plates. What could have been a roast of ""anti-racist"" lunacy is actively undermined by the clowning which takes centre stage.There's much material to mine when it comes to the excesses of the DEI industry but so little appears in Am I Racist? The treatment of the subject matter comes across as generally lazy. Another example is the ""racist"" blow-up involving a theme park animal character ignoring two black girls. The real story may not be as it seems, but instead of doing actual investigation they just take the cheap shot of paying the girls' mother $50K for an interview, implying that she was a grifter for being motivated by money. But who wouldn't take $50K??All in all, a lazy effort with too little substance. The moments of real potential for satire are undermined by taking the focus away from the subjects to Walsh's Borat-style clown act.",True
10,9,Comedic documentary.,lbslukas,n/a,16/08/2025,"Am I Racist?The film explores the varied approaches to that question and what it means to be Anti-racist. From talking to Anti-racist experts to patrons from a southern biker bar, many different viewpoints are on display.Matt Walsh takes his deadpan humor and gets his DEI certification to meet with people like Robyn DeAnglo (White Fragility), and other voices behind the Anti-racist movement.The film exposes the amount of money Anti-racists get paid from the people trying to become anti-racist. There are a few people on the street/ biker bar that share their thoughts on race and racism in America, that was enjoyable.There are some really hilarious scenes and some good chuckles through out.A recommended watch.",False
