Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,Informative but second half was too much fluff,Musicianmagic,n/a,15/08/2025,For what it covered it was interesting. It didn't cover organized crime in Las Vegas during prohibition. Totally skipped that for some reason. I also didn't like that they sometimes jumped around chronologically but failed to give a reference. It was only because I was already familiar with Vegas history that I knew when they were covering.The second half seemed like they started running out of material to meet the total time for the show. They repeated things like explaining the Hole in the Wall Gang it seemed like many times.They did cover some things more in depth which made most of this show interesting. Could have been better but worth a watch if really interested in Vegas history. There is also the Vegas history the local PBS station has been posting on YouTube that is excellent and covers some of the same.,False
2,8,Excellent Documentary,sowden_jd,n/a,15/08/2025,"I love Mafia anything. I am Sicilian so, it hits home! I thought this was really well done. Informative and had a point of view. I loved the original footage. There was WAY more than I thought there would be. The ones being interviewed were incredibly knowledgable and really sold the validity of the documentary. I thought the interview setups were also done well. One thing that can also be very troubling about documentaries are that they can sometimes have poor audio. While this one has a zoom caller (it looked like), the audio was still very well done in the interview sessions. If you love Vegas, History, Mafia or all of the above, I would highly recommend checking this one out!",False
3,7,True crime... indie style!,bchaffin23,n/a,15/08/2025,I'm a huge true crime fan (which sounds morbid) but I'm fascinating by the criminal mind. This film does a great job of showing all the elements that come into play when it comes to the life of crime. Then add in the scene of Vegas and you have a fascinating mix. Job well done!,False
4,7,Interesting documentary about Las Vegas history,lbarker08,n/a,15/08/2025,"This documentary shows the deep, comprehensive history of Las Vegas and the criminal underbelly that helped shape the city. Narrated by director Mark Curran and including interviews with various experts, this subject makes for a great documentary!",False
5,9,Excellent look at the mafia and Vegas,directortim2012,n/a,15/08/2025,"Anyone who is a fan of Bugsy, Casino, and The Godfather I and II would love this documentary. It mines all that Mafia lore those films touch on, but goes much deeper. Though the film is anything but a glorification of organized crime, it's nonetheless a fascinating history. Especially fun to see all the famous people who, even if tangentially, connected to the mob through shows in Vegas. A very smart and entertaining look at a really interesting subject.",False
6,9,What Made the Las Vegas We Know Today,catheraneskillen,n/a,15/08/2025,"This is a very comprehensive look at the elements that came together to shape the Las Vegas we know today. Mark Curran does a wonderful job bringing to light the beginnings of what was once a small, dusty, old west-looking way station in the middle of the desert to the arrival of the gangsters who built and shaped Las Vegas to the corporate run mecca it is today. I found it very interesting to see photos of these people who shaped the city and the parts they played. With time and the change it brings, it's good to know this record will be available for future generations.",False
7,3,I have never seen a documentary more in need of editing,lopeze-15474,n/a,15/08/2025,"This documentary repeats itself so many times it's really laughable. How many people do we need to tell us how the ""Hole in the wall"" gang got its name? Well evidently it's three times by three different people back to back. This thing feels like it's on loop. If it has one good fact, it has every interviewee repeat it over and over again. It feels like when my high school teacher said I needed to write a 1500 word essay and I've only got 500 words of content. Also, for a documentary that beats a dead horse over and over again, we really don't need to hear the name of every single person's first and last name that committed every single crime and made every single purchase. I feel like the interviewees are just showing off the fact that they know all these name, even though that have absolutely no relevance to the main stories. The only more infuriating documentary that got me to write a review like this was ""The Spirit of the Pony Express.""This documentary does not receive a passing grade from a high school film editor.",False
8,9,Amazing insight into the world behind the glamour,marceldorian,n/a,15/08/2025,This gem of a documentary looks into the genesis of Las Vegas from desert land to a place of glamour where celebrities rubbed shoulders with mobsters. It follows events in a chronological order highlighting the 2 masterminds behind Sin City. The interviews and cool footage work a chronic of times when men not corporations ran the world of high stake gambling. If you are a fan of Vegas and Gangster stories this documentary will not disappoint.,False
9,3,"Nothing new is revealed, except boring commentators",silverton-37959,n/a,15/08/2025,"SpoilerTo anyone who has read the earlier books about Vegas and gangsters, this documentary will be a disappointment. The main commentator is a thoroughly boring historian who gets most of the screen time allotted for commentators is extremely boring and pedantic. The few others who are given any time seem more knowledgeable and thus more interesting than the ""star"", who is a self impressed UNLV history professor.There are a few good historical photos of famous criminals, but the telling of the history is left to the professor who downplays the importance of mob figures who had the most to do with making Las Vegas, while lauding the politicians, law enforcement figures and corporate pirates who dismantled the old Sin City.The worst thing about this documentary is the tedious detail put into the half hour of schlock given to describing the ""new"" Las Vegas built by corporate crooks who are actually much less interesting than the relatively small time crooks who established the city. Three stars is generous, IMO.",True
10,9,Absolutely FASCINATING!!,roblesharhold,n/a,15/08/2025,"I am a lover of documentaries, and I watch a lot of them. I must admit, this is not a topic I would normally be interested in. But this is SO WELL DONE! I was immediately drawn in by the amount of footage and photos that were collected. The narrator was great, but my favorite was Michael Green and his delivery of the history and knowledge. I really am impressed with this entire documentary. This should be bought by the history Channel, I think it needs a broader audience. So we'll done!",False
