Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,5,Not even close to 10/10,jaylemieux-23237,n/a,16/08/2025,"SpoilerI love it when you read reviews and they all sound the same. No one who wrote a review had it less than 10/10. I don't think so.Tell you what, I'll review this as someone who doesn't work for the company that made the movie.For the most part, it was pretty good. It started out as most Amityville movies do, with the background of what happened and such which most people probably know already.Once it got rolling, the EVP work and all that was decent and there were a lot of places where you thought, ""Hey, that's pretty slick"", and so forth.I'm not sure I buy on the idea that the voices coming through could ""sound"" like the actual dead people. That was a bit of a stretch, but it made for interesting filming and I guess the idea that John DeFeo was talking to them directly was cool, but again, not convinced you can listen to a dead person in the voice they had IRL.I did learn that the village is populated with rich snobs and they don't like strangers. I can see that as being true!Listen, it was decent, and as someone who will watch just about anything with respect to that house, I give it a solid 5 stars. But not even close to 10.",True
2,10,Great Documentary!!!,spookystephtx,n/a,16/08/2025,"I'm so happy to see a new documentary that has good fresh information on the subject, finally. I knew George ""Lee"" Lutz before he died and I do have to say that the voice that they captured stopped me. I actually dropped my phone. I'm not shocked that someone would capture him on audio because he was always vocal about his experiences in Amityville. But I thought ""Why on earth would he be THERE of all places, though?"" He was always very protective as a friend, especially when it came to being anywhere around there...maybe he was there to protect them? And to continue his mission of letting the world know that his family's experiences there were indeed real. He once said in an interview that the forces there were very intelligent and powerful. I'm not saying yes it was absolutely 100% George Lee Lutz, but I'm saying as somebody that heard his voice other than just in interviews, yeah it sure sounded a lot like him to me, too. Lots of interesting information wss presented here and I will definitely be re-watching this come morning. My mind is still digesting everything. Great job Sean and team!!!",False
3,10,Intriguing,jthorne-10420,n/a,16/08/2025,Amazing evidence documented by these men. I've loved the Amityville story for many years. Its still intriguing to this day. I enjoyed the documentary. Nice work!,False
4,10,Amazing Documentary! A Must See!,dixiegirl-85456,n/a,16/08/2025,You guys nailed this out of the ballpark! It absolutely answered so many questions for me! Very informative and a must see! One of the best documentary I have watched ever!! Thank you for this one!,False
5,10,Amityville Resurgence,marydallas-13225,n/a,16/08/2025,I ABSOLUTELY Loved Amityville Resurgence. I Have always been interested in The Amityville house and movies you and your crew did awesome job. I had to watch it all before I took my nap. Awesome documentary.,False
6,10,Fascinating Documentary!! I didn't want it to end!!,conwayvicktoria,n/a,16/08/2025,I love horror documentaries and this one did not disappoint! SEAN AUSTIN presented plenty of paranormal evidence and eloquently told his experiences with the Amytyville house. I loved to see RalphSarchie in this documentary as well. I definitely recommend this documentary! I didn't want it to end!,False
7,10,Riveting documentary full of validating evidence,leadiluca,n/a,16/08/2025,"I literally just sat and watched that entire documentary from start to finish. It was one of the best ones I've seen on Amityville ever.. You seriously have gotten some of the best evidence of any Paranormal Investigator anywhere. The session with you and Ralph in the car was amazing with the gunshot, and when you are in the cemetery with John's voice coming in. This was a really validating documentary. Keep up the good work!",False
8,10,Blown away,mandiweberski,n/a,16/08/2025,"Wow this documentary keep me intrigued. I couldn't stop watching. The history, the realism of evil and spirits was brought out. To see the raw footage and documentation was astonishing! I will be watching again to make sure I didn't miss anything.",False
9,10,AWESOME,varuoloval,n/a,16/08/2025,"This was an amazing documentary! I loved it. I was about 9 or 10 when the murders happened so I've read, seen and heard about it all my life. This was by far the most detailed one I saw.Thank you Sean and Ralph and all involved for a great documentary!",False
10,10,AMAZING -NEW AUTHENTIC AMITYVILLE EVIDENCE,ryan-j-birge,n/a,16/08/2025,"Awesome, awesome watch with well-known powerhouse paranormal experts (Ralph Sarchie, Sean Austin, more) teamed up with one of the best up and coming horror doc directors, Billy Lewis. Whole new and recent (!) take on the most famous paranormal story of all time. Their evidence -mostly taken outside the actual Amityville home- is jaw dropping and emotional. You'll be thinking about this one for days after....",False
11,10,Great Documentary,angelblossom-32963,n/a,16/08/2025,"I love every documentary that Billy and Sean have done together. This is by far one of my favorites. A must watch. I love that Ralph Sarchie is in this with Sean. I love hearing his view's about this story. This documentary will not disappoint you. I honestly don't know of one, with a paranormal researchers experiences, that also documents real evidence. I also learned things about this story, that blew me away. This is truly an informative documentary filled with evidence and things I didn't expect. Again, a must see.",False
12,10,Amazing Documentary!,rondapigeon,n/a,16/08/2025,"This house like many others has always intrigued me. This was amazing information, and evidence about the demons. My only wish was that there was footage in the home, regardless though absolutely well done!",False
13,10,I need to see it !,isabellehebert-40118,n/a,16/08/2025,"Just finished @seandaustin's Amityville house documentary. They captured very clear evp's. You really have to listen to this movie. It's incredible! He demonstrated even today that this house is still haunted. You must see this documentary. My next documentary ""Malice""...",False
14,10,WOW!! No Words!!,mellyluvsdawg,n/a,16/08/2025,This was an awesome watch. The evidence is amazing and Sean truly has a gift. I dont anyone else could have gotten the evidence Sean did!! Thank you for sharing your experience with us!! Highly recommend!,False
15,10,Couldn't ask for more in a documentary!,2Realm,n/a,16/08/2025,"Perfect quality and the best telling of the story I've ever heard! I learned things I didn't know about it by watching this. As a paranormal researcher, the evidence is phenomenal! I love all of Sean and Billy's work, but this is my favorite! So worth it! You won't be disappointed!",False
16,10,Best Documentary!,chasitybersane,n/a,16/08/2025,"I absolutely loved this, I was engaged the entire time! Great cinematography, great paranormal investigations and loved that it gave us true information on the lives of all of the people this story has touched, the families and the investigators!",False
17,10,AMAZING Paranormal Evidence at one of the Most Haunted Houses in the World,GhostInTheWind12,n/a,16/08/2025,This documentary is entertaining from start to finish. If you have an open mind about the paranormal and spirits then this will really keep you on the edge of your seat. ScareNetwork is really putting out some solid documentaries and this is probably the best one they've produced so far. Can't wait to see what the future holds but I highly recommend watching #Amityville - The Resurgence!!!! 10 out of 10 for me!!!,False
18,10,I'm shook!,Feather1228,n/a,16/08/2025,I was so anxious watching this documentary. I didn't know a lot about Amityville prior to watching this and now I'm so intrigued. Sean caught some of the most substantial evidence and I literally caught myself holding my breath in suspense. It's the perfect documentary for anyone into the paranormal or Amityville history.,False
19,10,Outstanding evidence!,emspittel,n/a,16/08/2025,It is an excellent documentary. The evidence is outstanding! It really stands out from other documentaries. It's shows the real and raw evidence that unfortunately many other documentaries exaggerate and enhance just for the film.,False
