Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,All Sides Fairly Shown,nafps,n/a,16/08/2025,"There are extensive interviews with all sides here, except for politicans like Rockefeller and Nixon. The ones complaining about ""one sided"" or ""bias"" are simply either lying or have faulty memories. There's extensive interviews with guards and especially the families of guards and administration. The warden also, he shows up in the film every few minutes.And what were they insisting on? ""Let's give equal weight to abuse and racism."" Give equal weight to little medical care, denying right to practice religion, even petty abuse like one roll of toilet paper a month. Give equal weight to the fact that all guard deaths were by friendly fire by incompetently planned attacks.Some of it is remarkable, white prisoners admitting they got favored treatment. This is the most insightful of the Attica documentaries or films based on the hostage crisis.",False
2,8,Unbridled white power abuse (and worse),paul-allaer,n/a,16/08/2025,"""Attica"" (2021 release; 117 min.) is a new documentary about the Attica prison riot. As the movie opens, it is ""9-9-71, Thursday, Day 1"", as we hear a number of former Attica prisoners who were there bear witness to it all. ""70% of the prisoner population were black and brown; all-white guards... what could go wrong?"", someone asks sarcastically. Along the way, we are given an overview of the way things were at Attica (overpopulation; poor living conditions; lack of available health care; systematic abuse from the guards, and so on). ""We wanted to be treated like humans, not like dogs."" At this point we are 10 min into the film.Couple of comments: this is the latest from Emmy-winning and veteran documentarian Stanley Nelson (""Freedom Riders""). The documentary opens with talking heads, as there wasn't archive footage of the situation until local (and later national) TV stations started covering the events. When watching a documentary like this, there are 2 separate aspects: the underlying events giving rise to the documentary, and whether the documentary itself is any good. As to the underlying event, let's be clear: this is unbridled white power abuse (and worse), pure and simple. If you object to the term ""white power"", well it's actually uttered by a New York state trooper at the Attica scene, right then and there, with a smirk on his face and without any awareness that, you know, this may not be the best thing to say out loud. But no, he doesn't care one bit. One might expect such scenes to come from the South African apartheid regime, but this really happened right here in the US, a mere 50 years ago. As to the documentary itself: the initial 90 min cannot prepare you for what you will see in the last 30 min of the film. Nelson and his team have painstakingly gone through the archive TV and film footage, and it is a veritable treasure trove on one of the most sickening events in the modern history of this country.""Attica"" premiered at the Toronto International Film Festival on 9-9-21, exactly 50 years after the Attica prison riot started, to immediate critical acclaim. The documentary recently premiered on Showtime, and is now available on SHO On Demand (where I saw it), Amazon Instant Video and other streaming platforms. If you need a reminder as to how unbridled white power has functioned in US history, you can do a lot worse than seeing this documentary, Of course, don't take my word for it and hence I urge you to seek out this film, and draw your own conclusion.",False
3,8,PIGS,PedroPires90,n/a,16/08/2025,"The last 25/30 minutes of this really elevates this doc to a different level, even if it's as painful as revolting.Yes, I was mostly ignorant about this. I'm not American and I was only born almost 20 years after. This was shocking as hell, I knew there were some deaths, but never thought it was a cold bloody massacre. How come not a single one of those racist pigs were prosecuted for the killings?I can't even analyse this as a film. Yeah, the sound is good, the editing too and the testimonies are great to hear. But this is such an emotional journey that I think that it is what it will stay with me, more than any technical achievements.",False
4,9,Attica Grades An A,aldo-49527,n/a,16/08/2025,"Documentaries, like any form of journalism, can not be completely objective. But of any one of the forms of journalism, documentaries have the toughest challenge; for wherever the documentarian points his camera a subjective choice is being made. In fact, every one of the elements of filmmaking used express a subjective viewpoint no matter how devoted the intent to objectivity is.Attica is one of the better journalistically sound docs I've seen in the last ten years. It's about the 1971 uprising at the Attica Prison in New York State that shined a spotlight on the brutal conditions inmates endured, but ultimately resulted in a massacre.The recollections from former inmates, government officials, family members of guards, and journalists do most of the groundwork here. But, there's a massive amount of arrival footage including horrific images of the aftermath that leave indelible conclusions about what happened.In the end, what happened is that there's a lot of blame to go around for what went wrong.And, without directly commenting on it, documentarian Stanley Nelson Jr.'s film also points out that 50 years later much work at improving race relations needs to be done.",False
5,10,The wicked,tking-34156,n/a,16/08/2025,Open my eyes on the brutality by correction. Which their job was care custody and control. Me being a retired correction officer l know people do crazy stuff in a group. Alot of correction believe their family member could never go to prison. The President at that time condone this.,False
6,n/a,Searing Documentary on the Attica uprising,n/a,n/a,16/08/2025,"""Attica! Attica!"" That quote by Al Pacino in a scene from Sidney Lumet's brilliant 1975 DOG DAY AFTERNOON is probably all that most people know about the 1971 Prison uprising in New York state (if they get the reference at all).Stanley Nelson and Traci Curry's exemplary documentary does a thorough job of telling the full story. It's not just a recitation of facts, either, the filmmakers do excellent work in showing how the small upper state New York that housed the prison was a true 'company town' - the corporation being the state pen. Current day interviews are presented from many who participated (including multiple prisoners) and the families of those who aren't here to tell their story (especially the guards).Fortunately for the filmmakers there is ample footage, not just from newsreels, but, quite a bit from inside the prison. The prisoners made the wise P. R. choice to allow the media inside the prison walls in order for their side of the story to be told. The most chilling footage is from Attica's security cameras. They sit silently capturing all of the events without moving or editing. Just observing.What's most striking about the early part of the Documentary is how articulate the prisoners were (and are). Their pleas for fair treatment by officials is passionate and well thought out (one of their number, nicknamed 'Jerry the Jew', was an actual lawyer). The sense that they were finally being heard is palpable. There was even some optimism.All of this, adds to how painful the final act plays out. Even with some hope expressed early on, one knows how it all turned out. The villains here are then Governor Nelson Rockefeller and President Nixon (who not only expresses support for Rockefeller's actions, but goads him on). The surveillance footage is truly horrific. The police's repeated exhortations to the prisoners to surrender and ""you'll all be safe"" are just as heartbreaking five decades later.Nelson and Curry do mention that some reform did come out it, but, it took far too long, as did any king of recognition and compensation to the guards who became the pawns in the tug of war. ATTICA isn't just a 'history lesson' - it's a vital document that resonates.",False
7,7,some feelings,j_movie,n/a,16/08/2025,"Although there is a certain tendency in the position, it is still a very valuable record. Many years later, I wonder if the pain we experienced can be recovered in this form?",False
8,10,Wow!,Pistol7,n/a,16/08/2025,"What a powerful documentary maybe the most powerful I have seen. This has interviews from inmates, family of guards, newsmen, and people who went inside at the time.",False
9,7,Incomplete,mhendroff,n/a,16/08/2025,"I really wish the 2 recent Attica documentaries could have somehow been combined, with input from Ms Fink (loved her narration in the other doc) and possibly some of the state troopers involved - however difficult that may have been. Am still seething with anger hours after viewing both, and I live half the world away.7 out of 10.",False
10,9,Brutal documentary,TigerHeron,n/a,16/08/2025,"SpoilerI saw a previous documentary about Attica that was pretty good; this one is far more brutal.This film goes over the events as if it's a daily newsreel, with every detail about each day's events and the negotiations. I have to admit that part began to get a bit tedious. The footage from the police assault on the prison includes many photos of blood-drenched bodies and the various kinds of brutalization and torture that were inflicted on the inmates AFTER the authorities gained control of the prison. Throughout, the film intersperses interviews with former inmates, observers, children and widows of the guards, and one former National Guardsman.It's a difficult but necessary film. I am puzzled by a couple of reviews on this site claiming it's ""one-sided."" I don't know what those people are talking about. The event was a mass murder by the government. The fact no one from the government was ever prosecuted is a stain on our country. Money from a lawsuit isn't enough.",True
