Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Fascinating..but marred by the narration,loucraig-46157,n/a,16/08/2025,"I've always been fascinated by ancient civilisations so after watching nearly all of what Netflix and Prime had to offer me during the numerous lockdowns, this was a joy to find. I agree the narration completely lets it down. The pronunciation of some words by the narrator isn't an issue. The problem is the speed of the narration which I don't think is down to the narrator herself as it started off fine but then suddenly in parts turns into 500 words a minute, which sounds like it had been speeded up in editing possibly to shorten the length of the film. This also makes it sound toneless and as if the narrator is reading from a script which unfortunately for her will not do her career any favours. So I had to resort to turning on the subtitles and changed the volume to enhance the music so the narration wasn't so distracting and it then turned into a great documentary. I recommend doing the same rather than give up on the film as it is well worth a watch.",False
2,7,Fascinating albeit flawed,davidgibson-19224,n/a,16/08/2025,"I enjoyed this film immensely even though it aggregates a lot of information presented before elsewhere. It was new to me and really interesting.A lot of reviewers on both this site and Amazon complain about the narrator, whose native language is clearly not English. Her mispronunciation of many English words is a bit grating and I had to rewind frequently to decipher something said. Those speed bumps are no reason to skip this movie though.Beyond that distraction, the film pixelates badly on a 4K screen. Clearly not upscaled.The first 10 minutes or so was a bit slow and the film lacked a clear exit strategy, IMHO mailing in the last few minutes. The two hours in between though was absolutely fascinating and I spent the rest of the morning on Wiki checking out the theories advanced. I will definitely be reading and watching more and have recommended this to my father-in-law, who is an actual engineer and a literal genius, for his take.In the barren wasteland that is post-COVID video streaming (meaning I've watched almost everything worth watching), this flick is worth a few hours on a Sunday morning.",False
3,7,great job overall,yassinefr,n/a,16/08/2025,"Amazing content but the narration is way too fast, it's hard to keep up at times.",False
4,9,Great but requires a thinking mind,sfshipley,n/a,16/08/2025,"The production demonstrates that ancient man displayed a far superior mind and technology than is innately present in modern man's grasp. It likewise is a testimony to the ancients' persistence and focus of purpose as contrasted to those of us today who are so easily distracted and seek mere entertainment. Some of the reviewers cited here reinforce that reality by their seeking a production that is spoon fed to their lazy minds. Complaints about the narrators accent shows that they expect everyone who speaks English or has learned English as a second language will pronounce every word precisely as an American would. Try watching any British production. Many of the words which are claimed to be mispronounced are accurately pronounced outside the USA. I suggest turning on your closed captioning. And as far as the rapidity of her speech, the production was 2 hours and 18 minutes as it stands.. Think how long it would have had to have been if she slowed down. Yes, there is a lot of information but worth the effort if we could have the patience of our ancient ancestors in assimilating it.",False
5,7,A good ride!,scotrep,n/a,16/08/2025,I enjoyed this. I'm quite sceptical but I do love the mental gymnastics!,False
6,9,Loved this ! Only if you are a fan of mysteries of the ancient.,wotsonurmind,n/a,16/08/2025,"Firstly a big thank you! A lot of trouble taken to aggregate various ideas published elsewhere.The director also assumes you are familiar with most ideas already online and hence won't go explaining these. While this good for some of us and not so for others. There are so many,many bits of info - you really needed a mini- series. That would also give time to the narrator to take time to narrate it rather than read it at speed at times! I found no problem with the accent at all - we live in the universal world and if you're having trouble, Lord...use subtitles! One reviewer switched off after 10 minutes - this subject really isn't for you,sweetheart! It is meant for those curious about the level of intelligence seen in the past ages and our own origins and trying to find a more plausible reason. No one expects the answers here - not suddenly after thousands of years on a dvd! It is only meant to stimulate your thoughts.Will certainly watch for other projects in the future from this team. Make a mini-series and this time take your time. Anyways thanks guys!",False
7,6,I enjoyed it but . . .,efrigcom,n/a,16/08/2025,"I too like the new theories and the film certainly gives you food for thought.Unfortunately the narrator, Alika Del Sol, nearly drove me to insanity with her constant mispronunciations like ""one point six hunnert eighteen"". Now, not only is the number incorrectly spoken as it should be ""one point six one eight"" but ""hunnert""? I realise she's a non-native English speaker being French but surely you would think the director or editor would pick up on it.",False
8,8,Fascinating doc - narrator easily understood.,stephenanderson-65324,n/a,16/08/2025,"I can only assume these people who whine on so petulantly and childishly about the narrator have never set foot out of their own country (or village) or even had a conversation with someone for whom English is a 2nd or 3rd language. She speaks a too quickly sometimes and they definitely should have edited the narration down so she could have taken her time - especially with some of the many mind-blowing revelations contained in this film, so the info could be absorbed and understood by the audience clearly. But she speaks English, quite frankly, better than many Americans; she's clear and articulate but occasionally mispronounces a word. Big deal. English is a difficult language to learn and people, such as her, who learn it to a nearly fully fluent level should be applauded and she did her job well - not as perfectly as one would wish - but she did well. This is a fascinating film, full of very important information on our history (not what we were told at school) and is beautifully filmed and well presented. My biggest complaint was the background music which often felt it had been lifted from a 1970s western movie. Loud, dramatic and bombastic which did not fit the tone of the documentary at all. If you are interested in ancient tech and architecture, lost civilisations, seeming impossible geometry and measurement, how we developed from hunter-gatherers, strong connections between cultures thousands of years apart and across vast distances and a good portion of intriguing mystery and possibility, then see this film. It could've been better, sure, but its still very good indeed.",False
9,2,"Unintelligible narration, subtitles required",zimbakin,n/a,16/08/2025,"The narrator gets 7/10 for impersonating an incomprehensible AI bot.Names, places and words are either blurred into one, incorrectly shortened or just pronounced wrong making it unintelligible.I was looking forward to this, but unfortunately the fast talking monotonous speaker gave me too much anxiety and I had to stop.",False
10,8,Narration has been updated - very good,howardvause,n/a,16/08/2025,"Just watched the current (April 2023) Amazon Prime version of this film and the narration (UK English) is notably excellent. Sounds like the producers may have heeded the voice-over criticism here and released an update. It now sounds great with nice quality production, tastefully edited, ok graphics and well paced and presented - an easy watch if you're interested in this sort of thing. Plenty of well balanced information, new and secondhand, - no aliens etc. - just observation, deduction and plausible conclusions. The original footage and quantity of info contained in the film would justify a rewatch.",False
