Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Death Or Glory - Just Another Story,TheAnimalMother,n/a,15/08/2025,"In terms of story this is on the surface at least, the simplest thing Kubrick ever made. However in terms of the technical aspect, it must have been one of his most challenging. The plot is basically about how greed, arrogance and ignorance can easily become the ruin of a man. The story itself is well told, but mostly quite simple as I said. The humor keeps us interested in the story, as does its undeniable visual beauty. It is not a stretch to say that this must be among the most beautiful looking films ever made. Every scene is filmed in all natural light, whether it be by sun or fire, and the landscapes and architecture handpicked by Kubrick himself are amazing. As in all Kubrick films, so much attention to small details equates to a great result in the end. Spielberg himself has called this film ""possibly the most beautifully shot film in history."".In terms of story, it's entertaining, in terms of it's technical achievement, the film is a landmark. Even for all the story's simplicity, there is a startling statement in the film that certainly can give the viewer real pause and thought. The finality of this world, the equality of all things in the end. It is certainly an interesting, powerful and very humbling down to earth observation. It is the kind of worldly observation that could perhaps lead some people to ruin, and yet lead others to strive for perfection. Perhaps that is part of Kubrick's thinking here, a Kubrickian challenge if you will, as he certainly was always an artist that was challenging his viewers. That through this observation people may become more aware of what they're leaving behind in this world...as one day, we will all equally be gone. For all the things written about this film, it is probably not nearly as unimportant of a story as many critics have said of it. Then again, critics and moviegoers alike have long been trying to catch up to Stanley, and never the other way around. 8.5/10.",False
2,9,Masterpiece,melanier,n/a,15/08/2025,"SpoilerBarry Lyndon is one of my favourite films of all time.   Kubrick's craftsmanship is impeccable.   The film is slow and dreamy in its pace which, along with the scenic shots, establishes a romanticised watercolour view of the period (somewhat like a Carpenter landscape). In fact, Kubrick has set up almost every shot (indoor and out) like a painting. This romanticism provides an interesting counterpoint against Lyndon's less than admirable actions throughout the film.I would have to say that the best acting in Barry Lyndon comes from some of the minor actors.   Leonard Rossiter delivers a fantastic portrait of the arrogant Captain Quinn, with exaggerated  facial expressions and movements (eg. like in the dance scene, or when his engagement to Nora is announced) that are perfect for the self-aggrandising bluster of this character.  Leon Vitali as Lord Bullingdon also gives an insightful performance as Barry's stepson.",True
3,10,A film so easily dismissed,KimotoCat,n/a,15/08/2025,"In the midst of the many wonderful films made by Stanley Kubrick, it is strange to note how rarely people mention ""Barry Lyndon"".The film portrays an unusual young Irish man, Redmond Barry, and his endeavours as he is forced to leave his home and tries to make good his life elsewhere. His life away from home starts out as a career in the British Army; only to evolve in surprising ways and lead to as different places as a position of trust within the Prussian Army and later a title of nobility, gained by what our time can only measure as rather disgraceful means.Some consider Barry Lyndon a slow and tedious film  and it is in deed past three hours in length, but this is because of the artistic flow of a film that strays not only to tell a tale about a man who is by no means neither hero nor villain, but also a film which is in no hurry and takes the time for every detail to sink into the mind and heart of the viewer. Some of the scenic images in ""Barry Lyndon"" are in themselves pieces of art, rendered with a passion for the landscapes and the man-made structures within them.The myth that all scenes were recorded using no artificial lighting no doubt stems from the very realistic lights during indoor takes, and some of them truly did not feature artificial light. This is but one of the many details that so easily conveys a sense of a realistic portray of the era; the 18th century and the time after the seven-year war in the later half of the century. The impressive atmosphere and the wonderfully picturesque scenarios along with the fact that the entire plot moves at a calm pace makes this film a very pleasant experience.""Barry Lyndon is"", amidst Kubricks' many masterpieces, a film so easily dismissed due to length and the fact that it is overshadowed by others, but I deeply recommend this film to anyone who would like to see a film both for the plot line, the story and the pure enjoyment of the images presented. Stanley Kubrick made many great films  and this one is most definitely one of them! KimotoCat",False
4,10,""" good or bad, handsome or ugly, rich or poor, they are all equal now"".",Galina_movie_fan,n/a,15/08/2025,"The beauty, the depth, and the mystery of this film are unsurpassable - what Kubrick was doing with light is just a miracle. Special lenses were designed to shoot interiors and exteriors in natural light. In one scene Barry (Ryan O'Neil) was having a dinner with a German woman who was feeding her baby and the candle light made the whole scene look like a Caravaggio's painting. This is just one of many scenes. Each of them is perfection and harmony. Costumes and sets were crafted in the era's design. Age of Enlightenment with its gallantry, wars, and duels, had been recreated in the film with the precision of the celebrated landscape and portrait masters of the period such as Thomas Gainsborough; Sir Joshua Reynolds, founder of the Royal Academy of Arts; George Romney to name just a few. If nothing else, watching BL is pure aesthetic delight - and there is one man who responsible for it, Stanley Kubrick. If ever divine film was made, ""Barry Lyndon"" was it and Kubrick could've quoted the Bible - ""God looked at everything he had made, and he found it very good"".I've read the comments and articles that call ""Barry Lyndon"" cold, slow, boring, ""the collection of pretty pictures', ""flawed"" masterpiece, and the most ridiculous one, ""glittering ornament with a hollow center"". I simply can't understand it. ""Barry Lyndon"" is the most compelling and compassionate realization of the inevitable finality of everything in this world which was presented by the visionary director with elegant sensual melancholy. Stanley Kubrick known for his detached, seemingly remote and non-sentimental style chose to reach out to his viewer directly during the epilogue, ""It was in the reign of George III that the aforesaid personalities lived and quarreled, good or bad, handsome or ugly, rich or poor, they are all equal now"". I don't recall any other movie that would illustrate the old wisdom, ""everything will pass"" in such sublime and deeply moving way.",False
5,10,I can't believe that there are people who find this dull.,Spleen,n/a,15/08/2025,"In fact it's one of Kubrick's most gripping pictures, with a narrative drive second only to that of ""Dr. Strangelove"" (and it's unquestionably a more glorious creation than, say, anything he made in the 1950s).  English director Michael Powell (while attributing a similar failing to one of his own works) says that Kubrick fell into ""the trap of the picturesque"", but while I admire Powell as a creator, the judgment is absurd: at the VERY least, each lush image shows us people not just occupying a part of the screen but inhabiting a world, and tells us much about their relation to that world.  Many shots are indeed amazing and beguile the eye, but they don't have the effect they do simply because they would make nice postcards.THIS, I feel sure (without having read Thackeray), is the proper way to adapt a long story from novel to screen.  Each scene is either allowed as much time as it needs to make its point and its impact, or it's cut altogether - you won't catch Kubrick skating too quickly over his material for no better reason than to fit it all in.  The third-person narration (consisting of witty, beautifully crafted sentences - it's about time I did read Thackeray) almost performs a kind of dance with the images, gliding in just when we need it, taking a step back when we don't.  (So rarely is even third-person narration used so well.)  And as always, Kubrick's musical sense is unerring.  My impression at the time was that I was listening to mid-eighteenth century music that gave way to pieces from the classical era as the hero started to move in higher and higher circles.  I was more or less right.  But then I noticed Schubert's name in the credits - and I realised with a start that I'd been listening to, had even started tapping my feet to, a Schubert piece I was familiar with, without the anachronism registering.It's a pity Kubrick stopped making epics after this.  Look at the ones he's responsible for: ""Spartacus"" (not a project Kubrick was fond of, admittedly, but still the most magnificent of all Roman epics) ""2001"" (the most magnificent of ALL epics), and ""Barry Lyndon"".  The last of the three is by no means a poor cousin.",False
6,10,Great Paintings Come To Life,ccthemovieman-1,n/a,15/08/2025,"Some movies - I wish there were more of them - simply look like a series of great paintings. This film has that look. You could freeze-frame many of the scenes and swear you were looking at a Gainsborough, a Vermeer, a Hogarth or similar work of art by one the great artists of three to five centuries ago. It's just beautiful.For that, we have Director Stanley Kubrick and Photographer John Alcott to thank. Being a three-hour movie, there are plenty of wonderful shots to admire, too. In addition, the costumes are lavish and authentic and the scoring is notable. It's no accident that Oscars were garnered for art/set direction, cinematography, costume design and scoring. Yeah, if you enjoy classical music, you'll really enjoy the soundtrack, too, under the guidance of conductor Leonard Roseman.Not to be overlooked is the fine acting and the interesting and underrated story. I say ""underrated"" because this film, from what I've read, bored a lot of people and and it was a box-office flop. That's too bad because, frankly, I found the story (outside of the first 10--15 minutes) to be fascinating. As I watched, I kept wondering what strange occurrences will happen next to the lead character, ""Redmond Barry/Barry Lyndon,"" played beautifully by Ryan O'Neal. (For most of the movie, he's called ""Redmond Barry,"" so I will refer to him as that.)Overall, this was a low-key adventure story about the rise-and-fall of a ""scoundrel"" back in late 18th century Englishman. ""Mr. Barry"" is an Irishmen living in England who winds up dealing with a number of people: Irish, English, Prussian, French. His dealings with these people are bizarre at times. While he mainly is shown doing what he can to promote himself, for either monetary gain and prestige of a name and power, he's not all bad. There is a compassionate side to him, but it only shows itself in small doses. It makes him all the more interesting to watch, because you don't always know how he's going to react to his circumstances, which change radically every few years.We witness his rise to prominence and then his fall when his ""sins begin to find him out,"" as the Bible would describe. It's quite a roller coaster ride.This is an emotional, involving story, and a feast for the eyes and ears. It's quite different, too, certainly not the average fare from Kubrick. I can only hope this comes out on a high-definition disc some day. Admirers of this film need to see this in all its glory.",False
7,n/a,Opulent costume drama from the great filmmaker,n/a,n/a,15/08/2025,"Kubrick's adaptation of Thackeray's Barry Lyndon sharply divides fans of the great director's work, as the languid pace and seemingly interminable running time -- not to mention Ryan O'Neal's questionable performance in the title role -- are cherished by some and deplored by others.  Little argument will be made against John Alcott's Academy Award-winning cinematography or Ken Adam's production design, however, and Kubrickian motifs are manifest in the gallery of characters' wide-ranging displays of cowardice, guile, duplicity, avarice, jealousy, greed, and cruelty.  Marisa Berenson is terribly short-changed in her role as the Lady Lyndon, but a number of other performers are given the opportunity to create a handful of memorable moments -- especially Arthur O'Sullivan (albeit briefly) as the charming, intelligent highwayman and Patrick Magee as the Chevalier.  Love it or hate it, Barry Lyndon will remain essential viewing for aficionados of the director, who enjoys taking his usual shots at the more discouraging aspects of human behavior.",False
8,6,Beautifully Shot - Needed a Better Lead Performance,bankofmarquis,n/a,15/08/2025,"After he finished his Science Fiction masterpiece, 2001: A SPACE ODYSSEY in 1967 (the film would be released in 1968), auteur Director Stanley Kubrick turned his attention to a detailed Bio-Pic of Napoléon Bonaparte, spending years researching the period of Napoleon's life and all of it's myriad of details. Unfortunately, he spent so much time researching Europe of that time that another film - WATERLOO - was filmed and rushed to the movie theaters in 1970. This movie, with Rod Steiger in the lead role of Napoleon, bombed at the box office.Consequently, no studio would touch a Napoleon Bonaparte film - not even one that was Directed by Stanley Kubrick.So, Kubrick turned his attention to A CLOCKWORK ORANGE and when that film came out in 1971, Kubrick went back to his deep research of 18th Century Europe and sought a story to that he would fit with that background. He discovered an 1844 novel by Makepeace Thackery entitled THE LUCK OF BARRY LYNDON and Kubrick had his next film.He should have kept looking for a better story.Breathtakingly shot - Kubrick's eye for detail is in full flower with this beautifully shot film - every scene is set up and shot like a Masterpiece painting and this film is STUNNING to look at, so much so that Cinematographer John Alcott, Art Director/Set Director (Ken Adam, Roy Walker, Vernon Dixon) and Costumers (Ulla-Britt Soderlund & Milena Canonero) all won richly deserved Oscars - as did Leonard Rosenman for his haunting score.Kubrick was also nominated for Best Director and Best Screenplay, but (deservedly) did not win these for the Direction and Screenplay are amongst the weakest links in this film for Barry Lyndon (as played by Ryan O'Neal) floats through a series of events that seem to skim the surface (at least until the end) and did not pack much of an emotional punch (again, until the end).While Kubrick wanted Richard Harris in the lead role (and what a different - and probably more interesting - film this would have been if that had happened), Warner Bros. Studios would not bankroll the film unless Kubrick cast one of the top 10 Box Office stars of the day in the lead. That list included Clint Eastwood, Burt Reynolds, Steve McQueen, Paul Newman and Barbra Streisand(!). None of those would suffice. Kubrick had to choose between Robert Redford and Ryan O'Neal. O'Neal was keen to play the role - and since he was the #1 Box Office star at the time (Redford would pass him the next year), it was a ""no-brainer""for Kubrick to cast O'Neal.And that's the biggest issue with this film, O'Neal just isn't a fine - or subtle - enough actor to pull off the role of a vagabond, social climbing rogue in such a way as to have the audience care what happens to the lead character of this film until much, much too late in this 3 hour film.Kubrick spends the first 2 hours of BARRY LYNDON bouncing from vignette to vignette and while there are some interesting moments - and characters - by such worthy performers as Hardy Kruger, Patrick Magee and Leonard Rossiter - it is all too fleeting and O'Neal just cannot be the glue that keeps things together. It is only in the 3rd hour of this film when the action - and Barry - settle down when he marries the Lady Lyndon (Marisa Berenson - who is interesting to watch, but isn't given nearly enough to do) that this film begins to engage the audience emotionally.But by that time, the audience is marveling at the gorgeous pictures on the screen and not caring much at all about what happens to Barry Lyndon.Oh, what might have been.Letter Grade: B-6 stars (out of 10) and you can take that to theBank (ofMarquis)",False
9,10,The World of Stanley Kubrick: A young rapscallion makes good in 18th century Europe.,Captain_Couth,n/a,15/08/2025,"Barry Lyndon (1975) has to be Stanley Kubrick's most realized project that he has ever taken. A big task for the maverick director. For a film like this to be made during the free wheeling seventies had to take some big stones. One must admire Mr. Kubrick for even trying to produce and direct such a complex and expensive film that had all the ear markings of a financial and personal disaster. Not only did Kubrick manage to out do his last epic ""2001"" but he has created a movie that not only showcases the untapped acting abilities of Ryan O'Neil, but a beautifully lensed film that uses minimal lighting , gorgeous sets, perfect balance, positioning and meticulous timing. I have never seen such a magnificent film such as this one. Every shot and frame plays out like an eighteenth century oil painting.A young Irish man of lower class has the strangest quirk of luck. After participating in an illegal duel, young Barry is forced to flee from his home village. After being accosted by some gentlemanly highway robbers, Barry winds up cross country and becomes a conscripted soldier. Rising in rank, Barry is sent to fight in the Seven's Year War. Whilst in battle he watches his friends and fellow soldiers being slaughtered in combat due to poor tactics and leadership. Having enough of this life of hardship and struggle, Barry uses his god given talents to do what he has to do in order to survive and become a man of proper social standing.I was very impressed with this movie. I've put off watching this film until recently. Some have told me how long and boring this movie was. Others have said it was pretty self serving and not worth watching. But after seeing part of it on T.C.M., I just had to find a copy of my own. The film is over three hours in length but they go by very quickly because Barry's story is so captivating. Kubrick poured his heart and soul into this film. The results are on the screen. He's clearly a master film maker. His reputation is cemented forever with this movie. Ryan O'Neil impressed the hell out me with his role as Barry Lyndon. He gives the character some dignity and depth that no other actor could have possibly given to the title role.Overall I would have to give this film one of my highest recommendations. This is one of my top ten films of all time. If people tell you not to watch this masterpiece ignore them. I advise you to get a copy and enjoy. For a film like this you need to set aside a weekend afternoon to fully appreciate a film such as this. Believe me you will not regret it.Highest recommendation possible.It doesn't matter whether you watch it on D.V.D. or V.C.D. because the transfers are excellent on either format.",False
10,6,See The Pretty Pictures,slokes,n/a,15/08/2025,"The same things that make ""Barry Lyndon"" interesting are what make it problematic. Long drawn-out scenes, lingering close-ups of stiff-faced actors, no rooting interest, a sudden personality shift (for the worse) in the lead character, and minute attention to period detail that seems director Stanley Kubrick's main reason for making this.Kubrick shoots his 18th-century costume drama, based on the William Makepeace Thackeray novel, with nods in the direction not of other filmmakers but rather period painters like Gainsborough and Hogarth. His frame, often moving but slightly in the course of a scene, captures moments of wondrous, intense beauty which seem to defy gravity in their not-quite static state, such as a woman in her bath or a man riding across a country path. For that, it is a unique film, one that transfixes many still.Still, it's a hard film to love, at least for me, starting with the main character, a young Irishman named Redmond Barry (Ryan O'Neal) forced to flee his homeland after a duel who gets himself trapped in not one but two armies in the middle of the Seven Years' War. He escapes with a tricky gambler to Belgium where he meets Lady Lyndon (Marisa Berenson) who falls in love with him and offers him an opportunity to rise in the highest realms of society, if only he can control his mendacity and bitter temper.Not a lot to love there, and some say it's either O'Neal's fault or Kubrick's for casting him. O'Neal is in typically wooden form, but this is one film that serves such an acting style, as the cast here converses less in dialogues than colloquies while barely moving so much as an eyebrow so as not to disturb Kubrick's delicately candlelit interiors. O'Neal surprises on occasion, especially late in the film when he delivers a crying scene as powerful as Russell Crowe's in ""Gladiator."" Once you get past his weak Irish accent, you may find him as good a man for the job here as anyone.There's also nice character work by Murray Melvin as the dour minister Mr. Runt, Leon Vitali as Lady Lyndon's son by a prior marriage, and Steven Berkoff, unrecognizable as the same man who menaced Eddie Murphy in ""Beverly Hills Cop"", as a foppish dandy who trifles with Barry to his regret. Patrick Magee, often over-the-top on screen, nicely underplays his part of the gambler, Barry's tutor for a time. Kubrick's work with the child actors here showcases his exceptional, undercommented work in that department.This is one Kubrick film where there is little overacting. It's hard to overact when you can't even move. Kubrick is so bent on making with his pretty pictures that any droplets of vitality dribble off the screen. Audience identification, too, is hard, except I think some of the charm of this film is in how alien it is, presenting a world we think we know in an askew but somehow more real-seeming way than ever before.It's a triumph in ""Barry Lyndon"" how fine and layered a visual scheme Kubrick is able to put on screen, and the story, especially in its first half when Barry is on the rise, has its compelling moments. A mordant narration by Michael Hordern that carries on for the length of the film seems intrusive at first but gradually turns out a rather sublime counterpoint to the action on screen. You come to need Hordern after a while. At a little over three hours, one feels like one is sitting through Barry's wastrel life in real time. Some may see that as an accomplishment, but you can only stare so long at a painting, even a masterpiece, before yawning sets in. It sets in more quickly here.",False
