Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,Just Okay,fr-justin-baldwin,n/a,16/08/2025,"I have heard podcasts cover the intricacies of his life, ones that spent four or five hours doing so, and they never came across as dragging the story out. Knowing what I learned there, this documentary felt rushed. Yes, the interviews with people he knew was refreshing. But as young as Biggie was, there was a lot to him and what he was involved in. His relationship with Tupac was far more significant than the 10-15 minutes they gave. There was a much wider conspiracy to his death than just revenge (though revenge honestly had much less to do with him, and more to do with settling scores with a much larger faction). It's not a waste of time per se, but it's not the boon of information documentary fiends will find wholly satisfying either.",False
2,8,New stuff? Not really. Good stuff? Hell ya,nicktatta,n/a,16/08/2025,The interviews are great and you realize he is still the goat after all these years. That era was gritty and angry and honest and it was refreshing. Rap now is very commercialized in general...kinda made me realize how much rap helped form who I am today...the confidence rubbed off and of that I'm grateful. Honestly this is more than worth a watch....the interviews and backstory is pretty illuminating,False
3,7,A Documentary about Christopher Wallace. Not Biggie.,mchertov,n/a,16/08/2025,"SpoilerThis documentary does not tell the story of one of the greatest rappers alive. It tells the story of a young kid in Brooklyn who goes the wrong way, only to come back and make something of his life. The interviews are with mainly his mother and childhood friends, although his manager, a producer, and Sean Combs (Diddy, Puff, etc.) also make appearances. And they are all talking about Christopher, not Biggie.My one big qualm with this strategy is that his music and influence becomes almost not important. There is some analysis of his music, but only in the context of him ""trying to better himself."" There is almost no mention of how much he influenced the hip-hop industry, or some deeper analysis of his lyrics. Ready To Die is probably one of the greatest rap albums ever written, but we only get a small taste of what it was. His influence was without question, and yet we are not exposed to how influential he really was.Overall, it's an interesting documentary. But viewers are getting the story of Christopher Wallace, not Biggie. And left me wanting something more. If you are a fan of hip-hop and want a documentary about Biggie's lyrics and influence, look elsewhere. But if you don't mind understanding the man himself, watch it.",True
4,7,Decent,TreeFiddy53,n/a,16/08/2025,"This shares some never-before-seen footage, from his younger days, much before he became famous. If you know about Biggie, you pretty much know everything but just that this was told from a different perspective.
I didn't know know that he had his roots from Jamaica.
There's not much about 'pac so you won't enjoy this if that's what you're expecting. Worth a watch, only about 1.5 hours.",False
5,7,It's alright,PennyForMyThoughts,n/a,16/08/2025,"It was kind of cool to see some more of the backstory and get to know the young Christopher Wallace before the fame. There is some interesting footage from when he was on his way up, but nothing really groundbreaking or surprising.If you are a fan of B.I.G. you'll probably know most of the story already, but it was put together pretty well and from a bit earlier perspective than a lot of the other stories about him.",False
6,7,Learn more about Christopher Wallace the man,cmporkchop-96566,n/a,16/08/2025,"SpoilerAs a huge fan of 90's hip hop music one of the biggest stars was the Notorious BIG.... BABY BABYYYYY. This documentary tells the story of Christopher Wallace from his Jamaican roots as a child, how he started his musical career learning from a Jazz musician in his neighborhood of Brooklyn New York, to a life in crime that friends and family feared for Christopher, to becoming one of the biggest names in the history of music by his tragic death at the age of 24. At first, you will say "" Another Biggie film, didn't they already make a movie about him called Notorious""? Yes, but this documentary is told by not childhood friends, family, Junior Mafia ( A group Biggie started that features Lil Kim), Sean Pufffy Combs, Ms. Wallace (Biggie Mother), and Biggie's 97 year old Grandmother. This documentary is okay for 90 minutes so I'll give it 7 Porkchops out of 10.",True
7,7,Overall a Solid Doc,Pyro_Pizza,n/a,16/08/2025,"Overall I got a story to tell is a fairly solid doc that shows the real man, family, and friends behind Biggie. At times the shots can jump over the place and sometimes the story doesn't flow the best, but the story has a lot of heart to it, and it a good watch for any fan of 90s rap.",False
8,6,Party and BS,nogodnomasters,n/a,16/08/2025,"SpoilerThis documentary tells the story of Christopher Wallace from childhood to his death . It uses amateur footage interlaced with old interviews. The worst interviews are of BIG as he sits in a chair and has trouble completing a sentence without taking a large breath. Not the guy you see jumping and singing on stage.The east-west coast conflict comes into the story at about an hour. I thought ""Notorious"" from 2009 to be more entertaining.Guide: F-word. No sex or nudity.",True
9,9,Some slight propoganda,ajk-75755,n/a,16/08/2025,Lack of balance. But especially didnt like the glamorous light this posed of Pudd Daddy/ P diddy. The man known to be behind certain nefarious crimes and both suspects and witnesses have claimed was behind the murder of Tupac.,False
10,6,Nice,djslump,n/a,16/08/2025,"It's not telling everything about Biggie's life, this was not the intention. I did enjoy the movie anyway. If you know already enough about Biggie it is worth, if you have no clue about who he was then go somewhere else.",False
