Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Malevolent narcissism personified,kavanf1,n/a,17/08/2025,People will have a field day psychoanalysing the antagonist in this documentary - rarely do we get such clear insight into the mind of a cold-hearted fraudster. Ray Trapani is also an archetype representing those capable of ripping off other human beings without a flicker of emotion (and there's a higher than average representation of such people in the world of alt crypto) - it's fascinating to see such a disgusting example of humanity reveal himself for what he is. He's so disconnected from what it means to be human that he somehow thought it would be a good idea to show the world what a piece of garbage he is. This documentary is worth a watch simply to see that play out.,False
2,7,The documentary was good but infuriating,logbinder,n/a,17/08/2025,"SpoilerThe documentary was good just infuriating. I hope the judge who did not sentenced Ray T. To any time served watches it and feels any sort of shame or remorse. What was the thinking behind it? Like it just makes the whole judiciary system not trustworthy at all.Ray T. Was clearly a narcissist, raised in a sociopathic environment (I mean his mother at the end clearly shows it) so no wonder he is what he is, but the fact that he now gets to enjoy all the money he stole, because he was cooperative?I am seriously in awe how the judge did not see this as a completely misjudged, immoral and bad decision to give him no time. Mad.",True
3,8,No remorse from millionaire scammers.,wolverineca-61149,n/a,17/08/2025,"This documentary made my blood boil in every way I like. The story was put together well and painted Ray Trapani (the lead scam artist) in a way that made him truly look like a criminal. This is not always done well by Netflix.If you like documentaries about crime, scams and crypto, than you need to watch this. It will blow your mind what these con artists come up with to make a quick buck off the ignorant.In the film you will follow Ray, who lays out all the scams he has pulled over his lifetime. This leads up to the biggest scam of all, Centra Tech. I don't want to ruin anything but let me say this, our judicial system is in serious need of some changes here in the U. S. A.",False
4,7,Trust the Untrustworthy,SaidNDone,n/a,17/08/2025,"Bitconned does a very good job of putting the crypto contradiction of trusting nobody but the least trustworthy on full display. All those sucker 'investors' who were told not to trust banks or the government instead put their full faith and credit into the hands of a drug addict's Potemkin company.Even for those of us who have watched this play out again and again it is always shocking to see just how flimsy these scams are -- the clearly fake profiles and partnerships, quid-pro-quo promotion from unqualified celebrities, an idiotic and plagiarized business plan. Yet they managed to raise millions from the 'skeptical' masses who refuse to place any trust actual institutions with real assets.The Centra scam really encapsulates the entire Crypto cycle quite well -- these flunkies raised money off the back of a man who predicted a collapse of the western financial system -- and of course it turns out the only financial institutions that collapsed were house of cards crypto companies he promoted.How people keep falling for this I'll never understand.",False
5,7,Bitconned: An In-Depth Look at the Centra Tech Crypto Scam,PedroReviews,n/a,17/08/2025,"Bitconned (2024) emerges as a captivating and insightful exploration of the Centra Tech crypto scam, a fraudulent scheme that captivated the cryptocurrency world and defrauded investors of millions of dollars. The film delves into the intricacies of the scam, revealing the mastermind behind the operation, Ray Trapani, and the elaborate deception he orchestrated.Directed by Bryan Storkel, renowned for his compelling documentaries, Bitconned interweaves interviews with victims, former Centra Tech employees, and investigative journalists to paint a comprehensive picture of the scam. We witness how Trapani, fueled by a lifelong fascination with crime and a thirst for wealth, devised a sophisticated scheme that fooled investors worldwide.The documentary exposes the intricate mechanics of the scam, highlighting the false promises, fake celebrity endorsements, and sophisticated technology used to manipulate investors. We see how Trapani and his associates exploited the unregulated nature of the cryptocurrency market to operate with impunity, raking in millions of dollars while leaving countless victims in financial ruin.The documentary also delves into the psychology of the scam's participants, exploring the motivations that drove Trapani and his collaborators to commit such audacious fraud. It examines the allure of quick money, the desire for fame and status, and the willingness to bend ethical boundaries in the pursuit of financial gain.Bitconned serves as a cautionary tale for those considering investing in cryptocurrencies, emphasizing the importance of due diligence, critical thinking, and skepticism when evaluating investment opportunities. It warns against falling prey to overly optimistic promises and unchecked greed, urging individuals to conduct thorough research and understand the risks involved before investing in any cryptocurrency venture.",False
6,7,Bitconned educates and infuriates,lojitsu,n/a,17/08/2025,"Here's The 4K Lowedown on ""Bitconned"" (TV-MA - 2024 - Netflix)Genre: Documentary/True CrimeMy Score: 7.0
Cast=4 Acting=7 Trailer=6 Ending=8 Story=9
Visuals=7 Direct=7 Sounds=6 Genre-9 Sub-genre=7In this true-crime documentary, three guys exploit the freewheeling cryptocurrency market to scam millions from investors and bankroll lavish lifestyles.""Ever since I was a kid, I wanted to be a criminal."" A successful documentary is one that can educate or infuriate...and this was able to achieve both for me. Ultimately not a topic I cared much about, but I had a little knowledge of cryptocurrency. The focus of this documentary is a prick from the word go, but I found myself understanding why people were giving their money to him. If you are interested in true crime or the subject matter, this is worth a watch.",False
7,7,VIEWS ON FILM review of Bitconned,burlesonjesse5,n/a,17/08/2025,"Spoiler2024's Bitconned is a fascinating documentary about three dudes who scammed the American public through cryptocurrency. How'd they do it? Well they did it through a fake company called Centra Tech. I mean I didn't know much about the concept of digital tokens but director Bryan Storkel gave me the tech-y lowdown. Obviously there are no judgments here.Robert Farkas, Sohrab Sharma, and Ray Trapani are the real-life con men who after getting caught, seem to hate each other. I'm not surprised. Giving up your co-workers by ratting them out to lighten your sentence, can tick off certain people running a pseudo business. At 93 minutes, Bitconned appears like a vanity project for these boys to sort of heighten their criminal fame (especially in regards to one Ray Trapani). Whatever. I have this weird habit of nervously rooting for the bad guy like in the good old days (hint, hint). What's wrong with me?So yeah, if flicks like Boiler Room, The Wolf of Wall Street, and The Social Network were made into docus, they'd probably equal the plot line of the cocksure Bitconned. You know, a bunch of twentysomethings start up a commerce that's either legal or illegal. The goal? To make money don't you know, lots of it by living off the buying and selling of others or just sitting on their behinds in front of the almighty laptop. Prosecution, lawsuits, and greediness oh my! ""Nowadays, you have to figure out some sort of way to finesse the system"". Uh-huh.Jordan Belfort antics and Mark Zuckerberg innovations aside, Bitconned is sleekly made and modern-day infused, showing interviews from its subjects that almost feel scripted, like what's on screen is actual fiction as opposed to actual transmission. Hey I'm not complaining, I was entertained. Sometimes you have to be malefactors in denial to get the rights to your own movie. Champing at this ""bit"".",True
8,8,Speechless,bananasonata,n/a,17/08/2025,"SpoilerI have a deep interest in cryptocurrency, and this documentary is exhilarating to watch. It is evident that there are numerous pitfalls for its success, yet surprisingly, the scam managed to garner millions of dollars, including funds from South Korea. I began to think, did those who invested really believe in the business, or did they invest simply to gamble and hope it was all true?The revelation that the CEO was a fictitious person was a nice twist, especially funny when the real guy was prompted to read the death notice. The ending was truly surprising and prompts questioning of justice in the US. I thoroughly enjoyed watching this, and if you liked the QuadrigaCX documentary on Netflix, I'm sure you'd enjoy this one too.",True
9,n/a,Can you spot a liar?,n/a,n/a,17/08/2025,"This documentary is well-made entertainment.It even does not fall into the Netflix-pitfall of wokeness and judgementalism. Viewers can form their own opinions, and those may vary. Kudos to that.Is the fraudster telling the truth?Is he still playing? Can he do anything else?Is he a sociopath? What went wrong with him? Are his brothers criminals as well?It's a story we're being told. Is it the real story?I really want to hear the other guy's telling of it!As if you have to be rich to travel the world.You only have to be rich if you don't want to travel and experience the world but just go places, live luxuriously, and think that makes you a success.Or maybe just a case of SDS.",False
10,7,"Bad guys, gullible victims",caiseejc,n/a,17/08/2025,"These guys who conned others with their crypto scam are terrible but their victims are gullible! When will people learn that practically everything having to do with crypto currency, especially something new, and seems too good to be true is a scam?! Some Americans like these guys are also just as sleazy scammers as foreign ones, just usually much more sophisticated at it. Can't believe people fell for this and other crypto scams. Maybe this documentary and other stories will finally teach people to do their due diligence before giving their accounts over to strangers and trusting them to be who they claim to be.",False
