Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Companion To Light Up The Sky,monstermovie-29712,n/a,16/08/2025,"More of a companion to the Netflix documentary, The Movie focuses more on performances than biographies. While the Netflix doc is excellent and provides lots of background info and a timeline of their career, it is very short on full performances of their songs. They make up for that here. There are full performances of 75% of their catalog. If you are a BLINK the chance to see them perform up close with a crisp picture and excellent sound should not be missed. If you aren't a fan then you can continue to scratch your head and wonder what all the fuss is about. Since we can't see them live right now this is the next best thing. Docked a star for not including DDU-DU DDU-DU from Cochella, a career highlight, and another one for not including Lisa's version of Say So from The Show.",False
2,8,BLACKPINK The Movie review,JeremyTM96,n/a,16/08/2025,"Before you watch: It's good to know before you go and see this movie is that it's basically 70% concert and 30% documentary.The movie wasn't bad at all, it can also make some blinks cry at times. It was overall a good experience watching!",False
3,10,Good,Raynald_ABV,n/a,16/08/2025,I'm not kpopers but this movie it's okay. No bad drama. I don't see why's bad. Good to describe their journey and show the best concert.Thank you and keep going on.,False
4,n/a,How do I watch it?,n/a,n/a,16/08/2025,I love blackpink but I am not able to watch the movie so I need help.,False
5,10,Blackpink The Greatest Group Ever Made,aniketbasu-68916,n/a,16/08/2025,"I am like a blackpink og fan since from boombayah & I don't know any other group better than blackpink. I am being honest In my review the last part really made me emotional like their journey from the first till here, there ups & downs & their confidence that they can do anything If they have such will to made the movie the best.",False
6,4,90% copy of The Show,renatasgw,n/a,16/08/2025,"Don't get me wrong, I love Blackpink but this was very disappointing! 90% of this movie was a copy of The Show. No new content here just a BIG DISAPPOINTMENT.",False
7,10,Love,maryamaraby,n/a,16/08/2025,SpoilerLike this. And thets very good and butiefull and l love the blackpink.,True
8,4,Serious let down...,ProstheticPrincess,n/a,16/08/2025,"SpoilerI went to see this in 4DX in the movie theatre.I was excited about it because I really love Blackpink!!!... but this was just a disappointment..
For the first 20min I was still wondering what this movie actually was.It was all over the place.It felt like a very long commercial leading up to nothing.Just snippets of performances that got cut off, then just random footage of the members posing in various rooms looking pretty,...
I'd watch that on youtube but a ticket to see this cost me over 20euros...
Eventually they did show some full song performances which was nice but the whole thing was very incoherent tbh.I love all the members but the things they were saying in this movie were just weird.It felt very rehearsed and just plain strange.Like ""I tend to look forward and try to prepare for things to come"" and then right after saying ""I live in the moment""... Like wtf are you saying?I saw the Netflix docu and that was real and great but this just sounded like scripted gibberish...Also my experience was 4DX because it was only available that way and while the whole thing was happening I felt very pissed off because 4DX was absolutely NOT necessary for this.Making a seat shake left and right during a dance sequence? What is that?! It had nothing to do with the content! It added nothing and was very distracting.It was just a way to get more money out of blinks because 4DX tickets cost twice as much.In my case I was also unfortunately seated next to two teenagers who were singing along (in what I assume they thought was Korean) the entire time, LOUDER than the actual BlackPink. The movie is not to blame for this but it did ruin my experience even more so maybe I'm not totally unbiased.Watch this at home once available and don't expect too much. That's all I can say.",True
9,9,Top quality content for true fans,vickybouriaud,n/a,16/08/2025,"Let's start there: yes, I am a huge fan of Blackpink. You are thus entitled to believe that my judgement is influenced. But I still want to try and proceed to write this review to explain why this is (almost) the best content I could've hoped for from the movie.First of all, let me address the most common critic I've read on this page, that is to say : ""90% of the movie consists of clips from The Show"". Yes? Helllllll yeah? I was soooo glad to get some concert clips ! Should I remind people that The Show was only broadcast on YouTube for 40$ with poor quality of video and sound? Of course, one could only expect that they would film the performance with high-end devices, edit it right and provide the public with ACTUAL concert footage that has top sound and image resolution. I shall add that many people have been tricked into believing The Movie would be a documentary? I precisely remind The Movie being listed as a ""concert/event"" type of movie when I booked my ticket. I mean I was not surprised at all with the content. I did not expect anything but a recording of The Show.I have never had the chance to go to an actual concert of Blackpink and I must say the experience of The Movie was beyond my expectations. The theater I went to really put in their efforts to render the highest quality of music and sound, it's like I was there in the crowd. The editing was ouuuut there man. The various audio tracks (the voices, the back music, the crowd) were perfectly mixed together so that you could really feel like you were there watching the concert.The only reason I am giving this movie 9/10 and not 10/10 is because I wish the interviews were a bit more consistent, perhaps they could have done so by adding more making-of footage from The Show. But overall, the scenery created for The Movie is exceptional, the recording of The Show is amazing (NOTHING like what you can watch on the internet in terms of quality and resolution) and I could feel that they made the movie for the fans, with a particular attention given (or should I say acknowledged) to the fact that 2020 and 2021 have seen close to 0 chances for fan to meet with Blackpink.If you are a fan and you have a good sound setup and a nice screen at home I would highly recommend you purchase the dvd when it's out. Otherwise, I hope there are still some showings around so you can enjoy this wonderful experience !",False
10,10,BLACKPINK is so AWESOME,colewaters,n/a,16/08/2025,BLACKPINK is the best girl group ever and this movie shows that. From the second it started my foot was taping and I was singing. It was truly a fantastic film. Please put it on a streaming service or DVD!!,False
