Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,What about Daniel Craig ?,GoldenGooner04,n/a,16/08/2025,"Why did we not see Mr Craig as Bond coming out the water in slow-mo in Casino Royale, but we saw Halle Berry from Die Another Day. I wonder why?Cinema is meant to mirror real life, that's be honest here us men as stupid, from the early teens women control us. I wonder if these women interviewed have ever used there bodies to attract men? To get things from men? Women go for looks the same as blokes all this BS about ""we are deeper then that"" BS try a dating site, try meeting in a room of singles, they see the cover and decide the same as men.Look at Playboy and the other mags, did people force the women to go into the magazines? NO they done it for money and fame.A woman who is a close ""friend"" said to me once, we sit on a pot of Gold you men are so weak, I could not argue with her
Monroe who begged to be a straight actor, and was refused got to the heights she did by being pure SEX, Some like it hot for one film.Women can't get the hump when they use their sexuality to control us like a dog on a lead, then cry when they are portrayed as that in some films.That Doc is BS some of the old films they showed in black and white these actors could ACT yes they looked sexy, but did you see any skin? And some of these films won awards they were great films, so we hate them now cause of the way the camera shot them.It would be interesting to know how many blokes in that audience had to adjust their trousers as some of these clips were hot stuff
it's like Helen Mirren now one of the Greatest Women actors EVER how did she start off her career, was she forced to do that film?",False
2,5,Brainwashed: Sex-Camera-Power,henry8-3,n/a,16/08/2025,"Film maker Nina Menkes delivers a lecture to film students etc advocating that the way films are made and specifically how camera shots of women are composed are still inherently objectifying women such that it is illegal / discriminatory. This is backed up by the analysis of many clips by many different women.It has been said that you are not going to look at films the same way after this and that's probably true. Mendes puts forward strong, pretty much undeniable arguments to support her point and it is astounding to appreciate that this goes on - although I'm not sure the points she's making works convincingly with every clip. What's more worrying is that Hollywood is still a bastion of male film making with very few women film makers out there and with most men portraying women in a very specific objective and rather offensive way. Not a riveting documentary, but a good argument which like all such cases won't convince everyone - although I'm not sure why. My one complaint is that no one from the 'industry' is in attendance and not a single male to either argue or concede the point.",False
3,6,Brainwashed: Sex-Camera-Power,CinemaSerf,n/a,16/08/2025,"It looks like there was quite a bit of Disney family backing for this occasionally quite insightful look at the roles of women in cinema over the decades, but unfortunately Nina Menkes chose to use a lecture as the template for her message and the ensuing delivery is probably more notable for it's sweeping generalisations than it is for any potent points it wishes to make. Her message about the historical objectification of women at the hands of largely (heterosexual) men drags in far too many films and genres without really detailing just who was directing what - on screen or from the office. Nor, indeed, does it begin to address that many of these men would have been facing a considerable degree of sexual repression of their own - and a legal one, at that, as they made their films. The simplicity of many of the statements aren't backed up by any of the actors or directors providing comment - contemporary or archive - on why they chose to make films that may or may not have compromised their actor's sexual and/or artistic integrity. The likes of Katharine Hepburn, Bette Davis, Greta Garbo and Marlene Dietrich were, to an extent, made by their male directors and producers but would anyone argue that they compromised their identity to become stars? If so, then was this because of a male dominated studio system or maybe because that's what the wider American - this documentary doesn't attempt with any weight to look at the far more interesting European cinema environment - public actually wanted. To what extent are any of her assertions, and those of her assembled collection of academics and C-listers, taking into account the market for which these works are intended. Again, there's no redress for the cinema going punters. Great detail is gone into about the sexualisation of the female body, of violence - physical, psychological or implied; but again we have no input from the directors or the writers who created these images and characters to explain any rationale. Nor do we really hear about the motivations from the participators who needed the work, wanted the fame, wanted the money, or who didn't see any of it as prurient or exploitative at all. It's the very one-sided earnestness that disappoints. Balance wouldn't necessarily have diluted the thrust, but it might have illustrated far better the intricacies both commercial and personal of an industry as riddled with flaws and inconsistencies as the society it serves.",False
4,8,The documentary all women must watch,phu_u,n/a,16/08/2025,"Coming here to read the reviews after finishing the documentary and seeing so many angry men labelling the director obnoxious, ""bpd feminist"", etc etc, just proves the point that this documentary was NEEDED in the field of filmmaking.The documentary is a window towards a new perspective in filmmaking, where women directors (and anywhere in the movie industry) are empowered by having equal opportunities to express their creativity while having it valued justly by the industry.The director Nina Menkes raises some essential questions which are upon the future generations of creatives to answer. She has a way of engrossing the viewer to what is being presented, while also making them an active part of it.I hope this documentary sparks a new era in the filmmaking industry and beyond.""The first feminist act is looking. To say, ""Ok, you're looking at me, but I am looking right back."" Agnes Varda.",False
5,3,Deconstruction into nonsense,b4blue,n/a,16/08/2025,"Authors and guests dive deep into every aspect of film making and history, to find ""patriarchal"" elements. There are a lot of axioms, which are not defined, but can be perceived through their comments. For example, predatory behaviour comes from men and patriarchy. They set very clear divide between two sexes with many generalisations, which might be true(statistically speaking), but same people would never accept the same treatment if real statistics were used as counter arguments. It's the cat and mouse game between generalisation and specialisation. They usually take whatever suits them best, for a particular situation. Authors don't want to discover, research, learn. They want to impose, in a very ""patriarchal"" way. Here lies the ultimate truth. Within is the answer they refuse to accept. Every person is a microcosmos. A combination of the worst and the best humanity offers and everything in between. We are biologically separated by combination of X and Y chromosomes, that govern our physical traits but all other characteristics fall into a spectrum. Some are very common and some fall generally more on one side. None of them is inherently good or bad. It's all about the context. Even when we use archetypes from psychology, like ""tyrannical father"" and ""devouring mother"", gender is used just as a description, not a permanent label. A man can behave as a ""devouring mother"". It's sad to see all these accomplished and grown people not being able to behave as adults.",False
6,10,transformative,ginakelly,n/a,16/08/2025,"Warning: this film may take you on a rollercoaster of anger-grief-hope.BRAINWASHED: SEX-CAMERA-POWER is striking in its simple, straightforward demonstration of power dynamics at play in the visual language of cinema, the impact of those dynamics on culture, and solutions for moving forward in a new way.Filmmaker nina menkes treats the subject in a calm and measured manner, walking the audience through the topic like they're attending a graduate film studies class.The audience is given a multitude of examples which demonstrate a visual pattern that is - whether intentionally or unintentionally - reinforced throughout a century of filmmaking, a pattern that most often objectifies women and minorities.The film links this pattern to the wider, societal implications, its role in contributing to the everyday objectification of women and minorities in workplaces and interpersonal interactions, and the inequitable economics of filmmaking.Then, rather than condemning the visual pattern, or shaming those who use it, the film plainly asks, ""is this style of visual language effectively communicating the narrative?"" and/or ""is there another way to accomplish the goal that may be even more effective?"" here, examples of alternatives are provided.By bringing the pattern into conscious awareness without any shame or retribution, the film allows the audience an opportunity to choose to heal the collective trauma wrought by the normalization of on-screen dehumanization, and to be free of the unconscious visual language so that it can be transformed into an entirely new system.",False
7,1,"Worst ""documentary"" (opinion piece) I've ever seen",mlclaybourn,n/a,16/08/2025,"The whole thing drags on with constant contradictions. ""See how they aren't wearing enough clothes, that's sexist""
""See how they're wearing too many clothes, that's sexist""
That's the whole script(obviously, I'm exaggerating, but not by much)
It's a collection of the most unattractive man haters they could find, who are angry that men don't want them, talking about how terrible men are.The whole thing makes about 2 half decent points and just rattles on about nonsense after that.I'm going to insult my self and point out the obvious: if you don't like it, don't watch it... Sadly, it's too late for me and this film.",False
8,3,A bit of a skewed view.,brentn,n/a,16/08/2025,"Not to say that women aren't overly sexualized, they are, but people aren't taking into account that women themselves are responsible for this perception as well. Even if women didn't create the objectification they are guilty of perpetuating it a well as embracing it. Men don't see women as objects to punch down on, we see them as ones to worship. Women are sought after by men and even by other women. Women know this which is why there is an abundance of instagram /onlyfans models in society. Some of these women are type cast and they know it but instead of walking away or changing things up they just give in and do it for the money. There needs to be accountibilty on both sides, however, if there is an agreement reached then it's consentual and there should never be complaints afterwards. People need to realize that it's not about gender disparity, it's about telling a story and the roles that each person has to play. And as far as unequal pay goes it's not about what you are but where you sit on the totem pole of celebrity. Charlyne Yi is not getting paid as much as Julia Roberts or Leonardo DiCaprio because she can't act on that level or it's because she's not the star of the show. Pay is based on talent, status, experience and how much exposure you have on camera. Some people just look at a handful of incidents and use those to 'Brainwash' everyone into thinking that's how it always is. People mostly forget that the Hollywood industry is based on negotiable contracts not set wages. If you can't negotiate you will get low-balled, that's how it works. If a company can pay you less than they will to save profits. And when it comes to objectification I remember Sharon Stone protesting about all the nudity in Basic Instinct after 30 years saying that she didn't realize it even though she was naked, with a camera in her face while the director was also naked on set to make her feel more at ease. Lets also be honest that most folks, even women, do not want to see men naked in movies. We are nowhere near as attractive as women and that's a fact. Women can play certain roles while men play others, these are the facts of life it is not meant to objectify but to make things realistic. No one is holding anyone back.",False
9,10,You'll never watch a film the same way,shash,n/a,16/08/2025,"This is a must watch film. It is raw, honest and critically important. BRAINwASHED creates a much needed awareness in the film industry and describes how camera angle and other filmmaking elements contributes to issues that effect women: sexualization, employment discrimination and even the rape culture that sadly exists in our society. A must watch!This is especially important for the younger generation of film makers, as they are the ones who can truly make a difference and show that it is possible to choose differently when filming the female body in a way that is engaging but not sexualizing.",False
10,1,BPD manifest in a documentary.,icewatermetallic,n/a,16/08/2025,"This film is the epitome of a borderline personality disorder and our grievance based value system currently popularized in western society.Gather 'round children.The number one indicator of BPD is a chaotic personal life. Having a problem with everything, aka finding a problem with everything. Destroying and complaining. This documentary is a delusional one dimensional perspective based in grievance and trying to make everything a problem. In other words it is a gender/women's study class in college. Complain, complain, complain. Never see another perspective. Then find ways to make those complaints significantly worse or more impactful than they really are. Then come the useful idiots or flying monkeys to agree with you and do your bidding. And if you can do a cheesy TedX talk or something similar, you are validated!Remember, women had girls scouts and brownies troops, but they still sued the boy scouts for discrimination!",False
