Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Rebel Yell,Lejink,n/a,15/08/2025,"My old dad used to treat this Mel Gibson Best Picture Oscar-winner with utter scorn and derision, especially with reference to the actual facts as known. He always started off with the respective differences in size between the real William Wallace's true dimensions and the much less imposing Mel Gibson while anyone who does the mildest of diligence into the historical facts will see just how much licence director Gibson and his screenwriter Randall Wallace took with the Scottish rebel-hero's story. I know and knew all this even as I rewatched the film again but despite the overwhelming number of plot contrivances served up, I have to admit as an independence-leaning Scot myself, the film never fails to stir my own blood.We follow the young Wallace from his early childhood, almost literally blooded early in life to hate the occupying English army under the rule of their despotic King Edward Longshanks played with real brio by Patrick McGoohan. When he loses his father and older brother in another betrayal by Edward, it's clear that the now fully-grown, long-haired Wallace is only awaiting one final provocation before he accepts the freedom-fighter mantle and takes up the cudgels on behalf of his downtrodden people.For those who don't know very much about Scottish history, it is filled with glorious failures and almost as often double-dealing, back-stabbing intrigue so that it's no surprise when his heroics are brought to an end by a combination of underhand scheming on the part of Edward and the connivance of the corruptible Scottish nobility, in particular the treachery of the future ""try, try again"" hero - King Robert the Bruce. But Wallace has the last word in more ways than one with his martyr's death and impregnation of the future English queen.Certainly one of Hollywood's more outrageous retellings of a story from history, the movie bludgeons its way into the viewer's consciousness down to the twin combination of Gibson's muscular, gritty direction and his athleticism and conviction in the lead role. Sure, the accents across the cast are occasionally as convincing as a King's promise, but with effective use of crowd scenes and the gory, no holds-barred depictions of battleground warfare, laced with earthy humour and even a good old Highland romance, Gibson delivers a powerfully uplifting if historically inaccurate feature which has thrilled the Scottish national psyche and no doubt the freedom-seeking aspirations of many another country ever since.",False
2,9,My favorite Mel Gibson film,klindon-38400,n/a,15/08/2025,"I'm a fan of super intense acting performances. Intensity to me is what I think people call star power or charisma. Lethal Weapon is one of those movies where his intensity is on full display but he has a different kind of thing going on here. He's a tad older, wiser, gets accosted personally and his livelihood, so his intensity is of a different ilk. He's crazy in Lethal Weapon but in Braveheart he's completely intense while being completely sane at the same time. All of his actions in this film are justified. You're rooting for him from frame one. This is the best film he's ever been in and possible ever will be.",False
3,8,"Your Heart is Free, Have the Courage to Follow It...",Xstal,n/a,15/08/2025,"A simple message but even today, over seven hundred years later, there are far too many captive to their cultures, governments and institutions. They take a large slice, sometimes all of the freedoms William Wallace and so many others fought for. Keep up the fight because, like the tide, those oppressive forces wont curtail.A rousing piece of cinema, you can forgive the historical inaccuracies in order for it to tell a hugely engaging and inspirational story full of hope, although it leaves you under no illusion of mans inhumanity to man and the vile and despicable things that can be done in the name of greed, power and control.",False
4,10,"""Every man dies, not every man really lives.""",0U,n/a,15/08/2025,"The Academy Award winning war epic Braveheart is an extraordinary film that set a new bar for the genre. The story follows a Scottish peasant named William Wallace who's pushed into leading a rebellion against the tyranny of English rule when his wife is murdered. Starring Mel Gibson, Patrick McGoohan, Sophie Marceau, and Brendan Gleeson, the film has a strong cast that delivers outstanding performances. Additionally, the battle sequences are remarkably gritty and violent, which adds to the authentic tone of the film. And, composer James Horner provides a sweeping and majestic score that's incredibly powerful. A groundbreaking film, Braveheart does an exceptional job at depicting both the valor and the horror of war.",False
5,10,Freeeeeedooooommm....,brentcollyer,n/a,15/08/2025,"It doesn't get any better than this. Mel Gibson didn't just star in this movie but directed and produced. No one will ever forget...Run, and you'll live... at least a while. And dying in your beds, many years from now, would you be willin' to trade ALL the days, from this day to that, for one chance, just one chance, to come back here and tell our enemies that they may take our lives, but they'll never take... OUR FREEDOM!",False
6,10,It's a Masterpiece. Best Movie of All Time,heisenberg12,n/a,15/08/2025,"SpoilerBraveheart is the best movie ever made in history, an absolute sculpted work of art that depicts every emotion of human existence, from suffering, to courage to love, in front of the background of political astuteness and socio-hierarchal analysis.Telling the quasi-true story of one man's conviction and courage to exact vengeance for the killing of his first wife and father at the hands of the ruthless King Edward the II of England, who in turn inspires his small province of Scotland to rebel and go to war in a real fight for freedom and independence, Braveheart is a stunning depiction of the capacity of the human spirit to overcome the odds, defy tyranny, and achieve justice, respect, and dignity against oppression.Although its retractors and critics will dwell and harp on the historical accuracy of some of the movie, particularly what part Robert the Bruce played in real life, there is no denying the true power and emotional influence of this movie. It's understandable, particularly for Europeans, how this could be problematic due to their upbringing in studying history, but the movie is not really about being historically perfect; it's a work of art about things much deeper. A documentary it is not, and it's duplistic and hypocritical for the film's haters to dwell on this minor detail, but perhaps allow historical rewriting to slide and give it a free pass in something like Tarantino's Inglourious Basterds or Once Upon a Time in Hollywood.On this topic, one of the dozens of best parts in the movie is when Robert the Bruce plays an important role in one of the battles, and eventually the movie does come around and get Robert's history back on track with more accuracy as to his part and character in the battle for Scotland's independence.Without trying to get the history perfect, this movie is simply flawless. It's beyond flawless, really. A flawless movie can just be a technical masterpiece with very little power, but the raw power and emotion coming off the screen in practically every single scene in Braveheart is like an inferno.James Horner's score is one of the greatest scores ever for any movie, and it successfully enhances the drama and emotion of each scene, without coming across as manipulative. It fits perfectly into every single scene it is used.There isn't one acting role that is not well-done. This is one of Gibson's best acting roles, and the guy who plays Edward II gives an outstanding performance.This is the greatest epic movie ever created in the history of Hollywood. A few years later, another great modern epic Gladiator came out and drew rightful comparisons to Braveheart, but while Gladiator is a very good movie, it lacks in the emotional depth, power, and ultimate inspiration behind the experience of watching Braveheart.The final Act of Braveheart is one of the most powerful ever put on film. As a first time viewer, you really have no idea where the story is going to go (even as a repeat viewer it still holds weight). To this day, there is still nothing like it. Just when you think it's over or you know how it will end, it just continues to twist and turn, and then it closes with what is probably the best ending of any movie in history.In addition to all of this, the body of Braveheart is loaded with outstanding battle scenes, incredible editing, and great dialogue rooted in inspiration, political strategy, philosophy, and stunning human experience of love, desire, passion, suffering, and identity.When you look at the top rated movies on IMDB, it is laughable that comic book movies and good popcorn-fun movies are actually rated above this. This is without a doubt, hands down, one of the top 25 movies ever made, and in my opinion, it is the #1 best movie of all-time.This movie is a masterpiece.",True
7,10,Best movie ever,rutan07,n/a,15/08/2025,"Most on this site pick the Godfather, or the Shawshank Redemption, but this is it, this is the best film ever made. People will complain, will argue that I am wrong, but I will say it again...Braveheart is as close to perfection as a movie can be. The acting is superb, the man who played Lonshanks, the actor who portrayed Robert the Bruce, both should have been nominated for Oscars due to their powerful rendering of evil and a man who is saved from losing his humanity (from becoming evil) by meeting William Wallace. And let us not forget the direction, the cinematography. Braveheart is glorious, beautiful to look at. The slow motion pictures of horses preparing to charge armed combatants, the entire landscape of Scotland that Mel Gibson captures with the camera. Braveheart is artwork, it is as good as any picture. That the film is number 93 on the list of the top 250 movies ever is a shame. Yes there is violence in this film but that violence does serve a point...that freedom isn't free and sometimes it takes death, gruesome and horrible, to let ones people taste what it is like to be free. Braveheart is a great movie and it deserves to at least be in the top ten of IMDb's list of greatest films.",False
8,10,A Very Fast 3 hrs,damianphelps,n/a,15/08/2025,"What to say about Braveheart?This movie holds up against the challenge of aging, its exciting, adventurous, funny and passionate.
The movie is beautifully shot and sounds incredible.Is it violent? Sure but what war isn't. I think Mel makes violence as much a part of the story in all his (relevant) films. The characters struggle through great violence and the impacts that is has on them, by not shying away from it we are allowed to get a small appreciation of it and them.The movie isn't OTT but delivers great action that serves the story and entertains the viewer.Its considered a classic film and so it is.",False
9,10,Simply amazing,high_voltage_41,n/a,15/08/2025,"I remember seeing this movie for the first time in late 2003, and I was impressed. I saw it again last night, and I was even more impressed. The acting is amazing, and the ending was brilliant. For me, all my guesses were incorrect. Everything that happens in this movie in unpredicted. The last half hour itself was highly unpredictable, and it had a powerful message. When a scene was meant to be dramatic, they did a great job at it. I don't know about everybody else, but the ending did make me cry. The message the movie sent kept me thinking for a while. The amount of courage and bravery was inconceivable, there was barely any faults or anything wrong with the movie. For a movie of 1995, they did a great job.I absolutely guarantee this movie to anybody who enjoys action and war with a bit of drama mixed in. One of the best, or maybe even the best movie of the 20th century.",False
10,n/a,For he had only one life to give for Scotland.,n/a,n/a,15/08/2025,"On my list of the greatest movies of all time, BraveHeart ranks as number 3. It is by far one of the most epic stories ever told.  Mel Gibson deserved all the credit he recieved and more. His portrayal of William Wallace, one of Scotlands most mightiest warriors, was spot on.  The only part that lacked was the romantic affair of Princess Isabella and Wallace.  It historically never happened.  This movie also has other historical errors but WHO CARES!The Battle of Stirling has to be the second most graphic piece of footage ever shot next to Omaha Beach in Saving Private Ryan. I love the part where the English Commander gives the order to charge and Wallace sees this and raises his broadsword into the air and starts yelling.  He charges the field with the Scots and I'll let you see the movie to see what happens next.Wallace's emotional speech at the battle of Stirling still is inspirational and I think that the REAL William Wallace would be proud of the way Mel Gibson portrayed him.My hat goes off to Mel Gibson.  I hope he makes a few more movies like this one.Out of ten............10/10!",False
