Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,"God, how I want to believe...",phillipbrowning,n/a,16/08/2025,"It's a pretty darn well made documentary but, sadly amidst allegations of Dr. Greer being labeled a fraud over some incident involving flares, my heart has sunk... I thought he was one of the good ones. It does make sense though, despite the respect I have for the hard work and effort he's put into the Disclosure project, I cant help but sigh and roll my eyes at his claims of making UFOs appear from willing them forth with his mind (how impressive!). I'm sorry, but I can only suspend my disbelief up to a certain point. I'm still a 100% believer in the existence of aliens and UFO's visiting earth, but I am unfortunately an abysmal 10% believer in Dr. Steven Greer. And it is for everything I have stated above that I cant in good conscience give this albeit, well made documentary a score higher than a 6. It was entertaining at least.",False
2,7,dr greer is ok in my book,Retrocu,n/a,16/08/2025,"I have just watched the film.
it is ok.
it is good.
i mean instead of watching some stupid superhero movies you should watch this.",False
3,7,The true enemy aren't Extraterrestrials,ivymaynz,n/a,16/08/2025,"SpoilerThis was incredible, my thoughts and intuitions confirmed, but also shocking to know how dangerous, destructive and manipulative the American government and media is, trying to convince us that Extraterrestrial are a threat to our civilisation, I was so angry to see that footage of any American air strike attack on a UFO, Who do they think they are putting humanity in danger like that, attacking an innocent craft knowing there intelligents and technology is far superior to ours, America trying to dominate space, like they try to dominate and rule the world, I believe these aliens have been visiting our planet for as long as humans have existed, surely if they were a threat they would of done something by now, instead they see us as these reckless dangerous damaged species, at war with each other, of course they aren't going to trust us. I appreciate Dr Greer's movement, to put the power in our hands, the people of this planet, to make sure acceptances and peaceful loving contact with Extraterrestrials is implemented, I certainly would, if I ever get the privilege of ever witnessing these incredible species, a space war is the last thing we need.",True
4,1,Greer cripples UFO credibility for good.,luigiterra,n/a,16/08/2025,"SpoilerI´ve been a big fan of The Disclosure Project, and when the film Unacknowledged was released, I watched with a kind of disappointment how it all drifted towards a quasi-spiritual personal mumbo jumbo project. It was, however, possible to ignore most of the embarrasing stuff and focus on the actual documentation parts pertaining UFOs.
This time, Dr. Greer has gone completely off the rails. Babbling away about his own magic psychic abilities, a godlike power to summon and send away UFOs and aliens, and nutcase claims about his friends being ""assassinated"" because of what the know.It also turns out that the US gvmt almost routinely abduct people in Skunk Works built UFOs, where various disabled people act as aliens. This as a tool to manipulate nosy politicians etc. The subject of government funded projects for building precise copies of alien craft and tech is emphasized in the movie. Yet, everything Greer and his companions experiences, is the real thing. I guess Greer can tell because he sends his ""mind"" into the ""ships"" to check things out.It´s just too much to mention. I don´t know if Greer&Co. does this only to make money of simpletons and loonies, or if it´s an actual insight into a completely twisted and delusional mind. Probably a mix of both.UFO phenomena in and of it self is mind blowing and exciting. The documentation is there, undenied. We are free to explore it in a constructive way. Sadly, Greer and his peers burns to the ground, with this one single travesty of a film, the credibility and curiosity having been carefully built up around UFOs over decades. What could have been a contribution to an open and interesting approach, is drowned by the ridiculous stream of words from the lawyer guy, and of course Greer´s banalities about meditation, consciousness and him self as a sort of christ; he is the chosen one, and we can only fully communicate with aliens through Greer as a proxy.Oddly enough, Greer also insists that UFOs need telepathic help from us to find where we are so they can show up when summoned. In the next sentence, Greer informs us that the UFO´s represent technologies and evolution ""maybe millions of years ahead of us"". Still, they supposedly pilot their crafts personally, with control sticks etc, and need Greers help to find Blue Ridge mountain.
Not a single time through this massive, uninterrupted or challenged Greer promotion video does anyone even hint to the possibility of UFO´s being some sort of drones, multi-dimensional visitors or other. Instead, they are obviously contained well within our old fashioned understanding of the universe and physics, blazing through space with speeds many times faster than the light, etc.One thing is for sure: anyone who in the future wants to discredit everything that has anything to do with extra terrestrial phenomenon, need only point to this ""documentary"" to win the arguments. Courtesy of Dr Greer and his annoying little sect.
Sorry for any typos, not my native language.",True
5,8,He doesn't say anything new. But thats not a bad thing.,souljustice,n/a,16/08/2025,"Everything in this documentary is old news to anyone who has the ability to understand themselves and this world. If it comes off as mumbo jumbo then you are not paying attention to what he's saying and you are not ready to hear whats in it.
Theres alot of shills on this website trying to discredit the whole feature before even getting a chance to see it.Don't listen. Watch for yourself and make an informed decision.",False
6,n/a,Too much BS Not enough FACTS,n/a,n/a,16/08/2025,"I have lost my respect for Dr Greer. I used to be a follower of his work and I have read everything that I could find of his work.
BEWARE of his salespitch to $ELL his books and films and CE5 Trips.
I have sent emails, texts and letters to Greer and his staff over the years, but I have yet to receive a response.",False
7,6,believe?,ferguson-6,n/a,16/08/2025,"Greetings again from the darkness. Whether you're a believer or a skeptic, one must respect the dedication to the mission of Dr. Steven Greer. His documented research into extraterrestrial activity dates back more than 25 years, and he has briefed every president since Bill Clinton on the topic. This is the third documentary for Dr. Greer, including SIRIUS (2013) and UNACKNOWLEDGED (2017), the latter of which was directed by Michael Mazzola - also the director of this current film.Mr. Mazzola divides the film into 3 chapters: Blood and Treasure, The Crossing Point of Light, and A New World. However, the film's structure matters little, as this is mostly another opportunity for Dr. Greer to present his research, his beliefs, and allow others to comment. Dr. Greer is the founder of the Center for Study of Extra Terrestrial Intelligence (CSETI), and he was also behind the 1993 Disclosure Project, which persuaded the government to release previously classified documents pertaining to UFOs and extraterrestrials.Of course, Steven Spielberg's 1977 double Oscar winner CLOSE ENCOUNTERS OF THE THIRD KIND remains quite popular today, and the title to Mazzola's film refers to what CSETI categorizes as the 5th kind of alien encounter: proactive human communication with an extraterrestrial. In support of this, Dr. Green spends a good amount of time explaining his group events, where believers gather to experience these encounters. It's at this point where much of the film focuses on Universal consciousness (ESP, meditation, etc.). The parameters of pure heart and peace are said to be necessary for group meditation cohesion. It's very similar to the idea of ""attraction"" - if we think about something, that thing is more likely to appear or happen.A quote from a physicist opens the film, and numerous quotes are highlighted throughout courtesy of intellects, scientists, and spiritualists. Scientific analysis is provided and we hear from some brainy talking heads, including Dr. Edgar Mitchell, a former astronaut. Attorney Daniel Sheehan gets plenty of screen time as well, and does his part to fit right in with the line-up of articulate, knowledgeable experts who offer up their commentary. These are not the wild-eyed types we see on local news or lesser documentaries. These are folks with actual experience backed by video and photographic evidence.Dr. Greer asserts that since ""no human has ever been harmed"", we can assume the extraterrestrials are not here to cause damage - an easily debated point. He also claims that these aliens are up to a billion years ahead of us, though he never explains the math on that. Actor Jeremy Piven seems an odd choice as narrator, given his propensity for roles as a fast-talking smart-aleck, but a montage of video from around the globe (the most recent from December 29, 2019) lends credence to Dr. Greer's claim that the collective conscience has a relationship to the physical world. He has also accepted that skeptics will always exist, and that he will be ridiculed for his work and beliefs. If nothing else, perhaps the film will open up a few minds to the possibility.",False
8,1,Stupid New Age Garbage.,jtmace,n/a,16/08/2025,"SpoilerStarts out interesting enough, then halfway through... BAM new age mumbo jumbo. ""If we just meditate then we can fly, and teleport, and dematerialize.""So stupid.",True
9,10,"Watch it, try it.",e-elyze,n/a,16/08/2025,I was so skeptic but I ended up having 20 sightings in one month after several tries. They exist. Try the protocole if you don't believe it.,False
10,6,Somewhat Fascinating. Would have been wholly fascinating without annoying Jeremy Pivins,luketaylorlt,n/a,16/08/2025,Very cool doc. Not just about physical UFO's and ET's. Goes much deeper into connectedness of consciousness which is a rarely explored aspect of the phenomena. Definitely recommend watching it. Be prepared however as Jeremy Pivins continual misplaced emphasis in reading the copy and overly affected fake voice is so annoying it pretty much saps all the pleasure from the experience. He's terrible at narration. Please choose someone else should a sequel be considered.,False
11,4,Basically an advert for his holistic scam,hazyboi,n/a,16/08/2025,"Starts well then turns into an hour of him preaching for you to contact aliens before the evil government does and when you go online to learn how he just trys to sell his books and courses. If he meant what he preached for the reasons he gave, he wouldn't charge money. I guess that's how they get you. Felt letdown as unacknowledged was really good.",False
12,10,I didn't want it to end,dannair,n/a,16/08/2025,"If you're someone who meditates or are aware of Hindu, Buddhist scriptures then you might understand what is being discussed here. However if you're someone who only believes in the information given to the body by our 5 limited senses, then you may just dismiss this as fake. Definitely an eye opener.",False
13,7,DNA altered beasts,mystuffhere,n/a,16/08/2025,"What I don't understand is, if, like Greer says, the DNA altered humans are actually jealous of his freedom, why don't they just kill themselves? Then they'd be free of the burdens of the physical world. Right?",False
14,1,His app ruins everything he stands for,cavemanchefzach,n/a,16/08/2025,The ad to download his $10 app at the very end of this film really left a bad taste in my mouth. And really goes against everything he says he stands against. The black opp government programs keeping it a secret for their own financial gain. And how we need to bring this to light. And then asks us to pay for an app to be enlightened. Lolol. Wow! Is all I have to say. Ruins everything I was believing up until that very moment. What an idiot I am for going that far in the movie. He should be ashamed of himself. This is all BS. To make him money. Or else he would give the app for free. Dont be dumb and pay $10 to make this jackass rich off of our imaginations. Great work Greer,False
