Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,A documentary about bias in AI systems,e_mi_li_a,n/a,17/08/2025,"SpoilerThe researcher Joy Bolamwini from MIT Media Lab identified bias in machine learning algorithms of facial recognition systems which lacked performance in the recognition of women of colour. From there the question is elaborated if the AI systems in use are also discriminating on classes such as race or gender.The documentary discusses this question from various perspectives and statements are underpinned with examples from different countries, communities and companies affected. For this reason, the strong message that countermeasures need to be in place for those systems to ensure transparency and accountability is a crucial appeal to developers, distributers and users.At some points, I was missing context and detail for some examples and sections presented. But overall, it was worth the watch and triggers the curiosity to find out more about this field.",True
2,7,informative,cherold,n/a,17/08/2025,"I've heard a lot about the various algorithmic failures around race. This is a good overview of the discussion that talks about some things I haven't seen before. When you see it put all together in one place it's pretty shocking.At the same time, purely as a documentary this is kind of weak. It's sometimes a little muddled, and it sometimes stretches a point a bit too far. Some of the things it tries to fold into the narrative are less examples of technological racism and more examples of actual criminal behavior. There's a difference between slippery tech and actions that resulted in people going to jail.Still, it's a compelling film.",False
3,n/a,Does it matter that the assertions in this documentary have been debunked?,n/a,n/a,17/08/2025,"Does it matter to any of the reviewers here that the claims made in this documentary have been debunked?Fact: The darker ones complexation is the LESS likely that there is usable video or photos for investigators or prosecutors.The makers of this film claim the opposite is the case, they claim there is a bias against persons with darker complexions -- when in fact that is not at all what the peer reviewed research shows.",False
4,7,A good documentary with some unsettling predictions about the future,Jeremy_Urquhart,n/a,17/08/2025,"Will get the criticisms out of the way first, because by and large this was a really well-made documentary.It's minor, but wasn't sure why some interviewees were framed with so much headroom. Then again, Mr Robot did that and I never understood it there, and given that that was also concerned with themes of technology and surveillance, maybe there's some shared symbolism I'm not picking up on.Some of the segments with the AI saying menacing things were a little cheesy, but overall brief at least.There's also a sense that the documentary may cover a little too much in its 85-minute runtime. While I can admire its ambition in covering so many aspects of facial recognition software, its racial biases, algorithm discrimination, and so on, it does make for a documentary that jumps around a fair bit and not always smoothly... at least all the topics are interesting on their own.But in the end, it covers important topics and presents compelling arguments about particular flaws and biases in technology. It does warn that this is something that if unchecked could become a serious problem, so I like the attempt to bring awareness to this issue before it completely spirals out of control.It's well edited, features interesting interviewees and subjects, and ends on a little more hope than I was anticipating, which was a nice surprise. Overall, it's one of the better Netflix documentaries I've watched in a while.",False
5,8,"AI, a threat or an opportunity?",fajarsantoso,n/a,17/08/2025,"SpoilerAs an average citizen with limited knowledge of AI, I was quite intrigued by the title and found the documentary quite interesting and it shows that AI can be both a threat and an opportunity. Unfortunately, as the documentary will show, AI will be a threat or an opportunity for citizens based on ones background, culture, skin-color and other social-economic parameters that has been choosen by others for you. The people in the documentary are rebels fighting the status-quo of tech companies like Facebook, Google, Amazon and Wallstreet.Just watch the documentary if you are interested in AI or would like to know more about it and disregard the bad reviews. These are probably from individuals with a vested interest in the status-quo of AI or can be linked to the techgiants or Wallstreet.",True
6,6,Misses the main point,deabigt,n/a,17/08/2025,And the main point is that increasing what would have been called beta code even 10 years ago is being pushed out as production ready. As she pointed out with IBM once she pointed out the issue to IBM with their face recognition AI they added examples to their training set and increased accuracy across the board. But that indicates it was not properly tested in the first place. That argues for a more inclusive IT staff and better QA. So that shows their first argument against some merit but could be fixed without much difficulty. So the solution ought to be to fix not ban.The second argument of what if our government becomes like China is flawed as well. The face recognition AIs are going going to get better even if we do not work on them here someone will. Anything useful can also be used as a weapon. So if the government does want to use face recognition they will just get it. Probably better to have a known working system than one bought hasily and rushed into place.It is odd to they barely mention any AI or ML outside of face recognition despite face recognition being a small part of what is out there.All in all might be good to get you to started on research of your own but mostly misdirected furry.,False
7,10,Important Film-Created for the Public,register-533-564936,n/a,17/08/2025,"A compelling introduction to Artificial Intelligence (AI) for the non-technologist. Explains in part why Google AI technologists/ethicists Dr. Timnit Gebru, Dr. Margaret Mitchell, Tristan Harris, Dr. Samy Bengio all left Google when AI inequities were not subject to public debate.Watch this documentary--love it or hate it, it will definitely make you think.",False
8,6,Is It A Conspiracy or Incompetence?,keikoyoshikawa,n/a,17/08/2025,"Algorithms are not magical systems. At their core they are simply data. Feed your programs with rubbish or incomplete data sets, and you'll get rubbish or inaccurate outputs. What surprises me is not that this is happening with programs like facial recognition software; what surprises me is that the basics taught in any beginning programming class are somehow forgotten.That said, this documentary feels incomplete. It seems to be one-sided, with lots of interviews with people who are against the use of AI.But while the film-makers do an ok job of highlighting the dangers and inadequacies of AI systems such as facial recognition software, they failed to show what really is behind these glaring.blunders - was it some kind of knowing omission meant to create more biases, was it a case of software engineers creating something that they themselves don't understand and thus making a mess of things, or was it simply incompetence.on the part of many involved?Who knows. And that's the problem with this film.",False
9,1,Terrible,jwztsvcyr,n/a,17/08/2025,Full of bad information and misleading views. The only bias I could find was the one in the film. A toxic video to anyone in the field of technology.,False
10,10,Racism is becoming mechanized n robotized. Ther is no algorithm to define what is just.,Fella_shibby,n/a,17/08/2025,"I saw this without watching the trailer or reading any reviews or reading anything bah it and got pleasantly surprised.
This documentary is very informative.People who are against this documentary n pro facial recognition shud be aware that it is not what will AI do to us on its own, its what will the powerful do to us with the AI.",False
11,6,Best part was the 1st minute,bsant54,n/a,17/08/2025,"...and downhill from there on in.Protagonist as the start good, open minded, genuine and a curious soul.After that, angry people is my take. They should be happy the machine can't recognize them.Because they want to do the same thing that the bias programmers are inadvertently doing except they want to rule the world as their point of view.Netflix attempts less than subtle woke from all the wrong people, save the Protagonist at the start - change it to recognize you.Or some people will go to no ends to be a part of things no matter what. Not me.",False
12,3,Not a great documentary,ARFtheman,n/a,17/08/2025,"There are two major sins this documentary commits, being inaccurate and being boring.The same, debunked points are put forward ad nauseam, repeating and repeating until you just wonder why wasn't this 20 minutes long? I have to be honest, I didn't finish it and I don't feel I would have really have come away with a different impression if I did.",False
13,8,"very, VERY!good minus the slight ""wokeness""",alexandresilvacastro,n/a,17/08/2025,"This documentary shows exacly why we as the people cannot not be divided,and it shows the true enemy of western civilizations ,authoritarianism. We can not allow goverments to sell us the idea that we have to pay for safety with freedoms.There´s little focus but very hyperbolic interpertation of the data when it came to racial profiling by the AI... just a whiff of ""wokeness"" that was digestible to me, but also caused the polarization on this review section.The rest of the documentary is well produced, informative, and seriously eye opening and you should see it because any of the negatives at least for me dont even come close to the deeper understandig you get from practical examples you see around the world that are very scary..",False
14,9,Must watch. Wake up call.,trevd-22977,n/a,17/08/2025,It is so refreshing to see something coming out of America that is not crazy & ugly. A lot of the reviews here seem to think this documentary is about race. That is NOT what I got at all. It is about the slow & invisible erosion of human rights by those who control the technology & algorithms that are a feature of life now. This concerns all human beings. Wake up. This is how Hitler got away with it. Nobody wanted to know. This documentary has inspired me to investigate further and stand with others who are vigilant.,False
15,1,Contains misleading informations in terms of technical aspect,trK54Ylmz,n/a,17/08/2025,"As a tech person, this documentary contains mostly misleading information about how ML works. Please note that, I am talking about tech side, business side is not my expertise. Maybe it would be interesting to watch for non-technical people.",False
16,10,The good kind of angry,nyadenyai,n/a,17/08/2025,"SpoilerAlgorithms are flawed: the general public in the United States knows this. However, who is doing something about these flawed algorithms? In the movie-Coded Bias-the audience is introduced to some heroes, some victims, and some villains. We go on an emotional roller coaster in the middle of the documentary as the film shows us Matrixish, Minority Reportish, and 1984ish worlds that exist in the year 2020. The audience explores China, the United Kingdom, the United States and many other places simply to come to the common conclusion; that there is a coded bias that exists in artificial intelligence. So how does this movie end? We meet a group of heroes that are working to create change and yes-they score a big victory. You will leave this movie wanting to 1) be a hero and create change for the better 2) be a victim and not do anything and/or 3) be the villain and feed artificial intelligence your bias purposefully. Either way, the war rages on.",True
