Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Recommended viewing,rr30re05,n/a,15/08/2025,"War movies have been biases to one side or the other. This movie does not make hero's or enemies of the German U-boat sailors. Instead, it grips the viewer with realistic depictions of what it was like to be a U-boat sailor for the Gemans in WWII. It starts off with young (17 year old to 25 year old) who have been filled with propaganda about the war effort and glorious battle. After this young crew of immature sailors start to experience the true horrors of war, you can not only see, but experience with them the boredom, laughter, camaraderie, team work and death. In a world where you have no windows, where your ears have to be your eyes, where a cat and mouse game is played and the looser dies, these young men age 10 to 15 years It makes the viewer realize the horror of submarine warfare in WWII. The most realistic war movie I have ever seen.",False
2,8,"Believable, above all, and a WWII submarine movie, all the rest is just intensity",secondtake,n/a,15/08/2025,"Das Boot (1981)Widely considered the most impressive submarine movie ever made, I'll go so far as to say it's easily the most accurate that I've seen. The action scenes, the sense of doom, the eerie quiet and then explosive depth charges, the grime and the crowded conditions, all of this is palpable.But more impressive, I think, is how the movie works as a German movie about Germans in a war where the Germans were painted as evil. American movies to this day still glorify and make heroic their roles in WWII (unlike the willingness, at times, to show the problems of Americans involved in Viet Nam, say), especially in the European side. But in movie after movie, the German film industry has confronted the real problem of being aggressors, and of being under the Nazi sway. ""Das Boot"" is typical, and key. The captain goes so far as to openly make fun of the German propaganda coming in on their radio. It isn't just that war is bad, but that the Nazis are bad.Nevertheless, there they are, and they have a job to do, and they're going to do it well. So a small group of men in a small underwater tin can try to survive the boredom as much as the British, who come very close to getting them several times. It's a great movie, one of the best at capturing the feeling of being there.What is less impressive, at times, is the more ordinary character development that seems inevitable in a movie this long--2 ½ to 4 hours depending on the version you have, I saw the long one, the director's cut. I think the acting is superb, and so it's easy to go along with the conversations and interactions, but they aren't always compelling in themselves, more just creating some space before the next conflict arises. Maybe, in some honest sense, this is exactly how it would have been. Life for most people is pretty ordinary.But this movie is not. Or it makes what is ordinary in war--the nostalgic to the profound and deadly--believable, and not simply big and dramatic, which it also is.For full German effect, I suggest seeing it with the original German language track on and subtitles if you need them, though I tested the dubbed version in English and it's really well done. I also suggest, if you have doubts about such an involved war movie, trying to find the older, shorter release. The visuals are not enhanced, but some of the character development sections are left out and I don't think you'll miss them. Then, of course, if you want the whole kit and caboodle, try to find the 5 hour version released in sections for British and German television.",False
3,9,The Reich Stuff.,dunmore_ego,n/a,15/08/2025,"SpoilerNever has nothing happening been such compelling viewing.No debate, no discussion, no contenders - DAS BOOT is THE submarine movie for the ages.In autumn 1941, World War II U-Boat 96, crewed by young rowdy Germans, puts to sea with its veteran captain, wildly Teutonic Jürgen Prochnow, his eyes the color of eagle and high cheekbones set on stun.The battle for control of the Atlantic is turning against the Germans, yet Hitler orders more and more U-boats with ever younger crews into battle against the British freighters and their destroyer escorts. This opening pitch and the antsiness of Jürgen's young hooligan crew seems to presage a roaring Hitlercoaster of war war war Amerikan style - but director/co-writer Wolfgang Petersen and writers Lothar G. Buchheim and Dean Riesner swerve to port with a counter intuitive yet singularly entertaining and tension-filled, character-driven non-action action movie. These young punks discover that being at war is much like the waiting room in any doctor's office.DAS BOOT is filled with periods of waiting in fear, waiting in boredom, waiting in terror, waiting in anxiety - and sudden action that rips throats and bends steel with its bare hands.DAS BOOT does something which most commercial war films are too gutless to do - humanizes Germans: they carry photos of their girls, they write home, there are heroes and cowards, there are hard men and those that crack under the strain; they catch crabs and rib each other about it; at one point, a sailor stops a celebration with the announcement of bad news on the radio - into the silence, he declares that back home, their team has lost! These men doubt much of the war propaganda they are fed. Even though German tacticians convey Churchill as a ""paralyzed guzzler"" the officers on U-96 respect the British fleet (""Those aren't amateurs up there""). Yet they do not fear the British simply because that is the default position of Germans in Westernized film, but because the British had better equipment. These Germans are not one-dimensional haters, not committed blindly to the Führer, not simple villain props as in countless Brit and U.S. movies. They are the heroes. And our hearts are with theirs in their throats every watery step of the way.Even in its shortest version, DAS BOOT is 2 hours, 29 minutes. The Director's Cut is 209 minutes, the uncut version is 293 minutes (4 hrs, 53 mins). It's the most fun you'll have growing a five o'clock shadow.DAS BOOT attains such a high level of drama, we forgive Wolfgang Petersen for the subpar exteriors, with those model subs and little dolls on the tower being foamed in slow motion to emulate a sizable u-boat.When most movies are ending - at the 1:33 mark - this movie sees its first action. Yet even the action is not what one expects: after U-96 fires torpedoes at a British convoy, they submerge and wait in silence, listening for the muffled far-off explosions and counting the British ships sinking by the groans of steel they hear through the depths. And they know they're in for repercussions - depth charges. The waiting begins anew - the interminable, unbearable waiting for death to claim you or not - as they ""run silent,"" all lights out, submerging further, engines at minimum. The sound of sonar pings their only warning that something is closing on them from above. The Captain says into the silence, ""Here it comes. The revenge."" And all they can do is hang on through the bucking explosions and bolts bursting on pressurized pipes.After the terror subsides, Prochnow simply declares, ""That's the end of that."" Not heroes. Not cowards. Just doing their job.When U-96 surfaces to survey their kills, they are outraged to find that one of the flaming ships they torpedoed still has men onboard, jumping off, screaming, aflame. And the focus of the Captain's outrage will surprise you: ""Why weren't they rescued after all these hours?"" One of his officers begins to weep for the dying. It's a wondrous portrayal of war empathy, of humanity. It makes us question war yet again, and question the supposed intelligence of the species that can create the marvel of submarines and battleships only to use them in such unproductive, moronic fashion against each other.Imagine the frustration of knowing that on a submarine, humans are the least important cargo - literally stacks of torpedoes, spare parts, tools for repairs (it's like being in space - there is nowhere you can turn if you need a certain part), food, fuel, ballast, the mechanics of the sub itself, and at the very bottom of the list - as evidenced by the way sleeping bunks are haphazardly squeezed into crawlspaces - people.Director Petersen instructed the whole crew not to go out into the sun during filming, so they would retain that bloodless pallor. He effectively suffocates us in the ghastly, claustrophobic passageways and ""living spaces"" of a submarine; he sends his cameras barreling through crawlspaces full tilt, pursuing running men who trip and glide through hatches; we almost feel the cracking of our skulls on jutting iron overhangs; sea water thunders in every time the top hatch is opened, drenching the plastic-coated charts and everyone nearby; everything is wet and damp, dark and cold...DAS BOOT is a gritty study in patience, tactics, anxiety, tolerance, futility, and brings a whole new meaning to wetting the bed.",True
4,10,Emotionally Draining,Essex_Rider,n/a,15/08/2025,"My late father served in the Royal Navy in WWII and was torpedoed by a U Boat, so when I sat with him to watch this in 1986, I fully expected him to be filled with hatred for them. Nothing could have been further from the truth. He told me that seamen, even those on opposite sides, share something unique. He told me that his ship picked up some U Boat survivors from a ramming. They were just ordinary men doing the bidding of their masters, just like he was. They were put down at Scapa Flow as POW's after being at sea for 5 weeks. Many of them had formed friendships with the Royal Navy men, including my father. He formed a friendship with a submariner called Gotz Stiffel and they remained friends until Gotz passed away. My father attended his funeral in Duisburg and he was welcomed as an old friend by the survivors of that U Boat sinking. My father said that film bought tears to his eyes. They were just ordinary men caught up in extraordinary times and this film captured everything from fear to boredom and relief. He said, and I utterly agreed with him this was just about the finest anti-war film ever made.",False
5,10,Take it from a real submariner-,shmuey barak,n/a,15/08/2025,"on modern ""boats"" life isn't easy- but compared to the living hell that the German U-Boats were, modern submariners have nothing to complain about. People in certain professions don't like to watch movies about those professions (Doctors and Nurses shy away from hospital dramas, for example). Submarine sailors are different. We love to watch every submarine movie ever made, from ""Run Silent, Run Deep"" and ""Destination: Tokyo"" to ""The Hunt For Red October"", ""Crimson Tide"" and ""U-571"". Why? Because we can always use a good laugh. For those in the know, submarine movies are usually absolutely hilarious. Except this one. After being in the Navy for four years, serving with around 350 different men, and being acquainted with a further 200-300, all of them submarine sailors, I think that I can state with absolute certainty that this film is the ONLY submarine movie that ALL submariners take seriously. And that is the highest praise a movie like this can possibly get.",False
6,10,15 years and I'm still thinking about it,susy-7,n/a,15/08/2025,"Das Boot is not just a great war film: it's a great film period. Maybe it is true that epic themes make the greatest novels and films.  Here is a movie that explores heroism, duty, patriotism, hope, fear and the futility of war--all grand themes--explored in the confined, and collapsing, spaces of a German u-boat.I saw this film when I was a freshman in college during a weekend that I later dubbed my ""depressing movie festival."" (The Wall and Apocalypse Now were the other weekend ""entries."")  Of these films, it was Das Boot that haunted me--when I laid down at night, I saw Jurgen Proctow's pained blue eyes.  When I woke in the morning, I felt as if I were escaping through the hatch of the submarine.  I could not shake the images, and now some fifteen years later, I still remember how completely meaningless the movie made everything seem, and the nihilistic message stayed with me for a long, long time.  How few films are there which affect the viewers on this level.  To say this film is ""powerful"" seems so weak a description.Part of the ""power"" of the film comes, I think, from a certain restraint in the direction.  So often, films which aspire to move the audience quickly fall into melodrama, over-acting, and overblown images.  Too much.  These often succeed in the immediate response (usually crying) but fail to impact the viewer on anything more than a surface level.  Here, it is the small moments which fill the screen.  Everywhere, all around is War, but for these men as we witness them, war does not begin with a capital ""W"".  It is reality, not a grand concept.  The director lets the story shock and horrify the audience, not by forcing it, but by letting the story just tell itself. Drama, tension and resolution occur naturally in Das Boot, which contributes to the very real impact of the film.Story is a 10, direction is a 10, acting is a 10 and the cinematography is a 10.  One of the all-time greatest films.",False
7,10,Reality,keithhallam,n/a,15/08/2025,"I spent 17 years of my life in Royal Navy submarines. 'T' class, 'A' class and 'R' class. Das Boot is the only submarine movie that shows exactly how it was. It could be a documentary. Bouncing around in the Bay of Biscay with the sea too rough to be able to dive safely and get away from it. 'Goffers' pouring down the conning tower and the control room deck ankle deep in the green stuff. Going down backwards at 500ft and you know there is 10,000ft below you, with seawater pouring in through a burst cooling pipe and one main motor out of action. Existing for two weeks on kai or oxo because your stomach is rebelling against the elements. Laying in your bunk in ultra quiet routine with the sweat just dribbling down. When the sweat starts to dribble upwards you know it's a cockroach crawling up your body. And that Klaxon. 'Hunt for Red October', 'Crimson Tide'. They are just adventure films.",False
8,n/a,Epic,n/a,n/a,15/08/2025,"What impresses me the most about the film, as the title makes apparent, is that it's a German made film about a German U-boat. Patriotism for my own country would tend to make me hate the crew on this ship by definition (especially if portrayed as typical mindless killing machine Nazis), but these characters are so well developed and played like human-beings facing difficult decisions that I find myself sympathizing with these guys.I love the flow and pacing of the Director's Cut; it takes its time, and does not feel like typical Hollywood formula ""first major plot point at minute 12"" cookie-cutter routine. Das Boot gives us plenty of time to know these characters, discover how they kill time while waiting for orders, how they feel about their job and each other. Then when the action finally starts: how they deal with the possibility of dying deep underwater, how they react to the sounds of a sub going deeper than it should, the look on their faces as a destroyer is heard pinging them, and dozens of little personality quirks--subtle details that bring the crew to life. It truly does feel like an epic about a submarine crew, and I'm interested in some day viewing the 6 hour TV version.The underwater battles somewhat remind me of Sergio Leone in that Wolfgang Peterson takes forever and a day to get the fights started. Unlike Leone, once the torpedos are launched and the depth charges dropped, the cat-and-mouse game is ongoing and relentless, but never boring.And despite the fact that most of the film takes place inside a cramped submarine, Das Boot is never boring to look at; in fact, it's a visually spectacular film (given the dated special effects, who hold up reasonably well and add to the old-school charm). And the freedom of the camera in those tight corridors came as an incredibly pleasant surprise. The color and composition of the shots in those tight quarters -- particularly upon approaching the first destroyer when we get the first real glimpse of the interior prepped for war -- it is both haunting and beautiful.Jurgen Prochnow delivers the most believable performance of a ship captain I've ever seen on film. All the emotions register on his face--his concern for his own life, ship, and crew; his hatred for the decisions he's forced to make; the disbelieving joy of beating the overwhelming odds--while simultaneously holding it back so the crew sees a strong unmoving man forever in control of the situation. His performance is, in a word, brilliant.The rest of the cast also delivers amazingly believable performances, and trust me, I could write an entire review on the film's characters and their portrayals. It's both disappointing and satisfying that I'm not given enough space to do so (I wish I could state that about a tenth of the films I've reviewed here on IMDb.) I liked the entire crew of this U-boat, the war correspondent and his character arc as he realizes the truth behind these ""heroes"", the chief and his longing to return to his wife, Johann and the story of his redemption--all well cast, well acted, and believable.Another aspect I adored about Das Boot - the controversial scenes simply rolled by with no more or less emphasis than any other statement the film makes. In fact, I saw the film before really reading anything or researching it and found myself somewhat shocked to hear about these ""talked about"" scenes. Granted, the film does pose some moral questions, but I felt the film handled it with grace and great subtlety, showing what it needs to get the point across and not a step further . . . unlike typical Hollywood where controversy gets bold print, italics, and a highlighter. Maybe I should move to Germany.I can go on for a long while: Over three hours of wonderful visuals and strong performances, a sparse but great score (this film's lack of music is quite appropriate, making the presence of music much more impactful in its key places). Realistic writing from people who lived the experience first hand. As I said, I can go on for awhile but I'll sum it up and end this review with one statement: Das Boot is the definitive submarine movie.",False
9,10,The best submarine film ever made.,Mike_Wiggins,n/a,15/08/2025,"While it has been a very long time since I have seen this movie, it is one of the very few that I own. Wolfgang Petersen's magnificent accomplishment in ""Das Boot"" is reiterating the dictum that ""war is hell"", no matter which side you look at it from and no matter where the battlefield is located.*** Minor spoilers ***The plot has been well described by other viewers so I won't rehash it again. But my personal observations, as an ex-submarine sailor, are that Petersen probably portrayed life on board the sub pretty accurately. I say ""probably"" because todays subs are hotels compared with the German U-boats and American submarines. The commonality between yesterday and today is how the crew deals with being closed up in a ""sewer pipe"" for weeks at a time. More importantly, you as a viewer become an invisible crew member as the crew lives in very cramped conditions (American WW2 subs used to be called ""pig boats""), deals with an unfortunately believable political officer, deals with drills, actual torpedo firings, actual ships casualties, and deals, most frighteningly, with retribution from the ""enemy"". My own experience watching the depth charging of the U-boat was such that I was thinking ""stop it, Stop It, STOP IT, STOPITSTOPITSTOPIT...!!!!!"" That's how real it felt to me. For the rest of you, I feel certain you will too be dragged in and know what it is like to live on board a WW2 U-boat.This movie also shows how leadership is so important in keeping the crew (and ultimately the sub) together. Petersen's direction for Captain Lehmann-Willenbrock was masterful because it didn't portray the captain as a god. It showed him as a man who knows how to lead, knows his submarine as if he were married to it (and in many ways he is) but isn't perfect at the job. It also shows that even with great leadership qualities, Captain Lehmann-Willenbrock can not do the job alone: he must have both officers and enlisted men who have the knowledge and skill to not just do their jobs, but to also advise the captain. Petersen also managed to give each member of the crew their own separate personalities instead of the predictable cookie-cutter personalities that Hollywood feels is needed.I could go on and on. So I will close by saying that with the plot, direction, cinematography, acting, sound, music, editing all being top notch, this is one of the few movies that I can truly rate a 10 out of 10. I also preferred the German version with subtitles.------------------------------------I believe that this movie was either the first or one of the first to use Steadicam technology. It was truly amazing for me to see a camera zip its way through a submarine, specifically through the open watertight doors, without a break in the filming. Up until I heard what Steadicam was, I was always wondering how Petersen managed to hide the camera dolly track or the wires the camera hung from.(It turns out I was wrong: ""Bound For Glory"" was the first.)EDIT (12 OCT, 2006): I have been corrected by an observant viewer. Wikipedia has the following comment on what I thought was Steadicam usage:""Most of the interior shots were filmed using a hand-held Arriflex of cinematographer Jost Vacano's design to convey the claustrophobic atmosphere of the boat. It had a gyroscope to provide stability, a reinvention of the Steadicam on a smaller scale, so that it could be carried throughout the interior of the mock-up. Vacano wore full-body padding to minimize injury as he ran and the mock-up was rocked and shaken.""So, literally, a Steadicam was NOT used in the filming of ""Das Boot"". However, a camera that resembled Steadicam in function (in the way it gyroscopically leveled the filming platform) was used.------------------------------------Even though todays submarines are far cleaner then their predecessors, and we have refrigerators, freezers, air conditioning, are able to take showers, etc., there is one aspect of living in an enclosed space that still lives on: the smell. While the smell of the ""pig boats"" of WW2 was truly atrocious, even with todays ability to clean the atmosphere, you can not escape the fact that any smell that is created, from burned toast in the galley, from the smell of the ""sanitary gasses"" (to be kind), to gasified hydraulic oil and diesel fuel, all these particulates will eventually become absorbed in your clothing. You, as a sailor, may get used to it, but when you get home, your wife will most likely declare that you smell like a submarine and demand that whatever you are wearing get thrown in the wash ... immediately!",False
10,10,"Gripping, Compelling, Intense, Suspenseful, Realistic",JonDavidCampbell,n/a,15/08/2025,"""Das Boot"" is a classic. This film couldn't be more intense and emotionally draining. It is a work of genius. Jurgen Prochnaw gives a spectacular performance as the German U-Boat Captain. The acting is first rate as the cast of characters is as realistic and believable as it gets. Don't watch this film unless you are absolutely prepared to immerse yourself into the drama of life as a crewman aboard a German submarine during war. This is a very rare portrayal of battle through the eyes of our enemy and will actually have you cheering for the ""bad guys"" at times. This is a one of a kind movie that must be seen to be believed. Words in a review cannot describe the experience of ""Das Boot."" A tremendous film! A 12 on a scale of 10!",False
11,7,The most realistic of submarine movies.,filipemanuelneto,n/a,15/08/2025,"This interesting war film shows us a little of what was the daily life of a submarine crew during World War II. As the film is German, not surprisingly, is a German submarine. And tastes good to hear the dialogues in the original tongue, giving more authenticity tho the movie than the English, which most of films used indiscriminately, because of commercial interests.This film is, of all submarine movies, the best I've ever seen. The more realistic and closer to reality, without dramatic contrivances, without the flying imagination of those who have never seen a submarine but has to make a film about it. Its based on a book by Lothar G. Buchheim which, I believe, describes real events. The script reflected this effort, this search for reality. I do not know any of the actors, I am no expert in cinema, but I enjoyed the interpretation of Jürgen Prochnow, the captain, and Klaus Wennemann, who played chief engineer submarine. I will not be very surprised if someone says to me that some footage was shot in a real submarine... whole scenario was thought to detail and it shows how submarines are claustrophobic.Far from the American sensationalism, this European film makes a very interesting picture of a reality that most movies rather fantasize the extreme. It is a proof of how thin can sometimes be the line between documentary and a cinematographic work.",False
12,10,The best depiction of fighting men....ever!,Jamesb_2,n/a,15/08/2025,"I first saw this film on the BBC when it was aired in it's mini series format. I was 13 at the time and was totally blown away by it. Up until then, the only war films i had seen were gung-ho movies, with GI's firing tommy guns from the hip at hoardes of evil Nazis.To see a film that showed 'the enemy' as human beings, with hopes, fears and dreams was something else to a 13 yr old kid. As i grew up i began to understand more about the second world war and was able to make up my own mind as to whether the 'evil Nazis' were all that the cinema portrayed them to be, but 'Das Boot' always stuck at the back of my mind as an outstanding example of how to show fighting men, from what ever side, in the best possible way.Lots of people rave about 'Saving Private Ryan' being the ultimate WW2 film. Although good, it isn't a patch on Das Boot. The Boat has everything; Fine actors, an excellent script (which doesn't deviate from the Novel at all) and excellent hand-held camera work, supported by brilliant lighting, and 20 years before 'Private Ryan' too!Das Boot is an excellent example of how to depict the horrors of war without resorting to a blood and gore fest and it remains a film that everyone should see it it's entirity at least once.",False
13,7,The Sound of Silence,Angry_Arguer,n/a,15/08/2025,"Few movies are as nerve-shattering as Das Boot and, for once, I can recommend the Director's Cut of a movie.  Unlike such foolhardy examples as Terminator 2, the special edition of this movie adds to its overall value. I strongly recommend a minimum of one viewing of it.Sound in Das Boot is a strong factor, the Academy was totally stupid to ignore the level of detail here for E.T.  In submarines, sound is the basis of life and death, no other movie has captured the essence of being stuck in a tin can 500 feet beneath the surface of the ocean.Realism is the second strong point of Das Boot, from the boredom of the hunt (thrill is the exact opposite word to use) to the terror of being hunted.  I found the way the camera is thrust through the bulkheads and hatches, following the crew, to be a strong saving grace in the cinematography department.  Kudos.The crew is presented not in a stereotypical fashion, but as sailors without patriotism and not in the mood for dying or heroism.  There is no glory in war, everything is futile...that's the message of Das Boot.Overall, a superior war movie to others.  Too bad Wolfgang Petersen has fallen into a ""money pit"" with such garbage as In the Line of Fire and Air Force One.  See this instead of U-571.  4 out of 5 stars.",False
14,5,I really want to like this movie.,jamiehardy,n/a,15/08/2025,I have tried watching this movie countless times and despite everything I find myself mentally composing a grocery list or just somewhere else. I cannot stay focused no matter how hard I try.I understand that many people have found this movie to a true cinematic gem but no matter how I try it just loses me about 30 minutes into it. It's obviously just not got the correct hook for me.,False
15,n/a,Nerve racking,n/a,n/a,15/08/2025,"Das Boot is one of the most emotionally involving movies I have ever seen. The characters are developed richly, without those awkward moments in movies when you realize that the director is doing so.  You sympathize with the crew, and FEEL their plight as they struggle, cramped in a rickety U-boat against the odds.  At times the movie grows slow and drawn out, but that is intentional- to make you feel like you are trapped in an underwater coffin with nothing to do, no where to go.  The directing is great, the sound is fabulous!  I've never heard faint noises tell a story like this before.",False
