Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,5,Solid forensic analysis but not very balanced,Zoecb,n/a,16/08/2025,"If you're interested in parasomnias and automatonism defences then this has some good explanations. However, this documentary was made without the blessing of the victim's family and the lack of detail about the victim is rather glaring and feels inappropriate. The commentary about Randy's upbringing with women and the pressures of masculinity are spot-on and extremely important in the context of male violence and femicide so please ignore the butthurt comments from the ignorant present on this IMDB page.",False
2,6,Worth a Watch,mdidesidero,n/a,16/08/2025,"Spoiler(spoilers)....Pretty clear what took place here. She was leaving to go live with a boyfriend in another state for Christ sakes. The night before he's naked in her closet. He obv felt abandoned both women he was living with were about to leave to be with other men, he had a crap job, a drinking problem, his father did a murder suicide. He obviously snapped. Sad sad story.",True
3,5,Not Terrible but Not Great,hkhdswdjz,n/a,16/08/2025,Super confused why the interviewed a psychiatrist who had never spoken to the killer. She was able to give her thoughts serval times during the documentary. Not sure they needed to include her at all. She brought absolutely itching to the documentary. The story was somewhat interesting.,False
4,1,A lazy documentary and very disrespectful to the family of the victim.,katie_crothers,n/a,16/08/2025,"Whether you believe the accused's sleepwalking argument (which I think is ridiculous - he's just a coldblooded murderer) or not, the documentary isn't informative, is sensationalist and very insensitive to the victim's grieving family who is still trying to appeal/go through this case. Their pain is not your entertainment. Place yourself in the shoes of the family for just one moment..",False
5,1,Click-bait and Disrespectful to the family of the vicim,michaelbbowe,n/a,16/08/2025,"Direct quote from Rolling Stone ('Murder Victim's Sister Goes After New Hulu True-Crime Doc on TikTok'):
""You think you can hurt me? Hulu just released a documentary on how my little sister was brutally murdered without our families' consent so now we get to relive the worst day of our lives"" - Victim's sister.",False
6,1,Classless and also not very good,shaneschwegler,n/a,16/08/2025,This crime doc was really hard to watch since it comes off as pretty much a vanity project to make the murderer seem less guilty. Also they didn't get any rights from the victim's family.,False
7,9,I Watched This All The Way Through,Mehki_Girl,n/a,16/08/2025,"SpoilerYes, this has plenty of talking heads and the family wasn't consulted.But if it is your opinion that his defense was bullcrap (and it was), I found this quite satisfying. It only served to condemn him. Watch it before giving a rating or a review. I almost turned it off, too.He had already confessed to murdering her. The defense has to come up with something and so they did with this tired defense.Here's why you should watch it -Thank goodness for the neighbor's security camera and the neighbor who heard screams when Brooke was being murdered. The crime scene, the murderer's own words, the text messages, the timeline that could be put together quite accurately - the prosecution had the before text messages (he told her to come over, so premeditated), we have the victim arriving on camera timestamped, we have the time of her screams that were heard, we have the time he left on camera, we have his incriminating statements, we have the crime scene, we have her defensive wounds, and the wounds on his body that required stitches, as he just kept stabbing and stabbing, starting in the bedroom into the living-room, we have blood splatter and other forensics that told the entire story of the victim's murder.We also have his crap defense and we have a sleep expert saying there's no way you fall into a deep sleep and then go sleepwalking in the literal 0-5 minutes from when he said himself he was awake, talked to her, and even hugged her, fell asleep, got up and killed her, starting in the bedroom! What? She just stood there for the possible 5 minutes while he went to sleep? Oh come on! How did the defense think this would work?!He hugged her and in all his loser rage, his life out of control, his additions, his lies to his family, his crappy job (meat slaughtering house), his spending up all his inheritance money, his past life (alcoholic dad's murder-suicide)... And he snapped, grabbed the knife by his bed, and killed her for the oldest reason on the books - if I can't have you, no one will.Hearing the GUILTY of FIRST DEGREE MURDER VERDICT and the judge sentencing him to LIFE WITHOUT THE POSSIBILITY OF PAROLE was so satisfying. It was worth the watch.Yes, it's hard to get through the trailer and the first moments of bs, but trust me, your frustrations will be satisfied at the end.But as her broken father said - There are no winners.PS I think the only thing the jury got wrong was to dismiss a sexual angle. He was friend-zoned by the victim and her sister (who oddly enough testified for the defense), overweight, not particularly attractive, and there was his very attractive female friend, who had zero interest in him and was leaving him and his crap life to go with her bf. He was also naked in her closet just the day before. What was he planning for? That she'd want to sleep with him for a last goodbye or was he going to rape her the day before?He killed her in a loser's rage!",True
8,1,Don't Watch,tabithabiasi,n/a,16/08/2025,Disrespectful to the victim and her family. The did not get the family's consent and some of the information is inaccurate. Completely unfair and cruel. Please do not watch it we should not be glorifying killers.,False
9,1,Disrespectful to the victim,bryanaz82-151-964444,n/a,16/08/2025,"The family of the victim did not approve of this ""documentary"". Hulu went ahead and made it anyway, this is disgraceful. This was premeditated murder plain and simple. To put the family through this now, as they are still going through the killer's appeals process, is an egregious violation.",False
10,3,Truly a bizarre take. Feels like the entire point was to exonerate the murderer,mstone-33796,n/a,16/08/2025,"SpoilerWe know he committed the murders. It's not a question. The only question was whether or not it was premeditated and/or if it was under the circumstances of sleepwalking. That being said, very little time is spent on the science of sleepwalking. It's just a repetitive cycle of the same beats and same dialogue over and over again. There's little to no focus on the victim. It's about the killer, from the killer, by the killer. And the most irritating part of it all? They continue to splice in an interview they did with a random psychologist that had never met with anyone involving the case. They were purely speculating and postulating from afar. It was so condescending and unnecessarily elitist. She spoke as if she had a deep insight but she sounds exactly like YouTube comments do. Just with more flowery language.Don't watch. Honestly YouTube videos on this case are better.",True
