Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Death has never been so funny,Jared_Andrews,n/a,16/08/2025,"To help her dad (and herself) cope with his declining health and eventual death, a woman stages fake accidents that kill her father. They're all fake, of course. They play to laughs, and inspire the title of the film, but they're really only a small aspect of the film on the whole. The story mostly focuses on their relationship and shows how special Dick Johnson is as a father, a grandfather, and a human being. He is lovable, hilarious, and perpetually happy. Everyone loves this man. You'll love him too. And you'll love this movie. It's an incredibly nuanced and intelligent examination of death, but it wisely disguises itself as a comedy so viewers can watch without openly weeping the entire time. In the end, you'll still cry, but you'll smile too.",False
2,7,It's good but I know I'm missing something...,Jeremy_Urquhart,n/a,16/08/2025,"It's rare that a movie with so much good stuff in it is also quite frustrating.At the risk of going on too long: the main problem for me was the tone. The darkly comedic fantasy sequences never quite meshed with the far more effective (and more frequent) parts of the film that nakedly deal with the inevitability of death, and the immense struggles of aging. There was one fantasy sequence which was surprising moving in a really surreal way, until it clunkily featured an intentionally jarring gag, and I was pulled right out of feeling something profound.I just... wasn't on this movie's level- I could tell I really liked it, and almost felt like I could love it, but it never sat 100% right with me. The whole premise of killing him in make believe ways never seemed to gel with the genuine emotions of the more down to earth stuff, and it left me a bit confused. There was surely an intent and a purpose, but it's one I can't grasp.I know there's something here I'm missing, and the stuff I got I know I really liked, so I can still say it's a good movie for sure. But it's almost like I'm missing a part of my brain that would enable me to fully ""get"" this movie, y'know? Almost as confusing for me as I'm Thinking of Ending Things was 😅",False
3,8,Bittersweet brilliance,theshanecarr,n/a,16/08/2025,"In what I think of as one of the greatest TV series of all time, The Leftovers, the show asks how we cope in the face of death, how the living keep going when there are no answers.
In the docu-drama-hagiography-family-portrait Dick Johnson Is Dead, Kirsten Johnson is asking herself those same questions in the knowledge that her 86 year old father, Dick, has Alzheimer's. Having watched her mother's slow decline and disappearance due to the same disease, she knows the terrible fate that is coming, and she decides to record these final years with her dad as he is, as she wants to remember him.The answers Dick Johnson is Dead comes up with are a far cry from the grieving tone struck by The Leftovers. If you read the above and thought ""Well that's going to be depressing""; you could not be more wrong.
It is, of course, tinged with the anticipation of grief, but what shines through clearer than anything is the love Kirsten and Dick have for each other, and his unflappable, can-do spirit. This film is a celebration of the time that they have together, even though it may be ending.Laced throughout footage of Dick selling up his house, packing up his office, and moving in with his daughter are strange fantasy sequences in which Kirsten stages her fathers death in a variety of ways. Some are outrageous, some are sad, but we are never asked to believe in them - throughout it is clear they are manufactured, and their purpose is to help Kirsten, and the audience, to imagine what it will be like when Dick finally does succumb to the inevitable.
There are also fantasy sequences in which Dick imagines what it might be like when he arrives in heaven, with his wife, Freud, and Bruce Lee all waiting for him.It's a bizarre choice that pays off handsomely. Death is always with us but we rarely look straight at it. Kirsten and Dick make a courageous decision acknowledge it, talk about it, visualise it. It suggests, despite our fears, that we can handle the worst life will throw at us.
Principally though, this is a picture of a father and a daughter, of their quirky ways, and of the bonds that bind them.The Leftovers ultimately suggested we are terribly alone in the universe, and we must fight hard to grab what life and love we can when we have the chance. Dick Johnson is Dead suggests that love is here with us right now, and we have only to open our eyes to see (and maybe make a home movie of) every precious second.",False
4,n/a,A most unusual doc by a daughter who depicts her dad's death using him while alive. One of the best of the year and upbeat.,n/a,n/a,16/08/2025,"Dying is about the deadliest topic in any medium partly because it reminds us of our last end, or as Alexander Pope said, ""Send not for whom the bell tolls, it tolls for thee."" An accomplished documentarian, Kirsten Johnson, takes that topic and makes it a sweet future as she orchestrates scenarios for her father's death with him starring while alive in Dick Johnson is Dead.It is as if she believes that playing with a bit of gallows humor might at least stave off the Alzheimer's disease for her dad that her mother succumbed to a few years ago. The magic part of this unusual documentary is the love of father and daughter evident in every light-hearted scene. Be he knocked dead by a construction beam or actually experience a heart attack, she and he are collaborating on this doc as professionals (he is a psychiatrist) who know enough about life to make death an acceptable adjunct to a life that was worth living.Dick Johnson is not much as an actor depicting his own death, but he is a father who has loved his child, his late wife, and his friends, of which he has a multitude. His love shines through in each frame making this the most realistic fictionalized death on film this year (and most likely the only one).My other favorite doc this year is David Attenborough: A Life on Our Planet, which also defeats the death of earth through our own collaboration with Nature. In both films, life is affirmed in the face of daunting realities such as our responsibility for choking the atmosphere or just living till we die.Kirstin's loving handling of a potentially crippling topic is a tribute to her as an accomplished filmmaker who can create in the face of heavy emotional weight. It is even more a tribute to her as a daughter who loves her father unconditionally and forever-a state she uses to keep her dad in her mind forever.""Because I could not stop for death-He kindly stopped for me."" Emily DickinsonThanks to my daughter, Thea, who tipped me off to this exceptional doc-we share several sympathies with the film.",False
5,10,Thank you!,billsalas,n/a,16/08/2025,Loved it! THANK YOU for sharing your father and life with us. My wife and I loved your father and your story telling. We wish your father and family love and peace. Thank you.,False
6,8,death march,ferguson-6,n/a,16/08/2025,"Greetings again from the darkness. Hal Ashby's 1971 cult classic HAROLD AND MAUDE takes a comical look at death, and in the process shows us the importance of living, and the jolt delivered by dying. Documentarian Kirsten Johnson (CAMERAPERSON, 2016) makes this a more personal project by involving her dad in a series of staged deaths for her film. Initially the purpose was to help him begin to deal with an end that could be coming soon, but it evolved into something altogether different.Dick Johnson is an elderly psychiatrist. He's a charming and lively man, boasting a nice sense of humor and a twinkle in his eye. His daughter Kristen is ""a camera person"", and suggests to him that they make a film about him dying. He's on board. Kristen then stages various ""deaths"" for her father. These scenes include getting crushed by a falling air-conditioner, getting hit by a car, taking a horrific fall down stairs, and a construction site mishap. The more we get to know Dick, the more we like him. We learn it's been 30 years since he had a heart attack, and 7 years since his wife died. She suffered from Alzheimer's for years before she passed. We learn he's a Seventh Day Adventist, and loves chocolate fudge cake. My how he loves chocolate cake.Initially gung-ho for his daughter's idea, and fully supportive of the situations she puts him in for her art, Dick begins to show signs of forgetfulness and confusion. At times we have our doubts that he fully comprehends what's happening - not just in the film, but in everyday life. The comical elements shift to wistfulness, as we are present when Dick has to shut down his practice, sell his car, and ultimately box up his belongings and move out of his beloved home. Kristen moves him to her one bedroom New York City apartment, which is right next door to that of the two fathers of her children.In addition to the staged deaths, we also meet a stuntman who gets involved, and we are on set for the filming of Dick's ""Heaven"" which includes chocolate and popcorn, and his ""Last Supper"" featuring, among others, Bruce Lee, Frieda Kahlo, Farrah Fawcett, and Frederick Douglass. There is also a family trip to a beach in Lisbon, and a reunion with Dick's college girlfriend in California. The strangest bit is the staged funeral, replete with Dick in a coffin, and friends offering tributes. We also celebrate Dick's 86th birthday, and see many family pictures and home videos.Leonardo da Vinci is quoted: ""As a well spent day brings happy sleep, so life well used brings happy death.""Watching Dick's spirit fade along with his memory is anything but happy. His daughter Kristen tries to remain sensitive to his changing state, but the feeling we are left with is anything but happiness towards death. Her film is likely structured much differently than she originally intended, but has so much value for discussion with loved ones and a reminder of just how precious life is for those who appreciate it.
Now showing on Netflix",False
7,7,dour but fun,jonnathanchavezz,n/a,16/08/2025,A thoughtful and heartfelt way to present the inherent aspect of life that is death,False
8,10,Just Awesome!,brennasanders,n/a,16/08/2025,"I had no idea what I was getting into when I started this on Saturday morning, but I'm so glad I did. Both sides of filming where so well put together. A different side documentary from a documentarian!",False
9,7,Deadpan,Cineanalyst,n/a,16/08/2025,"A movie about a retired psychiatrist named Richard Johnson who pretends to be a stiff, and there's not one dick joke. Freud is rolling over in his grave.As made by his daughter, Kirsten Johnson, ""Dick Johnson is Dead"" is an amusing picture for a documentary about an old widower with worsening dementia moving into a one-bedroom New York apartment with his daughter who films different ways of killing him. The expounding on dying--you know, that everybody's doing it--isn't very profound. The brief overview of the Johnson family's Seventh-day Adventism even less so. The loss of memory is a bit more interesting as it relates to documentary filmmaking, and Kirsten's late mother and Dick's late wife's photography. At one point, Kirsten laments that the only film she made of her mother was when she was well into being affected by Alzheimer's Disease. Although it has been far from always the case, there is a general sense that photographs and motion pictures may outlive the people in them and the memories thereof. Appropriately, then, the documentary is made in the reflexive mode, exposing the filmmaking process, including the staging of Dick's death scenes, and including the filmmaker as a heard and seen presence in the picture.Apt as much of that is, what really sells ""Dick Johnson is Dead"" is the charm of its eponymous would-be corpse. This guy has life figured out. Eat chocolate cake and ice cream and crack jokes with friends and family, don't let stuff bother you too much, and if you're not sure what to do, take a nap or watch TV. The movie may get carried away with some of the heavenly imagery and interludes with cutouts and at other times not seem to be going much of anywhere, but it's worth sticking around for that wisdom from the demented dead man.",False
10,8,"Highly original, heart-warming",TheReelMovieMaven,n/a,16/08/2025,"I rated this an 8 because, while it's not the world's best documentary, it is completely original, and thought-provoking despite its seeming simplicity. You'll fall in love with Dick Johnson as soon as you meet him, with his childlike, wide-open smile and merry eyes. That love only deepens throughout this funny and awe-inspiring film (for me, especially in the sneak-peeks into the filmmaking process, including the practice of various stuntmen hired to simulate Dick's deaths). The use of color is also highly entertaining, and the voice-over narration by the filmmaker (Dick's daughter) is concise and intelligent without being condescending to the viewer or mawkish about her dread of her father's decline and eventual demise. This film asks viewers how we'll all cope with the passing of a beloved parent, and prepare for our own unknown end.",False
