Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Great and new look on the Star Wars Universe,IanHutcheson,n/a,16/08/2025,"In this series of documentaries about the mandalorian it isn't only about the mandalarian, it is about the whole story behind star wars and the purpose of star wars. The 2nd episode blew me away, Dave Filoni talks about the connection of the prequels to the original trilogy and the ark of Anakin skywalker. This is a must-see for Star Wars fans.",False
2,9,This is the future of star wars,cockerilldominic,n/a,16/08/2025,"It makes me happy to see the love they have for Star Wars they are relatable and they are the reason this series work.
In my opinion the future of Star Wars should be in these people's hands the fans who love the show and know what they are doing.",False
3,9,Awesome Stories and Storytellers!,drcombs,n/a,16/08/2025,"This was a super exciting way to introduce us to how the Mandalorian was put together. It's clear by watching the series that they but a lot of time into every single detail, whether that was costumes, production design, visual effects, sound editing and mixing, and so much more. There is a lot of joy in watching this series and getting to hear about a shared love of Star Wars from all these wonderful filmmakers.",False
4,10,I 100% recommend this,brandonrhewitt,n/a,16/08/2025,"Watching this makes me respect the cast and crew so much with what they do behind the scenes just to make an amazing show like this like its so good to see all these creative mind and to hear there stories, its just so beautiful and people should watch this its so inspiring aswell it really captivates you when listening to the great minds behind the show its amazing.",False
5,10,Legacy,chillsesion,n/a,16/08/2025,"Everything about this documentary is perfectly made. But i'd like to praise about last part of Chapter 2:Legacy when Dave Filoni explains about Qui-Gon and Anakin and what's the purpose of Star Wars to exist. And why is he doing this. Is not about lasers, starships, lightsabers battles and all that stuff. The original idea as conceived by George is family, to give hope, to kids specially and to see how deeply Filoni is connected and understand that legacy and how truthful he is to George's vision is what had made this and all his (Filoni) star wars productions so successful.",False
6,9,This is the Way... to take you behind the scenes!,G33KEd,n/a,16/08/2025,"Season 2 of 'The Mandalorian' is coming this October. But in the meantime, since today is Star Wars Day, we're taking you behind the scenes of one of the best shows of 2019 in this newest docuseries on Disney+!The show is about how they made this fan-favorite show, such as the crew, including the show's creator Jon Favreau, episode directors Dave Filoni, Taika Waititi (who is also in the cast), Rick Famuyiwa, Deborah Chow, and Bryce Dallas Howard, the cast, such as Pedro Pascal, Carl Weathers, Gina Carano, Giancarlo Esposito, Emily Swallow, and more, including interviews, behind-the-scenes footage, and round table conversations.This is one great docuseries to see for Star Wars fans!",False
7,9,Mustt watch,granthales,n/a,16/08/2025,Get a feel for the durectir and producer team. If you like the show this is worth a watch.Thank God without Kennedy. Like the wick witch of the west she does appear here and there for a selfie of sorts.,False
8,10,The best in-depth look at Mandalorian,santatony-29066,n/a,16/08/2025,"I watch this and love this series more than the show it's documenting. It's so refreshing to get a full back stage tour of the characters, technology, directors, concepts and more. It's a treat to get to meet the many directors and see all the different strengths they bring to the show. I really hope the series continues as well as this documentary.",False
9,10,Wonderful talk series with the crew,UniqueParticle,n/a,16/08/2025,A lot of very interesting things to learn and definitely makes you respect the people that worked hard to make everything! I very much enjoy docu-series or movies where the crew talk about all the aspects around it. I highly recommend this for anyone! The bits with music is so peaceful too.,False
10,7,Filmmakers perspective on bringing star wars to life.,cruise01,n/a,16/08/2025,(3.5 out of 5 stars)A lot of fun to see the directors and there hard work on bringing each episode to life. A lot of fun if you care about behind the scenes. I did feel like this documentary ran a little too long.,False
11,10,The passion for cinematography described in detail!,jkrugly,n/a,16/08/2025,"I just love these episodes covering so many different aspects of the movie business. I am not a director professionally, but at heart I am. I totally connect with what is being discussed from direction, acting, music etc. All my respect to all you wonderful people behind the production of the Mandolorian - and for capturing the thought process behind the scenes. It is totally awesome!",False
12,7,Fantastic Behind the Scenes View.,FKDZ,n/a,16/08/2025,"Whilst the show does linger on praising itself a bit too much, and negating any critique or negativity towards aspects of the show it still delivers a proper behind the scenes look at the incredible work.There's some really good bits here and there, and the behind the scenes footage is the stuff you will be constantly hunting for, just waiting for it to show again. The Volume segment is stunning, the tech and the way it looks still blows my mind.Season 2 drops the round table setting and imo that was fine, it's a lot more of a traditional behind the scenes extra than season 1 which at times felt more like a director's commentary.Both seasons where easy to watch and enjoyable, well edited and the stuff you wanna see is there. Recommended!",False
