Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Exposing Instagram fame for what it really is,paul-allaer,n/a,15/08/2025,"""Fake Famous"" (2021 release; 87 min.) is a non-fiction documentary about ""famous influencers"". As the movie opens, a voice over reminds us that back in the day, when young people are asked what they want to become when grown up, the top responses typically were doctors, lawyers, and the like. Today the top response apparently is ""influencer"". The film makers decide to run an experiment: pick 3 random people with very few followers, and turn each of them into a famous influencer. From a pool of thousands of applicants, Dominique (a/k/a ""Dom""), Chris and Wylie are chosen. To get started, the film makers purchase fake followers (7500 for $119) for each of them... At this point we are 10 min. into the film.Couple of comments: this is the directing debut of writer Nick Bilton, who has followed the tech industry for the New York Times, Vanity, and other platforms. The idea of a social experiment is as simple as it is brilliant AND entertaining. Bilton is savvy enough to know what angels to look for in the world of Instagram fame. For someone like me, who cares nothing about being on social media whatsoever, it is a fascinating look behind the curtains. So much fakeness and pretending, all for the sake of getting likes and comments. The idea that you can buy followers and likes and comments is simply astounding to me. We are told that even Kim Kardashian, queen of Instagram with 150+ million followers, relies on tens of millions of fake followers (bots). The very best of this documentary comes in the last 15 min. when it becomes clear what becomes of the three random picks to become a ""famous influencer"", and, equally fascinating, the unexpected impact of COVID-19 on ""famous influencers"". Bottom line: I ended up enjoying this documentary far more than I had expected. And frankly it exposes Instagram fame for what it really is (hint: look at the documentary's title).""Fake Famous"" recently premiered on HBO and is now available on HBO On Demand and other streaming platforms. Regardless of whether you yourself are on social media or not, if you have any interest in or curiosity about what really goes on in the Instagram fame universe, I'd readily suggest you check this out, and draw your own conclusion.",False
2,6,Color me shocked...,marc_baker1,n/a,15/08/2025,...if this isn't the premise for a major network reality competition show within a year. The Next Top Star Influencer hosted by Nick Cannon. I fear for all of us.,False
3,8,Real take on the fake,billsoccer,n/a,15/08/2025,"SpoilerWas much better than I anticipated. Yes, it's obvious that most of the 'famous' celebs are famous for just being famous, they're publicity hounds, they prostitute themselves, they're just sad, etc. But, who knew you could buy fake accounts, fake 'likes,' have bots that raise your profile? If you did, more power to you, but this was eye-opening to me.",True
4,7,Something is seriously wrong,pensacolacomputer,n/a,15/08/2025,"There is something seriously wrong with our society lately...and this documentary highlights part of the reason why.I like to think of the world as before the internet, and after the internet. Before the internet, society was much much better....people were ""normal"" ..friendly...neighborly....people did things outside with friends and family...met people in person...went out on dates....Now? People have their phones on for hours upon hours a day with no human interaction....people live in a make believe world....and most people are screwed up and on anti depressants or anxiety drugs., or a combo of both..I feel sorry for the generation growing up today, and for all generations coming after....Growing up in the 80s and 90s was so great...I'm glad I got to experience normal life before the internet....because life today, is anything but normal for most people....So do yourself a favor, GET OFF YOUR RIGHT PHONE NOW AND EXPERIENCE REAL LIFE WITH REAL PEOPLE....There is SO much more to life than your phone...",False
5,7,"Like, This Movie, Like, Shows, Like... How... Like, Dangerous Reliance, Like, OnSocial Media is... Like",genious-35413,n/a,15/08/2025,I decided to play a drinking game where I would take a shot every time one of the talentless aspiring influencer-to-be people said the word 'like'. I had to be rushed to emergency after 11 minutes because I had alcohol poisoning.,False
6,7,"Socia Media is poison, people drink it happily",gonzofaratro,n/a,15/08/2025,"Interesting documentary that let you see the fake world many of these sad people pretend to enjoy, but as sad as they are, I feel sorry for the millions of followers whose dreams are to become like them.What a sad, sad world people who inhabit social media live in.Dominique you should see more Merry Streep, your comment was wrong, you will benefit a lot if you do like her",False
7,7,Fake people paying other fake people to fake like them,joscon-16616,n/a,15/08/2025,"It's amazing how hard people are working to not have to work a real job. This doc cuts right into the heart of it and shows social media for what it's always been, a farce. While it starts slow, it gets pretty interesting 30mins in and has some interesting twists and turns. Ironically, one of the influencers they used in their stock footage (not the three chosen) actually lives in my building. Never knew until we saw it.....hilarious.",False
8,9,A peek behind the curtain,imdb-451-718995,n/a,15/08/2025,"This documentary ought to be shown in schools. It is a must-see for anyone who doesn't already understand how fake Instagram culture can be.The film has a simple concept: pick three random people who would love to be famous, and then fake it till they make it. The moral of the story is that, in the world of Instagram influencers, faking it and making it are actually the same thing.",False
9,n/a,Asking Questions Everyone Knows The Answer To,n/a,n/a,15/08/2025,"Ever wonder if Instagram Reality isn't really, in fact, reality? If all of the houses and Rolls Royces and Bentleys are just rentals? Or that social media is infested with bots, fakes, purchased likes, and vapid people?Well this documentary lets you know that it SURPRISE it's mostly probably fake!The film is well shot but honestly a waste of an hour and a half. The ""social experiment"" is completely predictable and uninteresting. The ""experts"" presented aren't really such and just come across as buddies of the director.It would have been far more interesting to include actual experts on a field such as human psychology and explore why this phenomenon occurs, or follow and expose purported stars, rather than building up one. Again. SURPRISE! You can spend a few bucks, get some bots, and very marginally advance your acting/modeling career.Just not that interesting in the end.",False
10,7,never underestimate the stupidity of people in large groups,howboutthisone_huh,n/a,15/08/2025,"SpoilerThis show is about fake influencers but is this show itself fake? Is there a curtain hiding those pulling back other people's curtains? Let's see. First, it's set in LA. What's more fake than LA? Unless they've cleaned it up in the past twenty years since I was last there, it's one of the worst urban junkyards in the US. Every time I see a shot of gromman's and the walk of stars I cringe because melrose, la brea, hollywood blvd is one of the ugliest urban areas anywhere. It's marketing that keeps bringing the tourists back, and the tourists help market the area by never taking selfies of the way it actually looks. Never a shot of the naked homeless person sprawled out on the sidewalk. Or, all the creepy street people hawking stuff to tourists. And though most people equate hollywood with the entertainment industry, there are probably more productions in canada, and particularly toronto and BC than in california. So the premise of the show is supposed to be a social experiment to see if they can take 3 ordinary people and make them famous on social media. Okay, not really a unique idea because hollywood has been doing that for almost 100 years. But, you know right off, that they can do it, right. Because if they take 3 ordinary slubs and those people work really, really, hard and don't succeed, then this tv show is a flop. But, the producers are smart and they don't go over the top. I mean, in the end, they have 1 out of 3 and it's as if they scripted it that way. And everyone of their reality stars are walking cliche's. One guy won't compromise his values, so he's gone, Another is conflicted with the attention and the negativity, so he's gone. And 3 is the young hot chick, who's okay with it because ""they work so hard"", so she's the one that zooms to the front. So, what's real, or not and who are they to judge? I mean, the show ends on a moral message about how there's more to life than your phone or social media, like a pandemic and protesting in the streets about inequality as if those life issues are never highly manipulated. Gimme a break.Still, I thought the show was highly entertaining. The genius of google, and facebook and instagram is not what they do on the web but how everything is monetized on the backend, which people rarely see. And that it's being manipulated by all these other obscure and 'unknown' people with their web companies is even more funny and also scary. It's a bit frightening because of all the money involved. What kind of impact that would have on the economy if everyone suddenly woke up?",True
