Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Loaded with twists and turns and political insights.,Opinate,n/a,16/08/2025,"This is an impressive documentary that takes you on a journey into the Satan Worshiper hysteria of the Seventies, walks down seedy alleyways with pimps and prostitutes and turns the lens on the way police and prosecutors did business back then.It is really well constructed snapshot of the underbelly of small town America, full of sordid personalities that worked on, stalked and patrolled the streets.It is fascinating to hear the men in charge of the investigations condemn the young girl they used to frame various people: a girl who was suffering from rape and abuse. They have elevated her to mythological proportions of maniacal evil. They still talk about this (then) child as if she is an evil genius and they were putty in her hands. Later we hear those same officers making excuses for the pedophile rapists and brutal pimps that perpetrated the crimes in order to humanize them and belittle their involvement, ""Yes, he sure was a funny character alright..."" they said of the serial pedophile rapist in the area. Yet his victim is an evil manipulator.A little time and distance (and a few women's rights movements) brings much clarity. Well, to some of us may be.I highly recommend this doc series.",False
2,7,Andy's daughter though... awful lady.,ememu-05852,n/a,16/08/2025,Intriguing documentary and quite disturbing. The only thing that made me incredibly irate was Andy's daughter. She makes me sick and seems like she's completely okay with her father being a disgusting abusive pedophile. You need help lady!!,False
3,5,Mixed Review,Astaroth22,n/a,16/08/2025,"SpoilerWhile it's an interesting case, the documentary is all over the place, burns up time with too much filler, and repeats information mentioned previously. However, it was a pleasant surprise to see PI Chris Hayes talk like a normal person in front of the camera. That's quite rare nowadays.Next, honestly speaking, Carl Drew is where he belongs and I can't see how anyone could have any sympathy for him. Regardless, I can say there's no doubt in my mind that Robin Murphy was on that roof. Her last interview sealed it. They might say she's a good liar but watching that proved she really isn't.",True
4,9,Complicated and intriguing,ecmarmon,n/a,16/08/2025,"Quick summary: A well produced documentary on a very complicated story. Police corruption, rampant sexual violence, brutal criminals, and satanic panic at its most extreme, who is telling the truth?Overall, I thought it was very well done. Stick with it, it's all interesting but episode four is the Cherry.I really only have one issue with this series. The constant excuses made for violent cruel behavior because of past trauma. I agree that Robin, Carl and a host of others in this story were horribly victimized in their past. I wish this hadn't happened to them, but it is not an excuse for victimizing others. Destroying other people's lives is not an acceptable ""coping mechanism"".",False
5,4,Poor story telling,rustinscherer-14537,n/a,16/08/2025,Too many people giving conflicting opinions with little focus on facts and evidence. No one is believable. Hard to follow.,False
6,8,Liked the first episode,JonanthanNewOrleans,n/a,16/08/2025,"A lot of footage and photos from back then, interesting and mysterious set up about weird murders.",False
7,3,So much repeating,candescelso,n/a,16/08/2025,"SpoilerSo much the same story told in every episode. It could have been brought back to 1 episode. Still no answers, very confusing. Who and why it all happend is still a mistery.. I fell a sleep a few times and find out I did not miss anything. The details told are the most shocking in the whole serie. It would be great if there came a real investigation with REAL answers. Still I think Robin is to long in jail. She should be released by now. Het punishment has been enough for what she did. Would like to know what the real role of Drew was. Is he a victim or just not. No answers at all. Next time better.",True
8,8,truly astonishing,ricewithaspoon,n/a,16/08/2025,"Very intense this one.Very Great: masses of original footage and pictures.I was watching this in unbelief, the first 2 episodes not knowing whose lies were closer to factual truths.You will see moral & emotional degenerates, incredible abuse, ignorance and the inexplicable actions and stance of police.I don't know how to believe into something like a 'justice' system after this. It's shattering.It left me sad, speechless, breathless, deflated. To hear Andy Maltaises' daughter defending him, hearing and seeing what various police officers/state troopers involved at that time have to say about it now .. ( .. Thomas Joaquim, Paul Fitzgerald, Alan Silvia?)
The pain so many people have to live with because they were ignored, discarded by the police, prosecutors, D. A's... i have no words.For me it ended up being - not so much about who had done what - but about the extent of corruption and abuse of power that led to this enormous pile of destroyed lives.This documentary was brilliantly done.Highly recommend.",False
9,3,What is this supposed to be?,dingodad,n/a,16/08/2025,Production and narrative is all over the place. No one is believable. Might have been able to expose police mistakes and ineptitude but the series doesn't take that approach.,False
10,8,Better than IMDB Reviews Suggest,Erik-Movie-Reviews,n/a,16/08/2025,"This was an interesting Documentary and provided an accurate view of life in a failing New England Community in the late 70's / early 80's. There are many victims in the story as well as both minor and major criminals. It also provides a good historical and current perspective on the judicial process, typically favoring politics, optics, and sensation over the actual pursuit of truth or justice. For the average Defendant caught up in the judicial systems without wealth or influence, ""Justice"" is ""Just Us"" / Not them.There are a couple of critical faults with the Documentary. First, the Film Maker mentions the coincidental nature of Robin Murphy turning in both of the people later convicted in what the Police believed to be completely unrelated crimes, but what he omits or does not clarify is that Robin Murphy is the only person who confessed to be present at all three Murders. Robin Murphy's confession about her involvement and presence at all of these crimes is clearly stated in the court transcripts and written legal appeals. In addition, the Film Maker edits the footage of Robin Murphy's Parole Hearing to seem like she is trying to set the story straight to prove Carl Drew's innocence and non-involvement in these crimes when in reality she is trying to recant her own involvement and confession about being present at each of these murders. When she was provided with the opportunity to tell the truth at Carl Drew's rehearing, she certainly did not choose to be honest or do the right thing. The Film Maker's desire for Robin Murphy's participation in this project clearly outweighed his desire to be factually accurate.It is also interesting that Robin's admitted she was one of the last people to see Karen Marsden alive. Two people (young boy / now adult as well as Carol Fletcher, friend and neighbor of Robin Murphy) also claim to have witnessed Robin killing Karen. When Robin Murphy was confronted by these statements on camera, instead of denying the murder directly, goes into a long convoluted narrative about how she had never been on the roof where Karen's murder most likely occurred, as any skilled Liar or master manipulator would.The Film Maker successfully provided Reasonable Doubt about the conviction of Carl Drew and should have ended it there. He also should have highlighted and emphasized that Robin Murphy knew all three Murder Victims, confessed to being present at all three Murders, had a history of violence, and as an aspiring Pimp herself, had a motive to strong arm independent prostitutes that didn't do what she wanted. It seems likely she was in fact present at all three murders and most likely played a significant role in each.In the End, two lessons are learned, Leopards Don't Change their Spots (A Manipulator / Liar remains a Liar) and Ultimately Justice is Always Served (All three of the Incarcerated, were / are exactly where they belong).Good Movie!",False
