Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,"CEO's, Do They Make Too Much Money???",wandernn1-81-683274,n/a,16/08/2025,"It's a pretty sad story of the military industrial complex, which really doesn't care about human life at all, just profits.Bottom line here is 346 people died in 2 crashes and the Boeing CEO who made 30 million a year had to resign. His replacement started with a salary of 1.4 million a year with lots of incentives to aim for. His most immediate incentive? Restore the failure of Boeing Max to flight status worldwide. Which took him around a year, and he got a bonus of 7 MILLION DOLLARS.You see how this crap works? It's disgusting. And really is the plane design safe now? The jury is still out.7/10.",False
2,7,Interesting,danielcereto,n/a,16/08/2025,"The documentary is based on two airplane accidents between 2018-2019 were almost 300 hundred people died.The point here is the why. Were those planes ready to flight?The documentary shows the raw reality of the family of the victims and the long justice battle of them and helped by an important ex Boeing worker, trying to make justice.But there is a problem, the huge and powerful company tries to avoid any responsibility.The documentary is pretty well done and it shows perfectly the point. Could have been better but could have been worse. I like it. I buy most of the story and now I understand the power of big corporations like Boeing, and their priorities. Money first. Security next.",False
3,6,Solid documentary that's gets itself distracted,lfc357,n/a,16/08/2025,"The story of the 737max is a definitely a cautionary tale for all manufacturer's to learn. Boeing got itself lost in a battle with Airbus and made tragic mistakes. Had this documentary focused solely on those mistakes and people who lost loved ones as result, it would have been a powerful and honest film. Unfortunately the director and producer couldn't help himself and let his leftist anti capitalism seep through. This isn't a failure of capitalism, but a failure of upper management to listen to their people and the failure of the FAA to provide oversight. This film is definitely worth watching, just a shame for what it could have been.....",False
4,8,Too big to fail.,FIoret,n/a,16/08/2025,"Boeing is one of those ""too big to fail"" or ""too big to be held accountable"" companies impart thanks to the total ineptitude of the FAA.Not a single person fired or punished? Both of them operate much like the law enforcement in America.... they regulate and investigate themselves - with no serious oversight to hold them accountable.Extremely informative and distressing documentary. By the end I was left with the complete certainty that this will happen again and again.A highlight of the documentary is watching the lawyers for the families relentlessly championing for them. The Seattle reporter who didn't stop till the truth is uncovered. And the young woman in the UK who lost her father. She handles her grief with such strength and grace.My disappointment with Boeing and FAA is slightly less maddening knowing there are people out there that are still honest, ethical and are doing what's RIGHT instead of what they want.",False
5,1,Very biased and unintelligent,yogi-35522,n/a,16/08/2025,"I wanted to know if the plane is safe to fly. This documentary is just corporate bashing not technically informative.This is not journalism, it feels more like a dramatic movie. It's very unfortunate that this happened but this movie doesn't do any justice to look forward. It felt just one sided or documentaries supposed to be just facts. How did my own research and found out that most pilots love flying this airplane and most experts approve of the changes. It's unfair to the audience as well as the Boeing company. There is a Frontline documentary which is way better and way more informative than this.",False
6,10,"Incredibly moving, beautifully filmed",faiza_slika,n/a,16/08/2025,"Not all heroes wear capes, and seeing people putting their lives and career on the line, with so much grace is incredibly powerful. The whistleblower deserves honors.And for once we are taken into this scandal through the experience of the families victims. It could happen to any of us, we could all be victims of big corporations greed.It's just so sad that they kept on going, it's an insult to the hundreds of families who lost loved ones. Well done Amazon for bringing this story to light.Also, congratulations to the directors and producers for capturing the emotions of the families and the bravery of the whistleblower.",False
7,5,The Victims & Public Deserve More,AudioFileZ,n/a,16/08/2025,"Films like this tug at your emotions. Afterall, how dare a huge corporate entity, with government oversight, murder hundred of people with the potential to kill many more? Well, if every story has multiple sides this film pretty much narrows it down to incriminating Boeing, only topically exploring the hubris, callousness, and possible criminal actions of the Boeing corporate management.No one went to jail curiously...and, I deduce by various sources on the web, the lawyers for the victims made off individually much better than bereaved relatives. As dark as the corporate greed was, it turns a blind eye to the equally questionable supposed compensation process.The viewer, and I believe, victims would be better served by a surgical and methodical look into the many aspects creating the perfect storm where Boeing went from being the premier producer of safe and dependable aircraft to a company making sub-standard, and un-safe, aircraft in service of milking Wall Street, and airline clients, for obscenely massive monetary gain.This was preventable, yet all of the early employees sounding quality control issues were literally erased by Boeing (see an pre-Max expose on CBS 60-Minutes where alarm bells over the 787 ""Dreamliner"" quality predicted future deadly crashes). In this film we see a few latter-day Boeing employee whistleblowers - basically too little, too late to stop the deadly wheels already in motion. The whole terrible tragedy could have been caught earlier, much earlier. This is a big ommission to a better understanding of a deadly corporate climate.As such, Flight/Risk simply makes Boeing look evil and the lawyers seeking compensation like some kind of saints. I hardly believe this serves the victims in the most reverent sense. And, the Max is back in the air, perhaps safer, yet still highly flawed, which no one seems to want to explore in depth. Something still smells bad in this whole terrible tragedy and this film ignores it. Maybe one day a really hard-hitting, courageously in-depth probe will tell a more balanced accounting. One that truly exposes how a revered and respected Boeing became a criminal organization able to reduce the FAA to the level of a lachey accomplice.",False
8,10,Anyone who has to fly should watch this,orchidami,n/a,16/08/2025,"This was really an excellent documentary. It moves quickly and clearly and to the point. If you are part of the public that has to fly on a regular basis I would recommend you watch this, if you are a concerned citizen and tired of BIG BUSINESS controlling our world and our government you should watch this and even if you don't care about either you should watch this. They hit on all the points without getting muddy and boring. Points out clearly that as a human being you mean NOTHING to large corporations or the greedy people that run them and the FAA that one would think cares but really doesn't. The whistle blowers of this world should be hailed as the true rock stars of our society they deserve adulation and all the respect. Too bad $ is always the winner in our universe.",False
9,3,"Whiny, incomplete recap.",edwmeier,n/a,16/08/2025,"SpoilerThis film focuses on family's grief, the whistle blowers who were ignored, and the journey to hold Boeing criminally accountable, which they deserved. (Compare Volkswagen's ""clean"" diesel exhaust scam.) A strong case is made that the FAA was complicit in the cover up. But the film fails to fully explain exactly what happened. There is no mention of Boeing execs relying on one sensor for this critical piece. (Using two would have required recertification as per FAA rules.)It bounces back and forth between stories of families recovering and reflecting, the technical explanation, and the legal team. It can be difficult to remember where the previous story left off. So I would call it choppy.This is not a good addition to the story of this tragedy.The federal hearings are captured well. And president Trump is not made out to be a fool for a change.",True
10,10,Speechless,dsouzakriston,n/a,16/08/2025,Never seen the other side of Boeing until these 2 crashes and this documentary takes you on a ride with the people who showed the other side of Boeing and the FAA with so much depth. These people really bought justice if not full justice to the victim's families. The main culprit's are the CEO FAA and the Senior managers who managed to escape. I hope Boeing and FAA has learned from their mistakes and prevent this incident in the future. Being an Avgeek I never thought Boeing will go for such an extent for Profits at the cost of 346 innocent lives. This documentary really shows the pain of the victim's families. The Best Documentary I've ever seen hand's down.,False
