Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Think Golf Is Boring? Think Again! Netflix's New Series Will Change Your Mind.,lovemichaeljordan,n/a,16/08/2025,"Netflix has done a great job with their sports documentaries, and their golf series is no exception. 2022 was an excellent year to start following golf, and the episodes are packed with emotion and suspense. Golf is a sport that translates incredibly well to television, and the stakes are high - one poor shot can be catastrophic and ruin any chance of winning. In contrast, a tennis match is often long and grueling, and a single mistake may not determine the outcome. Like Formula One, the intensity of golf lies in the knowledge that one misstep can knock a player out of the running for the win.Like Drive to Survive and Break Point, there is a lot of information we already know (rules, etc) but it's explained quickly. These shows are aimed at general sports fans, and in that aspect, they're great. Even if you're already familiar with golf and its players, it's still fascinating to gain an intimate look into the athletes' thoughts and emotions - and perhaps even more so for more casual fans who may not have seen this side of the sport before.",False
2,9,Fantastic series,Bcfcjacko,n/a,16/08/2025,"Really good insight into what goes on behind the scenes and what the players go through not only on the course but off it. Although I'm not against what LIV is trying to do to potentially enhance the sport of golf, this series just shows that the PGA tour will likely always be the pinnacle and where the best players want to compete against eachother. It goes to show that the very best players such as Rory/JT have stuck around because legacy is just as important as the wealth. However for those middle ground players such as Poulter/Westwood who're also at the tail end of their careers, you can see why LIV Golf was the right decision.",False
3,9,Brilliant Stuff,phil-83737,n/a,16/08/2025,"I'm a keen golfer, I'm now retired so I play golf a lot, fortunately my wife also loves the sport and plays just as much as me.I play it, watch it and try to improve constantly, much like many of the players highlighted in this documentary.The difference is that I don't have millions in the bank, private jets and even though I try hard I'm still average at the game!This is a fascinating look behind the scenes at the world of professional golf, I loved it.Seeing some of the players that we see everyday on TV up close and personal and getting a look into their lives was eye opening.I've now got much more respect for some of the players.Some others less so, Tony Finau and Joel Dahman what lovely guys.",False
4,10,Incredible series. Don't believe the negativity from naysayers.,BrentJamesDriscoll,n/a,16/08/2025,"It's really a gift to have such an inside look into these players lives. Who knew Tony Finau was such a family man? The emotion and heart of that man really touched me in a wonderful way.Joel Dahmen is a Washington state player so we love him up here. His humility and talent go hand in hand as a welcoming gift to us all. I will be rooting for him even harder after this series.Come for the rivalries but stay for the emotion and dedication of these players. It's a well shot and edited documentary.I would've loved to see more LIV tour rivalry stuff. There's some juicy bits there that could be squeezed for the audience more.Overall, I loved this season and I hope there's much more.",False
5,10,Deep dive into a pro golfer's life,ricovegas,n/a,16/08/2025,"It seems that some of the negative reviewers didn't quite understand what this show is about. That's their loss. As an avid gofer, I was looking forward to this show with great anticipation and, trust me, it did not disappoint. Over the course of the episodes, we are taken into the daily lives of a number of players and are afforded a behind the scene look that is unbelievably illuminating.I'm sure many folks dream of fame and fortune in the field in which they have a genuine passion. How many little leaguers have dreamt of making it to the majors; gymnasts dreaming of Olympic gold? This series may very well make you rethink your aspirations.Yes, their definitely is fame and incredible fortune. Mansions and private jets and world travel are a way of life for the most successful, but, their is also a never-ending quest to remain at the top' to be successful or as Brooks Keopka says 'Win or go home'. One can almost palpably feel the pressure these guys are under to perform. There are no participation trophies on the pro tour. You miss the cut, you go home without any money. A missed putt at your local muni may cost you a $2 Nassau bet with your buddies. Now imagine if this missed putt means your entire season is thrown into turmoil.On any level, golf is a wonderful, exciting and challenging pastime., but, it can also be extremely frustrating and heartbreaking. Now imagine if this is how you make your living. Every good thing and every negative aspect of the game is magnified to an unbelievable level, but, as humans do, we all keep chasing our dreams.Whether you are a golf fan or not or just a fan of human nature, you will not be disappointed with this series.",False
6,8,Great behind-the-scenes look at the world of golf,grantss,n/a,16/08/2025,"(Reviewed after Season 3).A behind-the-scenes look at the world of professional golf. From superstars like Rory McIlroy to journeymen like Joel Dahmen and many in between we get to experience the highs and lows of the sport and what goes into being a professional golfer.A great, though not consistently so, look at the world of professional golf. We don't just see the lives of the superstars but also the everyday, just-getting-by golfers and players of various levels in between. For me it was the struggles of the less-good golfers that were most interesting though I did also like to see what made the megastars so good and how they approach the game.It's not consistently engaging though: some episodes focus too much on the golfers' families and tend to feel quite padded. The best episodes focus on the golf.This mix between golf and the golfer's private lives is the main determinant of the quality of the seasons. Season 1 starts more family-focused but ends very strongly. Season 2 continues where S1 left off. Season 3, while covering the main golfing events of 2024 and still being quite interesting, does feel a bit padded towards the end.Season ratings: S1 8/10, S2 8, S3 7.5.",False
7,n/a,Series 3 is a real dissapointment,n/a,n/a,16/08/2025,Like series 1 and 2 but sadly series 3 is a real bore and dissapointment. It jumos around too much back and fourth in time due to there being very little unfolding story lines. The characters are boring this season and all around relies way to much on fast cutting and bland master interviews that don't forward any sort of narractive. Feels like Full Swing has done it's day and should be retired.Like series 1 and 2 but sadly series 3 is a real bore and dissapointment. It jumos around too much back and fourth in time due to there being very little unfolding story lines. The characters are boring this season and all around relies way to much on fast cutting and bland master interviews that don't forward any sort of narractive. Feels like Full Swing has done it's day and should be retired.,False
8,9,Really Enjoyable,cblissett-97206,n/a,16/08/2025,"I really enjoyed this series. Very unique and cool look behind the scenes of the vastly different lives of golf's best. There is a lot of highlights, tournament recaps and things that the average person not into golf may find less interesting but it is important for the series. There is a lot of talk about the LIV golf controversy as I would expect considering that is a very relevant topic in professional golf right now. Other reviews I see are calling it a biased pro PGA Tour propaganda piece and there may be some bias but I don't think it detracts from the series. The controversy seems to be pretty hard lined and people are either for it or against it. If LIV ends up pushing the game forward then that's excellent but the jury is still out. Very cool to see the family lives and personalities of people we generally only get to hear from in press conferences or social media.",False
9,6,"It's just players personal life biographies and offers no real PGA inside info, fails to live up to Drive to Survive success",Airman87,n/a,16/08/2025,"Full Swing is Netflix's first attempt at taking a cookie cutter approach to their incredibly successful Drive to Survive series and applying the formula to another sport. Unfortunately all the things that make Drive to Survive so successful for diehard F1 fans - insight into specific controversies, dynamic of teams and racers, and the governing bodies decision making - are completely absent from Full Swing.True golf fans will have to wait until the very last episode before Full Swing attempts to wholly address the PGA's inside decision making on LIV and the future of the sport. Rather unfortunately, it's only told from Rory's perspective. Like a heavily guarded military, we get no actual insight from PGA officials, footage or audio of player and league meetings, nor official interviews from PGA organizers.What Full Swing does is spend most of it's time loitering around the personal life stories of specific players. It's edited in a way that wants you to believe the Netflix crews were following these players before their breakout or reaffirming wins, but in reality, you can tell the interviews and personal life filming was just cleverly edited and mixed with stock Tour footage to trick you into the timeline of events.If you want to know certain golfers better, this is a good show for that. If you're hoping it brings something new to the table that was unknown or unseen by the golf community, this show offers little in that regard.",False
10,10,And I don't even like golf,jobybyrne,n/a,16/08/2025,"I enjoyed Drive to Survive and Nascar Full Speed, so I thought I'd give this a go. I've never really been into or interested in golf, although my uncle used to manage golf courses before he retired.I have to say I loved it. There was valuable insight into the structure and psychology of the game and we got to know some of the characters. I have to say in places it was genuinely funny too and there were some fantastic quotes such as, ""Is he capable of being a top 30 player? Absolutely. Does he want to be in the top 30? Probably not.""Aligned to that it is presented in Dolby Vision and Dolby Atomos so if you have the right gear it looks and sounds fantastic.Like any Netflix sports series if you are a true enthusiast, that may ruin it for you because you know too much and the flaws will be more obvious, but if that is not you or you can look over them I think you'll really enjoy this.",False
11,6,Could have been so much better,Graddick,n/a,16/08/2025,"As a keen golfer, I was really looking forward to this behind the scenes documentary series. Do t get me wrong, I did enjoy the insight into what it's like to be a pga tour pro, particularly the varying abilities and expectations. What I didn't like was the heavily biased anti LIV golf message. All the LIV players are portrayed as greedy, unprincipled, and shallow, whilst those who reject the advances of LIV are saintly, loyal, morally superior, and caring for the community. I have no horse in this race personally but I do respect individuals right to choose, and think political and cultural differences are far too complicated to be solved on the golf course or sports field. I do hope there is another series that doesn't focus on the Political arguments and LIV rivalry so much, and more on the tour and the individuals involved. I would also welcome input from more globally well known golf journalists and commentators rather than the frankly boring comments from Sean Foley and Amanda Renner.",False
