Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,Bro thinks he's funny because he's famous.,stevewrightrealty,n/a,15/08/2025,"My wife liked it. She's Latina and I'm white so maybe I don't understand it. I just don't get all the cheers without making me laugh even though the headline was something like unity in laughter. He was trying to either be uncancelled or prevent from being cancelled most of the time. He mentioned kevin hart as not giving power to the cancel culture but most of what Gabriel talked about was giving power to cancel culture. If they didn't have power he wouldn't have mentioned it. Dude had the best night of his life and it was like watching someone in the witness stand. He is a great sound artist and a story teller, I just think for the venue it would be more attack and less defense.",False
2,6,"Entertaining, but not Fluffy's best work",artgutierrez,n/a,15/08/2025,"I saw Stadium Fluffy last night, and I simply enjoyed it... And that's not necessarily a great compliment. When I watch a Fluffy show, I know it will be nothing but big laughs the entire show. You're going to bust out laughing the whole show. So, if you merely just enjoyed it, then it's somewhat of a disappointment compared to his previous work.The venue itself (Dodger Stadium) was basically also a star of the show. So Gabiel needed great material that was worthy of the great venue. That material simply did not live up to it... at times. A lot of the show was hit or miss with the impact of the jokes.I did notice that more of Gabriel's stories were just that... Stories, not jokes. I expected more rapid fire jokes in his stories. But at times they were few and far between in Stadium Fluffy. I don't mind Gabriel telling us stories about his life. After all, that's what his stand-up material is based off. That's his bread and butter and he should stick to that formula. But all I ask is to be more consistent about the funny delivery of those stories.Good entertainment, but not Fluffy's best.",False
3,8,"SOMETHING DIFFERENT, BUT WONDERFUL!",yahyabajubeir-91036,n/a,15/08/2025,"Fluffy has been my number one for quite sometime now, even though im all about dark humour and fluffy doesn't really go down that road so much. So before watching this i told my friends that this show will make me decide if he's still my number 1...So after watching it (literally just finished it now),Drumrolls!🥁🥁🥁🥁🥁I realised that this wasn't all about comedy..this was also about connecting with the legend (fluffy) himself, i feel like i know him more as a person now and i think we (fans) needed that. SO TO BE FAIR i wont use this special to rank his ability to make me laugh, I mean if i was told to rate this just by the jokes then I'd definitely give something lower than 8 because he's done so much better before. But to rate this as a whole!?...A solid 8.",False
4,n/a,Current events and politics ruin the show,n/a,n/a,15/08/2025,"People had enough of that and try to move on or simply doesn't want to hear that in a supposedly entertaining type of event.The other parts are also not really good. The almost two hours were not used well.Mostly longer stories that are kind of boring and lacking in the jokes apartment. It felt like self advertising and bragging.Too much focus on the event and not on delivering quality to the audience.He is not my favorite comedian but he has better specials than this.I believe the long hiatus ruined some (or most) standup performers. They became disconnected, out of touch with people.",False
5,6,"""I have never been distracted by a blimp with my face on it.""",classicsoncall,n/a,15/08/2025,"SpoilerI don't doubt Gabriel Iglesias when he stated near the end of his program that this was the greatest night of his life. I can't imagine any one single individual selling out Dodger Stadium for a one man show, but Fluffy did it and an overhead shot of the stadium confirmed it. But I didn't get the impression this was an evening of entertainment, but more a reflection on Gabriel's life and personal situations that got him to where he is today. As such, there was not a lot of humor in his delivery, even when riffing on subjects like the Covid-19 pandemic, waiting on line at Starbucks, Halloween with son Frankie, or his introduction to country music. This would have been informative in an interview format with a host asking questions and Gabriel answering; it almost felt like an interview without a host. And stretching the show out to two hours made it somewhat of a chore to sit through. More than once I thought that this wasn't funny, although I did persevere to the end. I do believe Gabriel Iglesias was honest in his reflections and truly humbled by the experience of performing in such a huge venue, and it may have been a Netflix special, but it wasn't really a comedy show.",True
6,9,More human with laughs,skphotos-81402,n/a,15/08/2025,"I get that people just want laughs but these last few years did a number on us all. It just shows that even comedians go through hard times and if they can come back and give us some good belly laughs then they did their job in this crappy time. Life has changed, what we laughed at years ago is now taboo and he still made me laugh so hard and even a little misty eyed because he is human like everyone else.People just need to watch this for him and know the comedians talk about what's going on in their life, and for the past few years it's been vivid, cancel couture and more.. take it for what it was, a man telling us his take of the past few years with a lot of good laughs.I enjoyed it and after the few years I had, needed this. THANK YOU FLUFFY!!!",False
7,7,Fluffy kills it,RedKidBytes,n/a,15/08/2025,"Known for his voice imitations and making fun of his mostly generic daily activities and lifestyle, Gabriel ""Fluffy"" Iglesias is listed as one of the top 40 comedians in 2018 by Hollywood Reporter.Gabriel's visceral narratives and vivid descriptions supported by the hilarious sound effects grab the audience into the story from the beginning and establish almost a one-on-one direct dialog with everyone at the individual level.Although a lot of the stand-up comedians choose divisive or touchy subjects for laughter material, Gabriel purposely avoids it which allows him to relate to a much wider audience.This Netflix special is a truly funny laughing matter yet it's delivered as it is told off the cuff. It starts slow and gets funnier by the minute. It is a very entertaining show.",False
8,8,How can you not love Fluffy.,Top_Dawg_Critic,n/a,15/08/2025,"How awesome would it have been to be there at this live show - selling out an entire stadium. If you're not laughing, you'll genuinely have a perma-smile throughout the almost two hour show. Gabriel is one of the best and most honest storytellers there is, and his style is top shelf. Some comments complained he touched on politics etc, but so what, for hardly ever doing so, it's a comedians encyclopedia of content, and he touched on those topics with style. Certainly one of the better recent stand-up shows out there, and 1000x better than the last one I saw - Trevor Noah live in Toronto, which was utter boredom and nonsense. Sure there could've been more comedy in the two hours, but his voice-overs in his story-telling are just as enjoyable and entertaining as laughing at a joke. Can't wait for another Fluffy show, and happy we finally met Martine! A well deserved 8/10 from me.",False
9,6,Enjoyable Special from Fluffy,tkdlifemagazine,n/a,15/08/2025,"Gabriel Iglesias, aka Fluffy, is a funny comedian with a positive disposition and this special is good. It is billed as the performance of his life because it was filmed in a football stadium in Los Angeles. That doesn't much change the content, aside from the fact that he talks personally about the experience and meaning for hi. He covers topics of the Pandemic, his weight, and his family. He is a very approachable and endearing person and I did enjoy listening to his stories about his comedic rise, as well as his perspectives on the world. It is refreshing that his is not overtly political, or controversial. He is funny, but he is not hysterical in my opinion. This was a good way to pass an evening for sure, even if it was not the best comedy special of the year.",False
10,10,"Incredible, loved it.",adrianristin,n/a,15/08/2025,"SpoilerI am really impressed with the special, i laughed, i had tears in my eyes, i simphatised with him and i think it is amazing that he had a special where he speaks of serious factors of his life too, as i said i have nothing but appreciation for this man even more now that he had the courage to go trough the topics he did. He loves his public the public loves him, that is clearly visible.Also love the nostalgia of the doughnut joke :)And the ending, absolutely special, after 25 years of doing comedy and all the experiences hes gathered, good and bad, he deserved it.I am a big fan of Gabriel Iglesias,Always there to brighten up our moods, we thank you.Huge round of applause 👏",True
