Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,Strange choices from director,kels-leigh94,n/a,15/08/2025,"The archival footage and the people who were interviewed and spoke about Garbo and her life were fantastic. However, the theatrics of the woman (presumably meant to be Garbo) wearing the freaky paper mache mask, were wildly unnecessary and frankly unpleasant. There were also a number of times where letters or quotes were read by the same voice but it was a conversation between two or more people. It was hard to follow who was supposed to be speaking. The Swedish ""journalist"" that tried to interview Garbo for decades was very unsettling, and it's never addressed. This man and his group essentially stalked her and then swooped in when she was elderly and vulnerable. The entirety of the documentary was based on the fact that she hated the attention that her fame attracted and yet this journalist man was almost part of the narrative.",False
2,5,Conceit doesn't work,havingseenthemoon,n/a,15/08/2025,"The actual documentary portiona of the film are excellent. In a huge Garbo devoté and I learned many things about her. But the bizarre and annoying conceit of the blonde wigged woman reading notes and repeatedly uncapping her pen is extremely annoying. Every time she shows up, balancing on her ballet slippers and reading notes im very annoyed!!! Her dialect and accent are so fake I can't stand it. She's completely affected and self aware and performative and it's truly awful. The actual footage is informative and well edited. I cannot imagine what they were thinking weaving the narrative with the wigged waif. Ugh!",False
3,7,Greta Garbo is always fascinating,dakjets,n/a,15/08/2025,"The enigmatic Greta Garbo...
Here is a new documentary that, with its title, attempts to find answers to where she went after her magnificent film career. The title is somewhat misleading. This documentary covers the entire journey Greta Gustavson aka Greta Garbo made from Sweden to Hollywood, highlights from her career and the reclusive life she lived after the floodlights were turned off. For those of us who know Greta Garbo and have seen/read about her before, nothing new comes out in this one. Nevertheless, the documentary is a must for film lovers. Greta Garbo is one of those figures who is always fascinating. The documentary has lots of clips of her both from film and otherwise.Watch it if you want to have a reunion with a real film star who came from nothing and who conquered the whole world before she mysteriously withdrew from all publicity.",False
4,3,Meh,anniepie29-917-617555,n/a,15/08/2025,"A few interesting facts and movie clips.The documentary basically focused on everything we already know about Garbo and did little to delve into the deeper mystique of the woman and give us insight into the Garbo that was out of circulation for 50 years. Additionally, I found these things problematic:-- The ""voice of Greta"" reading her letters sounded like a character out of Downton Abbey rather than a shy Swede.... totally misses that low husky sound.-- There is a woman with a mask that keeps appearing in the film --- with the mask hiding her and then at times giving a glimpse of the real life. I suppose there is symbolism there with the real Garbo hiding from the public... but the mask is so creepy and so distracting, that I had to quit watching and just listen.-- The actress billed as ""the investigator"" consistently interrupts at inopportune moments and is perhaps more distracting than the creepy mask.Overall, not well-produced and a big let down. Don't invest the 90 minutes. You could tune into a TCM Garbo movie and hear a Ben Mankiewicz pre-film summary that would give you the same level of information (and you could actually watch him and not be creeped out).",False
5,1,Very Stange Documentary,JSM-27,n/a,15/08/2025,"The people who were interviewed and the archived footage regarding Garbo were great. The use of the paper mache mask were creepy and unnecessary. Also unnerving was the platinum blonde actress who chewed through every seen she was in. Her acting was way over the top, and did nothing for the film. It appeared as though this documentary was the first professional job for the blonde and she wanted to make a good impression. She failed miserably.I stopped watching about 3/4 of the way through the film because I couldn't take the mask and the platinum blonde anymore. I wish the film had been solely archival footage and interviews.",False
6,n/a,Where Did My Time Go?,n/a,n/a,15/08/2025,"Garbo: Where Did You Go? Should have been titled Garbo: Where Did the Point Go?This documentary somehow takes one of the most enigmatic stars of Hollywood's Golden Age and turns her into a dull, meandering mystery with no payoff. It spends nearly an hour trudging through her childhood and early life with barely any coverage of her actual years as a global icon. The decision to use a paper mâché mask on a stand-in Garbo (who looked more like the Jigsaw puppet than the Swedish Sphinx) was mind boggling. Even worse were the bizarre gum-chewing interludes from a blonde woman whispering like she was filming an ASMR video in a Brooklyn loft. When the film finally addresses her retirement in the last 20 minutes, it offers no real insight...just the same tired refrain that she didn't want to be famous anymore.No notable talking heads, no revelatory commentary, and no reason to watch. After suffering for almost an hour, I fast-forwarded just to get to the part that was supposed to matter-and even that was a letdown. A true waste of time.And no, this review doesn't contain spoilers. Greta Garbo died when I was a year and a half old. If that's a spoiler, I'd like to speak to your history teacher.",False
7,10,Beautiful and melancholy portrait,martinpersson97,n/a,15/08/2025,"SpoilerThis incredible documentary drama, by a stellar director, which is a favourite in documentary filmmaking indeed, is definitely a beautiful and intimate portrait of one of the biggest legends in cinematic history,It is a very thourough film, delving into Garbo's personal affairs, thoughts and overall life, whilst also, of course, chronicling her career splendidly. Very emotional and leaves you with a bit of a sad feeling, yet also hopeful and accepting of the life she choose. All very beautifully written and paced, very cinematic and a good blend of staged and archived material.The cinematography, cutting and editing is incredible, very classic in style, and would have made Stiller or Garbo proud. Very beautifully put together indeed.Overall, a must-see for any lover of film and fans of Greta Garbo!",True
8,4,Disjointed,catschasemice9594,n/a,15/08/2025,Disappointed. The Garbo mask scenes did nothing for this biography. They were distracting. The narrator was annoying. I'm not sure if she escaped from a mime college to exert her annoyingly stilted lines. I'm also not sure if her hair was supposed to be Garboesque. Made it through half the documentary then put the speed on 1.5. There isn't enough Garbo and there is too much of the mask and the mime. Garbo was alive when I was a kid. She'd show up in a news shot or film on occasion. So she didn't disappear. She out right stated she'd had it with Hollywood. Better to watch a film like Ninotchka to see how Garbo shone.,False
9,3,Garbo: Where Did This Documentary Go?,The_revenge_of_Wallis_Simpson,n/a,15/08/2025,"Only worth seeing for the clips of her silent movies and for the fact that there are so few documentaries on Greta Garbo (the TCM one being far superior to this) but overall this is very much a mixed bag and overall a bit of a mess.The lumpy paper mache masks used to depict Garbo's head are truly grotesque. A very strange stylistic device for a woman who was universally known as the Divine One and feted for her staggering beauty during her lifetime. Could they have not used still photographs? Ultimately, the repetitive use of these masks throughout becomes a big bore.Secondly the narration by Noomi Rapace is dull and vocally she sounds far too modern to convey the thoughts of Garbo's in the 1920s, 1930s and 1940s.The use of 'An Investigator' in a blonde Garboesque wig also adds nothing. A Louella Parsons or Hedda Hopper or even a Walter Winchell type may have been a better choice at representing the Hollywood of the time. Little to no mention of the Garbo mania of the 1930s or of Garbo's private life.The good things are very few and far between: Some taped phone conversations from Sam Green, who was Garbo's walker; Scott Reisfield, representing Garbo's family; Mimi Pollak's daughter giving her opinion; and an interview snippet of Marlene Dietrich humbly declaring that nobody was Garbo's competitor, implying that no one at that level of fame or success in the 1930s.Sadly it's a shame this documentary doesn't do Garbo any justice at all.",False
10,4,Boring and I learned little about a compelling character,Clemmie88,n/a,15/08/2025,"I love documentaries and was so excited to watch this and learn more about Garbo. This was extremely boring and provided mostly surface level information. More time was spent showing an actor holding a weird fake head in front of her own or flipping through papers than clips of Garbo. And yes, I understood the point of the fake head, I just found it an unnecessary waste of time. The film would touch on something quite briefly but wouldn't explore it deeper and would quickly move on. It left me constantly hoping for more but I was disappointed each time. Surely there is more information out there about a fascinating person like Garbo. Don't waste your time.",False
