Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,"Meticulous, chilling, horrific",aarpcats,n/a,16/08/2025,"A young woman dies in an Oklahoma City from the injuries she has received in a hit and run. The doctors and police suspect foul play, but it isn't until they don't find out that she isn't who she says she is that the mystery begins to unfold. Slowly, but surely, the horror of her life unfolds.This is one of the best, and most well constructed, documentaries, I have ever seen. The director tells the story in the chronology that the police and the FBI a discover it. The result is the stomach churning story of sociopath and the damage he has done.See it because his victims deserve to have their stories told, but, beware, that is disturbing.",False
2,8,Bombshell,Calicodreamin,n/a,16/08/2025,"One of those stories that shocks you with every twist, its wild and almost unbelievable. A well put together documentary with relevant interviews and a smooth rhythm to the storytelling. Sad, poignant, and just incredible (in a really disheartening way).",False
3,7,Heartbreaking,staciarose20,n/a,16/08/2025,"SpoilerFirst, it's a given that Frank was a psychopathic pos rapist and killer. Scum of the earth. I'm almost shaking writing this review. Poor Suzanne. Such a beautiful and intelligent girl, and she really was just a girl. Forced to have three kids by 20, repeatedly raped, abused, and thrown away. She was raised by a monster because of her mother. Who didn't shed a tear when interviewed, nor her father. Megan's adoptive mom pretty much said it all that her grandmother isn't interested in a relationship and couldn't care less. Idc what anyone says, there's something very wrong with both her parents. Things could have gone so differently if her mom hadn't cheated on her dad, if she hadn't chosen the wrong men repeatedly, and if she gave a damn about her kids! Shame on her!!!! It's the main job of any mom to protect her kids. Don't have them around random men you barely know. The dad could have fought harder, but he was washed up by 23. Suzanne had such potential. What a waste.",True
4,7,So much unanwsered....,Tulip88,n/a,16/08/2025,"SpoilerWhat happened to ""Sharon's"" first child? Who was Michael's real father? Did Warren Hughes kill Sharon, they didn't anwser that... So many weird people in this documentary, Sharon's biological mother, Michael's adoptive parents (they were really giving off bad vibes) the author of the book who clearly just wanted to write the book,the friend who says she was really shocked to find out Sharon and Warren were married but then saying she witnessed him raping Sharon when they were young and not telling anyone? And mostly how Sharon wasn't able to tell anyone or run away but was allowed to have sex with other man? It's an interesting and sad story but I don't like documentarys where I am left more confused then I was before watching it...",True
5,9,Tragic Yet Beautifully Told...,helenahandbasket-93734,n/a,16/08/2025,"I'd seen this same story told on 48 hours, but this was so much more informative and heartfelt; the tragedy of Suzanne's life from beginning to heartbreaking end is told so poignantly and precisely.One walks away from this and can only feel that her life was so tumultuous- from her ridiculous mother and the affair while the child's father was fighting a pointless war that left him a shell of his former self, birthing two additional children, then marrying and divorcing that man, decides to go it alone and her story goes from bad to worse, ultimately loosing all 3 girls to the state (there's no definitive answer to this, only the pathetic mother offering incredibly poor excuses) to find her falling for this pathetic excuse for a man, who would ultimately dump the two younger girls at an orphanage and embarking on the travesty that became Suzanne's life.At one point, this adorable and incredibly intelligent girl had the world in the palm of her hand, only to have this monster destroy it again, tear her from a likely successful collegiate career, and turns her again upside down to further destroy what little joy she'd gathered. That she was able to turn her horrific adolescence into a brilliant success speaks greatly to her character, despite the monstrous influence of this horrible, pathetic man.She eventually finds herself forced into a life she'd never imagined; having children, forced into exotic dancing and prostitution- surrounded at every turn by devastation and depression.So many people refused to give up, refused to let her fade into obscurity. An author, a retired FBI agent, and an incredibly brilliant group of DNA genealogists combined forces to finally give this girl the name and proper headstone she deserved, in spite of the monster who'd taken it upon himself to destroy her, her son, and their lives.This story is so wonderfully done and pays tribute to a brilliant star in the sky who was never able to realize the power of her shine. What a complete and total tragedy that befell this child, and it's an honorable group of people that ultimately ensured her death would not be the end of who she was. What a tragedy that even she never knew who she really was, how many people failed her, and hopefully, her daughter lives a long and love-filled life, as a legacy of what her mother was.",False
6,7,Shocks you with the kind of twists you'd least expect! [+74%],arungeorge13,n/a,16/08/2025,"The documentary starts off as a typical hit-and-run case, eventually branching out into a spiral of unending twists and hidden mysteries. While it spends the entirety of the first act on the perpetrator and his doings, director Skye Borgman ensures that the piece lends ample time on unraveling the mystery around the titular girl's identity. That's when the documentary comes into its own, never letting us forget that it's not the inhumanity meted out to the victim that she needs to be remembered for, but for who she was, as a person (friend, peer, mother). Skye wants to tell us that even under the most difficult circumstances, the victim was always trying to be her best version. The final stretch is incredibly moving, especially when we get to know of more people related to her, and what she meant (or still means) to each of them.",False
7,10,Shocking story and an excellent documentary,Diviana-83,n/a,16/08/2025,"SpoilerThe story is so tragic and twisted that I found it hard to believe. Unfortunately it is a true story. :-(I personally think that Suzanne's parents are very much to blame for what happened to her as Floyd is. They could have searched for their daughter (TV shows, newspapers etc.) but they didn't. They completely failed her as parents and that makes this story so devastatingly tragic. RIP Suzanne and Michael.",True
8,7,Sad,nezbitkn2,n/a,16/08/2025,I never know how to rate hhese types of programs. Give it an10 and its almost like you enjoyed the sadness of what happened. A solid 7 is to show my respect to the victims. God bless.,False
9,8,Crazy twists but so many people failed Suzanne,smahmood-11755,n/a,16/08/2025,"SpoilerFrom her birth mother, high school friends/parents, fellow dancer in Tampa, to the baby sitter.All had a chance to look for or report what was going on and no one did. I understand being scared of Floyd but so many times they just up and vanished and it seems as if these people just went on about their lives instead of looking for her. Especially the dancer in Tampa who was kidnapped herself.",True
10,7,Tragic story but are we dining out on real misery?,beckypalfery,n/a,16/08/2025,"This is an utterly awful story and that is what makes it captivating. I didn't think the film itself was anything remarkable and am perplexed at the reviews that mark it out as a different way of presenting a real life tragedy. The film was well done and it did spend time trying to bring things together to give the subject respect and a sense of closure for the family but if I am honest I think that is a mechanism for making the voyeurism of this kind of film palatable.It was not in and of itself a remarkable bit of film making.I enjoy documentaries and am fascinated mainly by what motivates these crimes, how we can spot clues to these kind of behaviour etc but I am more than a little concerned that Netflix seems to be becoming known for glamourising this genre, reading reviews of how amazing it was left me wondering if we are so detached from the fact that it is real we are becoming numb to real life horror and are we getting used to dining out on other peoples misery?",False
