Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,A Must-See to Get Filled Up on Inspiration!,colette-75830,n/a,16/08/2025,"Go On, Be Brave is a gem of a film. From the very start, it pulls you in and takes you on a journey that truly touches all of the emotions...joy, grief, laughter, frustration, anger and then joy again.Andrea's story is one that has stopped me in my tracks and inspired me to consider the world around me and be ok with it. Because in spite of the simply incredible challenges that lie in her path, Andrea rises up, grabs life by the eggs, gives a middle finger to her disease and simply crosses every finish line she sets out to cross. And she does it all while bearing an intoxicating smile and surrounded by a tribe who are in big love with who appears to be a superhuman.I love this film, the story, the people...and watching it was good for my soul. <3.",False
2,10,Beautiful film. Incredible story. Gorgeously shot.,thorsten_kessler,n/a,16/08/2025,"Go On, Be Brave tells the story of Andrea Lytle Peet, and her courageous attempt to be the first person diagnosed with ALS to complete a marathon in all 50 states. Filmed over several years and all over the US, Andrea is joined by her team (husband, mother, doctors, physical therapists, and friends) in documenting the incredible journey she takes. The filmmakers crafted a movie with incredible shots, showcasing the beauty of the human soul and pitting that against the devastating effects ALS has on thousands of people. While introducing us to a hero, it also carefully introduces us to a community of fighters, many of whom have lost their battle but whose stories live on through their work to help find a cure and impact they have had on the community. The film takes us on a journey. Not just through the hills, mountains, streets, woods, and other beautiful landscapes and terrains Andrea battles through but also the journey into the lives people with ALS and the struggle they face each day. The film is a love letter to life itself and a reminder to appreciate what you have while you have it. And if there's something you want, to never give up. You might even surprise yourself discovering what all you are capable of.",False
3,10,"""A Love Letter To Life""!!!",chamilton-59650,n/a,16/08/2025,"Imagine facing the most dire of circumstances, and responding by inspiring all those you come in to contact with.Andrea Peet's story is beautifully told in this uplifting film of perseverance and hope.As one person in the film says, her story is a ""love letter to life"", and, you, too, will fall in love.You will cheer, you will cry, you will feel her determination, as she completes 50 marathons despite being unable to walk unassisted. You will fall in love with her husband, her posse, her doctor, and the filmmakers, whose sensitivity and engagement brings you onto the course, and into the victory lane with Andrea at every event.You will learn about ALS, and how people can LIVE and THRIVE with this uniformly fatal disease.",False
4,10,Triumph of the Human Spirit,aaronbednar,n/a,16/08/2025,"Regardless of your interest level in ALS specifically, this film is well worth watching. It is more than just a feel good flick, a motivational goal-setting film, or a deep-dive on a specific medical condition.The film is a deep exploration of human struggles against physical problems and emotional discouragement, pushing yourself to find meaning, the power of human connections, and a beautiful love story between two people facing unexpected difficulties and disappointments.I watched it last night in a private showing, and I will definitely watch it again! Thank you to Andrea and David for sharing your struggles and successes with us in this film!",False
5,10,Wonderfully done and important documentary!,laurenekulp,n/a,16/08/2025,"An inspiring documentary of a woman in her 30s who receives one of the worst diagnoses that anyone could: ALS. This film follows her spirit and journey as she refuses to succumb to an inactive and depressed life, and to continue on towards her goal to complete a marathon in all 50 states. The film blends helpful information to those who may be less familiar with ALS with the raw, intimate, and powerful personal story of Andrea and her countless and dedicated team of supporters. This film would be a worthy and wonderful addition to the documentaries found on Netflix. It is impossible to watch this film and not become part of Team Drea.",False
6,10,Incredible story,DianeHDDS,n/a,16/08/2025,"An extremely moving documentary detailing Andrea's decision to live her life fully after being diagnosed with ALS rather than waiting to die. She set a goal to complete a marathon in every state! If you have completed even one marathon, you know how challenging it is, let alone attempting one in every state....and with the onset of covid causing races to be cancelled, taking away precious time, she continues to push forward with incredible determination! Amazing to watch the ups and downs and with the support of her husband, family, and friends manages to keep a smile on her face and a sense of humor. She should be dead by now given the usual path of ALS but she continues to defy the odds to the amazement of her doctors. We can all learn from Andrea! This is a must see film!",False
7,10,Beautiful and inspirational! A must see for anyone!,jodi-54570,n/a,16/08/2025,"This film was a soul lifter and heart fulfiller!Andrea has stepped outside of her ALS diagnosis and spread her wings to fly. Watching the endless stream and support of so many people along the way, showing up with determination and faith, gave me hope. Hope in humanity, at a time where I feel so much is lost. It inspired me stronger to conquer my own fears and not allow them to define me. I filled with so much pride as I have been beside one of my dear friends, who also is fighting the battle of ALS. Trying to live out loud, every second she has, in this beautiful and tragic life! So grateful to have seen this film at the Santa Barbara Film festival.This film is for anyone. It reminds us that we can do anything we set our minds to and there will be people to stand beside you through it. But you can be your own champion!",False
8,10,"A must-see, inspiring documentary!",dawnmaho,n/a,16/08/2025,"I was blown away by the heartfelt, raw glimpse into the life of a person fighting ALS. The struggles and triumphs of Drea and her husband were inspiring and accurately displayed. I did not want my journey with this family to end. I felt attached to their story and hope we can continue to follow the way the attack and overcome the obstacles and curveballs life throws their way. The documentary is honest and you feel acutely the frustrations they face while trying to achieve such an incredible goal. The beauty of their story isn't necessarily in the happy ending, or having things go perfectly their way - it's about embracing the journey and finding the silver linings.",False
9,10,"A beautiful story of dedication, love, and an incredible drive to overcome the impossible.",ericscottmckay,n/a,16/08/2025,"If you're seeking inspiration, you'll find it here in droves. This beautifully captured account of the ability of the human spirit to overcome impossible odds through unprecedented challenges will take you on an emotional marathon. Andrea is an ALS warrior, diagnosed at 33, and given 2-5 years to live.Despite encouragement from medical professionals to not strain herself physically, Andrea publicizes the daunting goal of becoming the first person with ALS to complete a marathon in all 50 states, in an extraordinary effort to raise much needed awareness and funding for ALS research. In the midst of this improbable journey with well organized plans, the global pandemic halted all organized marathons, leaving the outcome even more unlikely.At its core, this is a story of love and courage; but also an unforgettable and powerful call to action to create a world without ALS.",False
10,10,An Inspiring Story about an Incredible Woman!!,glynisdew-01448,n/a,16/08/2025,"WOW! That's what I kept repeating after seeing this film!What an incredible film! It's beautiful to the eyes, but more importantly, it's beautiful for your heart.Andrea and Dave Peet shows the world what the true meaning is of ""Couple's Goals"". Facing a terminal diagnosis, they show their love for each other, the ALS community, and take determination to a new level!The filmmakers serve you a visually stunning story, all while running 50 marathons with Andrea! This is a story about a woman living with ALS, but it focuses on the LIVING rather than the ALS! You will want to run along side Andrea after you see this amazing film.",False
