Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,What a crime thriller should be,cricketbat,n/a,15/08/2025,"I like it when a movie can keep me guessing until the end, and Gone Girl just did that. Most of the time I didn't know where this film was going, and each new twist and turn was a surprise. You can't help but get pulled into the story. The actors all gave excellent performances, as well. I don't think I'll ever be able to look at some of them the same way again. This movie is what a crime thriller should be.",False
2,9,"Mixed feelings, hear me out.",cmalpelli,n/a,15/08/2025,"There's no denying that this is a great film and from what I've heard a great book as well, you can see that I gave it a 9/10 rating, but there's a catch especially for me personally with this movie. The shorts version I can tell you and with my hand to God no lie this movie single handedly put the nail in the coffin for my marriage without me even being the wiser. So for as much as I do appreciate the detailed and intriguing story, watching it years later after my divorce it sends chills through my body knowing that my ex wife and I enjoyed this movie together, and obviously me not knowing just how much she loved it but how it inspired her to go about divorcing me in the way that she did, be weary because there are sick people (men and women) in this world that will vindictively assassinate someone else's character and well being just to avenge whatever perversion that they're transfixed on in their own mind. I'm not looking for sympathy or anything, I'm just stating a fact that happened to me, I don't advise watching this for the first time with a love partner, it could unhinge the mind beyond a point of no return, I'm absolutely 100% serious about this, this is not a joke.",False
3,7,"Good movie, reflecting witch hunt mentality in social media/TV",johaschrei,n/a,15/08/2025,"SpoilerI never wrote a review before in my life so please excuse my poor attempt, but after reading some of the reviews I just felt I had to give it a try.I really thought this movie was very good. It's starts as the typical ""missing wife, husband main suspect, no body yet found"" tale we all have seen once in our lives. But after the first act it really gets extremely unsettling and special. I felt sick in between because of the horrible, frightening character of Amy. I can't describe it any further and think you should simply give it a try.SPOILERS!!!!I now would like to address certain plot holes many people have been pointing out.First of all, every movie has plot holes. I'm usually the first to notice, and even though there were some things that bothered me I got over them quite quickly since the movie had a tight grip on me.Many are mentioning to different cameras in Desis house. First of all I know that many surveillance cameras overwrite their data after some time, so it is very likely that only the last few days (where she never left or entered the house) would be available to the police. Second of all, as far as I could see, the cameras only showed the outside of the house not what was happening IN the house. That's why she went near the window, which was within the perimeter of one of the cameras, to do her screaming attack. If you pay attention, you never see Amy appearing on any of the cameras when she checks them, only when she actually wants to be seen.I could address many other so called ""plot holes"". I don't think they actually were plot holes per se, but made intentionally in order for us watchers to go...""But wait, how does she get away with this??"". Think of the police officer who is in doubt of Amy's statements or even the lawyer.What Fincher in my opinion wanted to demonstrate is the exemplary control Amy had over the public, were no questions were asked, nobody ever doubted her. It is kind of symbolic for witch hunts we ourselves have witnessed on TV or social media, were no second opinion is sought, nobody looks at the story from a second angle. Amy is the personification of the American Sweetheart, and is treated as such. It just shows us how blind and angry the crowd gets when you push certain buttons, Amy herself actually talks about that in the car scene. The pregnant intelligent wife, who was cheated by her husband. Or the poor girl next door who was always nice to the strange kid. Or the rich guy who thought he could have everything.That is basically the story and that's why this film is so intriguing in my opinion. It's a mirror of how our society in the age of internet, social media, TV etc. functions. How we can be tricked into anger or sadness, and how little people actually question certain statements.",True
4,10,"A Cynical, Masterful Caricature of Modern Relationships",manisimmati,n/a,15/08/2025,"Amy and Nick Dunne are young, stylish and charming. The immaculate dream couple? It seems so, at least on the face of it. But infidelity and financial troubles let the glamorous façade crumble. One morning, Amy disappears without a trace, and Nick becomes suspect. Did he kill his wife? The media depict him as an uncaring husband, and he's trying desperately to correct that image. But what if he really is the murderer everyone believes him to be?""Gone Girl"", based on the Gillian Flynn novel of the same name, is a masterful thriller, a sharp-sighted media satire and a cynical analysis of modern marriage. Flynn herself wrote the screenplay for the movie adaptation, and David Fincher turns the already disturbing story into something even darker. ""Gone Girl"" is a perfect fit for Fincher, as it is concerned with two of his favorite themes: gender issues and modern media. The main topic here is how the media are shaping our own identities. Nick Dunne has to adapt to the expectations of the public in order to survive. As his lawyer Tanner Bolt puts it: ""This case is about what people think of you.""Amy and Nick both just play a character. They pretend to be a perfect couple. The movie suggests that pretending and being are not as far apart as we tend to think. When everyone plays along, the shallow masks are going to work. The much-maligned ending underlines this insight perfidiously. It's the point where ""Gone Girl"" becomes a pitch-black social satire. The last act isn't a thriller anymore, it's a grotesque caricature of modern relationships. I've never seen anything like it, and I can't praise Fincher enough for the risk he took with the last half an hour of this movie.Ben Affleck is great as the insipid husband Nick. You love to hate him. Rosamund Pike is simply mind-blowing. You'll also see Neil Patrick Harris and Tyler Perry in unusual roles. My personal favorite is Carrie Coon as Nick's caring yet foul-mouthed sister Margo. She's the heart of this movie, because unlike everyone else, she genuinely speaks her mind. Kim Dickens as the clever detective Rhonda Boney is pretty approachable, too.""Gone Girl"" might be Fincher's most splendid masterpiece yet. This movie is so unsettling and cynical, it feels like it was directed by the love child of Alfred Hitchcock and Lars von Trier. If that's not awesome, I don't know what is.",False
5,8,Great film but the ending was terrible,kingdoz,n/a,15/08/2025,"I'm not one for reviews, but I tremendously enjoyed this film but felt empty at the end of it. That ending was shockingly bad, such a let down to a great film. Still worth watching but you will end up cursing the writers, producers and perhaps even the actors for that low quality ending. Even if the story was written to end this way, it could have been communicated far better and with far more realistic excitement. It seems like they just plonked it at the end rather than continue the story. What the hell happened? Did they run out of time or needed to release it by a specific date or did the original scriptwriter run off? The end the film was not of the same quality of the rest of the film and left me feeling shortchanged.",False
6,8,Interesting end,bgar-80932,n/a,15/08/2025,This is a 2.5 hour movie and sometimes these days it's difficult for me to stick with the longer movies but this never felt long. You were always curious what was going on. Let's just say it didn't quite go the way I expected but I was intrigued the whole time. The acting was great. This could for sure be considered a slow burn and I'm actually currently watching the TV show Sharp Objects by the same author and this is paced much better than that. There's a couple things I didn't particularly thing got solved or like how they went at the end but overall a great movie.,False
7,8,"Gone, but definitely not forgotten",bowmanblue,n/a,15/08/2025,"Wow, actually a thriller that's pretty good. Yes, it's fair to say that 'Gone Girl' is a really engrossing film. As with almost every film, it's based on a book. And, as with most films based on a book, I haven't read the book, so I haven't got a clue how well the film relates to the source material. But then I don't care. I just enjoyed the ride.'Gone Girl' is one of those films where you don't want to say too much about for fear of giving things away and spoiling it for people who haven't seen it. Ben Affleck plays a (reasonably) decent husband whose well-to-do wife disappears. The media circus that follows then starts to reveal that the truth is far more complicated that it first seems (not to mention the obligatory police investigation). It's fair to say that what follows is a film that twists and turns, so you only really get one chance to watch it and not know what's coming.Many people don't really like Affleck when it comes to acting (even less now he's due to don the Batsuit!), but I think most people will relate to him as he gets pursued and hounded (unfairly? You'll have to wait and see!) by the media. Rosamund Pike plays his (gone!) wife with a flawless American accent. Again, you'll have to see whether she's found alive or dead. The story bounces around back and forth in time, making sure you're just confused enough never to put too much together before the film's ready to reveal what's happening.If I had one complaint it's that the film is a little too long. Perhaps ten to fifteen minutes could have been edited out at around the three quarters mark, just to speed it up. But that's a minor gripe. Basically, if you like your thrillers twisty and turny (and have a couple of hours to spare on a film that you really have to concentrate on) give this one a go.",False
8,8,Crazy!,freshclean-66-318608,n/a,15/08/2025,"This film wasn't as bad as some people say it was. It was actually good. It was a pretty nice psycho thriller. It had me guessing at times and there really weren't any dull moments. This film was well done with just enough suspense to keep me interested. The acting in this film was great as well. Now, I'm not a big fan of Tyler Perry's films but his acting is good. He had a wonderful performance in this film playing Tannor Bolt, Nick Dunne's (Ben Affleck) lawyer. He was really perfect for the part. For me it was kind of weird seeing Neil Patrick Harris playing a serious roll as the crazy ex boy friend of Nick Dunne's (Ben Affleck) wife, Amy Dunne (Rosamund Pike). Rosamund Pike and the parts she were in were well done! I mean she pulled that roll off! Amy Dunne (Rosamund Pike) was allegedly killed by her husband Nick Dunne (Ben Affleck). From the beginning Nick Dunne (Ben Affleck) is the suspect and the craziness starts from there. If you like mysteries/thrillers you won't be disappointed with this one.",False
9,10,Shock and Awe,LiamCullen6,n/a,15/08/2025,"SpoilerHow on earth is this film attracting so much criticism?! This is one of the best films of 2014 and people are labelling it ""utter tripe"", ""an enormous heap of illogic and nonsense"", ""wish I had missed it"". Are these people serious? Can we no longer appreciate - or even identify - a great film?!Gone Girl is a peerless plot-driven story about a wife who goes missing. Seems pretty ordinary, right? Well it's not. And it doesn't take very long at all for any sane viewer to recognise this.You start watching and - as you do with any mystery - you start collecting the clues and piecing together an explanation for the events which have taken place. But no sooner than you have formed the perfect explanation in your mind is it immediately swept away in the most overwhelming twist of the year.And it only gets better from there.Gone Girl is a roller-coaster; only you're riding it in the dark. You don't know where the next turn is, you can't see where you're headed, and you have no idea how many more ups and downs you're going to experience before it's all over.It's a film that keeps you guessing and just as you're beginning to (once again) think you've got it all figured out, the game changes and it's all up in the air once more.The diary-exposition format is also very clever and was executed perfectly. Many films fall victim to losing the viewer when jumping back and forth between past and present, yet Gone Girl - you guessed it - does it just right.This film ranks high in the mystery/thriller genre. It is just as compelling and perplexing as Shutter Island - if not then moreso.And let's not forget: the acting. Ben Affleck and Rosamund Pike do a phenomenal job in their roles as husband and wife. Not a line feels out of place and both seem as though they were born to play Nick and Amy Dunne. By the end of the film I felt so immersed in their story that I found it hard to believe it was just a film.All in all, I for one am thoroughly pleased with Gone Girl. I knew from watching the trailer it would be something I would like, I just never imagined it could thrill me this much.A very underrated and overwhelming story that should be enjoyed by all.",True
10,6,The Diary,pambosk-03254,n/a,15/08/2025,"SpoilerGone Girl received a lot of praise when it came out. Here i am now watching it for the first time ten years later.To me , it was just an ordinary thriller, granted the first 45 minutes were excellent. Ben Affleck comes home to find his wife Amy missing ( Pike ), and over the course of the next few days he is accused of killing her.Things go well until the second half. Three things let this film becoming just an also ran.1. The police find the diary of Amy in the furnace of Affleck's father's house.???? Inside the furnace was clean with only the diary slightly charred, come on people. If you really wanted to get rid of this diary by burning it, would you not stay and make sure it was burnt to a crisp? How did he supposedly start the fir.2. Amy is rescued by an ex boy friend. Who has a house with security cameras everywhere. She was there for a number of days and the police didn't see that in the tapes, and how come the ex did not see Amy doing things to herself on his cell phone.3. At the end of the film the police never ask Amy how she found a cutter to kill her ex when she already told them that she was permanently tied up when she was left alone.Too many loop holes....sorry 6/10.",True
