Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Hard-hitting and devastating on many levels,paul-allaer,n/a,16/08/2025,"As ""Great Photo, Lively Life"" (2023 release; 112 min.) opens, we are with Amanda and her mom Debbie, who are visiting Amanda's grandpa (Debbie's dad) in Florida, ready to finally confront him over the sexual abuses of many young girls all this years ago. He doesn't deny any of it, and in fact goes one further. We then go back in time to the 1970s in Bradford, PA, where he worked as a chiropractor. At this point we are 10 minutes into the movie.Couple of comments: this movie is co-directed by Rachel Beth Anderson (""Unschooled"") and Amanda Mustard, making her directing debut. The movie is a hard-hitting, if not shocking, but certainly devastating look back to the speechless acts of sexual abuse over many years by her grandfather, and the long-term consequences for the family and the victims. The grandfather shows no signs of remorse, zero, and explains it all like you would explain buying a loaf of bread at the grocery store, To Amanda's immense credit, she does not shy away from the difficult moments, and plows on to get to the bottom of this, including the responsibilities of the people around her grandfather, including i=his wife and yes, Amanda's mother. Please note that this will make many viewers uncomfortable, as surely I was.""Great Photo, Lovely Life"" premiered at SXSW earlier this year to immediate critical acclaim. It is currently rated 100% Certified Fresh on Rotten Tomatoes, and for good reason. It started airing on HBO two weeks ago and it is also streaming on Max, where I caught it. If you want to understand the truly devastating effects of a serial pedophile on his victims, his family, and society as a while, I'd readily suggest you check this out, and draw your own conclusion.",False
2,6,Perfect Portrayal of Disassociation,shayleonia,n/a,16/08/2025,"I'm floored, disturbed, angry, and in utter dismay after seeing this. The bravery needed to tell this story must have been insurmountable. Endless gratitude to Amanda for doing this work and to her sister, mother, and all her grandfather's victims for surviving it.The unending forgiveness and gifts of contact & affection, even still calling him ""Grampa"" instead of just ""Bill"" left me disgusted. It was a reminder at how skewed religion can make us in regard to the forgiveness aspect.But I have no theory on the contact and affection. Only resentment. I'm sure it must have been difficult and complicated, but it made me angry that he got to experience the joy and love of having his family in his life when he clearly didn't deserve to.Everyone should see this film, especially if you live with ""a secret you shouldn't have to keep"".",False
3,7,Monsters,GoldenGooner04,n/a,16/08/2025,"A lot of reviwes are from people who have been affected by Monsters like the grandfather. I don't walk in their shoes and can't take in the pain they have suffered all their lives, not just the abuse but that it is a loved family member who is the abuser
So for me this make me angry, I could not understand why they visited that monster, be in the same room as it. It should have been thrown out with the trash not put into a care home, how much did that cost the family? Did the care home know what he had done?The mother said as they were going thou the clothes ""we need to laugh"" because she knows she is guilty. She was abused why would she ever go anywhere near her parents again? I know it's easy to say ""it's her parents"" it's not that easy to walk away. But she left her daughter alone in the house
The grandmother was as bad as IT in my opinion she knew what was going on, but done F ALL
and then we have the religion BS, it's like the Mafia kill 10 people then pop to Church
The old C@@T was not even sorry, in his sick F up mind. It's all good cause Jesus will forgive me
As for forgetting I can't comment on that, but i suppose to be able to live your life can you forget? Some people can put bad things that happen to you away deep in your heart behind a padlock, but it still affects them
A lot of people are saying Amanda was wrong to make this film, what I got from it, she is angry with her mother more then the Monster as her mother could have got him arrested and she done zero and made it worse, this doc was not just about the Monster IT but also to hurt the mother.As for the other victims, you can't force someone to appear on TV and the one with the daughter who was preggers seemed fine being on the program
We all want to look up to our parents and be proud of them and make them proud of us.Sometimes you have to admit who they really are and let the world know.",False
4,9,Honest and Important,nfancher,n/a,16/08/2025,"I am a survivor of abuse, and the family dynamic that was captured in this documentary was all too familiar to me. I also have heard stories from fellow survivors that are almost verbatim. It is wild to me just how similarly these events transpire but often they are covered up or explained away. I personally never got the same closure when confronting my abusers as the subjects did in this film. I'm encouraged and impressed that these people were able to be so transparent and vulnerable and willing to confront the truths of what happened to them, and maintain their relationships. It's my great hope that films like this are a cultural tipping point towards accountability and true justice.",False
5,9,Stunning and nuanced,katttttttt,n/a,16/08/2025,"This is without a doubt one of the strongest and most self-aware documentaries I have ever seen. Beautiful visuals and nuanced delivery. It feels like I'm experiencing someone's memories firsthand.The film rings so true to family dysfunction - and the complex ways that the human mind processes that dysfunction in order to protect ourselves. It tracks many years in the life of the family, so we see through the camerawoman's eyes how family dynamics play out both short-term and long-term. It's honest and heartfelt.So many documentaries go overboard with exposition and oversimplify trauma. This one doesn't. Highly recommend.",False
6,n/a,Impacts So Many People Suffering in Silence,n/a,n/a,16/08/2025,"Was glued to the TV watching this documentary. It's the first time I have watched a show about family members abusing other family members. It's a discussion that usually doesn't happen in families. These ladies faced it in their family head on. Because of the time lapse of the abuse, memories, in some instances, were from so many years ago but very vivid. The bravery of the ladies to dig deep is admirable. The Grandfather, in my opinion, didn't grasp the severity of what his actions did to the people he abused. His words rang hollow to me. Granted he was close to dying but, his words centered more on how he is going to be greeted upon his death. Recently, I learned my Father tried to abuse his Granddaughters when they were preteens. His actions repulsed me. He has been gone for many years but he was never confronted. Thank you for sharing your experience. I admire you for doing this in a public setting. Hopefully it will start discussion's in families that are currently dealing with this issue.",False
7,7,Poignant,hrw-83656,n/a,16/08/2025,"A loving granddaughter explores the terror unleashed for decades on defenseless children by her twisted, sick grandfather and what the aftermath has done to the family as it drips down over generations. While the film usually takes too lenient a view of the monster/subject's enabling wife, it still manages to make clear that predators such as these are rarely able to wreak their havoc without support, and that anyone who provides it DOES bear responsibility. The ""Christianity"" displayed in the film is both maddening and sad. Little wonder the filmmaker abandoned her faith given the totally warped way it is understood, practiced, and weaponized by those around her. I hope she one day encounters true Christianity, which does not sweep sin under the rug or flog victims with religiosity, but loves and pursues true justice. Bill exhibited no signs of true remorse or repentance in the film, and hearing him invoke God's name was nauseating. In any case, his days of getting away with anything are surely over now. I hope those he left in shambles find true peace.",False
8,10,Living alongside the delusional...,shailosweetkittycat,n/a,16/08/2025,"This really hit home for my own reasons, this made me so sad and so angry! This man STILL believes he is free of any wrong doing, that he is this jovial, sweet man that couldn't possibly hurt a fly... He makes me sick! Furious!I also really have such anger towards his wife and even their daughter who allowed this man to abuse one of her own daughters.I am not negating or dismissing trauma and the cycle of dysfunction that does essentially brain wash a victims emotional or moral compass, but since the DAWN OF TIME a mother is designed to protect their children, not continously put them in the jaws of the lion. I don't care what year it was or what societal stigmas were in place, nothing should hinder that instinct.Also. That other weird, overly defensive, overly chatting couple that completely gas light her Mother and immediate began to preach the word of God and make her pray for forgiveness... UNREAL!!! I was floored either of them even entertained that whole thing, that couple was shady and clearly hiding something too...This guy is a monster, stone cold and has lived his whole live raping little girls with no repercussions, this is exponentially terrible and shameful.This took so much courage from her and especially all of the victims, very well done.",False
9,9,A truly strong family,Kkearns5282,n/a,16/08/2025,"In spite of this person being an absolute, unremorsful monster, his family showed him the compassion and love he didn't deserve and never showed to his countless victims. I certainly wouldn't have been so kind in this situation.As someone from a family with the patriarch also doing such things, this family's ability to confront his actions head on makes me sad my family never could speak openly about what had happened. Quite the opposite, this was buried deep down and became a shameful secret only part of the family even knows about today.My expectation is that everybody who watched this documentary or is reading this review has experience to some degree, either personally, or with a loved one some form of sexual abuse. It is staggering and disgusting how pervasive these behaviors are but if we are ever going to slow its momentum it's by being upfront and honest and teaching our children to speak up.Powerful and jarring movie.",False
10,1,This is not a documentary..,cpcarpitella,n/a,16/08/2025,"Spoiler..this is a gross representation of a family secret. The ""filmmaker"" is so self-involved that she has no idea or care for how she is re-traumatizing these victims. As a therapist, and a survivor for sex assault myself, I am actually livid at how cavalier this woman is digging up everyone else's past. In one of the final scenes, she seemingly begs her own mother to be angry about HER OWN trauma; I was in disbelief. This is not how to process generational trauma, particularly when it was someone else's experience.Besides the true exploitation of the victims, this is a very poorly made documentary. The story peaks within the first few minutes, and the following 90 minutes are just the filmmakers own version of non-consent (impeding on victims life's with absolutely no care). Using victims for her own gain, and somehow without an ounce of compelling storytelling. Please watch Rewind instead- another documentary about a families generational sexual abuse, coincidentally also in the suburbs of PA, and actually well told and healing.",True
