Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,"pork, chicken, and beef come alive",ferguson-6,n/a,16/08/2025,"Greetings again from the darkness. We open on a pig in prone position with her head sticking through an opening in the barn. It takes a minute to realize the sow isn't sleeping, but rather giving birth. Slowly the newborn piglets begin tumbling out into the world. Cutting to a reverse camera angle, we see the 12-13 babies desperately trying to latch onto mom for their first meal. The runt of the litter struggles more than the others. Award-winning filmmaker Viktor Kosakovskiy runs this first segment just over 19 minutes. There is no dialogue. No human on screen. The soundtrack is all natural from nature: the snorts from mama sow, the squeals from piglets, and unseen birds chirping.Our second segment finds roosters in a crate. Clearly new to the surroundings, and likely never-before ""free"" to roam the land, these chickens cautiously explore as the camera focuses on their tentative initial steps from the cage and startled reactions to birds. A one-legged rooster captures our attention as it makes its way through the grass and over fallen logs. It's likely the longest amount of time a movie camera has been dedicated to following roosters around.We then head back to find the piglets have grown substantially. We don't know how much time has passed, but we watch along with their mother as the youngsters play in the field, fight with each other, and bully their youngest sibling. Gunda, the mother sow, watches over them just as any mother would watch over her kids. Our third group is introduced as the barn door opens and the cows are released. They romp into the fields like school kids at recess. Some of the cows stare directly into the camera as if to inform us they are ready for their close-up. It's fascinating to see how they use teamwork for an ingenious head-to-tail solution to the annoying flies that relentlessly pester them.The final segment returns us to the pigs as they display the same feeding frenzy as one might witness at the buffet on a Carnival cruise. An ending that will surely evoke emotions in viewers, though maybe not at the extreme of Gunda herself. Filmmaker Kosakovskiy leaves us wondering how a black and white film with no dialogue or human characters makes such an impression as it focuses on farm animals. Pork, chicken, and beef. Clearly it's no coincidence that he chose three staples of the American diet. There is no lecture on animal rights, and none of the brutality of other ""raised for food"" documentaries is shown. But the message is there. It was filmed on farms in Norway, Spain, and the U. K., but the locales matter little. Director Kosakovskiy previously brought us the excellent AQUARELA (2018), a documentary showcasing the nature of water and ice, and here he assisted Egil Haskjold Larsen with cinematography, and Ainara Vera with editing. It's an unusual film, and one meant to inspire reflection and thought ... and hopefully change.In theaters beginning April 16, 2021.",False
2,8,An impressive achievement,csm-78119,n/a,16/08/2025,"This is a superb piece of filmmaking that gives the viewer a real insight in to the lives of pigs and cows on higher welfare farms and of free to roam hens. No one who watches this film could doubt the sentience of its subjects or their individuality. The incredibly devoted mother pig at the centre of this film and a one legged hen are exhibits A and B in this regard. Sound is used to particularly good effect, both in the capture of the farm and country noises and in the complete absence of any commentary. The black and white footage adds to the beauty of the piece but I can't help thinking that the complete absence of colour ultimately detracts a little from an otherwise wholly authentic film. The film may not turn you into a vegetarian or a vegan but for me it surely supports an argument that particularly in the rich developed world all animals should be raised to at least ""freedom food"" standards and that its an indictment of modern society that some of the richest countries have the poorest animal welfare standards.",False
3,8,The Natural Life,philipmagnier,n/a,16/08/2025,"A small film, a moving and beautiful film, a film that moves at the pace of farm animals.It is set in another universe that is open to us but that we don't visit.",False
4,7,Thoughtprovoking...,OneSentenceReview,n/a,16/08/2025,"...although more of the story of the chickens and cows life would have balanced it better.Many informative reviews here already, hence I wanted to add some facts I looked up afterwards, also as some here got it wrong, but I won't as I don't like spoilers. You find every question which (hopefully) pops up afterwards by doing a quick search.I'll only leave a good note I liked from AccidentalSmallHolder net ehich addresses something you'll (hopefully) also think about afterwards:""If pig keeping isn't for you, please do the next best thing and source your pork, bacon and sausages from ethically reared pigs. If it doesn't say the pigs are born and reared outdoors, they probably weren't so don't be fooled by misleading labelling. Even pigs that are reared outdoors may have been born to sows kept indoors, in crates, so do be aware of labelling - it's more about what it doesn't say, than what it does.""",False
5,10,A Miracle of a Film,dennis-11345,n/a,16/08/2025,"At first, we can't grasp what we are seeing, and it takes a while to sink in. Throughout the film, both beauty and reality will often rise up to temporarily disorient, take our breath away, and even overwhelm.This is not your cute animal film, though it has that too. It's more akin to those moments of serenity and joy that can arise when we are watching babies move or small children explore. We feel both intimacy and otherness, and perhaps even bewilderment.In my imagination it doesn't seem impossible that this film could be nominated for awards beyond Best Documentary. It would need its own version of Script Writing, Choreography, Directing, Editing, and Producing.But the Cinematography! Obviously it's often spontaneous and even seat-of-the-pants. Somehow there is an endless outpouring of breath-taking photographic moments in high-resolution black and white. Will there be a picture book?It's not that the shots are a miracle of technique; I'm sure they are. It's more how they touch such a wide range of feeling. A world is created and then ...Like the beginning, the ending takes a while to sink in. Hushed. Eye and heart, conscience and consciousness, awakened.",False
6,6,Confusing but necessary,ilpotaanila,n/a,16/08/2025,"Looks like this film sometimes can't decide what it wants itself to be. Overall, it uses a highly poetic language with desaturated picture and ""commercial"" outlook with long dolly shots, wide angles and slow motion. At the same time, it always tends to be on animals' eyes level, depicting some of the unpleasant and cruel aspects of their life. However, it seems that camera is sometimes shy about what it sees, notably putting pig's back out of focus in final scene - which inevitably drives us to a conclusion that it's the human look on the animal, even if there's not a single human in frame. Surprisingly, the most coherent and touching part of three isolated novels is the one about chicken - particularly because of non-intrusive and highly tactile camera work.Gunda stays somewhere between brutal realism of life and romantic pamphlet against cruelty to animals, mixing together two incompatible aesthetic approaches. However, a film like this had to be made, and I hope it will influence other filmmakers to experiment with storytelling from an animal point of view.",False
7,8,Gentle and beautiful,gbill-74877,n/a,16/08/2025,"For a subject not often given an artistic treatment, barnyard animals, Gunda is exquisitely shot. In a loving way, it shows that pigs, cows, and chickens have emotions, that they enjoy being alive, and that they have dignity. I loved it for that, and if just looking at animals go about their lives on a farm is appealing to you, this is probably your film, but otherwise, you might find its 93 minutes passing rather slowly.There is clearly an underlying message here, but I loved how restrained the film was in getting this across. It was filmed at humane farms and sanctuaries, without narration of any kind, and that includes holding back from the customary text at the end of documentaries which fill us in on various facts and details. The viewer is left to connect the dots from the images on the screen to what was on their dinner plate most recently, or the neat cuts of packaged meat in the grocery, seen as commodities instead of living creatures. The scene where the mother pig frantically searches for her babies towards the end is distressing, but a far more damning portrayal of the cruelty of the meat industry would have been at a factory farm, and/or a slaughterhouse. In other words, this is just the tip of an enormous, immoral iceberg - and yet if taking babies away from a mother doesn't hit you in the gut, I'm not sure what will.",False
8,7,Have You Seen the Little Piggies?,jadepietro,n/a,16/08/2025,"IN BRIEF: A well-made but slow moving pig's tale.JIM'S REVIEW: (RECOMMENDED) A pig and her litter, a one-legged chicken, and some cows are the main cast in this fine documentary, Gunda, Viktor Kosakovskiy's understated cinematic plea for animal rights.Gunda is an enormous sow that has just given birth to a dozen small piglets. This is their story of life down on the farm. Call me a city boy, but the film depicts the daily mundane weeks in this pig's heaven (or hell) and I have chosen the right lifestyle for me. Still, it is a fascinating place to visit.There are no voiceovers, no sweeping musical score, no Disney sentimentalizing... just straight-forward filming of natural country events. There are many grunts, squeals, and moos to be heard and lots of mud and flies buzzing around too.This is a well-made documentary that tries to convey an animal's everyday existence. The wonderful sound design by Alexander Dudarev immerses the moviegoer into this rarely-seen animal kingdom. The masterful b&w photography by Egil Håskjold Larsen and the director is stunning with its low-level point of view and detailed close-ups of farm critters.However, the story seems non-existent and Mr. Kosakovskiy lets scenes go on for far too long, at a turtle's pace, although none of those creatures are in sight. The documentary does eventually build to its subtle message about the cruelty of our food chain, but any astute moviegoer knows the fate of our little dirty dozen from the start. (A side note: All of our violent deeds are strongly implied, but mercifully not shown.) I could say there is much food for thought in this documentary, but then I would be called insensitive or callous. Let's just say, this film deserves your attention. (GRADE: B-)",False
9,8,RUNT,js-66130,n/a,16/08/2025,"A stunning black and white silent (save the grunting) documentary that soft focuses on the life of a pig. Seems innocuous enough, but there is magic here. Shot at ground level, and sparing nothing from farm life, ""Gunda"" is not here to shock, or illicit clown tears, but to have a look, like a wide-eyed child might back in the day when summers were not filled with organized sports camps or school continuation. It captures that slow, languid, breezy feel of beautiful boredom.Opening with the birth of a litter, it follows the towering mother sow as she clumsily deals with the runt of her offspring. It is astonishing, inviting, and then shockingly cruel. What is happening is not exactly clear, and there is no deep voice over to mansplain nature. That is the beauty of this film: it evolves along with the undetermined storyline.A slow, dreamy bit of cinema, ""Gunda"" works well in transporting the audience to a world most are familiar with but few actually know or have experienced hands on. The sharp monochrome delivery turns a pigsty into a pleasant aesthetic. The absence of smell helps. Nothing revelatory here, and since this is a farm, well, let's just say that the animals are not in charge, and there is a sudden dramatic turn to remind everyone about life's cold harsh realities.""Gunda"" is an animal film that is really not an animal film. It is a brilliant exercise in moment capture, shot with an addictive lens, documenting some life lessons, without preaching or dwelling on anything in particular. Pigs in showbiz are usually funny, smart or exotic. Not here. ""Gunda"" is a mother, and that is that.hipCRANK.",False
10,7,There are no words to fully describe animal sentience,marcokaraki,n/a,16/08/2025,"SpoilerGunda does not humanize the animal's emotions, but simply shows them. And there is value in this, because there is nothing to argue about. Simply an unfiltered window into these animals lives, and you come to your own conclusions, rather than be told what you are looking at. And the film even manages to communicate some of the mundane elements of farm life while still capturing your attention.There is also a lot of creativity with the camera angles to keep it visually interesting, but still serious with the black and white, which helps you to focus on the actions, rather than the scenery.Some things I personally took away from this film:At the start of the film, you get a look at how easily the mother pigs will often hurt or cause serious injury and suffocation to some of their newborn piglets without even realizing it.Seeing the chickens hesitate to leave the cage, I realized that chickens are naturally afraid of the predators natural outside their shelter, and even the predators in the sky, so they naturally have an increased alertness/stress outside. If you look closely at the chickens outside, you can see how they stress over any little noise they hear in the distance.I found it sad when the piglets were playing with each other, and the mom, and even one of the piglets tried to comfort the one that had an injured leg, who couldn't play.Something that I never knew before was that cows will mutually scratch each others faces with their tails, and ask each other to wag tails by picking up their friend's tail with their horn.In the end, you see Gunda struggling as she looks for her babies, calling for them, pacing around quickly. You can simply see the distress. No narration needed, and narration would only lessen the impact of what you are seeing anyways.I only wish that they could have included a bit more happy/playful footage to contrast with the darkness in the majority of their lives, and break a little bit more from the mundane/repetitive parts of the footage, to create a more entertaining film that will keep the attention of non-vegans.My guess as to the entertainment and captivation value for a non-vegan is 5/10.As a vegan, my own enjoyment was a 6/10, but I rate this film 7.5/10 because of the unique way of communicating these animal's sentience that I think can be more attractive for some people over the other vegan films out there.",True
