Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,10,Compelling Story Backed by Breathtaking Cinematography,bendavidwol,n/a,16/08/2025,"Taylor is an amazing character, and he and John capture the true nature of PTSD in American veterans in a powerful way. The shots from Patagonia were absolutely breathtaking, and the overall beauty captured throughout the voyage conveyed the restorative effects of the journey.",False
2,10,An edge of the sea(t) adventure to understand the challenges for Veterans transitioning back,senor_cos,n/a,16/08/2025,"This is why you turn on a documentary.... Compelling story and characters, beautiful frames, a great narrative arc full of twists and turns you don't see coming that can only occur in real life... And to learn much more about the human condition..
This is a beautiful portrayal of a person leading the way and reconciling their pain and confusion, to transition back to the civilian community after serving in the Navy, and grappling with PTSD and sense of purpose. There's so much that is gently informed to you as the viewer, as you ride along with this amazing open seas adventureThis is a great exploration for anyone and could be suitable even as a family night around the TV. Highly recommend and hope this film inspires so many people to consider how to support the military to civilian transition.",False
3,10,Heart felt story in an engrossing documentary,etcbeatty,n/a,16/08/2025,"This is a great story. A story to bring awareness to military suicides and the difficulties veterans encounter adjusting to a civilian lifestyle. My company sponsored a Zoom call with Taylor and Stephen... which happened to be the day after Taylor's child was born. One of the questioned asked of him was why PTSD was so prevalent in non-combat personnel. Once he described the pace of operations that he faced as a rescue swimmer and the low success rates of missions I understood how that stress is not left with the Navy when you go home. And as a 20 year Navy guy myself, I found it crazy that the military is not doing more for those leaving the service. If nothing else, all military members need to see this movie.",False
4,3,Too much of an American tale,gorian_90,n/a,16/08/2025,"SpoilerIt's about an important and very real problem, and I don't mean in any way dimish that, but the documentary itself is just so incredibly American. For my taste, it's just to dramatized - to the point of becoming kind of tacky. The obvious ""twists"", the cello playing in the background, the ""love for 'murica and my bro's serving in our beloved armed forces"", the raising of the American flag in honor of ""their extended family"", the attempt to portrait it as a heros' journey (complete with reference to The Odyssey)... I'm sorry, but it just makes me not taking it seriously.Also the fact that the opening obviously is designed to make you think the main guy died during the trip, later revealing he in fact not only lives (""surprise""), but made the whole thing into a business venture... it's just not for me.",True
5,10,POWERFUL Documentary,bagley-95623,n/a,16/08/2025,"Hell or High Seas is a moving documentary about veteran Taylor, his experience with PTSD, and his (and his crew's) journey sailing around Cape Horn. It is a moving film, one that obviously took a lot of time, energy, and courage to make! I am also in awe of Taylor and the crew and their ability to figure it all out (engine maintenance, the sailing logistics, etc.). And the best part of this film is the message it sends to others struggling with PTSD - you are not alone, and there is hope! Thank you, Taylor and crew, for sharing this story so that others do not have to suffer in silence.",False
6,10,Terrific film,vlgregg,n/a,16/08/2025,"This is the best documentary I've seen in years. It'll give you a whole new level of respect and awe for our brothers and sisters in the military. The adventure keeps you on the edge of your seat, and the footage is absolutely spectacular. This isn't a typical documentary film.",False
7,10,Must Watch! Compelling story with needed info for all!,barbieFisch,n/a,16/08/2025,"Adventure, action, heart and soul! This documentary has it all! You'll enjoy the action of the sailing but be moved by the story of Taylor and other Vets as they talk about the struggle of returning to civilian life! I cannot say enough! Edge of your seat moment, tears and laughs! It has it all! Excellent cinematography as well! Watch it now!",False
8,10,Real and dramatic story,rmnventures,n/a,16/08/2025,"This is truly an amazing story about the struggle our veterans face everyday and the adventure one man endured in order to create awareness of veteran suicide.The is exciting, funny and the strength of Taylor's character sets an example for each of use.This may be the best film regarding adventure sailing, The trials that Taylor and the crew endure are real and a strong warning that this type of adventure is not for the faint of heart.It is amazing that this film has reached the hearts of so many veterans in need. It should be shared with all who served and all who care about the men and women of our military.Thank you Taylor.",False
9,10,"""Hell or High Seas"" is a must-watch for veterans, military personnel, and law enforcement officers",Jaykul79,n/a,16/08/2025,"In response to the rising suicide rates among veterans, this documentary emerges as a crucial resource. It helps veterans comprehend their trauma and transform their experiences into avenues for positive growth.Taylor's inspirational story offers hope to veterans and their families, showing that there is a meaningful life after military service and a path to fulfillment through post-traumatic growth.The film emphasizes that healing doesn't have to be a solitary journey. Taylor shows us what it means for veterans to support veterans. This documentary not only allowed me to understand my trauma but also helped my wife better understand my experiences. As Taylor courageously shares his story, he demonstrates, ""The bravest thing you can do is live and create a life worth living.""",False
10,10,Amazing True Story of Grit and Determination,atesanovich,n/a,16/08/2025,"Amazing voyage through the real world struggles with PTSD and a unique and personal insight into overcoming obstacles. Well shot and edited. Love the Patagonia shots.On a personal note.... As a family member of Veterans who have faced the difficulties of civilian life reintegration and friend of those who have taken their own life, all I can say is THANK YOU for highlighting your journey. Furthermore, I love how you have continued the voyage and what your organization Skeleton Crew Adventures is actively doing to help veterans and first responders on a daily basis. Keep up the amazing work, fair winds and calm seas.",False
