Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,"True ""Hollywood"" story",boomer-kris,n/a,16/08/2025,"A very good crime documentary, and a story that holds you from start to finish. From Olympia, Washington, home of Nirvana and grunge music, the bank robber dubbed ""Hollywood"" was born.After reading Ann Rule's book ""The End of the Dream, The Golden Boy Who Never Grew Up"" I was fascinated with the story of Scott Scurlock and his band of merry cohorts. You can learn how his friends grew to love him and were prepared to be a part of his plans. Much more in depth, especially his early years in college. I don't condone what he did by any stretch of the imagination, but his story is a very compelling one.",False
2,7,"Even a ""smart bank robber""gets it in the end!",dfloro,n/a,16/08/2025,"SpoilerThis true-crime documentary on '90s-era serial robber Scott Scurlock, nicknamed ""Hollywood"" (for his penchant for ideas from movies like a latex Richard Nixon mask from ""Point Break"") challenges a lot of popular notions, including the Robin Hood trope (i.e., taking from the rich to give to the poor, an idiotic notion according to his accomplices Steve Myers & Mark Biggins, along with friends & relatives who knew him best). Because somebody has fancied himself a hippie environmentalist (living in his elaborate, remote treehouse) and had donated some of his filthy lucre to ""Earth First"" in support of the banning (or at least, the limiting) of logging in the Pacific NW, uh, does not a modern-day Robin Hood make! I heard that he may even have loaned his friends some funds in a pinch, but so they'd owe him future favors! This may seem an obvious point, but the success (and odd-to-me, the on-going popularity) of the meth-amphetamine producing character, Walter White, in ""Breaking Bad"" means documentaries such as this one must now make all of these obvious points both crystal clear in a perfectly overt manner. Still, some reviewers are posting that this movie tries to make a hero out of Scott Scurlock; I would argue that we hear and see someone tortured by the vicissitudes of modern life, including its rejection of (and frankly total contempt for) nature, and its absurd, limitless worship of capitalism (which, by robbing at least 19 banks over 4 yrs, he thoroughly inanely and naively perpetuated!). So, whether you believe the official Seattle PD story of one single shot ringing out from the camper as Scott committed suicide, or you believe the subsequent barrage of 76 bullets riddling it (and the two-hour ""stand-off"" with a dead guy?) may have had as much or more to do with his death, it's surely an inevitable but not a happy ending. Overall, I rate this a 7 out of a maximum 10 stars.",True
3,6,Pretty embarrassing for these FBI agents,vtxteb,n/a,16/08/2025,"Spoiler... who seem to be very impressed with themselves, but actually accomplished very little (if you really pay attention to how things played out), despite controlling enormous resources with plenty of time in their hands. The senior cop on the task force is portrayed as a stereotypical quick-trigger, but at least he seemed reasonably competent. Scott Johnson just seemed arrogant and largely ignorant (ultimately benefiting from the efforts of others). Maybe an unfair editing job by Netflix, but I sure hope your average (let alone senior) FBI team is a lot better than this!?!I agree with the reviewers who criticized those who glorify the criminals who put other lives at risk for selfish reasons (Robin Hood was really not a good person either - even if the Sheriff of Nottingham was an a-hole), but it's hard to find anyone to actually admire in this story.",True
4,6,"Good doco, bad",edmonddantesx,n/a,16/08/2025,"SpoilerDocos including interview footage from family and ""childhood friends"" will usually paint a better picture than what should be shown, I feel this is no different. Continuing to equate Scott to a ""Robin Hood"" figure, Note: giving money to friends and family from a drug and bank robbing empire doesn't mean you're robin hood..The documentary was filmed well with a balance of a modern interview and mock ups mixed with older footage.I love the bank heist genre but I feel they over glorified someone who worked out of a meth lab. The movie did well in comparing differences of opinion and memory of events, reminding us that documentaries such as this, should be taken with a grain of salt.",True
5,6,It was OK,TreeFiddy53,n/a,16/08/2025,"True crime doc based on a string of bank robberies in 90s Seattle, this is a decent show coming in at 86 mins. Anything more would have been too drawn out, glad they decided not to go the three episode route with this story.There's not much to watch visually; while there are some old clips and photos used, the doc mainly uses old audio and interviews from the present time. Several motion posters have also been used. So, you can either play it in the background or if you'd rather 'watch this as a podcast', that'll work too. If you have 1.5 hrs to spare and aren't sure what watch as a true crime content enthusiast, this should be on your list.I wonder if Netflix true crime docs are all beginning to look and sound the same.",False
6,7,Living ahead,avindugunasinghe,n/a,16/08/2025,"A deep look into a bandit's life who lived in a time ahead of his actual era. Whole mission was to paint this notorious criminal in a different shade that's not seen by many. In any reality theft is severely damaging but looking at Scott's behavior, his approach and his giving back signs us towards a rebellious side of the character. He engaged in a chaotic, unbeatable battle with a behemoth that most people can't even look at, much less yell at. So this reunion of both sides to narrate explicitly how Hollywood's story went down is greatly entertaining. Excellent visuals and footage. Makes this documentary well worth the time.",False
7,6,Interesting,bt698nhj,n/a,16/08/2025,"It was an interesting and well done documentary, but the major flaw was that it tended to make a hero out of the villain.ABOUT MY REVIEWS:I do not include a synopsis of the film/show -- you can get that anywhere and that does not constitute a meaningful review -- but rather my thoughts and feelings on the film that hopefully will be informative to you in deciding whether to invest 90-180 minutes of your life on it.My scale: 1-5 decreasing degrees of ""terrible"", with 5 being ""mediocre"" 6- OK. Generally held my interest OR had reasonable cast and/or cinematography, might watch it again 7 - Good. My default rating for a movie I liked enough to watch again, but didn't rise to the upper echelons 8- Very good. Would watch again and recommend to others 9- Outstanding. Would watch over and over; top 10% of my ratings 10 - A classic. (Less than 2% receive this rating). For Lifetime Movies for Chicks (LMFC), drop the above scale by 3 notches. A 6 is excellent and 7 almost unattainable.",False
8,6,A Slick Tale of Capitalist Rebellion Sanitized by the State,katharineshowalter,n/a,16/08/2025,"HOW TO ROB A BANK presents the story of Scott Scurlock (aka ""Hollywood"") with the sleek polish of a Hollywood production, and with it, all the ideological sleight of hand and worship of the status quo that such egregeious gloss often entails. What could have been a radical examination of an individual who chose creativity over conformity, rebellion over resignation, and of a system that has and continues to feed economic disparity instead becomes another tool of state narrative management: criminal genius reduced to cautionary tale, and the asinine police and fumbling FBI cast (predictably) as heroic.Scurlock was no ordinary thief. With a keen intellect and flair for prosthetics, he transformed himself into a modern trickster, robbing banks with planning, style, and without resorting to violence. And yet, the documentary, like the institutions it seems loath to question, goes out of its way to paint him as dangerous, invoking TV news propaganda, inflated threat assessments, and vague trauma testimonies, just in case the audience forgets who they're supposed to root for.The police, despite their historical penchant for surveillance over substance, are made to look competent through the sheer luck of circumstance. Scurlock wasn't caught by any masterful sleuthing; the house of cards simply collapsed. HOW TO ROB A BANK frames this as inevitability, as if daring to challenge capitalism was always doomed to fail.This doc wants the thrill of outlaw glamour without the political discomfort of its implications. Scurlock's story, had it been told honestly, could have stood as a critique of a society that leaves no space for brilliance outside sanctioned pathways. Instead, the system wins again, on screen and off.",False
9,10,I was completely locked in from the moment it started.,brandimilloy,n/a,16/08/2025,"The story has so many layers to it. I was completely locked in from the moment it started. The world of Scott Scurlock was so fascinating. Definitely a movie worth watching. The hippie meth dealer turned bank robber lived in this insane treehouse he built himself but then got addicted to the adrenaline high of robbing banks. Nicknamed Hollywood he took notes out of movies like Heat and Point Break. I loved all the different perspectives throughout the movie- from the accomplices to former friends, FBI agents and local law enforcement. This story is rich with content and super entertaining. Music was great and they incorporated drawings/sketches which added to the value and 90's era vibe. This movie was SO good!!!",False
10,10,Wonderfully inventive way of telling a fascinating story,jardena-gj,n/a,16/08/2025,"Just finished watching this doc and have been really struck by the way that these filmmakers have seamlessly interwoven archival footage, dramatic recreation, and truly wonderful animation to make us feel like we really had a complete insight into how these unlikely events could have transpired. Some excellent food for thought about the true nature of some people who claim to be Robin Hood or ""sticking it to the man."" Contrary to some other reviews that claim glorification, I found I was left with a sense of feeling like his crimes weren't worth the cost he and his family paid. Really enjoyed it and would love to watch again.",False
11,2,Not a Hero,roslynmulcahy,n/a,16/08/2025,"This documentary annoyingly glorifies this common criminal far too much. Especially from his sister and his college friends. He supposedly wasn't into consumerism, yet he produced meth for consumers to get buckets of cash for himself while living in a tree house like some naked drum wielding, granola eating hippie? What was the purpose of the cash then? He didn't help anybody he didn't know. Just spent it as freely as anyone would. Sure he found out how to rob banks like every poor desperate person dreams of. But he's still just a criminal loser at the end of the day, being praised far too much.",False
12,10,Deep dive into the psyche of an unsuspecting bank robber,josephgordon2265,n/a,16/08/2025,"SpoilerIt's nice to see a documentary focus from both the perspective of the perpetrator and the law enforcement attempting to apprehend them. Though the act of robbing a bank is not a Noble action, the insight Into Scott's background and psyche is fully enveloping. It is a great illustration that no matter the actions of a man, they are still a person. I don't think the documentary sets out to make Scott any kind of hero or Someone to idolize. I think it's a straightforward documentation of this whole incident from both sides of it.I will make one point that knowing what we know now about law enforcement's tendency to lie about shooting incidents, there is more than a good chance that the police fired on Scott and his friends first. Sure, robbing a bank is wrong, and Scott and his friends deserve to get caught, but this is classic law enforcement overkill to escalate a situation and justify killing people even though their lives weren't threatened. We will never truly know.",True
13,10,compelling crime doc and sensitive character study,benjamin-b-turnbull,n/a,16/08/2025,"Really compelling crime doc with a thoughtful and sensitive character study at its center. What a strange and enigmatic man Scott was... the home video footage is so beautiful and used to great effect here. Engaging, thought provoking, and morally complex stuff! I could rob a bank no problem though.I see there are some reviewers on here wringing their hands about the ethics of the film and 'true crime' in general. While I think this is a valuable conversation to have, I don't believe this film is part of the problem. I think How to Rob a Bank does a very good job of holding Scott and his accomplices accountable; bank robbery is not a victimless crime and this is told to us directly through interviews with the victims themselves. Additionally, Scott's accomplices express deep regret at the path their lives took, the crimes they committed, and the people they hurt. The film and filmmakers seem well aware of the complicated subject matter. This is a true crime film but it is far from exploitative.",False
14,4,A Documentary On Ego,grimmfilment,n/a,16/08/2025,"From the guy doing the robberies to the people hunting him, all this documentary does is give you an insight into incredible egos of the wannabe criminal mastermind, his clearly easily influenced friends and the FBI agents hunting them.It goes out of its way to paint a picture of Hollywood as some free spirit who used the money from bank robberies to live a carefree life in his tree house, hanging with friends and writing down his pretentious thoughts in a diary. Just read between the lines when people that knew him talk about him and you'll see a manipulator, not a happy go lucky guy.The FBI are no better. One of the agents oozes ego that I nearly quite watching over the arrogance. I did this, I did that, I, I, I... Everyone keeps talking about ""something horrible was bound to happen"" and yet there was not a single hint throughout all the robberies that the pattern was evolving in that way. He intimidated people, tazed someone, but to make a leap that he'd go all out... that's just being generals after the battle.It would be an interesting documentary if the people it talks about weren't so annoying.",False
