Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,One of the better documentaries I've watched in recent years.,greg-goremykin,n/a,16/08/2025,"My favourite part of this film is that it reserved judgment one way or another about the subject that they were covering so intimately, which must have been quite a tight-rope to walk, but they succeeding in this perfectly.I don't usually comment on others' reviews, but I have to add that I suspect the vast majority of people giving this a 1/10 (a 1? Those aren't serious votes or Leni Riefenstahl's films would all get 1/10 if the only merit measured is the popularity of the subject matter, come on now) I would bet my left arm never watched this film at all, at most they have read synopses of parts some alt-right website found a hair to split with on Facebook or 8chan or wherever, and are basing their votes purely based on what their particular political cult tells them is bad or good.So don't heed the low rating this gets on IMDb, this really is an emotionally engaging and insight film no matter whether you are someone who even doesn't believe man-made climate change is real. I watched this with one guy, an Engineer, who thinks climate change is actually due to environmental encroachment. the other one a QAnon-believing III%er, and we talked about the film for a good two hours afterward, which I think is a sign of a successful film in my books.",False
2,9,Polaricing Persona...,Xstal,n/a,16/08/2025,"It's disturbing that so much vitriol and hate can be targeted at a young woman whose only wish is for the governments of the world to recognise the overwhelming evidence that supports climate change and for them to do something about it before it's too late (assuming it's not too late already). Conversely, it's refreshing and inspiring to know that a young woman has been able to mobilise such a strong and powerful force to fight against the intransigence and/or misinformation pedalled primarily by biased middle aged and older men; although this is primarily a documentary about a person and not a movement. That person is trying to change the world for the better and, with the help, support and vision of the youth of today (and a few others), let's wish her success in her crusade against greed, corruption and ignorance while joining her in the fight for our survival!",False
3,9,This is not about science,martijnrhijnsburger,n/a,16/08/2025,Your rating on imdb should be about if you liked the documentary and not if you believe in what Greta stands for.'I am Greta' is a beautiful portret how one small girl started a movement. The sequence of her public speeches she has written herself shows what an exceptionally gifted person she is. And how the world leaders have no idea how to react to that. The film also zooms in on her vulnerable sides as a result of the immense pressure on her shoulders.I really enjoyed watching it and had a lump in my throat during a big part of it.,False
4,10,A Great Doc About A Remarkable Person,DavoZed,n/a,16/08/2025,"Ignore all of the reviews here by the flat earth, climate deniers. Imagine being an adult and having nothing better to do than come on a movie site and LIE about a movie you haven't even seen.The movie follows Greta from her earliest time in front of the Swedish parliament, through all of her events in Europe to her speech at the UN. You are given a front row seat at the events but also a backstage pass, as she travels to the events, works on her speeches and struggles with the burden put on her as a teenager.And the way I know that the flat earth folks haven't seen the movie ? Greta writes her own speeches with little or no input from anyone. There is NO ONE whispering in her ear or handing her something to read. And when short comments are called for, she delivers them off the cuff, like someone who has done it all her life.A great doc about a remarkable person. A shame that so much hate is shown to someone who is a true leader in our very screwed up world.Update - 9 of 24 people who read my review liked it. I am going to suggest that the other 15 haven't even seen the film. They are just here trolling anything Greta.These people are a sad waste of skin.",False
5,10,"Amazing movie, people who hate it do not understand it at all",jesse_geelen,n/a,16/08/2025,"People who say it was a poor movie are the problem in this world.
Amazing movie, the way she discribes the world of rich and powerful people as a weird moviescene. Puppets playing a weird theater.
Amazing to see the people wanting a selfie but not understanding what she really is there to speak about.
crazy world we live in, hopefully some people will realize things have to change before it is too late",False
6,6,Climate change must be taken seriously.,noahgibbobaker,n/a,16/08/2025,"Last night it was so refreshing to be back at the cinema for the first time in a few months. It was a good cinema experience as well, only a few people went to the movie and none of them thought it was a good idea to text or be annoying in general, I have one complaint though, I hate leather seats so after about an hour my bum was really sweaty and uncomfortable no matter what position I was sitting in. Besides that I don't have any major issues with I am Greta.Greta Thunberg is a really interesting person I wanted to learn more about before going into this documentary. By the end I got everything I wanted out of a documentary like this one and more. I knew she had Aspergers but I didn't know about her struggles with anxiety, depression or selective mutism, I can only applaud her for doing so much public speaking and pushing past all of these things knowing that nobody else is going to stand up for what is right. If you think these ""disabilities"" mean that Greta should not be taken seriously then you are an idiot. Often times people with aspergers have very high intelligence, great verbal skills, ability to absorb and retain large amount of information, ability to think in visual images, be very self motivated, ability to think outside the box and generate novel solutions to problems (like climate change) and might show a strong aptitude for a particular topic. The list goes on.The presentation was a bit bland and some of the shot composition made it tough to know what was happening in only a couple of scenes. But I understand that when filming a documentary often you can't get the ideal shots and have to work with what you have. I also thought that the one soundtrack song was really out of place and was very unnecessary, the score was fairly generic but it was effective. I would have liked to see more of her internal struggle before attending the protests and I would have liked to see more of how it was to travel on a boat for 15 straight days as well.My favourite part of the entire experience was exposing many world leaders for being phony and not listening to what Greta and the thousands of protestors from around the world are saying. A lot of the current world leaders simply refuse climate change calling it a hoax and saying that the science is faked, or they just aren't acknowledging that it is a crisis. This is so ridiculously arrogant or just stupid, either way do we want anyone like that in charge of our country?Climate is a colossal issue that absolutely has to be acted on soon or there will be no future. If you refuse climate change or think that because Greta has asperger syndrome, OCD and selective mutism she is uninformed and lying about this issue you don't deserve to be in the position you are in right now, all you are doing is destroying our planet without thinking of anyone but yourself, you are arrogant, uneducated, and selfish.",False
7,1,Disgusting.,p-jonsson,n/a,16/08/2025,Woke rubbish exploiting a already overexploited poor sick kid. A testament to how low the green far left fanatics stoop in order to push their agenda.,False
8,10,Genius,williamguilfoyle,n/a,16/08/2025,"Saw this at Venice film festival. Was absolutely blown away. Wonderfully created, and Greta is the biggest inspiration we've seen on planet earth in such a young and spritely body.The children will save this world",False
9,7,An Inconvenient Truth,Cineanalyst,n/a,16/08/2025,"For many it was former U.S. Vice President Al Gore's slide-show presentation of a documentary, ""An Inconvenient Truth"" (2006), Greta Thunberg cites a video she saw at school on polar bears endangered by the loss of sea ice from climate change, and for others it's been Thunberg's activism spotlighted in social media and for still others it very well could be ""I Am Greta"" that awakens them to the perils of global warming. Motion pictures are powerful that way. Such reflexive musings occasionally made by Thunberg--she also compares her travels and rise to fame to as if she were living in a movie-- aside, I didn't have high expectations for this documentary, as I'm not usually very interested in such cinematic lectures or celebrity profiles. That ""I Am Greta"" hasn't received stellar reviews, albeit more positive than not, from the sort of entertainment critics that tend to be predisposed to such material wasn't heartening, either. But, I like the observational approach of the camera here mixed with Thunberg's narration, and director Nathan Grossman got quite the scoop capturing the teenager's initially-solo school strike outside the Swedish parliament and building it up into a saga of the schoolgirl crisscrossing Europe, meeting world leaders and inspiring other children around the world, before ending with a climactic sea voyage across the Atlantic to admonish more politicians to their faces at the United Nations in New York.Thunberg says her activism isn't about her but rather about the issue of anthropogenic climate change, but Grossman is right to keep the focus on the star here, and she's adroit at exploiting--her, not her parents or whomever else, as is made clear in the documentary--her position as a Swedish child, including one with Asperger's, to do what no adult could really get away with--making being curt and passionate in her lecturing come across as inspirational and appealing to the paternal instincts of the supposed adults in the room. I mean, besides the ones who are despots or childish nincompoops, or both--your Bolsonaros, Putins, Trumps and Piers Morgans of the world. It's impressive how she's built a following and movement and has leveraged it to put pressure on leaders and figures who care about governing--the likes of Macron, Merkel, the Pope, even former governator Arnold Schwarzenegger. One of the common laments of ""I Am Greta"" seems to be that it won't convert anyone from the other side. Yet, in an age when science is denied for political reasons and others are demonized even when they're a teenager, that was never really a possibility. Thunberg has the right idea focusing on her peers who haven't yet grown into a feedback loop of confirmation bias, conspiracy theories and misinformation. The science here is established, so her role is to push her movement to galvanize the adults capable of accepting responsibility and scoff at the rest of them.The best exchange in the whole movie, though, is the first one. An old woman approaches Thunberg to reprimand her for not being in school, to which Thunberg retorts that there's no need for an education without a future. Two years later, at 17, she's already been more altruistic and influential in her career as a climate-change activist than whomever that old woman was or most of us ever will be. Even those who don't understand the greenhouse effect or comprehend the dangers of humanity's destruction of nature even while a resulting pandemic rages should be able to see the irony there.",False
10,10,Great movie,ksteinbichler,n/a,16/08/2025,One of the most inspiring people in our time - watch it!,False
