Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Compelling UFO Documentary,JGReviews,n/a,16/08/2025,"I Want to Believe is one of the more compelling UFO documentaries that I've seen. I'm a bit of a skeptic still, but I like watching these films to see what they have to say and I Want to Believe definitely maintained my interest. The film presents well known UFOlogists, why they got into the field, and the most credible information about the subject. Whether you're a skeptic or a believer, I think you're going to want to watch I Want to Believe.",False
2,4,"Lacking content, would be fine as a radio show.",rodder-3,n/a,16/08/2025,"Sadly just another repetitive UFO documentary which uses too much CGI and pointless or random unexplained imagery to spice up what is effectively a radio show style discussion.What was being said was fair enough, and well enough put, but for those who have followed the UFO story, it brings nothing new to the table.It's almost as though these CGI fest all talk with no visual substance documentaries are being made to bore the pants off of people who may otherwise have gained some interest.",False
3,8,I Believe Now,daveh2332,n/a,16/08/2025,"There's been docs about UFO enthusiasts, and it's time for an update and this one does a good job of doing so, by not only relying on the accounts of regular people, but also actual government workers who were employed to track this kind of data. It was good to see the two camps juxtaposed and how they compare and contrast to each other. I have been around when people saw what was commonly described, but also don't feel like it's such a wild and crazy idea, or even that big a deal, so I tend to believe there are such unexplained aerial phenomena, anyway. So not sure this will change anyone's mind, but I did find this doc informative and engaging.",False
4,9,An intriguing UFO film.,harriscalvin-1,n/a,16/08/2025,"I Want to Believe was truly an intriguing UFO film. All of the interviews were really compelling. Director J. Horton did an impressive job giving the audience an inside look in this continued phenomenon. This subject matter is one that has always peaked my interest. Hearing first hand from several experts who have worked in this field within several world governments helped to lend credibility to the film as well. The music, editing, camera work were all on point.",False
5,9,"Deep, balanced, well-produced",JCanni68,n/a,16/08/2025,"A well-produced doc on ufology, I was pleasantly impressed with the depth, quality and presentation. Though I'm a skeptic, I'm also a big sci-fi fan and am fascinated with the topic, and this film successfully kept me interested throughout. I felt most of the interviewees were each qualified to speak on the subject, and I was relieved that some had some new insights I hadn't heard before. What I was particularly impressed with was the balanced approach it took, not trying to force you to believe, but laying out the data and letting you decide. And the amount of data, personal accounts and theories will give you plenty of food for thought. Would highly recommend for the doubters!",False
6,9,Terrific UFO documentary,craigahrens,n/a,16/08/2025,"I'm a sucker for anything UFO related. So of course I find myself watching a lot of crap! However, not this time!! This is one terrific UFO documentary. Director J. Horton does a great job of telling the story without lulling the viewer to sleep (which is often times the case). This is a wonderful UFO doc to watch for the skeptics. Skeptic or not, you will be entertained watching, I Want to Believe!!",False
7,8,Highly Informative,abuckeye-93632,n/a,16/08/2025,"I Want To Believe is a highly informative Documentary on UFO's and if you don't believe in them, you may after watching this Documentary. I believe in UFO's and have watched many specials on the subject and this Documentary gets two thumps up.",False
8,8,Gripping doc!,Smgrte235860,n/a,16/08/2025,"Super interesting documentary about people's experiences with the extraterrestrial. If you didn't believe before, you might now!",False
9,9,Solid UFO Doc!,robertjuster,n/a,16/08/2025,"I Want to Believe is a well-produced and compelling UFO documentary. Whether you already believe or not, this film does a great job at presenting evidence through interviews and footage with well-known ""UFOlogists"". I've seen a handful of documentaries about this subject and I Want to Believe is definitely one of the better ones! Totally worth checking out on Amazon prime!",False
10,8,An in depth study of UFOs,kjs1144,n/a,16/08/2025,"I Want to Believe is a really immersive documentary about the never ending UFO fascination. All the interviewees are very knowledgeable and informative. I actually learned quite a bit that I didn't know before. The editing is fantastic, with good pacing and interesting archive material. Check it out!",False
