Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,In depth about unlikely killer duo,johansk8god,n/a,17/08/2025,Very well produced and narrated True crime. About the DC Snipers John Mohammad and Lee Malvo.A great interview with serial killer Malvo is the back bone of the movie. A lot of interviews with Wounded victims and relatives to killed People.Good editing and quality photo material.,False
2,9,"This is a documentary, not US military Propaganda.",MBreviews1988,n/a,17/08/2025,"This is about a home-grown terrorist that was trained by the US military. This is about an African American man who felt society did not respect him because of his race or sexual identity. This is about a kid who was neglected and found someone that showed him love.Americans never want to analyze themselves or admit their faults. All the reviewers complaining are those Americans that would rather ignore America's faults than understand them and try to repair them.The military knew this guy might have tried to murder his fellow soldiers and they released him to the public, and somehow he was able to get his hands on guns and kill more people. Until America addresses it's flaws HONESTLY, terrorism like this will continue to happen.",False
3,8,"Worth watching, and not easily forgotten.",mandagrammy,n/a,17/08/2025,"Although this documentary series tends to lag occasionally, it never gets boring. It is probably one of the most thoroughly produced docs of a complicated and ultra tragic event in our history that I've seen. What makes it most worthwhile is finally getting the full story from the viewpoint of the victims and those most affected by the murderers. Although we hear quite a bit from the youngest member of the murderous duo, he is not allowed to present himself on camera, which is the right thing to do. The people that are focused on are those who have the right to be seen, as well as heard. Not only are the victims given a voice, but so are the men and women who worked so hard to try and stop the senseless crimes. Overall, this is definitely a series worth watching and not easily forgotten.",False
4,10,Chilling,mayga-26857,n/a,17/08/2025,Absolutely chilling. Malvo basically narrates the entire story from a prison phone. The editing flows right with it as he describes his thoughts and what he did during each murder.,False
5,10,Extremely tragical story,hakan-47349,n/a,17/08/2025,"One on the most heart tearing and best series I ever seen. Great production, hard thought to believe it has happened in reality.",False
6,7,"Horrifying, but overlong.",paul2001sw-1,n/a,17/08/2025,"Everyday, people get diagnosed with terminal diseases, and in America, gun crime is rife. Yet there's something unqiely terrifying about the thought of a sniper picking off victims at random, just because he can. John Mohammed was a deeply distrubed individual who, with his young accomplice Lee Malvo, wreaked havoc in Washington, D. C. This documentary tells the story. And it's a good (i.e., horrifyingly bad) one as far as it goes. But it's quite a long series. A lot of modern life is caught on camera these days, while many of the witnesses, the luckiest of the victims, and even one of the perpetrators, are still around to speak; and yet there's not much to learn we're not told in the first couple of episodes. A lot of people died, then the police got lucky, and captured the killers as they slept in their car. Mohammed was executed; Malvo got life without parole. What pervades the tale is a sense of grim senslessness; maybe it didn't need six whole episodes to tell it.",False
7,10,HIGHLY RECOMMENDED,antoniocassone2013,n/a,17/08/2025,"This well-rounded, balanced documentary is outstanding. I sat back and thought about how well done it was. At first, I thought...since a great deal of the story is told from Malvo's perspective through audio calls from prison...it wouldn't be as balanced as it actually was. Here we hear not only from Malvo, but from law enforcement, media official, victim's family members and from the few victims who survived that period of time. It was such a tragedy and this documentary series puts it all in perspective. One of the best true crime docs I have seen in a long time. It will draw you in and you will stay for awhile. It sticks with you.",False
8,9,Your Children Are Not Safe,katbkaliski,n/a,17/08/2025,"The episode ""Your Children are not Safe,"" was utterly chilling and riveting. Lee Malvo's candor and attention to every little detail was amazing to hear recounted. His drawings gave me chills. The devotion and reliance Malvo had towards Muhammad made him perfectly pliable. He became the perfect killer. It's frightening.",False
9,10,Perspectives from all angles- well done,mowglihokie,n/a,17/08/2025,"Living in the No Va area it's difficult for many to understand the anxiety in that area at the time- especially with these events following 9/11 and the anthrax killings....the documentary does a GREAT job of talking with most of the officers and victims or their families, all, while a large part of the story is being narrated by Malvo... it's chilling to hear his calculated story and then get the perspective and feel the emotions of those directly impacted by that POS- especially after the shooting at the middle school...Blending into the story of where many of these people are now adds yet another well thought out and edited story... excellent documentary..",False
10,5,Certain Americans are not Responsible for Their Actions,salliemathis,n/a,17/08/2025,"Certain ""Americans"" can't be held accountable because you see, ""The System"" turned them into bad people.White supremist society, racism, the military blah blah blah and so on and so forth, you know, the current trend in media to explain away why a certain type of American just can't cut it in the civilized world.",False
