Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,watch it with an open mind,rachelrockrd,n/a,16/08/2025,"A lot of people say it's anti-trump, however all they do is share things the trump administration has done and the effects it's had. so if you think that's anti trump, then idk what to tell you. i don't think this show is trying to convince you to hate trump/ice or to have open borders or let illegals stay, rather show you what really happens to people who come here illegally and legally. it opens your eyes to the very flawed system and how there really is no ""right way"" to enter the u.s. if you don't have connections here. it tries to humanize every side. it's a complicated subject because every case is different and it's not as simple as ""if they came here illegally they get deported."" in fact, it's much more complicated than that. it highlights all the issues with the system in place and the changes that have happened over the years. it's very painful to watch and i cried multiple times. i encourage you to watch it with an open mind and watch every episode.",False
2,8,I don't get the allegations of bias,ConsDemo,n/a,16/08/2025,"I had heard this was an anti-ICE series but I didn't get that sense at all. It certainly delved into some controversial policies, but those aren't created by the ICE employees. For the most part, I see ICE agents doing their jobs and in a respectful and diligent manner. Any errant comment can be taken out of context.As for the politicians, the series tries to show all sides, warts and all. Trump and his aides are certainly disingenuous in their about face on family separations. However, the ""Abolish ICE"" crowd comes off as unrealistic. Whatever the agency is called, there is still going to be a need to enforce immigration laws.",False
3,8,Watch all the episodes. It shows both sides,toastthemost,n/a,16/08/2025,"So, this is only out for a few days and these reviews are already bonkers from both sides. I'll try to be objective as this doc-series was on a very divisive issue.I think the biggest takeaway from this series is how our policies and bureaucracy have such a high toll on people in complex situations. It humanized the immigrants. It showed what troubles they face from both legal immigration to undocumented, illegal immigration. Families ripped apart. Decades of life uprooted from where they now call home. A veteran who is here illegally so he can be with his family. It also humanized some of the immigration officers. An ICE agent with a family who empathized with the subject and let them tell their family goodbye. A CBP agent who saved an undocumented border crosser from dehydration and possibly death.For the ""outrage"" that this is liberal propaganda, please just consider that this film is not a Michael Moore piece with some huge narrative. It presents real situations from real people. Most of this was filmed recently, so it shows people affected by the current administration's policies. It didn't only show illegal immigrants either. It showed asylum seekers who were also trying to enter correctly, and what hurdles they faced. However, it also pointed out that the previous administration deported more than any before him, as well as issues with the current immigration laws and policies enacted under Clinton. Episode 6 has a very pro-CBP stance. Shows many of the officers are there to stop human trafficking. Sad to see the true nature of a lot of that is related to organized crime, and it's good that CBP is working on that.",False
4,10,TRUTH FROM BOTH SIDES,bertsworld,n/a,16/08/2025,I LIKE THAT THEY SHOW BOTH SIDES I.C.E AND IMMIGRANT'S...,False
5,10,The TRUTH may be hurt,armandovargas-76927,n/a,16/08/2025,"SpoilerDon't let anyone else tel you otherwise. The truth is finally coming out. Ask yourself why did ICE wanted this doc removed? They sued to stop people from seeing what's going on in this great country? Great Doc, keep it up Netflix.",True
6,10,A True Masterpiece as we can expect from Netflix.,axel-863-554567,n/a,16/08/2025,"Before focusing on the content of the series, I think everybody will agree on the slick cinematography and the professional editing of the footage.At times, one would have the impression watching a movie.Only, these are not actors but real people.As far as the subject of the series is concerned, we may all have our different opinions about this.ICE, as an entity, an organisation to track and trace illegal criminals surely has it's legit right of existing, and should not be abolished in my opinion.But when injustice becomes law, it is time to rethink what the priorities are.This is what this series is all about.Regardless of the ""this is my job, this is what I am paid for"" approach from Icers , the bigger moral picture should always remain the compass as to the execution of one's job.This series will create a lot of tremors and a lot of uneasy questions will be asked.I hope that this masterpiece of journalism, will finally result in a ( slightly ) better living environment for all, Immigrants and Ice Officers alike.A Must see.",False
7,10,Wonderful,alezandradavila,n/a,16/08/2025,Loved it it shows woman Latino woman and men in ice . I do think we need to fix some immigration stuff with heart I understand both sides . I think ppl are shocked to know ice agents are 80 percent Latino and minorities . But it's heartbreaking to watch everyone deserves a chance but like I said we need these shows to come up with new legislation for immigrants to come in what I witnessed is if you have a lot of money it's easier to come to USA .,False
8,n/a,Less than 15 minutes into it and had to stop!,n/a,n/a,16/08/2025,I 'may' try to watch this documentary another time but within the first 15 minutes I was so disgusted I had to stop. What kind of people actually make conscious decisions to do this type of 'work'? I had read that it was a 'fair' depiction of both sides but I didn't see one 'officer' who struck me as anything but horrible. With all that is going on right now probably better to put off watching despicable people carrying out dispicable direction from a dispicable president.,False
9,7,Terrifying but angled vision of illegal immigration,Theaetetus,n/a,16/08/2025,"These six interconnected narratives address the barriers faced by migrants trying to enter the US from Mexico and the efforts of ICE to thwart them. This documentary does not address the larger number of migrants illegally entering the US via airports with tourist visas with no intention of ever returning home. It does not fully address the profits made by US businesses in hiring such migrants in other areas besides agriculture and construction or the abuse of legal guest workers. The film glosses over the effects of economic migration on localities, hospitals, schools, cultural habitudes, linguistic identity, legal migrants, and established minority communities. These factors radically change perspectives on illegal immigration.",False
10,10,Great documentary. Stories from both sides. But it should be easy to pick one.,snattaphol,n/a,16/08/2025,It's very disturbing to see some ICE officers taking pleasures in seeing other human being being separated from their families. I wonder how could they sleep at night. I have no problem seeing people doing their job with prides but these ICE officers are inhuman. No empathy and sympathy at all. What kind of environments they grew up in. I am curious.,False
