Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,2,Can someone give me my time back?,Old_Movie_Man,n/a,15/08/2025,"I have been intrigued by facts, theories and conspiracies about the assassination of John F. Kennedy for many years. I've viewed several documentaries, docudramas, and a couple of lectures, but this is definitely the biggest crock of steamed theories I have ever seen regarding this topic. I stopped watching after I invested 1:12:35 of my time. If I paid a penny more for the video rental, I would be considering pursuing a refund. However, a couple of the statements regarding the chain of custody of evidence were enlightening up to a point. But after seeing this, I still believe that something more like the conspiracy depicted in ""Executive Action"" is closer to the truth!",False
2,4,OK if you look at it as a comedy,itchy-8,n/a,15/08/2025,"There's a book theorizing that Aristotle Onassis killed JFK because he wanted his wife. I never thought I'd ever find anything more ridiculous. I was wrong. You have got to be kidding me. Maybe you are kidding me. Maybe it's all a joke. No interviews with the doctors, and I thought there were supposed to be interviews with doctors, emergency room doctors, who actually worked on Kennedy. It's all a bunch of goofy theorizing by some guy, very glib and and perfectly rehearsed, claiming the use of then-unknown technology, and I'm not talking about the technology of assassination. Also, he calls mobster Johnny Rosselli, Johnny Rossalini. In fact, he knows nothing about the mob.",False
3,2,"Laughable theory, but an amusing watch",bk753,n/a,15/08/2025,"This is all pretty absurd... but so is the accepted ""truth"" that Lee Harvey Oswald acted alone. He wasn't skilled enough to do what he was accused of doing, and he would've passed up a far easier shot to kill JFK on Houston Street before the turn onto Elm. Straight shot, car moving slower. So yeah, no.That said, this ""documentary"" was incredibly poorly produced... like painfully amateurish. The first 45 minutes are a snooze-fest to watch and the last 45 minutes detail something so far-fetched that it almost comes across as a comedy ""mockumentary."" It would be a MONUMENTAL stretch to believe the filmmaker's contention, and even harder to believe that, if any of this was even remotely true, nobody spilled the beans in the ensuing years.Watch at your own peril. Likely THE most bizarre JFK killing story of all time. But it's SO ""out there"" that it's almost worth a peek just to be able to talk about it at parties.",False
4,1,Stunningly Stupid,jgelling-48410,n/a,15/08/2025,"To quote an old farmer I worked for many years ago when I was a teenager, this ""documentary"" is as full of sh_t as a Christmas goose.A wild, crazy mess of a theory that is closer to science fiction than a serious analysis of facts, this movie will probably appeal to the nut cases who always seem to think they are the only ones who ""get it"".The build-up description of the movie promised new factual findings using modern technology that would finally reveal the truth about what happened on November 22, 1963. Instead, it presented a bizarre, convoluted bag of nonsense that will be rejected by anyone with more than three brain cells.",False
5,1,Senseless,coastmedrn,n/a,15/08/2025,"Solved ? Ridiculous. SO many reasons it is just silly. The number of people to ""go into hiding"" and remain silent. So many outright lies and incredible stretching of facts ... Jackie married Onassis so SOON after JFK death (5 FIVE years after). JFK on Skorpios ... Then 5 years later she married. So many attended his body ... All saw a body double ? JD Tippett was NOT in any ways ""identical"" to JFK except the both had 2 eyes, a nose and a mouth. JD T was in the casket ... Um, what about JDT funeral ... Who was that in his casket ? Oswald killed nobody but JDT ... So Oswald worked in the Texas School Book Depository ... people DID see a white male with a rifle. JFK is shot in front of the TSBD and Oswald leaves work (did not kill JFK) goes home and then out for a stroll decides to shoot Tippett (the supposed body double) who later is in the JFK casket. The silliest and most STUPID claim is Jackie pulling a string so the ""Hollywood"" fake blood capsule explodes on his right side head.Just plain NUTS QANON jibberish. Weidner is NOT a celebrated film maker but a typical outlandish ""theory est"" who made a slick and somewhat professional appearing (appearing if you are ignorant and ignorant of the details of the assassination) video that is just plain embarassingly ridiculous. A total SKIP watching.",False
6,1,Don't watch!!,samselkim,n/a,15/08/2025,"SpoilerJust don't! JFK faked his death, he was afraid for his life! WHAT? A ""safe room"" inside the limo trunk??? JD Tippet was a pawn and was placed in the limo instead. The autopsy photos are really Tippet!! Omg!! Seriously?? Oh, and if you're still watching, JFK's most loved ""mistress"" fakes HER death to live forever on A. Onassis's private island with the NOT dead, JFK!! Coincidentally, Jackie marries Onassis later and this somehow wraps up their investigation with their ""enhanced"" Zupruder film playing tidbits throughout the story! Total B. S!! And ridiculous, unbelievable fodder! Waste of money!!",True
7,1,Biggest load of carp I have seen for quite some time.,gholmesnottingham,n/a,15/08/2025,"SpoilerWhen this began I was initially struck by the poor commentary and nearly turned off because of this - but then the ridiculous conspiracy theorising began and I became morbidly fascinated by just how daft it would get. JFK not assassinated but faking his death, a 'double' who looks nothing like him serving as his body double. A phone call between Jackie and LBJ where she sounded more like Marilyn - surprised Monroe didn't feature faking her death too. Apparently the undead all lived out their days on an island owned by Aristotle Onassis . Yes I watched right to the end, it had no redeeming features.",True
8,1,Terrible,rjsledz-58872,n/a,15/08/2025,This is the worst documentary I've ever seen in my life. It's so convoluted It has absolutely no objective reporting or even investigation. It's about Buck 99 and I don't recommend it even for $0.10. It doesn't have any amount of witnesses or people that would have normally given any kind of contexts for all the different elements that are portrayed in the film itself.. there's one guy that's talking about the zapruder film and he totally doesn't know what he's talking about He's going over the same thing over and over again and without any quantitative sense. I don't see any thing that really clarifies whatever happened to JFK.,False
9,1,Absurd,kellyandmaryleffler,n/a,15/08/2025,"The movie kept talking about the 30 caliber bullet from the Italian Carcano rifle that LHO allegedly used to assinate JFK. Well unless someone put a new barrel on the Carcano rifle, it was a 6.5 MM bullet. 30 caliber equals 7.62 MM thus the 6.5 MM bullet is smaller. Not much research went into the making of this filmAnd for someone to allege that JFK faked his death, that is crazy.Also to the report that Tippet was dubbed in for the examination at the hospital is wrong. He was taken to the Methodist Hospital whereas JFK was taken to Parkland hospital. Again very poor research on your endVery big waste of time and you lost my interest when talking about a 30 caliber bullet.",False
10,1,SERIOUSLY?,angelasenor,n/a,15/08/2025,"This man seems to be partially loaded or high. Either way this is the most ridiculous theory I have ever heard. I am saddened and angry not only that I paid to watch this but also that someone actually wasted the time to make this. Absurdity is the best I can come up with without using foul language. Please do not waste your money or your time on this foolish old man's lame theories. I stand 100% behind the fact he is at the least Delusional, partially drunk or high and simply wanted to find another way to exploit our 35th President and his family in such a demeaning way. I will now put my efforts into locating this imbecile and telling him just that!",False
