Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Jokes toned down on offensiveness compared to previous,averagedeveloper,n/a,16/08/2025,"I am someone who follows foreign standups almost only on Netflix. Jimmy Carr has his own offensive humor. When I searched for something similar, I couldn't find it, at least not on Netflix. There was no one who gave me the feeling of ""You couldn't have really said that"" as much as this man. In this show, I don't know if it was Netflix, Carr's advancing age, or the current structure of society, I felt like he wasn't using his punches fully and was holding back. There were a few positive messages squeezed in that you sometimes come across in standups. I wonder if this was a Netflix commission or the artist's own choice. It made me laugh out loud in a few places, but I'd like to see a Jimmy Carr getting filthy beyond comprehension.",False
2,6,Jimmy Carr delivers his usual funny and edgy stuff...,paul_m_haakonsen,n/a,16/08/2025,"I do generally enjoy the somewhat edgy comedy that Jimmy Carr delivers. And thus I needed no persuasion to sit down and watch this 2024 stand-up comedy special.Sure, I had not heard about it, prior to stumbling upon it by perusing the stand-up comedy collection on Netflix, but still I had some expectations to the show, as Jimmy Carr usually delivers good stuff.And I will say that the 2024 show ""Jimmy Carr: Natural Born Killer"" definitely is an enjoyable and entertaining show to watch. Jimmy Carr does what he does best, so it is either a take it or leave it situation, I guess. Either you like his edgy material or you don't, as he easily can offend those with frail levels of tolerance and a lack of humor.I was genuinely entertained throughout the course of the 59 minutes that the show ran for. And if you are a fan of Jimmy Carr, then you definitely will enjoy this 2024 show.My rating of ""Jimmy Carr: Natural Born Killer"" lands on a six out ten stars.",False
3,6,Nothing lasts forever.,macc99,n/a,16/08/2025,"Brilliant comics age, just like everything else, and Jimmy Carr is a brilliant comic.He's one of the smartest, funniest, most inventive British comics of his era, but the nature of being sharp and inventive is that it has a shelf-life. There are still flashes of the old brilliance but a lot of it feels like treading old ground. That's not to say that he can't get back to his old level of brilliance, because great comics can adapt and reinvent themselves.The ""I'm so edgy"" shtick is just cringe, and pretty standard for many comics whose glory days are behind them. Just make sure you have the best material, and get on with telling the jokes. It's not the 1950's and the only people who are ""offended"" are newspaper columnists who are only pretending to be for adclick revenue. Truth is, most people aren't actually watching - they have their own lives to get on with.If anyone is genuinely offensive, they won't get a Netflix special - the comic genius of Jerry Sadowitz is an example. It's tough for ageing comics but it is possible for them to revive their act. It starts with them admitting to themselves that their act needs reviving, not deluding themselves that they're an ""edgy"" 51 year-old.",False
4,7,I guess some people are easily offended...,deloudelouvain,n/a,16/08/2025,"Jimmy Carr brings another show with the kind of jokes we're used from him, the short one liners that make you think for a second, and that makes you giggle once you got the pun. Of course you will get people that get offended as his jokes are raw and risqué, but then again he's doing this for ages so why would you even watch his shows if you're that easily offended? Anyway, Natural Born Killer might not be his best performance but it's certainly good enough if you like Jimmy Carr. He joked about every delicate subject possible so I'm not surprised he gets negative reviews. But if you think you can laugh at anything and everything just give this show a go, you might enjoy it.",False
5,n/a,Is stand up comedy dead?,n/a,n/a,16/08/2025,"I mean if even Jimmy Carr cannot produce better material than this who else could?He talks about his feeling that he may lost his edge and he is totally right. Having a kid changes you. Sadly he doesn't realize this but the audience does.He is not the same guy who told the brilliant mosquito joke. Other than the emotional and mental change he looks different, too. Really skinny and tired.Honestly I could not remember a single joke from this last special it was so ordinary and boring. What a disappointment.I don't know what's going on with these stand up comedians lately but they all lack something which they had in the past.",False
6,7,Give it a try only if this isn't your first time watching him,chris-fussel,n/a,16/08/2025,"Like other say this is absolutely not for the faint of heart. If you've watched him before you know what to expect but to be honest there was only about 10 minutes that weren't vulgar and unnecessary sex jokes. I've seen all of his other specials and I do love the guy, which is why I hate to say this was disappointing. He can do better than this, and yes his thing is to deliberately cross the line. I have a dark sense of humor but even this was too much. It's not his best material and it's not for everyone. His worst special by far. I can't recommend enough if you're going to watch this wear headphones or risk people you live with who are easily offended and cannot understand the concept that he doesn't mean what he's saying and only joking. I recommend giving it a try but NOT if this is your first time watching him.",False
7,10,Not for the faint of heart. Thankfully!,dobraashe,n/a,16/08/2025,"This was my first time watching comedian Jimmy Carr. He has a very unique style for North American audiences that took me about 20 minutes or so to catch on. Once I did, I couldn't stop laughing - out loud! His rapid but pointed delivery style reminds me of the fellows (Cleese, Palin, etc.,) from the classic Monty Python films and Fawlty Towers shows that I watched when I was young.He is not only great at one liner jokes and double entendres but he has an incredible knack for telling stories while engaging unsuspecting members from the audience.I'm happy to see he has many more comedy specials that I can catch up on.",False
8,8,Offensive and witty. Sometimes corny,Hoebagolo,n/a,16/08/2025,Definitely goes over a ton of controversial subjects so will likely offend a lot of people for differing reasons. I'd say over 90% of his material can be considered offensive. He talks fast so there's a lot of jokes. I'd say 1/3 funny 1/3 decent 1/3 corny. One second I'd think he's being over the top or offensive for the shock. Then he'd do the same thing but I'd find it funny. Really tough to judge when every joke is so unique to the person hearing it. But if u don't get offended you'll find more than enough to stick through. I watched alone and lold at least a dozen times. Going into this I'd seen his other specials no more than once and always thought he was decent. This special was better than expected to me. But ya a lot of the jokes weren't huge crowd pleasers so it's hard to recommend to everyone. I also forget his old material specifically but know he's always leaned intro controversial topics so this seemed on brand for him.,False
9,5,Motion Sickness (Not joking),egzirsah,n/a,16/08/2025,"This stand-up special by Jimmy Carr is the first time I have not enjoyed his work. I do not mean that his jokes were not funny. On the contrary, I found much of the material to be pretty good, not his best, but pretty good. Even so, I emitted no more than a chuckle throughout the show. That is because the camera work in this is unprecedented, and not in a good way.Every so often the camera operator would repeat a moving shot of Jimmy by coming in from the side of the stage, all in for a close-up of him talking and then continue passing all the way across in front of him, followed by circling behind him.I found this pointless continual movement so distracting that it made me utterly lose track of the topics and not even hear what he was saying. I cannot recall ever seeing this before in any stand-up special ever, by anyone. This began early in the routine and was repeatedly used all the to the end. I found it so off-putting that the only time I laughed was when I was not actually looking at the screen.My main emotional response was not laughter, but rather feeling bad for his audience in the theater. I wonder how they remained in a humorous mood when I can only imagine they were having their show spoiled by absurd camerawork being performed directly in their line of sight. I would love to know about why this approach was used and the chain of poor judgment that allowed it to happen. It must be utterly bizarre or tragically pathetic.Thank you for reading this.",False
10,10,Funny as!!!,campbellsimpson,n/a,16/08/2025,"This is hilarious! A full show of one liners, this is one of the BEST standup comedy shows ever made! He is possibly the funniest person on earth!With a controversial set that is so gender, racial and religiously indiscriminate it's got a laugh for every race, gender, creed and religion that will have you in absolute stitches!Well done Jimmy and well done Netflix for supporting and promoting such a well rounded choice that is for all people who are willing to laugh at themselves and also reflect on the contradictions of modern day encounters.Will watch over and over again, best stand up of all time!!!",False
