Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Cinematic Theater Of A Remarkable Kind,littlemartinarocena,n/a,15/08/2025,"Beyond its compelling subject matter ""Judgement At Neuremberg"" revolutionizes the court room drama genre. The camera swings and swerves and dives between the lines of this exemplary Abby Mann script. Stanley Kramer conducts his orchestra of iconic stars with the precision of a Swiss watchmaker. The language barriers and the confinement of the action masterfully resolved. Spencer Tracy is simply magnificent and, as per usual, we believe every word that comes out of his mouth. His judge is an American monument of unsentimental humanity. Twentynine year old Maimilian Schell won the Oscar as best actor and his performance survived the test of time with the vigor of his conviction. Montgomery Cliff makes his short minutes on the screen, one of those memorable moments that nobody that has ever seen it will be able to forget. The man and the character merging into one chilling, shattering truth. ""I am half the man I've ever been"" Marlene Dietrich gives to her German aristocrat a legendary star quality. And Judy Garland, overweight and almost unrecognizable breaks your heart and gets her last Oscar nomination. My only troubles came with the stoic Burt Lancaster because I could never forget it was Burt Lancaster and with Richard Widmark's strident prosecutor. I have seen ""Judgement At Neuremberg"" more than a dozen times and it never ceases to amaze me that no matter the darkness of the subject it always manages to entertain and inspire.",False
2,9,"Fantastic acting, script, and direction in a thought-provoking movie",gbill-74877,n/a,15/08/2025,"Outstanding film. Star-studded with several fantastic performances. Highly emotional given the subject matter, but presented in a very intelligent, balanced way. I was struck at once by that, and by how well director Stanley Kramer gives us both sides of the argument – and avoids simply paying lip service to the defense of the German judges on trial. Maximilian Schell is brilliant as the defense attorney, well worthy of his Oscar, and is forceful and compelling in his arguments. There are also so many brilliant scenes. Spencer Tracy walking in the empty arena where the Nazi rallies were held, with Kramer focusing on the dais from which Hitler spoke. The testimony of Montgomery Clift and Judy Garland, both of whom are outstanding and should have gotten Oscars. Burt Lancaster in the role of one of the German judges, the one tortured by his complicity, knowing he and others are guilty. The devastating real film clips from the concentration camps, which are still spine tingling despite all we 'know' or have been exposed to. Marlene Dietrich as the German general's wife, haunted but expressing the German viewpoint, one time while people are singing over drinks. Her night stroll with Tracy, as she explains the words to one song, is touching. It just seemed like there was just one powerhouse scene after another, and the film did not seem long at all at three hours. Heck, you've even got Werner Klemperer and William Shatner before they would become Colonel Klink and Captain Kirk! In this film, the acting, the script, and the direction are all brilliant, and in harmony with one another.As for the trial itself, the defense argument was along these lines: they were judges (and therefore interpreters), not makers of law. They didn't know about the atrocities in the concentration camps. At least one of them saved or helped many by staying in their roles and doing the best they could under the heavy hand of the Third Reich. They were patriots, saw improvement in the country when Hitler took power, but did not know how far he would go. If you were going to convict these judges, you would have to convict many more Germans (and where would it stop?). The Americans themselves practiced Eugenics and killed thousands and thousands of innocents at Hiroshima and Nagasaki. The one small weakness I found was that the defense never makes the simple argument that these judges were forced to do what they did, just as countless others in Germany were, and would have been imprisoned or killed themselves had they not complied. Anyone who's lived under a totalitarian regime may understand, or at least empathize.I'm not saying I bought into these arguments or that one should be an apologist to Nazis, but the fact that the film presented such a strong defense was thought provoking. How fantastic is it that Spencer Tracy plays his character the way he does – simply pursuing the facts, and in a quiet, thoughtful way. It's the best of humanity. How heartbreaking is Burt Lancaster's character, admitting they knew, admitting their guilt, knowing that what happened was horrible and that they were wrong, and yet seeking Tracy's understanding in that scene in the jail cell at the end – intellectual to intellectual - and being rebuked. Even a single life taken unjustly was wrong. Had the Axis won the war, I don't know which Americans would have been on trial for war crimes for the fire bombings of Dresden and Tokyo, or for dropping the atomic bombs, but the film makes one think, even for a war when things were seemingly as black and white as they could ever be. The particulars of this trial were fictionalized, but it's representative of what really occurred, and it transports you into events 70 years ago which seem so unreal today – and yet are so vitally important to understand, and remember.",False
3,9,Would a film of that candor have a chance of being made today?,Beaucoul,n/a,15/08/2025,"I watched ""Judgment at Nuremburg"" on PBS the other night. I had never seen it before. I expected an empty-headed, Hollywood-style, quasi-melodrama, but I was pleasantly surprised. Even Spencer Tracy, that universally beloved actor whose appeal has always escaped me, gave an honest and heartfelt portrayal of a ""simple man"" who was also a deeply conflicted judge.What I liked most about this movie was that it didn't pull any punches, in the manner of other ""controversial"" films of its time. The defense attorney, superbly played by Maximilian Schell, weaves a simple, but undeniable web of logic:Sterilization of ""undesirables,"" one of the charges against the Nazi war criminals, was at one time condoned by the U.S. courts, and encouraged by none other than Oliver Wendell Holmes. - Numerous leading industrialists in the U.S. contributed to the development of the Nazi war machine. - Encouragement was given to Hitler's expansionism by both Russia and England. - Churchill is quoted as having admired Hitler. - The Vatican actively collaborated with the Nazis.Correct me if I'm wrong, but it must have taken major cojones to present that kind of message to American filmgoers in 1961. Would a film of that candor have a chance of being made today?I tend to doubt it.One further note. The film describes how the Nazis went about stripping the German judiciary of judges who were known for their objectivity, and replacing them with judges who were appointed based solely on their party loyalties.The mind boggles at the implications and yes, the prescience of this well-written, well-played masterpiece.",False
4,n/a,The logic of evil.,n/a,n/a,15/08/2025,"I once read a review of this film that criticized the fact that the American chief prosecutor as played by Richard Widmark was a less sympathetic and engaging character than the defending lawyer, Herr Rolfe as portrayed by Max Schell. Schell's Oscar winning performance illuminated the ""shattering truth"" that the film reveals about Nazism. Extremely able and educated men were able to rationalize what they did with an irresistible logic. They loved their country and, in a time of a national crisis, found it necessary to implement certain measures. As expounded by Rolfe, it all sounds so logical and reasonable. He also cites the fact that many world leaders actually commended Hitler upon his leadership in getting Germany out of the Depression as swiftly as he did.Widmark's character, Lawson, is understandably appalled by Herr Rolfe's defence of the indefencible and therefore he pulls no punches. He wants those responsible to be held fully responsible but he finds Germans who are ready to extenuate and rationalize. After he is told to tone down his demands for justice, Lawson acerbically retorts, ""There are no Nazis in Germany. It was those damned Eskimos.""The moment that illuminates how pure reason without humanity is so dangerous is when Pohl, a right hand man for Eichman, explains how it was possible to kill millions of people in purely technical terms. His explanation as he eats his lunch is devoid of any hint of human empathy for the victims he has so blithely exterminated. His was a job that was the logical extension of a policy and he carried it out with a detached and technical logic.The key point that the film makes is that to be logical is not always to be morally right.",False
5,10,"""My counsel says we were not aware of the extermination of the millions. He would give you the excuse: We were only aware of the extermination of the hundreds.""",alexkolokotronis,n/a,15/08/2025,"This quote is one of the most shocking and yet truthful quotes I have ever heard. It is one of many shocking and intense quotes in the movie. Furthermore Judgment at Nuremburg is one of the most absorbing movies I have seen. Even though most if not all of it is dialog it is very much a haunting film. This film is loosely based on the trials in Nuremburg in 1948. Right from the start the movie captures your mind and never lets it go.The acting was collectively amazing. One of the best casts ever assembled which included Spencer Tracy, Montgomery Clift, Judy Garland, Richard Widmark, Burt Lancaster as well as international stars Maximilian Schell and Marlene Dietrich. It is not just the fact that this is a star studded cast that made it so great, it was the way everyone appeared to blend in together. Maximilian Schell gave the performance of his life in this film playing the defense lawyer for Burt Lancaster who give two superb narratives that will certainly stay in your mind forever. Schell's character use of logic is that of something which will mesmerize use you whether or not you agree or disagree with what he says. Richard Widmark playing the prosecutor gave the type of supporting performance that was necessary for Schell to shine. The way both actors fed off each other was a joy to watch. Then of course the tiny appearances of Garland and Clift were excellent and worth every second they spent on camera. I usually find myself frustrated with cameos and actors receiving recognition for them but this film used cameos the best way I have ever seen. Then of course Spencer Tracy and Marlene Dietrich provided such great presence were perfect for the lead.The direction of Stanley Kramer was spectacular as the film intensified more and more as it wore on. It was always engrossing and never let up. The writing of Abby Mann was great, filled up with great material and narratives allowing every actor in the cast to give a superb performance. There were many memorable quotes as well. The writing carried the film forward and allowed all the potential and talent to push this film to another level.Judgement at Nuremburg is not just another movie. It is a very thought provoking movie. More than that though it is haunting. Just thinking about the course of the events being talked about in the movie became subtly haunting in a way I really didn't expect. What was the most compelling though was the way we need to separate what we feel with what has to be truly done, with what is truly right.",False
6,10,~One of the most Powerful Films ever made.~,The_Fifth_Echo,n/a,15/08/2025,"Judgement At Nurmeberg is a 1961 film about four Nazi Judges are in trial for crimes against humanity. Well let me just start out by saying that this is a very sad, powerful film. I was expecting it to be very boring and I guess I underestimated it. The film is also very well written, so well written that actually it makes you really think. I'm happy that it won an Oscar for writing.The best quality about the film HAS to be the acting. Judy Garland, I think should of won a Supporting Actress. This is her finest performance ever, and I'm sad she didn't win one. Maximilian Schell gives the performance of a lifetime in his role as the defense attorney for the judges. He truly deserved his Oscar because he was very powerful. Spencer Tracy also gave a quite exceptional performance as he always had. (He isn't a Two-Time Oscar Winner for nothing. As for Montgomery Clift he deserved his Oscar Nomination. I am kind of ticked off that Marlene didn't get an Oscar Nomination for Best Supporting Actress. I always feel she is underrated.As for Stanley Kramer (The Director) he had real talent and this film shows it. The 9-Time Oscar nominated Director should've of won an Oscar for Best Director for Judgement at Nuremberg. I hope his talent though will be remembered for many years to come.My Overall Consensus is that the movie definitely succeeds due to the Extraordinary Performances and the Quite Exceptional Writing.You Should see this Film. 10/10",False
7,10,"Not your average war film, brilliant telling of a fascinating story.",Sleepin_Dragon,n/a,15/08/2025,"American judges arrive at Nuremberg, to preside over the trial of four high ranking Nazis.This film is truly monumental, it is an incredible movie, and a fascinating subject, there are so many films that detail the start of the war, the harrowingIt was actually The Americans that called for this trial, and it's incredible to think that the trial was actually broadcast on TV. I'm surprised add just how realistic it is, I've recently watched exerts from the trial, and so much is accurately reproduced.There are some very interesting camera angles and techniques used, it's far from static, as there's virtually only one set, the courtroom, they did a great job ensuring that scenes don't feel lengthy or too wordy, it's incredibly watchable.Outstanding performances, truly astonishing, Maximilian Schell and Spencer Tracy in particular are fabulous, but the whole cast deliver.It's worth watching to see William Shatner in a US uniform alone, wow he's insanely handsome.If you're interested in the events at Nuremberg, and have access to BBC iPlayer, I'd recommend you checking out The Rise of The Nazis Series four, which details these events.There's a reason why this film is so highly regarded, and still enjoyed by many, it's not quite an obscure subject, but hardly what you'd call a crowd pleaser, but I urge you to watch this great film.10/10.",False
8,10,When films like this can be made.......,stanford-4,n/a,15/08/2025,"If this is not considered as one of THE great films of all time, then all of us film fans should pack up bags and go home I cannot fault anyone, any scene, anything in this film. The dialogue races along in its smooth yet supremely captivating style. You grab a film like this, see a whole host of famous actors, and wonder if such a mix could ever work. It does, believe me, it really, really does.Tracy. He was given the most powerful of dialogues, he presents it to us in a way that does not shout at you, yet holds you in a vice like grip every time he comes on screen. With his characteristic method of looking down whilst talking, hands in pocket, that small sly look up that he does, vintage Spencer, just how you would imagine a judge to be, or should be.The supporting cast, again, never lets the film down. Some have the opportunity to step up a notch, Snell, Widmark, and others play their roles in a more subtle manner, Garland and Dietrich. And others just wipe away the floor with their presence, Clift and Lancaster for example.And the story by Abby Mann - incredible.Shot in black and white, it makes you think, it makes you smile, it will make you sad, and in the end you will be all the better for having seen one of the greatest films ever made, you will be richer for the experience, and you will be wiser.You will also be able to say that you saw what Hollywood can do, you saw what great actors can do when put amongst their peers and are not 'stars' of a movie but are part of a larger ensemble.And you will also see why this particular group were, genuinely, the very best Hollywood had to offer, period.",False
9,10,Questions Without Answers - Which Is The History Of Nazi Germany,sddavis63,n/a,15/08/2025,"Lacking the big names of what people normally think of as the ""Nuremberg Trials"" - the trial of Nazi leaders such as Goering, Hess and Speer - this movie focuses on the lesser known people who were tried for war crimes: the German judges whose responsibility it was to dispense ""justice"" in Hitler's Germany. Although the big names are missing, the movie is powerful and masterfully deals with the troubling questions around Nazism: how could normally good, decent people (represented in this movie by Ernst Janning, played by Burt Lancaster, on trial with three others) have allowed themselves to be sucked into the evil that was Hitler and National Socialism? How could the German people have turned a blind eye to what was going on and simply denied all responsibility? And the movie also considers a troubling question about the United States: if Nazism was evil enough to have warranted a war and then all the effort of the Nuremberg trials, why were the Americans suddenly so willing to ""forgive and forget"" with the onset of the Cold War and the threat of communism?The implication here is that the Americans never really took the secondary trials seriously. A second-rate judge (Dan Haywood, available only because he had been defeated in an election, and played magnificently by Spencer Tracy) was appointed to head the trial, the Army was putting pressure on the prosecution to go lightly. It's an amazing fact of history that within three years of the end of World War II, the feeling was so clearly against pursuing those who had played roles in the Nazi nightmare (and, of course, it's a question that still haunts us today as Nazi war criminals from time to time turn up and the response of the public is often, ""he's an old man. Why bother?"")Focussing largely on the trial itself, the movie is consistently gripping throughout, and even the diversions outside the courtroom (such as the relationship between Judge Haywood and Mrs. Bertholt -Marlene Dietrich) don't detract from the suspense, as they continue to push the question: ""how can you just sit there and deny knowing anything?"" Anyone with an interest in the puzzle of Nazi Germany should watch this. In the end, it raises a lot of questions and offers few answers, but that may be the legacy of Nazism. But the movie makes its point. As Judge Janning talks to Judge Haywood at the end of the movie he says almost pleadingly, ""we never knew it would go so far."" Haywood simply responds, ""Herr Janning, it went that far the first time you convicted a man you knew was innocent."" Powerful stuff.10/10",False
10,10,One of the most thrilling and thought provoking movie of all times,mianaliilyas786,n/a,15/08/2025,"I have always been fond of Stanley Kramer's work , but this movie proved to be quite extraordinary and exceptional .The movie has every thing you can desire and human sentiments are at there level best. The plot is written by Abby Mann who won best screenplay Oscar from that and quite deserving one. The story based on Nuremberg trials held after fall of Nazi's in Germany but this movie is nice blend of history with fiction as the major characters were fictional but the evidences and indictments presented in the trial ever authentic and truly depicts the conditions of Nazi occupied Germany. The most intriguing thing of the movie was the true representation of aftermaths of Nazi's occupation in Germany and the feeling of German toward the trial and immaculate direction of Kramer made possible to convey these types of sentiment on cinema for the very first time. The cast was also fascinating with big names like Tracy and surely he did justice with his role as he was very compelling and humble as Judge Haywood. Maximilian Schell was at his best as a compassionate enthusiastic zealous and patriotic attorney to defend the dignity of Nation. He won best actor Oscar for his role. Montgomery Clift was also the one who made this movie special as he played a role of feeble minded sterile man who was nominated for best actor in supporting role though he only played for 9 min in the movie. Burt Lancaster gave one of the most extraordinary cinematic performances as Ernst Janning. This is one of those movies which provokes our mentality and also our morality and is a treat to watch.",False
11,7,Absorbing but Uneven,kenjha,n/a,15/08/2025,"This is a long-winded but absorbing drama about Nazi leaders being tried for war crimes. Mann's script raises some intriguing issues about law and morality. It features an impressive all-star, although everybody seems to be bucking for an Oscar. Except for Tracy and Dietrich, everybody has bursts of overacting. Schell is interesting to watch not because his is a great performance, but because he is so incredibly hammy. Clift is touching as a witness. Much of the blame for overacting must go to Kramer, who tends to be heavy-handed and theatrical. His direction of the courtroom scenes is frustrating to watch because of his ever-moving camera and amateurish zooms.",False
