Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Absolutely loved it,brightness-69347,n/a,15/08/2025,"I loved seeing the behind the scenes of Jungkook's solo journey even though it was heartbreaking seeing how sick he was for a lot of it & how rushed his short promotion period was. He worked so hard last year and knowing that he saw how loved he is was very comforting and reassuring.My only complaint was that some of the footage seemed very rushed and therefore it was a bit difficult to follow. It would also have been great to see more of the recording process. There were also some crediting problemsOverall it was a very enjoyable, if emotional, viewing though. I hope to be able to watch again.",False
2,9,I AM SO PROUD OF YOU JK!!,fiyinpraise,n/a,15/08/2025,"""Hi kookie, I just wanted to take a moment to say how incredibly proud I am of everything you've accomplished. Watching your journey and seeing how hard you work inspires me every day. Your talent, dedication, and authenticity are truly unmatched. No matter what you do, you always give your best, and it shows. Thank you for being such a positive influence and for sharing your light with the world. Keep shining-you have so much to be proud of, and so do we as your fans! We love you and just want to let you know that the sky is you starting point and you're always in my prayers for real!! Be good.",False
3,10,You made me even more proud,owlcool,n/a,15/08/2025,"It is an amazing film showing jungkook's live performance abilities and skills and also his thoughts on the golden journey and quite interesting interviews with producers jungkook had worked with. I am so freaking proud of you, jk. Really, it is the most rewarding thing to be your fan, to be jungkookie, I am so excited for that is next! I am happy to see your ambitions and thoughts about your future! Indeed, let's just work and see where it will bring us. Let's go higher, my love. And you fans will always be standing next to you.The docu made me cry and laugh. Jungkook has such an entertaining personality. You can just watch him forever and never get bored.Thank you
and with love,
your load and proud fan,
Dory.",False
4,n/a,Proud of you jungkook,n/a,n/a,15/08/2025,"I enjoyed every moment of the movie. There are a lot of things that we don't know that happen behind the scenes, maybe this movie showed us some of them. Jungkook, you are an amazing person and Artist you work so hard GOLDEN is amazing album and has lots of masterpieces standing next to you deserve Grammy
I cried a lot while watching the movie. My feelings were mixed with joy, pride, and appreciation for you, but also sadness that you are not on stage right now. But time will pass and you will be back soon. I can't wait for your first solo world tour and its movie. I am going to watch i am still again tomorrow it was amazing experience.Proud to be jungkookie.",False
5,10,Jungkook is a global pop star,dodot-89576,n/a,15/08/2025,"It was a documentary full of emotions JungKook is a talented person there is no doubt that his role as a soloist is and will always be successful Beyond all the great human being who is humble and real I enjoyed every minute of it Jungkook was born to be a star Thank you for allowing us to see you shine so bright. Those 8 months were incredible for us as well Jungkook You have worked hard and achieved a lot in a short period of time, so we are proud of you and love you forever. I will go to the cinema again to watch this documentary it was really fun I cried, laughed and sang with you. There were so many feelings.",False
6,10,I AM STILL HAPPY,cacpcmever,n/a,15/08/2025,"What an amazing experience to watch this great documentary about Jung Kook's solo career debut. Hard work pays off!!As a fan of Jung Kook I feel very happy and proud to see my favorite artist reaching this level of success and recognition. I hope he could gift to us more of his music as a soloist. He is so talented that the whole world deserves to enjoy his art, that sweet but powerful unique voice; his incredible dance, his undeniable charisma.I enjoyed every second of the screening, singing, dancing, crying, and falling in love more and more for this special man.Thank you Jung Kook for making my days happier since I discovered you after FIFA WORLD CUP 2022.I LOVE YOU JK
A Great documentary about one of the best singers and performers of this era.",False
7,10,Joyful and Loving,caidenceyoung,n/a,15/08/2025,"I absolutely loved watching this, I loved seeing and hearing Jungkook thought process of every situation and every part of his pack schedule. It was funny at times and enjoyable at other times
I personally enjoyed the experience of watching it all as a person who loves seeing behind the scenes parts; I loved hearing his thoughts and his wise words.Jungkook is the most hardworking person I've grown to know over these past 11 years, he is the most charming and funny person as well, he understands what needs to be done and how to get to it at it's full potential.It is something that anyone can look up to, to achieve more than what you expect.As an ARMY and a supporter of Jungkook, watching this documentary made me miss him more as of the time of writing this, he is in the military doing his 18 month service and I hope he see's that we all loved it so much <3.",False
8,10,JUNGKOOK THE NATIONAL PRIDE,qxxmqcv,n/a,15/08/2025,"The documentary beautifully captures his incredible journey, showcasing not only his immense talent but also his dedication and hard work. Jungkook's passion for music and performance shines through every moment, reminding us of his growth as an artist.As a proud representative of Korea, he has truly made his mark on the global stage, and this documentary highlights the immense pride his country feels for him. His authenticity and humility resonate deeply, making it clear why he is beloved by fans around the world. 'I Am Still' is a heartfelt tribute to an artist who continues to push boundaries and inspire others. A must-watch for anyone who appreciates talent and determination!",False
9,10,Love it the most,justjkever-08268,n/a,15/08/2025,"Amazing documentary, once not enough for me.. from the first minute till the end everything sooo goood. So many emotions come up, he's so natural, multitalented. This documentary show us ho hard he work within a year to make the best album that he want to give as a solo artist, His vocal so amazing, even though he's not in a good condition but he always give his best to perform.Everybody will enjoy watching this documentary , in my experience everybody sing along every time during the documentary, I love it really love it and for sure will re watch this documentary frequently... and don't forget to scan the barcode at the end of the film.",False
10,10,THE GLOBAL POPSTAR,makgolnaeden,n/a,15/08/2025,"I love watching I am still documentary. This documentary shows the step by step process of completing his GOLDEN album. He really word hard. His dedication to this album is top tier that's why Jungkook deserves all the recognition his getting right now. Jungkook's dedication and love of music incomparable. It's on another level. Watching I am still documentary feels so unreal. I feel like I'm a proud mother watching his little kid succeed in life. I know and I feel it how proud Jungkook's family is right now to him. They watch him grow so I know they're proud of their little kid. JUNGKOOK, WE ARE PROUD OF YOU. WE WILL BE STANDING NEXT TO YOU. WE LOVE YOU.",False
