Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Could have been so much better,rory-75,n/a,16/08/2025,"SpoilerLike many others, I was ultimately disappointed with this series. The first couple of episodes over-focus on the charging issues, while expecting a gullible public to believe that a highly funded production like this went to the tip of South America unaware that it was winter, unaware that different countries have different charging outlets, unaware that batteries don't like the cold, in general totally unaware of electric vehicles, etc.The next four or five episodes are excellent, on a par with the best from Long Way Round and Long Way Down. Inexplicably, the last eight countries are squeezed into the final three episodes. We see disappointingly little of Nicaragua, Honduras or Guatemala and magically transport 900 miles through Mexico from Oaxaca to Juarez in about three shots. There's no explanation of how the Rivians get through Mexico, or even what happens to the bus at the US border. It feels like the last two episodes should have been at least four.I've rated it reasonably highly because of the exquisite cinematography - Claudio von Planta wins again(!) - and the attempt to show how sustainable travel is possible and will become inevitable in the next few years. But shame on the producers and editors for such an incomplete story and a rushed and fragmented ending.",True
2,8,Ewan and Charley's electric adventure,ScoobySnacks66,n/a,16/08/2025,"This is Apple TV+'s first attempt at a documentary styled adventure travel show, and they've certainly gone big with it by taking on the Long Way franchise. The show features actor Ewan McGregor and his friend, Charley Boorman, going on a three-month, 13,000-mile motorcycle trip. Filmed in the fall of 2019, they ride through South America, Central America and Mexico, before finishing up in Los Angeles. The first episode starts slowly but held my attention with Ewan's wonderful, down-to-earth personality. I became even more interested when Harley Davidson stepped up with two prototype, electric ""adventure bikes"" for Ewan and Charley to take with them on their journey. For the bored and stuck at home, the EV aficionado and the lover of motorbike road trips the series holds a lot of promise, as the two venture through the Andes, Central American rainforests and back to California on fully electric motorcycles, demonstrating innovative engineering ingenuity and filling our empty, wanderlusting hearts with the opportunity to accompany them from our sofas while we wait out the pandemic.",False
3,8,A road trip about batteries - and some nice scenery,phil-205-629777,n/a,16/08/2025,"Ewan and Charlie make an entertaining double act and the old production gang comes back together for a new road trip. The most obvious question, though is, ""why didn't anyone tell them batteries don't like the cold""?It seems that it takes them about 2 weeks to work this out. Whoever did the logistics must have been evilly laughing as they seemed to be constantly 10 miles short of powe.Anyway, I'm about half way in now and in it for the long haul. The scenery is great (the drone pilot was pretty busy and seems to have his/her own battery supply) and the miles soon disappear.And at least the charging issue gives a bit of jeopardy for the show. Worth a watch.",False
4,10,Don't Listen to the Haters,SithHunter,n/a,16/08/2025,"Its quite obvious that the petrol heads who live and breath bikes are once again having a tanty over these two guys adventure. Ultimately that's what the show is, these two great friends adventures around parts of the world less travelled and they happen to love bikes.On the First trip the haters went after them for the fact they had support cars following, on the second trip they got angry that bmw was supporting them with quick air shipment of spare parts, and now they are just angry at the notion of Electric.well too bad, its pure jealously that the haters dont get to do anything remotely close to a trip like this. they dont seem to understand that the show isn't just about one thing, its not just the bikes, its not just the adventure and its not just about these two guys. Its the whole package, its the planing, the shenanigans, the route, the bikes and the whole crew.all the people complaining about charging, what did you expect? nobody has done electric adventure like this before on bikes. that's part of why they did it.Nobody said throw away ur petrol bikes and go full electric right now, everybody knows its going to take decades to get even a small percentage of the world into electric. Some of the destinations dont even have petrol stations so of course charging would be a problem. Both these guys still have many petrol bikes and won't be giving any of them up, yet you all seem to think thy are eco warriors with a green agenda rather than giving them credit for being pioneers in adventure travel.",False
5,10,"Gut wrenching, Jaw Dropping, beautiful",pugmahorn,n/a,16/08/2025,"I am six episodes in. The scenery...it's hard to believe some of this is filmed on Planet Earth. At times I am gob smacked. The interactions with locals are beautiful. Ewan is the heart and soul of this series and I mean no disrespect to Charlie who is great. The filming is amazing. I've watched the other two series which are also fantastic. Just makes me want to get of the couch and explore. If you don't like it, that's fine, but is it really necessary for people write such hateful and nasty reviews? Why? Just switch off.",False
6,10,Another Gorgeous Adventure! - Bad Reviews Truly Baffling,tabaquij,n/a,16/08/2025,"I get the feeling that a lot of the 'bad' reviews have a) never seen the other installments and b) are easily bored. I am *loving* this. They're all driving completely new, prototype machines that have never been driven over such terrain or distances before, learning about them as they go. I think it's so cool that HD and Rivira were able to come up with road-worthy prototypes on such short notice.The scenery is *fantastic*! Otherworldly. I have never seen such gorgeous views, it's great. And it's so awesome to see Ewan and Charley together again!Complaints about it being 'scripted' are silly - it was filmed on the fly. Complaints about it being 'too green'....? Get a grip.An excellent show so far (up to ep six), and I cannot wait to see more of the incredible Americas from the back of a bike!",False
7,10,I love this series. And the others too.,bertrum96,n/a,16/08/2025,Ewan and Charlie are so fun to watch. I used to watch it because I rode motorcycles but it's a good show on its own. If you like travel and reality series and motorcycles and funny banter you will enjoy it. The film crew does a great job of capturing the experience as well.I was going to give it nine stars but I decided to give it 10 because every time I start the series I can't stop watching it so what more can I ask for?,False
8,10,They're back!,dheijmans,n/a,16/08/2025,"The epic ride duo (trio if you count Claudio) is back for another journey. This time maybe the toughest of all three long way's. From Tierra del Fuego all the way to L.A. on electric bikes in the Patagonian winter. Even the crew drives electric!
Will they make it with their experimental vehicles?
This must be an true epic journey for Ewan and Charley",False
9,10,A pleasure watching these two yet again,lawrenceo-44972,n/a,16/08/2025,"My wife and I thoroughly enjoyed Long Way Round and Long Way Down, so when we heard there's another adventure happening, we couldn't wait!!
Just finished watching the first 3 episodes and found ourselves smiling from ear to ear throughout.
Couldn't have come at a better time. We feel like we've exhausted our tv viewing over the past 6 months with this lockdown. Ewan and Charlie have saved us haha! At least for now.
Loving the show!",False
10,6,Not as good as the other trips,pountneyc,n/a,16/08/2025,"SpoilerNot as good as the first two trips. That's quite understandable, how do you follow going around the world? Some of the magic is inevitably gone, and the advanced filming techniques and unnecessary attempt to build up tension at the end of each episode (often without even following up on that in the next episode at all) was just stupid. But what really irritated me, as someone who has travelled independently in these parts of the world, were two seemingly completely unnecessary things.1) In Colombia they claimed they needed to take a boat to get around the Darien Gap, then took a flight from the south of Colombia to the west coast (actually accesible by road), took a boat a little bit up the west coast of Colombia, then flew a private plane to Medellin, which is a city in the middle of Colombia that they could easily have got to on their bikes, before flying over the Darien Gap. The first two flights and the boat trip were completely unnecessary. Why didn't they just ride their bikes to Medellin? Why didn't they, in fact, ride their bikes to the north of Colombia and take an actual boat around the Darien Gap? That would have been a lot more eco-friendly than taking three private flights, would it not? This whole thing was bizarre and not something I could imagine 'real' travellers doing.2) The bus in Mexico. What was that all about? They did it so that they didn't have to ride through Mexico at night? How about just riding during the day like everybody else? How was driving in a bus at night safer than riding bikes during the day? It was just a bit weird and ruined Mexico, where they were actually in the midst of discovering what a great country it is when the bus thing took over. It was a weird and sad way to end these series, a complete contrast from the way the guys took on the challenges of Mongolia, Siberia etc on their first trip.Overall it is a watchable series, but not one I'm likely to be rewatching like the first two. The two things I've mentioned here were just too farcically unlike what 'normal' people would do when travelling in Latin America.",True
