Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,5,Mixed bag of tricks,popvoid,n/a,16/08/2025,"I'd probably give this a higher review- six or maybe a seven-if not for one thing: ALL the ten stars reviews here are by people who have never written a review on IMDb before. This often means that someone had people log on and write ten star reviews to boost the film's rating and credibility. There are two reviews that don't fit this description, the authors of which gave the film an eight and a nine respectively. These are worth reading. Another person gave it four stars. I do think it deserves better than that, but at least I know this opinion came from someone not associated with the film. [BTW, I'd issue the same warning about films that receive a lot of one star reviews from people who haven't reviewed anything else. This can often be enemy action.] As for my own opinion, I think the film has some very good aspects. It's always fun to watch magicians at work, and some of the history is interesting. But the film's main claim is based on too much supposition to be of any value in academic history circles. Correlation does not imply causation, as the saying goes. The film is well put together and not a total waste of time, but take everything it says with a grain of salt.",False
2,4,Boring and Self-indulgent,afreakinsheepsclothing,n/a,16/08/2025,"He started off good. The history of playing cards etc, but devolved into some silly long winded, self-indulgent, pat on his own back about some theory of a king or something......who cares?! Should've delved deeper into the mystery and meaning of the cards themselves. BORING! He goes on and on about different influences, seeming to try to make this a biography, and it has some good clips. A couple of good tricks by people that aren't him. He stacks these different interactions in some sort of, i dunno what. What does it even have to do with his end ""trick""? There is absolutly no payoff to this terrible boring movie. I appreciate the clips of the greats, but this is just BORING.",False
3,10,It's time to get Lost in the Shuffle!,zurielseven-16251,n/a,16/08/2025,"10/10: LOST IN THE SHUFFLE is an engaging mystery in which the clues and the cards are costantly moving and the boldness drops your jaw. The real puzzle, hidden in plain sight for five hundred years, is the centerpiece of this documentary in which we investigate a real-life whodunit... and leaves the cards on the table for you to draw your own conclusions!Get close up, close in, and close to the vest. For those who have never seen Shawn Farquhar before, this is a powerful introduction to both him and some of his most amazing peers in the industry. For those who have, this proves there is no other performer out there quite like him.Either way, you'll never pick up a deck of cards the same way again.",False
4,8,Shuffle is Ace High!,whheee,n/a,16/08/2025,"It's difficult to hold your poker face while watching Lost In The Shuffle. Definitely targeting fans of the films like National Treasure and Now You See Me, this search for historical truths revealed though an item that almost everyone has in their home is extremely entertaining.At first I was concerned that the card trick designers, as these magicians call themselves, would reveal some of their secrets to the audience. Sure, some may believe they want to know how a trick is done, but once you reveal the mystery, you surrender your sense of wonder as well. As luck would have it, the filmmakers keep all the tricks up the designer's sleeves, concentrating on following the breadcrumb trail that Shawn Farquhar, a professional magician and two-time World Championship of Magic winner and narrator of the film, deposits along the road. A possible royal coverup of a 500-year old MURDER!!!Farquhar first takes us into his own home and gives us a little of his personal history. He explains a few of the mysteries behind his magic. For example, each deck of cards he, or any other magician uses, is prepped for a different trick. We accompany Farquhar across the globe to follow his unravelling of the saga, meeting other card trick designers along the way, who show us their specialities.We're treated to a bit of history in the film. An antique, but still working, printing press is displayed, used to print decks of cards when the pasttime became so popular the creating them by hand simply was too time consuming. China is credited with inventing not only the first paper money, but also the first paper playing cards. The filmmakers take us to other cities, illuminating the story of a singular deck that was considered quite risque for their time. When lighting is placed behind each card, depictions of sexual acts are revealed. Imprisoned soldiers utilized playing cards during wartime, inserting cut up maps between the leaves of the cards, which, when removed and re-assembled, provided the soldiers with a escape route. Even Tarot cards, if you're familiar with them, take their origin from playing cards.As to the intent of the film - here's the mystery that the filmmakers wish to expose. Examine almost any deck of 52 playing cards. You'll see that the King of Hearts has a sword pushed into the rear side of his noggin. What is that?? The original story goes that these picture or 'court' cards all represent royals and this one represents King Charles VIII, way back in 1498 France. He dies under mysterious circumstances. Historians say he bumped his head in a subbasement of his castle after watching a tennis match. Accompanied by his Queen, he falls to the ground, goes into a coma and never leaves the subbasement alive. But is that what really happened to the victim, or was a palace intrigue afoot? Has there been a royal cover-up?The film takes us on an examination of the history of the region at that time, disecting the wars and even the clothing worn by regents. Is the truth hidden in plain sight within the deck? Imagine the identical details that have been captured and recaptured for 500 years on decks of cards, internationally. The same tale, under all our noses, which hasn't been investigated till now.Playing cards are multinational, as is magic. You can be any age, sex or race and partake in multiple games of skill or chance with these same 52 identical pieces of paperstock. You will get swept away by a magician's illusions, regardless of whether you speak their language or not. So I invite you to watch Lost in the Shuffle. I believe you'll be captivated in spades by its sleight of hand, even if you fail to agree with Farquhar's deductions.Lost In The Shuffle will appear on these VOD platforms: ITUNES/APPLE TV, YOUTUBE, MICROSOFT/XBOX and
FANDANGO AT HOME.",False
5,10,Wonderful and Amazing!,sharkbite-74564,n/a,16/08/2025,"This Movie is an absolute must see! Such a creative and unique plot about the secret murder mystery hidden within the cards that everyone knows so well. Included are educational and thought provoking interviews from some of the greatest leaders of the Magic industry! The movie also tells the story of how playing cards, as we know it came about, from the earliest record in Chinese paintings to Medieval times. Shawn Farquhar and Jon Ornoy have done a great job mixing the history of cards and card magic with the story and symbolism of what really is going on behind the very familiar characters on the front of those cards. Farquhar and Ornoy go to great lengths on their worldwide journey to bring to you their revelation!",False
6,10,A Magical Journey Through Cards and History,wollerjunk-1,n/a,16/08/2025,"I thoroughly enjoyed Lost in the Shuffle. Shawn Farquhar, a two-time world champion magician, does an incredible job guiding us through the unique relationship between magic, playing cards, and history. The documentary not only showcases captivating performances but also explores the hidden meanings behind certain king and queen cards, hinting at an age-old murder mystery. Farquhar's investigation is fascinating, as he interviews historians who present differing views, ultimately leaving the audience to draw their own conclusions.Farquhar's interviews with legendary magicians Richard Turner, Alexandra Duvivier, Juan Tamariz, and Michael Vincent add even more depth and perspective. Whether you're a magic enthusiast, a history buff, or just curious, this documentary offers plenty of memorable moments that are both fun and thought-provoking.I highly recommend it if you're looking for something engaging and unique!",False
7,10,Excellent,Lucy4,n/a,16/08/2025,"This is an excellent movie! Lots of interesting facts, a mystery and tons of fantastic magic. Be sure and check it out. We have seen it a few times now. Each and every time we watched it we saw something a little different. The most famous card manipulators in the world are in the movie and they each bring something to the ""table"". We got out a deck of cards just to see if the mystery was in our deck. It is neat to learn something new that we did not realize before. We will never look at the deck the same again. Thank you for making this excellent movie readily available for everyone to enjoy!",False
8,9,What it takes to be a magician,harlekinrains,n/a,16/08/2025,"And what it feels like to be in the company of ones. What differentiates them from engineers and people in scientific trades. The value and the heartfeltness of truths for all factions and for all types of people. The value and place of story telling. And still all the aspects it takes to become a performer in your own right.With good editing.The final big time and place cut I was sceptical on, but upon the second viewing - it fits and brings the (not so obvious) story arc to its intended finish.Whats especially well done is, that it stays truthful to the audience throughout, while it tells them everything to know to understand whats happening before their eyes in an analytic way also -- and yet in its credit sequence it ends with the most easy thing you can do to an audience - mislead them, but in a way - that if you listen to it closely you'll understand, that it is misdirection in a very fundamental way. Yet still truthful. And for certain, no big mystery, because you've been told how it works by one of the magicians in the first third of the movie.And yet the movie is not about any of these things. Its about the sense of wonder, the heart, the comfort and the story telling, that Shawn Farquhar brings and brought to magic -- and about being entertained by a shockingly probable murder mystery. And at least in my interpretation, how he hands over his understanding of the craft to future generations.",False
9,10,A Cinematic Love Letter to Life's Magic,closeupmagiman,n/a,16/08/2025,"Spoiler""Lost in the Shuffle"" is a documentary that goes beyond the realm of magic tricks to explore the deeper layers of curiosity, storytelling, and human connection. Directed by Jon Ornoy, the film follows magician Shawn Farquhar as he embarks on a unique journey to uncover the mysteries behind playing cards, specifically delving into the story of the King of Hearts, France's Charles VIII. This journey is not just a historical investigation but also an exploration of the art and joy of magic itself.The film is a compelling blend of two narratives. One side takes us through the magical aspects, where Farquhar collaborates with his peers and mentors in the magic community. He meets with legends like Richard Turner, Michael Vincent, Alexandra Duvivier, and Juan Tamariz, engaging in conversations that offer insight into the intricacies of card magic and the artistry behind it. These interactions are rich with passion and reveal the depth of skill involved in creating magic with a deck of cards. They invite the audience into the world of wonder and collaborative exploration, emphasizing that magic is as much about storytelling and connection as it is about sleight of hand.The other side of the documentary is an intriguing historical investigation. Farquhar dives into the history and design of playing cards, questioning why certain symbols, such as the King of Hearts holding a sword through his head, have become standard. This exploration leads him to investigate the 500-year-old mystery of King Charles VIII's death, contemplating whether the cards themselves could hold a clue to this historical cold case. His journey takes him to Amboise, the historical seat of Charles VIII, where he explores theories about the king's demise, adding a layer of mystery and depth to the film.Jon Ornoy's direction strikes a delicate balance between these two narratives, creating a seamless blend of magic and history. The film is paced in a way that keeps the audience engaged, moving smoothly between Farquhar's development of a new card trick and his historical inquiries. The visuals and editing are sharp and engaging, complementing Farquhar's charismatic presence and the intricate world of card magic. The result is a documentary that is not only informative but also deeply entertaining and thought-provoking.Farquhar's role as the host and magician is central to the film's appeal. His enthusiasm for both magic and history is palpable, making him an engaging guide through this journey. He brings a sense of wonder and excitement to the screen, inviting viewers to look at playing cards-and life itself-in a new light. His interactions with fellow magicians highlight the communal and collaborative nature of magic, emphasizing that it's a craft built on shared knowledge and mutual respect.""Lost in the Shuffle"" succeeds in transforming the way we view something as simple as a deck of cards. It challenges us to see beyond the surface and recognize the artistry, history, and stories that these cards carry. The film is a reminder of the joy of discovery and the magic that can be found in everyday objects when approached with curiosity and an open mind. It's not just a documentary for magic enthusiasts; it's for anyone who has ever been captivated by a story or intrigued by a mystery. The film's exploration of magic, history, and the human experience makes it a delightful and enriching watch, offering a fresh perspective on the world around us.In essence, ""Lost in the Shuffle"" is a beautifully crafted ode to the joy and surprises of life. It invites viewers to reconnect with their inner child, to approach the world with curiosity, and to appreciate the collaborative spirit that drives the art of magic. By the end of the film, you're left with a renewed sense of wonder and a deeper appreciation for the magic that exists all around us, in places we might least expect. This is not just a film about card tricks or historical mysteries; it's a film about the joy of exploration and the magic of shared experiences.",True
10,10,Brilliant!!!,jaymzm-64132,n/a,16/08/2025,"I absolutely loved it! If you haven't seen it yet I highly recommend it. Whether you are a card lover or a fan of mysteries or just a curious person, this is a film for you! The cast led by Shawn Farquhar are all legends in their own right. They lead you through a very well thought out and really interesting story. Murder, symbolism, playing cards, amazing magicians and card mechanics... it has it all! This film definitely raised the question for me of what else could be hiding in a simple deck of playing cards?! This is a fun watch, don't delay watch it today and you too can get lost in the shuffle!!!!",False
