Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,6,"VIEWS ON FILM review of Love to Love You, Donna Summer",burlesonjesse5,n/a,16/08/2025,"SpoilerAs a kid born in the 70s and growing up in the 80s, there wasn't a time where I didn't hear a Donna Summer jam blaring on the radio in my parents car. Summer was the ""Queen of Disco"", the bad mama jama, her songs innovative and bumping, her moves sexy, her singing voice easily recognizable. Love to Love You, Donna Summer is a documentary about Donna's life that was cut short at the age of 63. ""Let's dance this last dance tonight"". Indeed.At a running time of 107 minutes, ""Love to Love You"" guides you on a trip of hypnotic archive footage, home videos, and lively Summer performances that pretty much encapsulate the entire film. Director Roger Ross Williams, well he thinks in cuts, whisking you from one grainy frame to the next. His storytelling pertaining to Summer's journey is chronological yet sporadic, his imagery dreamy yet way too present. Love to Love You, Donna Summer while stimulating, ends abruptly, teetering on the edge of the unknown (or mildly known). As Summer sang in 1978, ""heaven knows it's not the way it could be"".With ""Love to Love You"", the people being interviewed (Summer's husband, ex-husband, children, etc.) are people you never see. And with Summer being questioned herself, there's only snapshots of what she's thinking, it's all so ephemeral. Sure this docu is fun to look at and sure, who doesn't want to hear Summer kick the ballistics with tunes like ""Last Dance"", ""Bad Girls"", and ""Hot Stuff"". Nevertheless, Love to Love You, Donna Summer keeps the viewer at a weird sort of distance. It may tell you stuff about disco's pioneer that you didn't already know but at the same time, there's not enough Summer deets to burn both ends of the bass beat candle. I needed to ""feel more love"".",True
2,8,A well made documentary of a fascinating artist,spk12371,n/a,16/08/2025,"I've been looking forward to seeing this since I first saw the trailer a month ago, and in almost all ways it met my expectations. Donna Summer was the first artist whose music I loved not only because it appealed to me, but because I was intrigued by the person. I started really getting into music at the same time disco and Donna hit it big in 1977-78, she was seemingly always on the radio, and for the next few years I devoured every album she released.Love to Love You, Donna Summer is a pretty standard (not a bad thing at all) music documentary that definitely benefits from the co-director (Brooklyn Sudano, Donna's daughter)'s trove of home movies, album demos, and photos that really enable the viewer to see the many different sides of Donna. Interviews with her other two daughters and husband, in addition to some of Donna's partners musically and personally, offer additional insight into her too-short life.The only thing I felt missing was a bit more of an in depth look at her music through the 80's and into the 21st century, but that's just the opinion of the music nerd in me. Ultimately, the doc is a long overdue examination (and love letter of sorts) of an incredibly influential, talented and popular musical force of nature.",False
3,8,An Engaging Watch!,B-L-A-K-E-D,n/a,16/08/2025,"I thought this documentary was great! The filmmakers made great usage of all the archived footage and interviews they had at their disposal. Hearing about Donna Summer's life story and home life was very surprising and introduced so many more layers that I never knew about before. In my opinion, if a documentary does it's job right, it will make you want to look up more information about the artist afterwards. My favorite music documentaries (Searching For Sugarman, A Band Called Death, Zappa, Sinatra: All Or Nothing At All) make you want to look up more about the subject after the film is done. This documentary makes me want to do exactly that, and I love it! If you have a chance to watch this film, do so.",False
4,n/a,"Intimate, personal documentary.",n/a,n/a,16/08/2025,"An intimate documentary about the life and career of the 'Queen of Disco', Donna Summer. Co-Directed by Summer's daughter Brooklyn Sudano (with Roger Ross Williams), the movie takes a very personal viewpoint on the singer's career.There is no formal narration, but, fortunately, Summer left behind a very large collection of personal recordings (she was an early adopter of home video cameras) and writings. As a superstar, her career was also well-documented which only added to the family's wealth of archive of material. There are no 'talking heads' per se; instead, the 'narration' is largely formed from those recordings.It's a fairly nontraditional form for those expecting a more straightforward 'Behind The Music' biographical doc, but, it mostly works. It progresses more or less chronologically - save for an oddly placed segment that flash-forwards to the recording and release of 'Bad Girls'. The most interesting aspect to casual fans is the portion given over to her pre-disco career where she went from leaving her family in Massachusetts to doing the play 'Hair' to going to Europe to start her professional singing career. Once 'Love to Love You, Baby' came out, her image as a sexed up disco diva was set. It certainly jump-started her success, but, the doc shows that it came at a personal price both in her private relationships, and her mental and physical health.The disco label made it difficult for Summer to transition to non-dance oriented music, and like the Bee Gees, it hurt her on a commercial level, as well (she only had one Top 10 single after 1982). Even at the height of her fame she tried to break out beyond the image, but it was too strong to many. She continued to record up until a few years before her passing.LOVE TO LOVE YOU, DONNA SUMMER is very an authorized biography with all three of Summer's daughters and her widower, musician Bruce Sudano, all appearing and relating their memories. Still, there are some quite dark truths and observations revealed. It not sanitized.",False
5,6,sang some great songs!,ksf-2,n/a,16/08/2025,"SpoilerOpens with a very sensual dance, as donna summer begins singing her first, feature song. And why is the soundtracks link empty on imdb? I hope it gets populated quickly, since she had so many huge hits. A documentary narrated by her family, her daughters, her husbands. Fellow musicians. Apparently, donna was able (or tried) to keep her family and public persona very separate. Leaving boston for the role in hair... in germany. She had a band. Came to the states and was off like a rocket. Her disco songs hit at just the right time. She had a lot of firsts... the first 17 minute extended dance version. Lots of recorded interviews with donna, since she wasn't still around. They also touch briefly on the statements summer allegedly made at a concert, ""god made adam and eve, not adam and steve."" while summer admits to being born again, she later apologized for pain that she may have caused, to a group which many would claim had supported her so strongly in the early days. It's okay. They spend a lot of time on summer's personal relationships and time away from her kids. Her personal ups and downs. Directed by her daughter brooklyn sudano and roger williams. Currently showing on max channel in the united states.",True
6,7,Remember Disco?!,imseeg,n/a,16/08/2025,"Disco was hot and happening during my childhood. Donna Summer was one of those terrific Disco voices that filled the airwaves of the seventies and hearing her sing again in 2023 I must admit her voice is still so powerful and timeless.The good: WHAT a VOICE. Back to the seventies. And although I was never a real Disco music fan I did like Donna Summer's hit songs! Who didnt like Donna Summer back in those days?Although not being a fan of Donna Summer or Disco music I still found this documentary to be a fascinating watch.After the first part of this movie covers her rise to fame, the second part covers her struggle with fame.Any bad? I personally do not care to get to know the details about the personal lives of popstars, I just wanna listen to their music, but as far as a personal portrait goes, this is a rather intimate and balanced portrait, although also a rather melancholy one.Recommended watch for the fans of Disco and for the fans of the seventies music scene!At an endnote: I suddenly realized that one groove out of a Donna Summer song was almost exactly copied by ""Underworld"" in one of their hits. Donna Summer together with Giorgio Moroder as THE origin of house/dance music of the nineties?",False
7,7,Carefully crafted bio-documentary on the Queen of Disco,paul-allaer,n/a,16/08/2025,"As ""Love to Love You, Donna Summer"" (2023 release; 107 min) opens, Donna Summer performs that breakthrough song (some might say, her signature song), as she dances along. We then hear from Donna herself: ""I have a secret life: what you see is not who I am"". We then go back in time, as young (8 yo) Donna is asked to sing gospel songs at church. At this point we are 10 minutes into the movie.Couple of comments: this documentary is co-directed by Brooklyn Sudano (Donna's daughter) and Oscar-winning (for ""Music by Prudence"") Roger Ross Williams. The result is a carefully crafted assessment of Donna Summer the musician and the person. The film makers do not step aside to address avoid some touchy issues. The lovie includes never-before-seen home footage (it helps that Donna, a wanna-be film maker, has a camera with her on those long tours). When asked what she thinks about being called the ""Queen of Disco"", Donna responds ""but that is not all of who I am"". This documentary makes that very clear.""Love to Love You, Donna Summer"" premiered at the Berlin Film Festival in early 2023, to immediate positive acclaim. The movie is currently rated 83% Certified Fresh on Rotten Tomatoes. For whatever reason I had missed this documentary, until Max (where this is now streaming) suggested it to me based on my viewing habits. If you are a fan of Donna Summer or of the disco era, I'd readily suggest you check this out, and draw your own conclusion.",False
8,9,Profound and honest about a fascinating artist,dakjets,n/a,16/08/2025,"SpoilerIn 2012, the world lost Donna Summer. 11 years later, her closest relatives have made this documentary about her. The documentary quickly addresses something central about Summer; the superstar was very, very private. We knew the pop and disco star, but not the woman behind the magical music. This documentary helps to change this. Here we get to know Donna's many different sides. Her doubts, insecurities and problems with the enormous attention the hit records brought with them. The documentary largely shows us the price such famous artists have to pay, as well as how important it was for Donna to try to shield herself. Family, husband, ex-husband, friends and industry people contribute with input and facts. The film is peppered with private footage of Summer with her family.The main thing I'm left with after watching the film is that Donna Summer was so much, much more than the great ""disco queen"". The film is also brave and addresses the dark side of her career, such as the statements she made about gay people. How this was misinterpreted and how she tried to clear it up. And how painful this was for both her and the fanbase.I found this documentary to be very insightful, showing Donna Summers ups and downs honestly and straightforwardly.Finally, I would like to mention that the documentary is full of her wonderful music, and performances I have never seen before. The film can be enjoyed by both fans and others who want to get to know this unique artist.",True
9,10,"Excellent, Kind and Gentle on Her",info-90701,n/a,16/08/2025,"SpoilerI still have original albums from the 70s by Donna Summer, so I was delighted to see her family make this film. They were gentle and didn't highlight the devastation that she must have felt from being attacked for her ""Adam and Steve"" comments, because she didn't make any albums between 1981 till 2008. I think a lot of people commenting don't realize that, but I can also see why her family didn't want to highlight that too much either. She must have been devastated completely, and could not bounce back.What this documentary does very well without overstating, is show the horrible effects of molestation, especially when done by people in the clergy, and the spiritual confusion it causes many of its victims for the rest of their lives. This documentary, without beating the viewer over the head with it, or abusing their mother's memory, who they clearly loved, gently shows the effects this early experience had on their mother. It also quietly gives some indication as to why, at a time when open sexual displays or songs, initiated by women was so rare, Summers broke free of those conventions, and was able to do ""Love to Love You Baby"" and perform it in such a visual display. Molestation breaks the sexual propriety rules, and if it doesn't break a person, it allows them to define their own boundaries of how and when they will be sexual.It also helps you to understand her better, through her insecurities and her strengths. In the 70s, she took a LOT of flack from the black community, as did Sammy Davis, Jr., for marrying a white person, instead of marrying a black person. It was a major community complaint saying that successful blacks did not strengthen the community, but took their wealth outside of the community and abandoned their roots. The criticism of her was relentless there for a while, when she was with her first husband.Boston in the 70s had a skewed sense of color. Too many black men were almost exclusively interested in white women or light skinned black women. I lived there, and it was bizarre. So I can imagine what her early years were like as a teenager, and am glad she found her footing, shaky as it was from time to time. It fully informs why she was not able to ""be her full self"" till she was in Germany. Boston could be extremely stifling for a black women. She clearly was an original.What shined through clearly and brightly was her love of family, even when she was young and sacrificed being with her daughter for a while, to build her career. Still, she was bound to family and loved them to the end. That is what I think her family wanted us to understand about her, and it is a side I've never seen of her before because everybody else who has told her story, was focused on the sex Goddess portion of her persona. It was telling that her husband still calls her ""Mommy.""I think they did her justice, and let us see a truer, if not exhausted side of her that took years off from the highs and lows of the spotlight she stayed in for at least a decade plus, to just be. Well done.",True
10,5,Sorry...,zconkerite,n/a,16/08/2025,"SpoilerI was hoping for more of a dynamic presentation and found it rather piecemeal instead. I cannot compare it to a professionally directed and produced product. Some of the personal film clips came across as damaged but they were going to use it anyway. I thought at some points in the production that Brooklyn was just too close to the documentary's subject, her mother to make some clearer decisions. It felt more like we were visiting her at home and she retrieved family photos that were not in order but just for the sake of sharing. We did get to see her vulnerability, so it was intimate in that way. Why was there was no mention of Paul Jabara whatsoever who wrote ""Thank God It's Friday"" and ""Enough Is Enough"". And though I haven't seen her sister, Linda Gaines since the 70's but more recently on Facebook, I don't think she was included in this documentary. Donna was diagnosed, then she was gone. Lots of voice over. The ending and her ending felt abrupt.",True
