Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,I love Lucy was never just a title,jamesjustice-92,n/a,16/08/2025,"Every time I watch a documentary on artists I love who passed away breaks me down to tears. Every. Single. Time. Considering how much I love Lucy and Desi and their show I should have seen it coming a mile away. Even the latest motion picture, Being the Ricardos, has done that to me as well. That says something.Something that has to be said: that Lucy and Desi's story still resonates even after 60+ years after their divorce and 30+ years since their deaths - it's something that will always be in the memory of everyone who knew them, their work and their relationship. A love that never dies, even when the marriage falls apart - a true love will never end. And that's the point of life.No one will live forever but the love of two people will continue on living in the children and many many millions of other people whose lives were touched by those two. Lucille Ball and Desi Arnaz is a story for all ages and what they have created is immeasurable in terms of greatness.I loved Lucy and Desi, the documentary, and I will love them for as long as I live.",False
2,9,Informative and moving,sateigdraleah,n/a,16/08/2025,"This was a well put together documentary on both Lucy and Desi. I've seen lots of things about Lucille Ball so I was familiar with some of what was shared in this but I didn't know much about Desi and his life in Cuba or his start in the entertainment industry. I think it was great that their children were involved in the making of this. There were some surprises about them and great home footage. Anyone who wants to learn more about the both of them and have a look at what went on behind the scenes of ""I love Lucy"" then this is the documentary to watch.",False
3,9,Their Legendary Relationship Resonates Through Their Voices,EUyeshima,n/a,16/08/2025,"Even though the tempestuous and truly legendary relationship of Lucille Ball and Desi Arnaz has been covered extensively elsewhere, Amy Poehler leverages a treasure trove of archival footage and taped conversations with the subjects to produce an intensely personal history that comes across as a heartfelt homage to both their dedicated artistry and professional acumen. What really resonates the most is hearing their voices vividly describe episodes of their lives with such candor and a certain wistfulness that still makes their divorce still feel like a tragic inevitability 62 years later. All the more reason to love not only Lucy but Desi as well. It's very clear Amy does.",False
4,10,Wonderful,rich-fouts,n/a,16/08/2025,"Amy Poehler delivers a masterful review of the rich, varied, fascinating history and story of this famous duo known as Lucy and Desi. Though it comes in the wake of the film, Being the Ricardos, it definitely presents new information and a fresh approach to a couple that's been the subject of many a documentary. Bravo, Amy.",False
5,10,"""'I Love Lucy' was never just a title.",jlfirebirds,n/a,16/08/2025,"This was such a great film! Amy Poehler did an amazing job! It was very heart-felt and touching and just altogether a wonderful picture. It truly enraptures the lives of Lucy & Desi together and separate. If you are a Lucy fan, this is a must-see! It was much better than ""Being the Ricardos"". I know they are two different kinds of films, but, man, this one blows it out of the water. I could watch thus again and again. ""'I Love Lucy' was never just a title.""",False
6,7,Glad that I watched it,asc85,n/a,16/08/2025,"Not only is ""I Love Lucy"" arguably the greatest American sitcom in TV history, it is arguably the greatest American series (sitcom or otherwise) in TV history. So I was very glad I got the chance to watch it, and learn new things about Lucille Ball, Desi Arnaz, and ""I Love Lucy."" I guess the only people who seem to dislike this documentary are super-fans who supposedly learned nothing new or interesting in this documentary. This reminded me of the same criticisms that ""McCartney: 3, 2, 1"" received from super-fans, who didn't like that one because they didn't learn anything new. Well, I'm fans of both Lucille Ball and Paul McCartney, and I learned new things about both. But I'm not a super-fan of either, so I guess if you are, ""Lucy and Desi"" may not be for you. But for everyone else who knows about Lucille Ball and ""I Love Lucy,"" this documentary should not be missed.",False
7,10,Amazing,srr6288,n/a,16/08/2025,"Such a wonderful tribute with amazing footage and stories. I cried. Just watch!!! Amy killed it. Their story is complicated and filled with so much love and depth. I loved the book ""Love, Lucy"" and I feel like this did a great job of summing up the stories from Lucy's perspective as well as Desis. Ugh just so amazing!",False
8,7,Lucy in the Sky,Lejink,n/a,16/08/2025,"I'm not quite old enough to remember watching ""I Love Lucy"" or any of Lucille Ball's subsequent TV series but I am aware of how successful they were and how important a figure she was, especially as a trailblazing woman in the history of American television. Before that, she was a jobbing actress in Hollywood and as she honestly admits here, knew she was no beauty and basically took any part that was on offer. However, timing of course is everything and she was perfectly placed to play the goofy housewife for the new medium of television in early 50's America, which promptly took her to their hearts and made the ""I Love Lucy"" sit-com the most popular programme in the medium.Right there with her was her equally ambitious husband Desi Arnaz, a handsome young Cuban actor - musician she'd met in Hollywood. Finally able to spend some family time together, they made a busman's holiday out of the TV assignment to make ""I Love Lucy"", finally having a family-life together off screen and of course making a huge success of their fictional home life on screen.This documentary on both their lives was directed by Amy Poehler, a successful female writer - comedienne from a different era. It has to be said it has something of the look and feel of an ""authorised biography"", as witness the substantial contribution to the narrative by their surviving daughter, who probably sees her job as protector of their joint legacy. More revealing are the spoken inserts from a stack of recorded audio tapes left behind by Lucille herself, which are appreciably more candid and less apocryphal, one suspects.A big part of the story of course is how the couple came to be major power-brokers in the television world with the formation of their Desilu Production company which made a host of other iconic shows in the 60's, including two of the longest-lasting franchises still continuing to this day in ""Star Trek"" and ""Mission: Impossible"". It was Desi who took the presidential role in the company, a role he to which he in particular adapted with seeming ease, with Lucy as his vice-president.Even though the marriage broke up with both going on to other longer-lasting marriages with new partners, they continued as business partners and indeed stayed friends for the rest of their lives.Filled throughout with contributions by the likes of Carole Burnett and Bette Midler, not to mention from the relatives of various contemporary contributors to the shows and dozens of clips from all of their joint film and TV ventures, you do get to see just how talented Ball was in particular. With her expressive face and penchant for physical comedy, it's easy to see why the nation loved her so much and for so long. I personally felt that more could have been said about her pioneering work in laying a future path for the likes of Mary Tyler-Moore, Roseanne Barr and of course Poehler herself, but that apart, this was still a very enjoyable if ultimately one suspects comfortable trip through the lives of one of the original Hollywood power-duos, way before that was even a thing.",False
9,10,An Absolute Hit,greeneyedsoul,n/a,16/08/2025,"Desi and Lucy jumped into this crazy new medium called television as a means of being able to be together -- work, family, life, success -- and to experience creating something together. They were pioneers of early television, of course, but they were well ahead of studio executives who didn't think a redheaded American and a charming Cuban could interest audiences. Desi and Lucy trusted their guts and gave us one of the greatest TV shows...ever!Amy Poehler has done a brilliant job of giving us a chance to see Desi and Lucy as more than just icons; she's shown us the flesh and blood humans who changed the world of television, as well as what it cost the couple to succeed as wildly as they did.What a truly moving documentary! I smiled, I laughed, I cried, and I came away with greater appreciation for Lucille Ball and Desi Arnaz -- the performers and the people. I also came away with even greater respect for Poehler, who's given us a beautiful documentary about show business and a fascinating love story about people so many of us thought we already knew.102 minutes of awe-inspiring storytelling.",False
10,7,Films topic is nearly irresistible; a pretty good film that lacks focus/substance,dpmillerllc,n/a,16/08/2025,"Lucy and Desi had a beautiful relationship and amazing life stories. And then in 5 year window they created and starred in one of the top five sitcoms in American history. I thought that the film lacked a couple key things but overall told the story well and was quite entertaining. First off, the decision to have Carol Burnett as a contributor was very thoughtful and prescient. Lucy and Carol Burnett are the top 2 women of physical comedy. And both of them or in the conversation for Best Physical comedians of all time, woman or man. Unfortunately you have two other apx 40 yr old contributors from some obscure comedy Museum whose credentials are from Academia. I'm not sure why they were chosen or there opinions were selected to be part of the film. It's obvious these two women have been in an academic setting for 50%+ of their lives. They perceive life (likely subconscious and unaware of major flaw in POV) in a way that frames everything and every person as either a victim or oppressor AND irresponsibly assume that because you; or a woman and live in a certain time you experienced misogynistic daily and existed in a social environment hostile to women. Two quick examples. One of these low IQ contributors stated...and this was back in the 50s. Can you believe how much mansplaining Lucy had to tolerate. She made the statement without any evidence. The other contributor stated that in Hollywood in the 50s and 60s women were pitted against each other and female tv / movie stars we're not friendly with each other and rarely had wolves like Ethel and Lucy and the I Love Lucy sitcom. Common sense says that television and movies are 10 and then 25 to 30 years old as an industry and people are just learning the craft and medium and figuring out what works. But no the contributor states the big studios in Hollywood in the 50s and 60s purposely pitted women against each other. Ethel and Lucy were the exception to the rule. And that was only because Lucy was married to the producer. So basically she was saying that Hollywood Studios actively pitted they're female actors against one another and more purposeful and creating and maintaining a hostile workplace environment where female actors we're discouraged from being courteous and friendly to one another. And then a couple minutes later you have either Bette Midler or Carol Burnett contributing and giving their opinion on different subjects on topics all pertaining to Desi and Lucy. To me it seemed disrespectful to those two legends and any other comedy professionals to have those to contribute.",False
