Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,"Refreshingly Respectful Overview of the Late, Great Crooner",EUyeshima,n/a,16/08/2025,"It's been nearly two decades since Luther Vandross' early death at 54, but this overdue 2025 documentary from Dawn Porter is most welcome at this moment because it places clear focus on both the successes and struggles of the great crooner and songwriter. Porter covers the full spectrum of his career from his appearances on the first season of ""Sesame Street"" as part of the vocal group, Listen My Brother, all the way to his last and most personal chart hit, ""Dance With My Father"". In the three-plus decades in between, his mellifluous tenor was heard consistently on a series of hit recordings at the same time he worked as producer, songwriter, and collaborator with the most legendary divas. Drastic weight fluctuations, diabetes, and his closeted private life also get attention but not excessively so. Incorporating interviews with colleagues and confidants, this is a well-paced and researched chronology of a genuine talent frequently underrated but not forgotten.",False
2,7,Good to the Soul,peter0969,n/a,16/08/2025,"Watched this at the 2024 Sundance Film Festival.Luther Vandross is a musician that isn't talked much amongst people and Vandross has an interesting history with music, identity and his career. While this documentary does have it's faults on some pacing and structure, the documentary has a good heart that explores Luther's music career, personal life, sexual orientation, and experiences with strong direction, good sense of emotions, and a good heart to the core.There are many interesting aspects about Luther's life and career that were well-explored throughout the movie and it was interesting to learn about aspects I wasn't familiar with. Revolving around his music, sexual identity and some of the issues he has faced, it was a good documentary about a talented musician who wasn't as well-known to the public, yet has an interesting background.",False
3,7,Luther: Never Too Much,CinemaSerf,n/a,16/08/2025,"Using a wide array of archive and some fairly honest and potent interviews, this documentary presents us with a short biopic of rather an enigmatic gent. Initially, his dulcet tones earned him a decent enough living doing lucrative commercials and providing backing vocals until a session with David Bowie started his career on a largely unhindered upwards trajectory. His associations with Aretha Franklin, Bette Midler and Roberta Flack, his total - almost perfectionist - commitment to his art and his cheeky sense of humour all contributed further to a success that transcended not just US racial boundaries, but also physical international ones too. I wasn't really that aware of his music, but watching this does effectively illustrate just how many songs he was behind - writing and/or performing, that are more familiar than I'd expected. This also wasn't a messy man. He wasn't in and out of the papers with stories of his life, his lifestyle, his drinking or drug taking - he actually comes across as a remarkably stable man in many ways, even if his solution to problems he faced was to reach for the fried chicken bucket or the ice cream spoon. Happily, we don't really focus too much on the personal life. Perhaps because his own comments of ""mind your own **** business"" are echoed by the film's contributors who knew him and who chose not to add fuel to any fires burning about his sexuality. It's a celebration of his music that broadens awareness for folk like me who didn't realise the scope of his skills, and it is a fitting and spangly tribute for those who did.",False
4,10,I left weeping.,jasmine_beane,n/a,16/08/2025,"I am a filmmaker and a student of film, aside from the story being crafted well, it was what any Luther fan could ask for. I have been a fan of his work for as long as I can remember and to see him being honored this way was beautiful. It was a rollercoaster of emotions from glee to sorrow, beginning to end. There were so many great takeaways from the film; one of the biggest was hearing so much of the story told by him. You could feel the love he had for others and the joy he brought radiating through the screen. I cannot wait for the chance to purchase this film, I hope it's available to view again soon.",False
5,10,Fantastic artists and documentary. I danced/cried w Luther,sinnerofcinema,n/a,16/08/2025,"Good thing I glanced at films now playing section of my phone to see what was playing. I wanted to see this documentary ever since its buzz from Sundance. Then I notice it only had only one showtime today. After further research I noticed it had opened on November 1rst 😩 so any time now it would be out of the cinemas. I dropped everything I had schedule today to watch LUTHER: Never too Much and it was FANTASTIC!!!! Took me back to the 60's, 70's, 80's & 90's. Absolutely LOVED it!!! If it's playing in your area it's a MUST SEE!! RIP Luther! Such a great artist! It was a beautiful journey through his life, his music. So many things I did not realize about his earlier days and struggles at the time. But you made it Luther! And almost 20 years after your passing we still remember you, your music and we love you! For any fans of Luther, this documentary will fill your heart with joy!",False
6,10,Kudos to Dawn Porter,mandelaalum,n/a,16/08/2025,"I have been a fan of Luther Vandross for over 30 years. Own all his 13 albums including his Christmas album making a total of 14. When I learned that a new documentary will be made on his life, I could not wait to see it. Now that the opportunity has arrived, I would like to say that I have now received my chance to see it. I must say that I came out of it enlightened.For a while, I have been wanting to see a full documentary on Luther Vandross. Aside from the Journeys in Black mini-documentary hosted by BET, there have been no documentaries on the life of Luther until this day. I would like to send my kudos to the director Dawn Porter for providing us a documentary long overdue.",False
7,10,MY 2024 SUNDANCE FILM FESTIVAL FAVORITE,rngrgirl593,n/a,16/08/2025,"My background is in production, plus as a University Archival Reference Librarian, I have high standards for documentaries. The research team on this film did a fantastic job showcasing Luther Vandross in Luther: Never Too Much (2024). The director did a linear timeline of Luther Vandross and Sony assisted in providing outstanding sound quality of the music videos and live concert performances. I felt everyone in the audience had a favorite Luther Vandross song, and at the time in the 1980's and 1990's a lot of interviews just cared about ""Who are you dating?"" and questions regarding his weight. When Luther was so much more. He was a vessel who helped others find love through his music. Love the interviews with Jamie Foxx on how much Luther Vandross's music helped him to win over the ladies, how Mariah Carey felt singing with Luther Vandross. And even how Dionne Warwick was blown away at a remake of one of her songs sung by Luther. I even learned about some songs I never knew about before. I can not wait for the world to see this movie. Luther truly had a gift of singing and struggled so much to not just be labeled on black radio stations, but on popular radio stations as well. It's a film where you will learn, laugh, and tear up with emotion if you listen to the words of this perfectionist's lyrics. I hope it's distributed soon!",False
8,7,Great songs brought to life.,Wilot,n/a,16/08/2025,"""Luther: Never Too Much"" is a captivating documentary that pays homage to the legendary R&B and soul singer Luther Vandross. From the very first note, the film immerses viewers in Vandross's timeless music and explores the remarkable journey of his life and career.The storytelling is heartfelt, balancing vibrant concert footage with intimate interviews that highlight the impact of his music on fans and the music industry. The documentary offers an inspiring narrative of triumph, creativity, and resilience, reminding us why Vandross remains a beloved icon.The music itself is a star of the show, with hits like Never Too Much and A House Is Not a Home brought to life with stunning audio clarity. The sound design truly shines on the big screen, offering a crisp and immersive experience that amplifies the emotional resonance of each song.Whether you're a longtime fan or new to his catalog, Luther: Never Too Much is a wonderful celebration of a musical genius whose influence continues to be felt. A must-watch for lovers of soul and great storytelling.",False
9,10,Wonderful! Luther Story!,bejabeck,n/a,16/08/2025,"Had a chance to see this at the Freep Film Festival in Detroit! It was so great! Of course the music was on another level like Mr. Vandross! I learned some more about him. Especially the fact that he went to school at Western Michigan University in Kalamazoo. He didn't like and left. My daughter said see I told you! She goes to WMU. It had laughter, the audience loved it, because you felt like you were at a family reunion.He is missed! I saw him when I was 17 years old in Indy. It was him Cheryl Linn, Ashford and Simpson and Ready for the World! They all put on a great show! I am glad I did!",False
10,7,Thorough assessment of Luther's life and works,paul-allaer,n/a,16/08/2025,"As ""Luther: Never Too Much"" (2024 release; 102 min) opens, Luther Vandross is rehearsing ""Ain't No Stopping Us Now"" in an empty arena in B&W footage, which then turns into a full arena and full-color footage. We then hear from Luther as he talks about his upbringing in New York and his eventual humble beginnings in the music industry as a backup singer... At this point we are 10 minutes into the documentary.Couple of comments: this is the latest documentary from acclaimed writer-producer-director Dawn Porter (""John Lewis: Good Trouble""). Here he assesses the life and works of Luther Vandross. I was not aware of his early involvement with David Bowie (on the ""Young American"" album), or later Chic (all of their early albums). Considering these humble beginnings in the music industry, it is absolutely amazing to what heights Vandross eventually reached. The documentary does not shy away from the difficulties faced by Luther (health-wise and otherwise).""Luther: Never Too Much"" premiered at the 2024 Sundance film festival to critical acclaim. After a brief theatrical run in late 2024, the movie is now streaming on Max, where I saw it the other night. The movie is currently rated 95% Certified Fresh on Rotten Tomatoes, which feels a little too generous. Regardless, whether you are a superfan of Luther Vandross, or merely a casual fan (like myself), I'd readily suggest you check this out, and draw your own conclusion.",False
