Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Well-paced and interesting,mujali-48677,n/a,16/08/2025,"I'm giving this documentary seven stars because it had a good story and kept me interested all the way through. Hearing art snobs talk, always looking for words that will make them seem intellectual, their peculiar mannerisms etc is quite amusing. There are some people that you warm to in this and there are others who are so shallow, unlikeable and cold, like there's some basic humanity missing from them.I agree that with most people you shouldn't judge a book by its cover, but with some of this lot go with your gut instincts, folks. For all their wealth it just shows you that inner peace can not be bought. Eleanor De Sole for instance, who oozes self-importance, entitlement and snobbery, who actually cried at trial because she felt so hurt by Ann Freedman, someone she had met just the once lol, so not exactly best of mates were they. It was so obvious that Eleanor and her husband were more bothered about their wounded pride than anything else. I didn't believe a word she said when she was trying to convince us that the tears were genuine. It was deceptive and conceited af. Remember, these are people haven't got a scooby doo about art, they are utterly clueless, they buy artworks so that they can boast exclusivity...so they can stick it on their wall and show off to their mates at their posho dinner parties. Imagine having friends where you're always trying to out-do each other; that's not true friendship, that's actually really sad and tragic.Anyway sorry for the rant, but this is the level of vanity on display here, it's in a league of its own. And it made me think about where our priorities are as a species. There are human beings who don't have access to basic amenities like clean water and yet there are others who spend millions of dollars on drawings, some of which turn out to be fake.",False
2,8,Billionaires mad someone got one over them,jcweb-44764,n/a,16/08/2025,"Not to say Ann Freedman is not guilty, but she had a lot of support to think the paintings were real. Honestly, seems like there were a lot more reinforcing that the paintings were authentic than there were those that questioned it. I felt the De Sole's were more just pissed about wounded pride than seeing that maybe it was a mistake. No forgiveness for being human from them. And you can believe something, and then as evidence presents itself, realize you were wrong. Isn't that the way the brain is supposed to work? Regardless, who cares about rich people being ripped off - welcome to the club, jerks. At least you still have a roof over your head and food in the table.",False
3,8,Be real,kosmasp,n/a,16/08/2025,"I have to admit, I was not eve aware of this story. And the story is real ... unlike the art on display here. Which is fake - and either apparently fake or not so much. Now are we gullible and believe one side or are we with those who were confident from the start? Not an easy question to answer for sure.The really good thing here is that you get both sides (or even more) and can make your own ... picture! Just be sure not to pretend your own picture isn't a classical painting by someone else ... wait does that make sense? Maybe not, but it sounded funny. And while the subject matter is quite serious I personally found quite a lot of comedy in this too. What's your verdict then?",False
4,6,Made you Look: A True Story About Fake Art,henry8-3,n/a,16/08/2025,"SpoilerDocumentary exploring a notorious $85m art fraud interviewing those who were involved incl potential criminals, those negligent and those who confirmed, then denied in court the authenticity of the pictures.This is a presented by the numbers doc that makes for an absorbing tale even if you aren't interested in the subject matter. What it makes clear is that the whole industry is cluttered with intellectuals and collectors who seem content to drone on about great art and make millions from it, until they are hoodwinked and then they all go into denial and follow it up with great wisdom after the event. You'll never see so many people, even the most negligent, getting away with their actual or moral crimes. Fascinating stuff - never boring.",True
5,7,Anne Freedman should be in prison. But of course these types..,zkiko,n/a,16/08/2025,"..never seem to be touched by justice. How obvious it was from the beginning to me that the minority and way less privileged would be imprisoned and the dealer that is making 800% profit roams free.
Anne Freedman loved the attention and status she got from those paintings, and did everything to keep the illusion alive. That was were she became a criminal. A conniving one. It's written all over her ugly face.
All those pictures of here in those artsy circle jerk super 'elite' gatherings, prancing around in a fur coat are just nauseating.So many unlikeable people in one documentary. I'd rather be with the homeless and unprivileged then spend a day with these utterly poisonous, backstabbing, conniving, disgusting animals. ESPECIALLY the likes of an Anne Freedman. And that disgusting Sotheby couple.There are people rotting in prison for stealing something worth less than a thousand bucks. Or for dealing a bit of marihuana.
Here we have a dealer of fake goods- knowingly- making millions of profit...and she roams free. No guilt, no remorse.
This is not just the privilege of being rich, this is the result of a combination of privileges and the profit of being covered by your own 'kind'.Good documentary. Naaaaasty people.",False
6,6,Interesting but should raise a collective 'urgh',souplahoopla,n/a,16/08/2025,"No spoilers, you know right from the start this is a documentary about forged paintings sold as real before the scam was figured out.Now I did enjoy it, it was very interesting, and has a kinda true crime feel about it. Which I guess it is. The progession of the story is compelling, even if you don't like art, and hearing both sides of the story does make you scratch your head with who is telling the truth. So definitely worth watching.I think I balked a bit during the interviews with the millionaires. Talking about their sob stories about buying a fake painting, having done no investigations themselves, and have no insurance presumably/stupidly?, and had to sue. Trying to dress it ip like we should all feel so bad for them. Wah wah wah. Get a grip. It's the average person's equivalent of buying a gucci tracksuit then finding out its a knock off. Annoying yes, but you get on with it. But that's my personal bugbear, and probably should have been included for balance in reality.It is worth watching too, and left me wondering how many fakes are out there now!",False
7,9,Conscious Deception or Self-Delusion? Biggest Art Fraud Case of All Time,classicalsteve,n/a,16/08/2025,"Intending to profit from fakes and forgeries by convincing a buyer literally to buy into a fake work is a crime. Knowingly creating fakes and frauds in order to profit monetarily from them is also a crime. A ""fake"" (such as a painting) is a counterfeit item which is purported to be of a certain origin when it is not and the intention behind the item is to decieve. Ann Freedman, former president of the now defunct Knoedler Gallery, didn't create the paintings she sold for approximately $80 million. She didn't even find them in some run-down old house in Mexico or Upstate New York. The paintings were brought to her by a businesswoman, Glafira Rosales, who pretended she was acting on behalf of an anonymous family of collectors. However, all the paintings brought to her by Rosales were fakes.Freedman claims she was duped like everyone else. Or was she? That's the main question this documentary attempts to answer, or at least, offers the viewer all sides of the story, from art scholars and authenticators to other art dealers to moneyed collectors. No question Freedman is interviewed the most extensively for this documentary, and becomes the main focus of the story as much as the paintings. Interestingly, the documentary cuts back and forth between interviews showing moments where the interviewee's stories don't jive. In several interesting moments, Freedman would claim that one art expert authenticated a work and the expert would assert they never claimed the painting in question was real. In other words, most of the interviewees deny true culpability.The abstract art style in the US began in the 1930's and picked up steam as a viable artistic movement in the 1940's, after the Second World War, and included such renowned artists as Jackson Pollock, Mark Rothko, Willem de Kooning, and Robert Motherwell. Even Jackson Pollack, dismissed during most of his lifetime, was regarded as a genius shortly before his death in a car accident in 1956. The movement lost its allure and abruptly ended circa 1960 with the rise of pop art by Andy Warhol and similar artists. About 30 years after the movement was more or less over and most of the original artists had died, a resurgence of interest in American Abstract Art among collectors began significantly to augment. Original works by these painters began to sell for millions and in some cases $10 million's. Elite moneyed individuals whose incomes were in the eight, nine, and ten figures per year competed for original works, and the market continues to thrive. To offer a perspective, landscape by Willem de Kooning sold for $300 million in 2015.From 1994 to 2009 (about 15 years), Freedman sold paintings from an almost unbelievable art well: a collection of paintings by these same American abstract artists from an anonymous source. The original buyer was originally born in Europe (possibly Spain) and supposedly lived in New York for a time, or so went the narrative. He bought the paintings through dealers who had connections to the actual artists, such as Motherwell and Pollock, mostly during the mid-to-late 1950's at the height of the movement. He then relocated his family to Mexico circa 1960.After the original buyer's passing, the sons and daughters decided they didn't care for the paintings and were willing to sell them into the art market through Rosales at largely discounted/wholesale prices. Rosales claimed the family was so filthy rich they really didn't care that much about the money they'd receive from the paintings. As one art connoisseur explained, rich people are fanatical about money. Paintings by Rothko and Pollack were bought for around $750,000 and resold for $5 million to $8.5 million. Several art experts pointed out that these prices, both at the wholesale level and the selling level were incredibly out of proportion. Most of these works should have been sold for much more, and typically an art gallery is lucky to get about 30 to 40%. Mark-up's of nearly 10 times the wholesale price is almost unheard of. And this is one of the main arguments why some people in the art world believe Freedman was a knowingly culpable participant.Everything was peachy for Freedman and the Knoedler Art Gallery until several authentications of paintings were returned because of dubious results. Paint and pigments which either didn't exist or were never used by the artists were showing up in these paintings. There were even misspellings of the artists' supposed signatures. However, Freedman stuck by her paintings, believing literally until the 11th hour they were real. As Maria Konnikova, author of ""The Confidence Game"", points out, victims of con games tend to double down on their beliefs in the canard even when presented with all the evidence. Not until irrefutable evidence reared its ugly head that Freedman had to admit something was amiss. A mistake worth $80 million!
An enjoyable documentary about one of the most troubling cases in art fraud history.(As far as I know, if someone created a fake Jackson Pollack, hung it up on their wall, and claimed it was a Pollock to impress their friends but didn't sell the piece for money, he or she would not have committed a crime because there is no victim. Although if the paintings were ever proved to be fakes or copies, that person might lose not only a lot of credibility but a lot of friends. ""Clark Rockefeller"" was a human fake because he was not a Rockefeller but really a German provincial. He showed off fakes and copies of modern masters in New York to perpetuate his false narrative regarding his pedigree.)",False
8,7,Google is everyone's friend,ladyofargonne,n/a,16/08/2025,SpoilerA simple background check would have uncovered Glafira Rosales' boyfriend had committed art fraud before. No vetting what so ever. Squarely on Ann Freedman. After 30+ years of experience everyone else trusted her including Michael Hammer. The way she openly mocks the accent of one of the victims tells me all I need to know about her character. Very interesting and entertaining documentary.,True
9,9,Perfect documentary about art hypocrisy,boboceaelena,n/a,16/08/2025,"A documentary that show that the art critics and experts are the same as wine experts when you ask them to asses a wine blindfolded.
Sad to see that the ""cultivated"" people don't buy art because they make them feel something but because it's a Kooning (or other famous name) presumably.",False
10,7,Not so funny in the rich men's world,dierregi,n/a,16/08/2025,"It feels good to watch a documentary about problems one cares nothing about. This one is about the biggest fraud in the art world, perpetrated by a snake-eyed dealer named Ann Freedman, with the support of the gallery owner for whom she worked.According to Freedman's version, she ""believed"" that an obscure woman, totally new to the elite NY art world, could get hold of a truckload of canvas by Rothko, Pollock and many others easily forgeable painters. The beauty of the fraud is that those artists were all deceased and painted abstract work, hence they could not refute any attribution and the material to forge their work was relatively easy to get, since it wasn't any obscure, sophisticated chemical paint, difficult to produce and to ""age"" believably. Besides, abstract work doesn't require the same level of skills one would need to paint a fake Rembrandt or even an Impressionist whatsoever.Freedman was an expert dealer and yet she kept selling fakes for 10 years, managing to keep her ailing gallery afloat, making deals for 80 million $, until the day an irate buyer discovered that his precious Pollock was actually a fake and the s*it hit the fan. The most grotesque part of the story was the trial about a fake Rothko, described as ""beautiful"" and totally undistinguishable from a real one, given Rothko's style, which proves the point that modern, abstract ""art"" is just a cult object, used by the mega rich to show off and devoid of any artistic value.The fake Rothko was just as ""beautiful"" and even more so of other real ones, but turned to be totally worthless not because of lack of artistic qualities, since it was acknowledged as having the same of an original. It's not a matter of beauty, but exclusivity.The Freedman woman unbelievably got scot free and she's still working in the NY art world, where she's probably conning people too stupid to even know what she did, how she lied and how totally untrustworthy she is... and since they're that stupid, they probably deserve to be conned.",False
