Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Completely absorbing,Biddybaby,n/a,16/08/2025,"Thoroughly enjoyed this fascinating look back at the 1980s NY art scene featuring a cast of eclectic, amusing and wildly differing personalities from that time including the big names. Why hadn't I been aware of this artist, Brezinski, contemporary of Basquiat and other stellar household names? Would have enjoyed even more if we had dwelt a little longer on some of the stills, just to take everything in. The East Village was fabulously evoked 5ough - how times have changed! Happy to see its' London run has been rightfully extended with showings at the ICA and hoping it will hit a streaming platform in the coming months. Definitely recommend if you have any kind of interest in that era.",False
2,10,Interesting and Entertaining,etrnloptms,n/a,16/08/2025,"I very much enjoyed this film, learning a lot about the artist (who also happens to be from my hometown), as well as the somewhat outlier artist scene of 1980s lower east side NYC. The way Brezinki's supposed friends/fellow artists and others in the art community remember him is at times hilarious. And the lengths that Brezinski himself would go to to receive recognition was surprising. The story held my interest and I didn't expect it, but this film took me through the full range of emotions regarding a topic that I didn't know I was interested in. I thoroughly enjoyed the journey and actually hope to see it again.",False
3,10,this is a fantastic documentary,supremebluto,n/a,16/08/2025,"As an artist, I often wonder why do some artists become successful and others not ??? This movie examines the question Basinski was a really talented artist, and this is a fascinating era, I moved to New York to be a part of this scene, and I found it incredibly difficult to gain entrée, but even if you were part of the scene and talented, it didn't guarantee success, and that's the case with this artist, he was very talented and he should've been famous, but it didn't work out for him... Fascinating documentary about a fascinating era New York's history, beautifully done with excellent cameos and lots of videos...",False
4,10,I loved this movie!,andrewsicco,n/a,16/08/2025,"I really did. I couldn't take my eyes off of it for the whole duration, so... great job Brian Vincent, Heather Spore and crew. For fans of Downtown 81, the No Wave (and Punk) scene, Basquiat, Warhol, Slaves of NY, and everything downtown 70's/80's New York, this movie is for you. Of course it was also great to watch it at the Museum of the City of New York showing, where the director, producer, and prominent members of the art scene portrayed in the movie did an informative and super fun Q&A afterward. I found the whole experience inspiring, and the sort of documentary that makes me fall in love with NYC all over again, after all, these are the stories that most of us artists and musicians can relate to... you see, downtown Manhattan may be all fancy and wealthy now, but there are still pockets where such characters exist, maybe somewhere in Brooklyn (or Queens) by now.. OR other cities.. we all have been 20 years old and (some of us at least) crazy.. and had aspirations, big dreams, so yeah.... raise a drink to Edward Brezinski.. Cheers!",False
5,10,"Make Me Famous"" just might...",paddywhoo,n/a,16/08/2025,"Who knew the artist, Edward Brezinski? If your answer is no one, you're close. A dedicated young artist who escaped an alcoholic father in Detroit, trained at the renowned San Francisco Art Institute before moving to a 6th floor apartment/studio/dive above a squalorous street scene in New York City, his tale is told by his fiercely talented and ambitious artist contemporaries who were part of the vibrant and sometimes more than a little sordid art scene with the not-so-usual starving, mostly gay, men at the very beginnings of the HIV epidemic. From their conversations emerges the complex support and love mixed with envy and resentment in a profession where the who you know and where you happen to be as much as who are the most gifted often determines the winners and the forgotten.Brezinski held shows for both himself and his fellow artists at his 6th floor walkup; visitors had to step over the bodies of the drunks who had not quite made it to the flophouse across the street. This generosity was remembered and appreciated in the interviews. Brezinski was a budding alcoholic whose obnoxious acting out at his friends' openings was also remembered. Those speaking were all ravaged survivors, not only of the competitive cauldron of the New York art scene that was on the verge of being engulfed by vulture capitalism, but of the HIV firestorm that was decimating the gay community; the grief and anger (Reagan was officially and actively ignoring the growing epidemic) is present in their speaking.There's so much more of this rich story that I've only touched on. You would not suspect that the two New York Broadway veteran actors who produced/directed/edited/etc. Are first-time film makers. The production is rich, beautiful and seamless, and the arc of storytelling is continuously engrossing and compelling.Patrick O'Connor.",False
6,10,"Funny, sad, intriguing story",pia-wilson,n/a,16/08/2025,"This documentary gives us a glimpse of something we don't see quite as often -- a talented artist who doesn't ""make it"" by his standards and who doesn't pull off a triumph at the end. The story is still inspiring and offers a fun look at the East Village art scene in the early 1980s. I also enjoyed the mystery the director created in the middle part of story. It hits all the right emotional beats.The people interviewed in the documentary are often very funny characters themselves. Though, there does seem to be a gap in intimacy, as in knowing Brezenski beyond his ambition. And maybe that falls on Brezenski's relentless drive and passion for art.",False
7,10,Must See,dameonpriestly,n/a,16/08/2025,"Wonderful documentary.I've researched this time period in New York extensively and this was a refreshingly new look at those just outside of the full glare of publicity.A great deal resonated with me being an artist. As much about the behaviour and questionable attitudes of those in the 'art world', as it was about Edward as an individual.New York in the late 70s and mid 80s was a creative hot bed in the East Village, flying in the face of Reagononics'.This documentary perfectly shows the other side of the well known names of Haring, Basquiat and rest. The sliding doors moment of whether or not fame will come knocking or walk on by.Poignant and contemplative.",False
8,n/a,A wonderful look at art in its purest form,n/a,n/a,16/08/2025,"I was fortunate to see Make Me Famous twice in the theaters with different audiences and its interesting watch something that makes people talk about art afterward.I think anyone reading this should watch the film, so I won't give any direct spoilers. But I will say, one of my favorite things about it was the notion that art can't be about being famous, even though all artists are striving to be famous, whether they will admit it or not. Looking at the 1980s New York underground art world, which director Brian Vincent was able to capture through archive footage, photographs and interviews... I realized something. Whether it's Basquiat, Warhol, Haring, (Brezinski) or anyone who is prolific and focused on their art.. it's not even about the art. The details don't matter. What matters is for the artist to convey their own truth. Which also means showing their mood. And that could be the 100% random paint splatters in a Pollack, or the one color (seemingly lazy) giant canvas in a Rothko... it doesn't matter if there was one more spec of paint or less paint... it's all about the truth of feelings.So art is only personal to the artist, but the viewer resonates with if they think it was true or pretentious, before they pick up on anything else. And some would argue that a replica of a bag of donuts in a fancy museum, is not truth and not real art. And some artists choose to speak out against falseness, laziness and pretentiousness in the art industry. And sometimes they risk their own reputation and career by doing so. But in the end, when these artists are gone, they will be remembered for their truth in their work more than anything else. And that honesty is often misunderstood. And that's the beauty of it.Great film! Very inspiring!",False
9,10,Edward will make his mark on your heart,kellymrawlings,n/a,16/08/2025,"The energy and passion, posturing and poverty of the Lower East Side's '80s art scene in all its squalid, boozy, AIDS-ravaged, eyeliner-ringed defiant creative glory. It's the setting for a particular portrait, a Midwestern gay man who studies art. And moves to New York City. Who creates his own shows when he has to, and paints his friends and people he meets, and labors at it, and sometimes rubs it out in frustration. The art might be derivative or might be original, might fetch a pity $500 or millions but that doesn't matter. You'll see him. His gaze at the camera, gallery shockers, shade and light from the art world denizens who knew him then and tell it now. Basquiat and Warhol and Madonna and Berlin and Nancy Reagan are lesser works this time around. Just say yes. This is a genuine Brezinski.",False
10,10,Colorful Character/Period Study and Commentary,michaellicht,n/a,16/08/2025,"Commentaries from artists on the art world of the NYC 1980s art scene make this documentary a personal and often hilarious contribution to the American artist's legacy. It was incredibly entertaining to hear tender, at times laugh-out-loud reactions to a man of an era and the events of the time. Alongside the positive and personal, it was insightful get the raw honest apathetic and critical opinions from people who had what this artist wanted more than life. The use of new graphics made by the artists from the time and place imbue the film with raw playful energy in an evergreen study of the starving artist, which generation after generation is the spirit animal of our cultural landscape.",False
