Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Outstanding Documentary!,spiderspinner,n/a,16/08/2025,"SpoilerBefore watching ""Mama's Boy"", I was aware that Mr. Black had won an Oscar for writing ""Milk"", about the gay rights pioneer Harvey Milk. I was also aware of his relationship with the charming, uber-cute British diver, Tom Daley, and that there is a large age difference between the two. And that was pretty much it.The structure of this documentary is such that I have come away with what feels like a deep understanding of what makes Mr. Black tick, as well as an appreciation of the obstacles he has overcome. He describes his mother as having a ""strong heart"" and it is clear that her good-heartedness is a trait that she passed on to her children. The documentary focuses primarily on his mother, and from that life, on the family she created despite almost overwhelming odds. The narrative flow is very smooth as it derives from a strictly linear chronology (excepting the very opening scene), and the use of in-person interviews and family records rounds out the storytelling quite effectively.For me, the only unanswered question was why Mr. Black, after changing his surname to the name of his first stepfather - and, given his natural father's behavior, rejecting his birth name seems completely understandable - felt no similar desire (given, once revealed, that latter man's far worse behavior) to instead honor the man (his mother's third husband) who was a loving husband and better father than the first two combined. In other words, I would think he would rather be known as Dustin Lance Bisch.Ultimately , the story we witness is positive and uplifting. I recommend this documentary, and not just to the GLBTQ community and their allies, but to all those whose opinions are not set in stone. Mr. Black shows how bridge-building is always possible, and, indeed, common ground is the ""land"" we all hope to arrive at, and all can thrive on.",True
2,8,Heartfelt and inspiring.,aarpcats,n/a,16/08/2025,"Ignore the moments in the film that lapse into mushy sentimentality. Black not only loves his family, but he loves the culture that spawned them, even when they don't themselves understand what loving him back means.I am an Army Brat from a conservative Southern family, and I spent a long time working for Zions Bank. I truly understand his faith in his family and in the Mormon church. I know that the opposition to same sex marriage is homophobia. I believe that there will come a reconciliation with between gay children and their religious families, but I believe it more after seeing the film.Don't give up.",False
3,9,"A beautiful story about family, love and acceptance.",samputnam,n/a,16/08/2025,"A very touching, moving and inspiring documentary based on the book Mama's Boy by Dustin Lance Black.I laughed, I cried and I empathized with Dustin and his family. This is a story about fighters, the strong bond of family and the need to be accepted. Everyone can watch this and take something positive away from it.This is my first review on IMDB and I felt compelled to leave a review on this because, as Dustin Lance Black said, stories are very important and they need to be told as they help to bring people together and build bridges - and God knows we really need to bring people together in this ever divided world.",False
4,10,"Loving, powerful and inspirational",adamsandel,n/a,16/08/2025,"This is a moving portrait of how a very special woman overcame incredible odds and raised one of the most gifted writers and LGBT activists of our time.In telling the story of the family and background that shaped him, Dustin Lance Black creates a portrait that is more vivid and moving than any work of fiction.His journey from poverty and struggle in the most religiously conservative parts of the country, to the Oscar stage, to building bridges and understanding within the homophobic Mormon church, is much more than a tale of self-discovery and coming out.The beautifully crafted documentary is infused with love. It celebrates the impact that a strong and loving woman can have on her children, and in this case, on the evolving attitudes of our society.",False
5,10,Wow,quotesdepot,n/a,16/08/2025,"Best movie I've seen all year. I've seen good productions, but a really great film is different. A great film has to tell you something that you didn't know before. Or, rather, to make you feel something, something deep, to reach inside you and touch something that resonates deep into your soul. I know that some people will not feel this way after seeing it, but I found that, in one way or another, my own journey has mirrored Dustin's. I wonder if many young people will understand and really feel the emotions that this films evokes. So much has changed since I made my journey. Things I never thought would happen... happened. And they happened because of people like Dustin. We owe him more that we can ever repay. And this film shows how & why. All I can say to him is: promise kept, promise fulfilled. Well done.",False
6,10,A moving and Excellent movie well worth watching,dougmplane,n/a,16/08/2025,"SpoilerIf you eliminate the homophobes who rated it One star ( and not one comment why), then the average is much higher. The story about the resilience of his mother and how it shaped him was done perfectly. The actual photographs and movies from his youth added so much. How his mother thrived even with polio and raising 3 boys , as well as working, helped Lance in his quest to create. I was born in 1947 and learned from this movie I was just lucky to not get polio. I do remember being in elementary school and getting the vaccine. Just amazing he found hoe love with Olympic diver Tom Daley and has a family - as his mother always dreamed.",True
7,10,Great tribute to a very strong woman,Critic_For_Life,n/a,16/08/2025,"I loved every minute of this documentary. Dustin Lance Black's story about his mother was so beautiful. His mother would be so proud of him. It was not an easy road for Dustin, but to hear how his mom overcame so many obstacles and she never gave up. Neither did Dustin. Never a harsh word about his adversaries but words of encouragement and never giving up. I plan to continue watching quality work created by Dustin and hope he continues to create more documentaries on social issues and human rights.I hope viewers feel encouraged after watching this documentary - humans can be resilient and do anything if determined.",False
8,6,"""Keep The Church Out Of Government!""",adamjohns-42575,n/a,16/08/2025,"Mama's Boy: A Story From Our Americas (2022) -I rewrote this review about five times, because it came across in such a negative way, but all the points that I made were valid, yet without any additions that I could make to say why it was actually good.Initially I thought that this film was produced, written and directed by Dustin Lance Black, as a sweet dedication to a Mother that he obviously loved, but I wondered whether it was really worth making? Was the story special and different enough to warrant it or was it just self indulgent on Dustin's part?Was it just another story of a sick person that just happened to have a screenwriter for a son or was there something more extraordinary to it all? And did it ultimately fulfil the promise that his Mum claimed that he had made at the Oscar's?Upon completion I really didn't know. In some ways it felt a bit like ""Poor me, my life has been so hard and it started with my otherly abled mum"", but by the time it got to the end, it showed how Dustin was using his position as a relatively public figure to deliver a One World message and bolster support for the LGBTQ+ community as well as others. Although it still had a touch of the ""Aren't I brilliant?"" about it even then.Personally, I barely even march at pride anymore and I know that I could be doing more to promote acceptance, tolerance and understanding within every community, but at the same time there is a part of me that doesn't want to make a fuss anymore, in order to stop acknowledging differences, because I do believe that the more Pride marches we have, the more Black History Month's and Trans Recognition Day's we have, the more we are saying that there are differences, when actually we are all the same human race, with the same ability to love if we choose to.We really should have moved passed these fights for our rights already, it is 2022 for Christ's sake.As the film progressed, I started to wonder who it was really about, because although the start of the film suggested that it was to be about his mum, even his memories of her were very centred on himself. And that was true all the way through it too. But I suppose that it was the title of the story - Mama's BOY!When I realised that it wasn't made by him, I started to feel that whoever was making the film was doing it as a favour in order to boost Dustin's media presence and to give him a platform for his own work. It was almost an advert for 'Milk' (2008), and perhaps if it had been more about what Mr Black has achieved since his Mother's passing as well as how others can get involved and less about his Mum's origins, Etc, I might have been more impressed and interested in this piece, because the work he is doing now is the important thing to take away from this film.I didn't know Dustin or his work enough to be watching this as a devoted fan. I only really knew that he was the somebody, who'd made a film, that had married Tom Daley, so I was hoping for something more from this documentary that made it stand out, that made it different from all the ""Sob Stories"" that have been heard on reality TV shows for years now. And I don't wish to diminish the ladies achievements, because Mrs Black (Not Tom, Dustin's Mother) was very impressive for the way that she lived her life with what appeared to be so much drive and determination and probably far more strength than I'll ever have, but now, after the event, it seemed that the film didn't really know what story they were making and the waters were muddied about where it was going. The ending was wrapped up a bit too quickly as a result and as I've stated above, I believe that was where the most relevance was.I also felt that he was swearing to emphasise points, but that the words were unfamiliar to him, so I suppose that there was an element of disingenuousness about it too.Having known nothing about him and especially his Mother, I didn't realise how depressing and upsetting it was going to be to watch this film either, because one of its strong points was how it sensitively showed the pain and the losses that the family endured.These coming out tales are always hard to watch for me, especially with my own Mum, because it almost seems to dredge it up all over again, but neither of us says anything, because we don't want to upset how things are now and maybe that's why I'd rather see films that are about openly gay men who don't have any issues like that. Films like 'Bros' (2022), 'Single All The Way' (2021) and even 'God's Own Country' (2017), because they don't bring it up. I realise that this film was a documentary and not fiction, but the principal was the same, it could have easily been about the positives in Dustin's life instead. That's just my thoughts in general though and with Dustin's religious background that element was probably very relevant to everything else in this case. Even the smallest coming out stories are relevant and important to the individual coming out, but not all of them will have such an impact on a family, town or the world.Funnily enough, my Mother actually enjoyed this film a lot, she even made me pause it every time she went to the loo, which was unprecedented. And that's not to say that I didn't like it, because I did, but I noted these points as I watched and so few were anything that could be seen as positives, yet all of them seemed to be connected.I suppose overall that the two stories combined did make it worthy of being produced, as a piece that was poignant to the world we still live in and as a history of this young and talented writer, because 'Milk' was very good, but I still believe that there should have been more of a focus on Dustin's campaign work, despite his Mum's fantastic lust for life.640.93/1000.",False
9,10,Beautiful documentary,joebnow,n/a,16/08/2025,"Having read and loved Black's book, I had no idea it had been turned into a documentary when I stumbled upon it. Why isn't there more of a fuss about this terrific film? This is a remarkable story about a beautiful woman who overcame so many torturous obstacles and who faced each one with tremendous courage. While this is clearly about a son's unwavering love for his mother, it is also about Dustin Lance Black's crusade to overturn Proposition 8 and his fight for his mother's life. It is a heartfelt, beautiful story that speaks to the heart, compassion, and strength for which we should all strive in our lives.When I read the book, I had to wipe away tears that made the words blurry. The documentary is no less affective. Highly recommended.",False
10,10,Brings true hope,kacurylo,n/a,16/08/2025,"10/10 The story simply brings true hope. Than even in such a great divde that we're right now, there is hope indeed and that mending or even building new (some very surprising!) bridges is possible. Made me feel so much more positive and genuinely hopeful in these bleak and horrifying times. Hope, love, stories to share <3 Just go watch it.It tells a beautifully poignant story of a very remarkable woman and her children. Their falls and joys, their fears, prejudice, but also wins, bonds and happiness. And how that one woman and her strong family values changed the whole nation.Also an interesting look into how we can be together, even when it seems we could never even sit down at the same table, inspiring.",False
