Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,A Solid 8!,tadted,n/a,17/08/2025,"This guy is the antipodean Louis Theroux. He has a great knack of developing a story and making you want to join him on the journey. I love documentaries and came across ""Tickled"" and loved his style of production. That first documentary was weird and intriguing and there was a taster of this one at the end but it went out of my mind for a while because it wasn't going to be released for a while. So I came across it recently while looking for a documentary to watch and again was not disappointed. I hope he goes on to produce plenty more of this type of this in the future because - like Theroux - he has found a formula that works.",False
2,8,Is this safe to review?,Jeremy_Urquhart,n/a,17/08/2025,"I remember liking Tickled many years ago, but Mister Organ I thought was even better as a documentary, and I think it's shown David Farrier to be more than just a one-trick pony (though it does have the same kind of mix of suspense, intrigue, and tension that Tickled had, just stronger).It starts a little too chaotically for my liking, but after about 10 or 15 minutes it settles into a groove and starts feeling baffling in the right kind of way. Maybe some of the opening scenes were supposed to get your head spinning right away, but I think I would've liked a slightly more patient build-up to the central premise. But once it does get underway, Mister Organ is fascinating, even when the director admits that he doesn't know where anything's going or how he can even end the documentary he set out to make.It's an exploration of a very unusual and rather terrifying individual, and the way it functions as a character study of this man makes Mister Organ feel more intense than a good many genuine thrillers. It's the kind of movie where I feel a little worried even saying anything about it, due to the man at its center. I doubt he'd ever read this, but I still don't want to speculate on the man beyond what's presented in this documentary; partly out of fear, but also partly because this is the kind of film that should be watched without knowing much about it in advance. I went in thinking it was going to be about organ transplants in some way, and no... it wasn't that at all.It's on Netflix currently in Australia, and I only shout out the streaming service because this is one of the few documentaries on there that's genuinely great, straight-to-the-point, and keen to tell its story in just 90-ish minutes. Certain documentaries need longer runtimes, but most documentaries on Netflix don't, and are needlessly padded out to be told in three to four-hour miniseries rather than 90 to 120-minute movies (a big reason why I just stopped watching most documentaries on the platform, be they hosted on there or produced by Netflix itself). Anyway, Mister Organ's one of the good ones currently on Aus Netflix, and I'd recommend it to anyone who enjoys unusual and captivating documentary filmmaking.",False
3,7,Hold onto your butts,scatterscott,n/a,17/08/2025,"""Mister Organ"" isn't just a documentary, it's a slow-motion train wreck you can't tear your eyes from. Director David Farrier sets out to investigate claims of an online troll named Michael Organ, a self-proclaimed ""reputation assassin"" with a penchant for manipulation and mayhem. What he stumbles into is a rabbit hole of lies, gaslighting, and psychological mind games that will leave you equal parts aghast and fascinated.Farrier's on-screen journey is the film's driving force. His initial naivety, slowly morphing into disbelief and anger, mirrors the audience's own emotional arc. We laugh at Organ's absurdity, wince at his cruelty, and ultimately find ourselves questioning: would we have fallen for his act too?""Mister Organ"" is a masterclass in suspense, building upon each revelation like a Hitchcock thriller. The film masterfully blends humor and horror, leaving you in a constant state of nervous anticipation. You know you shouldn't be enjoying Organ's antics, but there's a morbid curiosity that keeps you glued to the screen.Beyond the sheer entertainment value, ""Mister Organ"" offers a chilling peek into the dark corners of the internet and the depths of human manipulation. It's a cautionary tale about the dangers of online anonymity and the ease with which our own perceptions can be distorted.But the film's true strength lies in its portrait of resilience. The victims of Organ's abuse, who share their stories with raw honesty and courage, remind us of the human spirit's ability to overcome. Their voices serve as a powerful counterpoint to Organ's narcissistic ramblings, ultimately reaffirming the importance of truth and justice.""Mister Organ"" is not for the faint of heart. It's a wild ride that will leave you feeling drained, disturbed, and oddly exhilarated. But if you're seeking a gripping, thought-provoking documentary that dares to push boundaries and explore the darkest corners of human nature, then look no further. Just buckle up, because you're in for one hell of a ride.",False
4,7,A self aware documentary that failed? It works,maxpl-58908,n/a,17/08/2025,"SpoilerAlmost like a slightly more aggressive, less passive Louis Theroux, Farrier delves into the story of an abusive manipulator, halfway through I enjoyed the fact that he was self aware of what he had gotten himself in to, did this bizarre man's mundane fabricated stories and rambling warrant a documentary? Maybe not, but it was still fascinating. I enjoyed watching the process of even the creator David himself getting sunk into Mister Organs draining presence and creepy passive aggressive threats.I wondered at times where the documentary would conclude, it felt lost at times. I do think this story would have had a more profound message to the audience if it explained and explored more the details of the damage to these other people who had crossed paths with Mister Organ in the past, however it sort of brushed over these leaving you to wonder how traumatising the effects of this manipulative man were.The last 20 minutes of the film wrapped the story up very well, if you enjoy Louis Theroux then you will enjoy this.",True
5,6,David Farrier is Louis Theroux's clone,chrislawuk,n/a,17/08/2025,"I don't know whether he's his doppelgänger or what's going on. Maybe its like a photon, he can exist in 2 different places at simultaneously-New Zealand being for all intents and purposes, the other side of the world.I mean he looks like him, talks like him, does documentaries of a similar nature just like Louis Theroux. He's probably an inch or two shorter, but that might be gravity down in New Zealand. Put him on a stretcher for half and hour and can soon sort that out.That said, he's a good documentarian if not an entirely original one, even if just by the hand of god he is unfortunate enough to be genetically very similar to his counterpart, and making dramatically similar movies and tv series.Michael Organ was a mixed bag. Its a very watchable documentary, but all said and done, once its over, you are left wondering if this guy warranted a documentary.He seems a small time crook with mental problems. If even that, as what he's doing seems pretty boarder-line illegal, although morally corrupt. The people brought forward to support the documentaries theory, that Michel Organ is the devil incarnate, all seem to be pretty crazy on their own, without anyone else needed to help them. Its pretty far fetched to seek to blame this guy for all there issues, although he's likely unpopular for good reasons.It is pretty funny in a bizarre way and Michael manages to get Farrier's knickers in a twist.",False
6,9,More great work from Farrier,hilary_nz,n/a,17/08/2025,"SpoilerOn the surface it's another interesting Farrier doco about a very weird person who gets their jollies from manipulating people.But as the film goes on, and you start to comprehend the nefarious and vindictive nature of what is happening, it becomes a deep insight into how utterly cooked it is that we don't have any means to protect people from the Mr Organ's of the world.We hear a lot about violence in relationships in New Zealand, but this is the first time I've seen a documentary capture the destructiveness of the emotional/psychological abuse that people are forced to endure at the hands of abusers. The people who have chosen to tell their stories are incredibly brave - and I hope they never have to feel alone standing against this truly vile character.It's a wild ride, its very funny in parts... and its the most chilling insight into coercive and controlling people I've seen.",True
7,5,A lasting sense of paranoia and dread,wolfjawsucks,n/a,17/08/2025,"SpoilerI honestly don't have much to say other than, seeing something like this in my own backyard is very telling of the legal and societal parameters that allow for people like this to succeed in this country.The fact that David Farrier stands a better chance at dismantling a mega-Church than one man in Whanganui does also says something.It's funny, terrible, sad, exploitative in moments, very well put together and full of heavy dread. If you don't live in a country as small as ours I forgive you for not seeing what's to worry about when there's people like this that scurry around.Watch it! Free Jillian!",True
8,10,If you have ran into someone with NPD & ASPD you understand this👈🏻,emmakmonroe,n/a,17/08/2025,"If someone hasn't ran into someone like this they will never ever understand this documentary. People that have ran into these types with personality disorders will get it. I have never wrote a review I just wanted to let people know what's up about this film.So the best way of putting this are men like Michael are also known as con artists, and unfortunately that is
the best way of describing him. I doubt we will know much about his family history unless he does something very bad and gets out behind bars. Then they might be able explain it if that happens. Maybe there will be a part two. That would be very interesting to say the least.People like Michael confuse people on purpose to make themselves feel more lifting up.Once you have seen this personally you will never unsee it by doing tons of research. FYI.",False
9,3,Pointless,puteweet,n/a,17/08/2025,"A documentary about a Farrier's grudge & eventual obsession with the titular Mister Organ. There's no hard reason for the documentary to be following Organ and the film ultimately becomes the viewer being witness to Farrier's folley to find one. This all culminates in the final 20 minutes of the film Farrier desparately calling old acquaintances and asking, ""So has he got some sort of disorder? Is he a bit out-there or...? What do you think his deal is?""The documentary spends it's entire length searching for some tangible lead for the documentarian to sink their teeth into and ultimately goes nowhere & lacking.",False
10,9,Stunningly funny and astonishingly scary,mikebryantnz,n/a,17/08/2025,"The feeling of watching this in a relatively small but jam-packed kiwi cinema was absolutely fantastic.Everyone laughing and gasping along at this funny, horrifying, distressing and impactful film.If you can see it in a full theatre, absolutely do so.There were parts of the movie where my partner and I gripped each other in horror. My stomach sunk at parts and a few minutes later I was cackling merrily.David Farrier clearly put a lot of himself on the line for this movie and put himself in the sights of a very scary individual and the results are something he can be proud of.This is a brilliant piece of cinema and a stunning showcase of journalism.",False
