Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,"Politics, the politics never change",Vartiainen,n/a,15/08/2025,"A senator suddenly dies and a replacement needs to be named. The other senator for the state, Joseph Paine (Claude Rains), along with Jim Taylor (Edward Arnold), his corrupt businessman backer, decide to name a truly surprising candidate, one Jefferson Smith (James Stewart). He's meant to be nothing more than a seat warmer so that Paine and Taylor can push through a new piece of legislation concerning a dam, meant to make them filthy rich. Unfortunately Mr. Smith is something they've rarely seen and are utterly incapable of understanding: a good and honest man. And a boy scout to boot.The film is corny and filled with pathos. Phrases like ""the American dream"", ""truth and honesty"", ""reliability"", and so many like those, get thrown around all the time. Politicians are nothing more than hungry jackal fat cats, aiming to filch the hard-earned pennies of the good American people. True way of life is to be found outside, on the prairies where grass leans on the wind. On the mountains reflected against the noon sun. I could feel my spleen turning red, white and blue as I watched this film.And yet, despite all that, the film is magnificent. Perhaps it's because 'It's a Wonderful Life', another film from director Frank Capra, also stars Stewart, but for some reason or other this film reminds me of Christmas. Because Christmas is also corny and filled with pathos. It is. But it's also the best time of the year. When it's okay to be a bit sentimental. Or a lot sentimental. When it's okay to remind ourselves of the values we all hold dear, but which we usually don't talk about because it's seen as embarrassing.Hopefully people still watch this film. Because even though it's old, and corny, and sentimental, and even a bit silly, it's values, themes and lessons are as relevant today as they were back then. Perhaps even more so.",False
2,8,Shining a light on corruption,gbill-74877,n/a,15/08/2025,"Frank Capra was an idealist for sure, but he certainly was clear-eyed in seeing some of the darkest problems with humanity and its institutions. At the beginning of this film, he shows us politicians who are firmly in the pocket of special interests, the degree to which is startling. A state governor (Guy Kibbee) is in charge of picking a new senator after one of the two serving for his state has passed away, but it's immediately clear that he operates as a puppet for a big businessman (Edward Arnold), a guy whose clout got the governor his position, and now who expects to call the shots as payback. We see it as one of the fundamental problems of representative government in 1939, just as it is today, so the film is highly, highly relevant.Now it's laughable that the governor would go rogue and put the head of the Boy Rangers, Jefferson Smith (Jimmy Stewart), in there instead, based on the pleading of his children and a coin flip that lands on its edge, but that's the premise of the film. It's an obvious call to clean up Washington, and get decent, upright people in there as representatives, and in delivering this message, Capra does not attempt subtlety or realism. And I may as well say it now before I blab on, it's laughable how the kids play the role they do later in the film too, and how the other senator (Claude Rains) behaves in the end. Maybe the film is pointing out that progress will always depend more on the next generation, and that ultimately it will require those in power to summon their sense of decency and stand up for what's right.One thing I love is just how reverentially Smith treats the job he's about to undertake. First of all, he knows it's not about him. He's also not sure how well he'll do, but says ""I can promise you one thing: I'll do nothing to disgrace the office of United States Senator."" After dropping off his crateful of pigeons (lol), we then see him wide-eyed as he tours the landmarks of Washington DC. The shot Capra gets of him beneath the giant statue of Lincoln perfectly captures his humility, and others the deep respect he has for the institution he's going to serve. We get a heavy dose of the ideals the country aspires to, with shots of Lincoln's second inaugural address (""With malice toward none, with charity for all"") and a recitation of a part of the Gettysburg address by a young boy, while his grandfather and an African-American man look on. It's quite flowery and may have the lip curling of every cynic who sees the film, thinking of all of the times America has done evil in the world, but just about to head into WWII was not one of those times, and regardless, I can't help but admire this scene. If only all of America's representatives went with a reverence for these ideals, respected the institutions from their hearts, and felt real humility and a need to not let down his or her constituents, or the leaders who came before them.Everyone else is aware of how the system in Washington actually works though, including the other senator (Rains), his handler (Eugene Pallette), and his secretary (Jean Arthur). Heck, even the young page who shows him to his seat is savvier. Smith says to the boy, ""I'm just going to sit around and listen,"" meaning that he feels he has a lot to learn and shouldn't go in with guns blazing. The kid answers ""That's the way to get re-elected,"" reflecting how deep the cynicism of the process runs. Later it's parenthetically said that ""You can't count on people voting. Half the time they don't vote."" These little bits are pointing out the same thing, that while we may decry the state of government, at the same time, to make it better we need to be active participants in it.Stewart is fantastic in the film, with lots of memorable moments, such as when he nervously reads his proposal for a boys camp on the senate floor, and then later when his eyes are opened to deep corruption, which includes his father's friend and mentor, Rains's character. When he takes the Senate floor to filibuster and angrily yells ""No, sir, I will not yield!"" it's a fine, fiery moment, with palpable tension between the two men. I also love the softer scene with Arthur where he channels Walt Whitman in quoting his father, a man who died fighting for the little guy and the free press: ""My dad had the right idea. He had it all worked out. He said: 'Son, don't miss the wonders that surround you. Every tree, every rock, every anthill, every star is filled with the wonders of nature.' He said, 'Have you ever noticed how grateful you are to see daylight after coming through a long dark tunnel? Well,' he said, 'always try to see life as if you'd just come out of a tunnel.'""Arthur turns in a solid performance with her character, who is also inspiring. She knows how congress operates, giving Stewart (and the viewer) a little tutorial, and then coaching him from the balcony. We see that her character is jaded, but that there is still a glimmer of idealism in her, and also a healthy amount of disgust for politics. ""You're half-way decent, you don't belong here,"" she tells Stewart. We see both of these characters go through the inevitable response to the ugliness of politics - considering leaving the aggravation and frustration of it all, because it's the fight of an underdog to try to change it, or to stay and fight, because that's the only way anything will ever change, and what great leaders have had to do too as well. As this is a Capra film, you can guess which one of these paths they take.It's certainly an arduous path, as the political boss is incredibly powerful. There is real evil, greed, and corruption here, and Arnold plays his part perfectly. The scene where he tries to get Smith to play ball is reminiscent of Potter calling George Bailey into his office in 'It's a Wonderful Life,' and has a similar outcome. When Smith stands up in revulsion, the boss immediately turns to Plan B, which is crush him. He does what corrupt and deceitful people in politics have always done - he drums up charges of the very same things he is guilty of against those who oppose them. He also uses his power over the press to wage a misinformation and propaganda war. Maybe you'll recognize these patterns from the present day.The ending is a little messy, and I would have liked it more had Smith somehow been shown swaying the other senators with arguments and reason. How does one reach across the aisle and bridge such a gap of disagreement and entrenched special interests? However, I have to give the film credit for shining a light on corruption in politics, and I loved how its truthful message was so powerful that many offended politicians branded the film as communist propaganda. As Smith says, what's needed in politics is ""plain, ordinary, everyday kindness. And a little looking out for the other fellow too."" Indeed.",False
3,9,A 40ft Dive into a Tub of Water...,Xstal,n/a,15/08/2025,"Accomplished, honest and heartfelt, this will reinspire you to believe in the goodness of people even though the messages conveyed by those in power these days suggest anything but. James Stewart plays the innocence and naivety required for the role to perfection while you can genuinely believe that Jean Arthur has actually fallen for him for real. The great Claude Reins fills the boots of the corrupt senator with aplomb while Edward Arnold reminds us of a few of his type that are still around today. Probably the best film you'll ever see with the most mundane of titles.",False
4,10,A National Treasure,FlickJunkie-2,n/a,15/08/2025,"James Stewart and Frank Capra.  One needn't know much more going in to be assured that this will be an enjoyable film.  Together they take on the Washington elite with this dramatic comedy about a naïve Washington outsider who gets appointed to the Senate and stands alone against corruption and graft.  Jefferson Smith (James Stewart) is appointed from an unnamed state after one of its Senators dies.  He is appointed because the political fat cats need someone who will not seem like a crony, but who will not stand in the way of a graft scheme for a pork barrel dam that will make bigwig Jim Taylor (Edward Arnold) millions.  When the wide eyed Smith gets to Washington, he discovers the corrupt bill because the dam will stand in the way of his own proposed bill for a children's camp.  When he tries to stop the project, Taylor's political machine frames him to make it seem like he is the one taking graft.  This leads to the dramatic confrontation in the Senate, where Smith filibusters in an attempt to get the truth out.This film is wonderful in so many ways.  The story is a classic struggle between good and evil.  In typical Capra style, the protagonist and antagonists are exaggerated so there is no confusion as to who are the good guys and who are the bad guys.  If there is one clear message in Capra's films it is that those with strong moral fiber never give up hope.  He likes to create utterly hopeless situations for characters to test their integrity, and rewards unswerving adherence to basic values and principles by triumph against the odds.I was dismayed to see a comment, obviously from a young viewer of this film, that said that the characters weren't realistic because no one used profanity.  This is a sad testimonial to our culture, when it inconceivable to young people that there was once a time when profanity was the exception and not the rule.Stewart is brilliant as the idealistic and awe struck kid from the backwoods who is overwhelmed by the glory of Washington, with its monuments and history.  The story brings us a confrontation between political expediency and idealistic principles with the message that the truly great men are the ones that don't compromise their principles to hold on to power.  Stewart also brings a whole treasure chest of bumbling comedic sight gags that make him all the more lovable in the part.Jean Arthur is fabulous as the tough and savvy assistant who is jaded by Washington politics, but gets a fresh injection of fervor as she listens to Smith's noble homespun philosophies.  Claude Rains is also masterful as the adulterated Senator, who sold his soul to corruption for a chance at the presidency.  He plays the simultaneous sense of guilt and ambition with a torment that is clearly ripping his heart out, and the power of both emotions portrayed in his performance makes his character both repugnant and pitiable.This film is a national treasure.  It is in my top 50 list of all time.  The story of corruption in politics and the greatness of the men who resist it is timeless and would not be lost on the politicians in Washington today.  A 10/10.",False
5,10,"It works in a way no other movie could, THERE IS PROOF",stuartpiles,n/a,15/08/2025,"Now, I must admit that this is one of my top five favorite films. There is a warmth, idealism, and kinda simple feeling of hope, that makes one believe that things will work out in the end. Capra knew exactly what he wanted, and it shines. Jimmy Stewart, in the role of his life, makes us believe, what we know is almost impossible in todays crass world.Claude Rains is incredible as Senator Smith's evil mentor. Jean Arthur, as his confidant, plays the part so well,that we just want her to save the day.The final scene, where the filibuster is taking place, is among the greatest ever made.BUT THE PROOF, YOU ASK?In the early 80s, I showed this film, over three days, to a group of 15 year old inner city teenagers. I taught Political Science in a very difficult school in Chicago. It was a new class, and not all of the ""best"" students took it.I decided to show this film at the end of the year, just to see how long I could keep the students attention. I didn't expect much. Fifteen is a very tough age to keep any kind of attention span, and it was at the end of the day, 2:30 -3:15 pm. which made things worse. As the film began, there was rustling in the seats, boredom, that famous oh what a waste of time look...Mind you, this is 43 year old film, about a white Senator, in those ""old"" days, and being shown to a totally Afro-American crowd of 15 year olds, late in the day, (over a three day period, which meant the students would have to wait till the next day to see what was going on. ..By the end of the third day, Capra had worked his magic, and the entire class was spellbound by this film. They were there till the very end, and you could see how much they enjoyed seeing a film, that they wouldn't have looked at in a thousand years..Comments were wonderful. Any film that could accomplish this, more than 40 years after its conception, to a crowd that no one would believe would have any interest in, deserves to be truly called a ""great film.""",False
6,n/a,Keep an eye on Jean Arthur!,n/a,n/a,15/08/2025,"Besides a brilliantly written story, and brilliant acting by James Stewart, there is one element of this movie that can't be overlooked: Jean Arthur's acting.With her voice and facial expressions, she pulls you through the storyline. The movie may be about Mr. Smith (Stewart), but much of it is seen through Saunder's (Arthur's) eyes.  When she falls in love with Smith, we can't help but do it too.This is Capra's opus, and contains not one, but two of the best acting performances I've ever seen.",False
7,10,Required viewing for anyone elected or appointed for public office.,lenndogg,n/a,15/08/2025,"Since the beginning of the art form, movies have generally fallen into two categories: the realistic, and the fantastic (fantasy-based).  There are some that point out that the films of Frank Capra unduly fall into the latter, that they are completely far-fetched and fastened in their own time, and even invented a pejorative term ""Capra-esque"" to describe any non-cynical, heartwarming picture that has a message.  His great films, like It Happened One Night, It's a Wonderful Life, and of course, Mr. Smith Goes to Washington, however, are not fixed in a single era, but all eras, the truest definition of a classic.  And considering it was released among true powerhouses in 1939, a year as important to movies as 1998 was to baseball, its ideals, story, and general excellence shine as bright today as it did over 60 years ago.A Senator from an unnamed, middle America state dies and a new one must be appointed by Governor Hubert Hopper, a puppet whose strings are held by newspaper magnate Jim Taylor.  They need to find one that would be easily controlled by the now-senior Senator Joseph Paine (played brilliantly by Claude Rains), so a bill allowing a building of a dam near land by the Willett Creek owned by Taylor can pass in the Senate.  After his initial choice is rejected by Taylor, and Taylor's handpicked man is shot down by the public, the governor chooses Jefferson Smith, played to perfection by James Stewart, a boy scout leader and local hero who is both wholly idealistic in his patriotism for America but naive and blind to the actual process.  After he gets embarrassed by the local print media, Mr. Smith begins to learn the harsh realities of DC.  Paine, Smith's boyhood hero, takes him under his wing and suggests that Smith try to create a bill. Smith agrees, and with his assistant, Clarissa Saunders (played by Jean Arthur), they create a bill to create a campground for boys from all over the country to learn about each other and the civic process, much to the initial dissuasion by Saunders.  Smith then wants to choose a site near the Willett Creek, the same site where the dam is to be built and when his superiors and true string-pullers find that out, major complications ensue.Although the basic premise is David vs. Goliath, the story is wholly originally and was probably one of the earliest pictures to suggest the government as corrupt.  The characters are played excellently by all principal actors, with Mr. Smith you root for whole-heartedly, Mr. Taylor you root against for his sheer arrogance and greed, and Mr. Paine, who you pity as you see a man who lost his initial zest to serve the public and is now a jaded shell of his former self.  A great performance was given by Harry Carey, Sr., who plays the Vice President/President of the Senate for comic relief.  The lines where completely believable and the parts of Smith's final filibuster that were shown give the most impact.  There is a beautifully shot scene with images of the monuments and sights of Washington with several national anthems synchronized as the score.  The climax is as tension-packed as drama can get, and while the ending may seem rather sudden, and everything isn't completely or neatly resolved, it works perfectly and ends the movie on a happy note.Obviously, few if any people elected to public office has the moral character, conviction, and general good heartedness of Jefferson Smith, and I doubt whether the government would be better if it was.  The movie showed an ideal, a supposed ""lost cause"" of truth in government.  And although it is next to impossible for Capra and the eternal good guy Jimmy Stewart to ever fully change the world of politics with just a motion picture, at least it shows that maybe once in a great while, being the good guy has its definite rewards.  If (using the same analogy of the 1998 baseball season) The Wizard of Oz and Gone With the Wind were the Mark McGwire and Sammy Sosa of 1939 moviemaking, then this would be like Cal Ripken voluntarily ending his Iron Man Streak, something done with full class and the highest respect in mind, and that elevates an ideal of being the good guy and sticking to your dedication brings the greatest of riches.  This picture is flawless in all respects and a true classic, with thought-provoking ideas, wit, a little bit of platonic romance, and an excellent cinematography and score, and deserves the rank as a 10 out of 10.  And in giving this rating, either I'm damn right or I'm crazy.",False
8,10,an honest film,Jennydavis131,n/a,15/08/2025,"Mr. Smith Goes to Washington is a wonderful film about a man Jeff Smith (James Stewart) who believes that children are the future and should be able to enjoy the outdoors, while taking in knowledge of their great Country. When a senator dies in Smith's state, the governor is forced into an awkward position of electing the new senator. While the governor is sitting down to dinner, his young children propose the idea of Jeff Smith who is head of the Boy Rangers and prints a weekly newspaper for the local children. Mr. Smith is elected into office in the funniest way, a coin toss.When Mr. Smith arrives in Washington with his colleague Mr. Pain, (Claude Rains) he is amazed by all the greatness that Washington possesses. After being sworn into the Senate Mr. Smith comes up with idea to propose a Bill that would let boys come together and enjoy the wilderness, and the perfect spot would be in his home town next to a creek. What he doesn't know is that his colleague Mr. Pain has his own plans with that same land. The film then releases the full fury of what corrupt politicians can do to a truthful man.The plot of the film will grab the viewer within the first five minutes and will not let go until the astonishing end. Even though this type of thing is implausible it's still very funny and unique in its own way.The acting was superb! James Stewart will always represent the good guy trying to make his way through life in an honorable way. Claude Rains character was perfect for him, a good man gone bad by the power of politics. Jean Arthur's character was something that isn't normally seen in the movies. She played an ambitious woman trying to get to the top without anyone's help, but is still the great old fashioned woman she was born to be. James Stewart and Jean Arthur were very charismatic together. There could not have been a better pair.The lighting in the film was great in two scenes when Mr. Smith is at the Washington memorial the light shines on sentences of the constitution that added a lot to the emotion of the character and helped set the tone for the scene.This is a classic film that should be recognized and cherished forever. Mr. Smith Goes to Washington is a great film for the whole family, the film is not only captivating and genuine but there is also a moral in the story. Definitely a ten out of ten, and should be part of your home video library.",False
9,7,A Different Political Film,ASuiGeneris,n/a,15/08/2025,"Well, this is like any other political film oozing patriotism, where the small guy gets the big guy. The underdog wins. All American. Better yet, it is Frank Capra, with James Stewart. Can we get any more cliché? Oh, wait. The main character is a Jefferson Smith.Bribery, corruption, conspiracy, lies and deceit. It is all here. Shady deals, ulterior motives. In other words, politics.In case it was not already obvious, I am not very political. But guess what? In all the above ways, yes, this is like all those other films. But it the most important ways, it is not.What makes it different? In one word, Stewart. Sure, the clever writing, the directing, the supporting cast are all assets to the film. But he makes this film. His character's name is in the title, after all. Through his heartfelt performance as Jefferson Smith, the audience is inspired; even the most cynical of us might find ourselves beginning to really like this country, appreciate what we have today that our ancestors did not, and maybe even believe that we can make a difference by getting involved in politics. His naiveté is practically excruciating at times. His first glance at the White House can be compared to a little kid in a candy store. His first evening exploring all the monuments along and around the National Mall is shown in montage form with patriotic backgrounds music. Cheesy, yes. But somehow it was not as bad as it sounds. As he, an everyday man, tries to acclimate himself in the world of politics, each blunder brings new laughs. His awkwardness in palpable and his character lovable. Eventually, of course, he must learn the truth- that it does not really exist in the government. We all cheer for this everyday Smith as he tries to pave the way for all the little guys. As far as high school or even grade school education goes, this should be on a list of required viewings. Along with School House Rock's classic ""How a Bill Becomes a Law"", of course. I would have loved to learn about government, the Senate, bills, and filibusters this way.**** Spoilers ****Sadly, it was the ending that brought the greatest disappointment. It was extremely sudden and cheap. After all that determination and rallying from Smith; after how far Paine was willing to go to condemn the man he supposedly felt was ""like a son"" to him, after all his stubbornness to do the right thing, he gives up and confesses everything on the Senate floor? Highly unlikely. Even worse, it cheapens all that Smith has done.",False
10,8,Still packs an emotional punch almost 80 years later,cricketbat,n/a,15/08/2025,"It's interesting how Mr. Smith Goes to Washington feels so dated and yet so relevant at the same time. This movie itself feels like Jefferson Smith, naively striding into the homes of the cynical and skeptical modern public, only to prove that it does, indeed have something important to offer. This movie still packs an emotional punch almost 80 years after it was made and it's easy to see why it's a classic.",False
