Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,"With 20/20 hindsight, Sinead was YEARS ahead of her time",paul-allaer,n/a,16/08/2025,"As ""Nothing Compares"" (2022 release; 95 min.) opens, Sinead O'Connor is announced at some show and upon hitting the stage, she is widely booed by much of the arena. We then go back in time, and in a voice-over, Sinead tells us that ""I got into music as therapy"" and how she was suffered from an abusive mom for years... At this point we are less than 10 minutes into the documentary,Couple of comments: this is the feature length debut of writer-director Kathryn Ferguson, who previously directed Sinead's 2013 music video ""4th & Vine"". Here she reassesses the rise and fall of the fiercely independent and non-conformist Irish singer. All of the hot topics are examined including the infamous SNL scene exactly 30 years ago this month where she shreds the Pope's picture (to protest against the Catholic church's sexual abuses). The bulk of the movie covers 1987 to 1993, when Sinead was only 21-27. Watch how she resists immense pressures to give in on this and that (when her music label found out she was pregnant as she recorded her debut album, they ""suggested"" she have an abortion--she refused). And what about the music, you might ask? Well, if you are expecting to hear ""Nothing Compares 2 U"", don't waste your time. Prince's estate (led his half sister Sharon Nelson) refused the use of the song in the documentary, apparently because in Sinead's 2021 memoir ""Rememberings"", she had some unflattering comments about Prince. Talk about being petty and small-minded, if not vindictive. But as the last 10 min. Of this wonderful and moving documentary shows, Sinead was right all along, but simply YEARS ahead of her time and hence not understood or worse. (And if you haven't read ""Rememberings"", I'd readily suggest you do.) Back to the documentary's opening scene: it was from Bob Dylan's 30th Anniversary concert at Madison Square Garden in late October, 1992, 3 weeks after the pope picture incident. As someone in the documentary pointedly observes: ""They are at a BOB DYLAN show, what were these people thinking?"" (referring to the sell-out crowd booing Sinead). Then look how Sinead handles the situation...""Nothing Compares"" premiered recently on Showtime. I watched it on the SHO streaming app last night, and I was surprised how great this documentary turned out to be. Whether you like Sinead's music or not (I'm a casual fan at best), this documentary is so much more than that, and I'd readily suggest you check it out and draw your own conclusion.",False
2,9,What a Voice,billcr12,n/a,16/08/2025,"I first heard Sinead here in NY on WLIR-FM in 1987 with the release of her first album, ""The Lion on and the Cobra."" She was also played on college radio and it wasn't until the Prince song, ""Nothing Compares to You"" that she became a rock star. The film shows the incident when she would not allow the National Anthem to be played before a concert and its repercussions. Later, while appearing on SNL, she tore up a picture of Pope John Paul II and, excuse me, all hell broke loose. As a struggling Catholic, I was not offended by the gesture and history has proven her to be accurate after the many molestation cases came to light with the cover ups by the Vatican. I only wished for more and longer segments of her music. Her voice is magical and this film a gritty and honest portrayal of her life.",False
3,8,The Story Of An Irish Icon,psycatron,n/a,16/08/2025,"As someone who grew up as a teenager in Ireland during the time period that is the focus of this film, even 15 year old me had a hint of awareness that SOC was possibly the victim of a society, that just wasn't ready or willing to face up to the reality of the issues she shone a light on, both in our own country and further afield.What this film does is show the world that the things she did weren't some random acts of self-sabotage, or even worse, publicity stunts to prop up her career. She used the global platform she had to speak up for those who could not be heard, to give them a voice when nobody was listening. She didn't do this at the expense of her career as she was so publicly
derided for, this was exactly what she was put on this planet to do. Music and art were the platforms that enabled her do it and she did it in the most dramatic fashion imaginable.The problem for Sinead was that she was so far ahead of her time, living in a time when thou dare not speak truth to power, in a world where social media platforms and hashtag movements didn't exist. If there was anybody in her corner, we simply didn't know about it at the time as they too had no voice. The world's media simply constructed the version of Sinead they wanted us to see.It's a beautifully immersive film that in time I think will really vindicate a genuine social justice warrior in the court of public opinion.And about time too.She deserves it.",False
4,9,Thoughtful and brilliant!,CphSaint,n/a,16/08/2025,"I saw this really interesting documentary yesterday for the CPH-DOX festival in a packed cinema hall.I myself have a couple of old and dusty Sinéad O'Connor albums, but they have unfortunately like Sinéad herself been forgotten with time .... And that's a shame, well almost a sin, as she and especially the 3 amazing albums from 1987-92 deserve to be heard! I got several songs, some new ones too, on repeat in my head after seeing the film, ""Mandinka"" among others.I was looking forward to the super hit with over 200 million plays on Spotify, which, however, was not included in the documentary due to the rights holders! (Prince Estate!)Apart from the music, the film took me back in time to my own youth and was both interesting, touching, funny and really really thoughtful especially with the eyes of today.It deserves to be seen, and Sinéad deserves to be heard.",False
5,8,Good music bio about an interesting character,Red-Barracuda,n/a,16/08/2025,"I remember Sinead O'Connor being a pretty big presence in the British music press of the early 90's. She would be hitting the front covers of the Melody Maker, Sounds and the NME on a regular basis. I did recall the fallout of her appearance on American telly where she ripped up a picture of the Pope and then thinking back to it now, she did seem to drop off the radar somewhat massively. This doc doesn't so much give us the biography of O'Connor from start to finish, it instead focuses her mid 80's rise in the music industry until her fall from the spotlight in 1992. There's little detail on her earliest years and pretty much nothing from the past 30 years. This isn't a bad thing necessarily, as it allows us to zoom in and look at the period where she made her most iconic music and made the biggest impact on the culture overall. There is a reminder of just how good her debut album The Lion and the Cobra is and there is unforgettable footage of her appearance at the Bob Dylan 30th Anniversary show where she was abused by large swathes of the audience for her Pope protest..somewhat ironic coming from those attending the celebration of one of the world's foremost protest singers. A lot of excellent footage has been unearthed to put this film together, which adds a lot, even if Prince's estate refused use of the song which gives the film its name - pleasingly, the film-makers address this in the end credits to explain this obvious elephant in the room. Overall, this is a very good music bio, as there is plenty of grit and drama to go along with some top tunes.",False
6,7,Only half of the story,evanwijk,n/a,16/08/2025,"This documentary is worth a view if you respect Sinead as an artist, grew up in her heydays, or take an interest in the history of feminism and women's rights.I have always liked Sineads music a lot, and have been interested to learn more about the music she made in those mysterious years after her 'cancellation' by conservative voices following her tearing up the picture of pope JP II during het performance at Saturday Night Live.Unfortunately, that scene from the nineties is the end of this movie, so the desire to learn more of the much less documented later period stays undocumented.The movie mainly focuses on her youth, rise to fame and her heydays and her downfall, the latter two of which are all too familiar subjects already. The other two parts (youth & rise) are interesting, also as a context for what would follow later, as they explain well how Sineads activist side grew.As is the case with the music of the last.30 years, her life of those years is also missing from this documentary. Conversion to Islam, rumored lesbianism and the very sad death of her son recently are not here, and that's a journalistic choice that can only be respected.However, there would be a lot of years & material left for a sequel to this documentary, describing the years post 1992. Maybe less commercially viable, but I'd watch it!Finally, I've always respected Sinead as an artist and as a human, and this documentary has further solidified that image of her. A troubled mind, but a wonderful principled and sincere person - and a unique artist.",False
7,10,Heartbreaking and enlightening,insightflow-20603,n/a,16/08/2025,"Haven't been a big Sinnead fan, I never followed her ""controversy"" over the years - but I did notice her desperate Facebook appeals a few years back. It's hard really to even begin sharing my impressions, so let's just say (after many others) this documentary is a fitting tribute to an remarkable woman who glows. She obviously never wished to be a ""pop star"", and her artistic expression achieved what it was intended for, to not only be therapeutic but keep her alive. That she did become a pop star and an icon was inevitable - she is captivating - an epitome of sincerity and compassion, wrapped in beauty - and it's tremendously sad her struggle intensified over the years. This is, however, to be expected with complex post-traumatic stress being left untreated, and the abuse she suffered on from the patriarchy-enslaved public. We can't begin to fathom either what it was to tear the main image of it, the Pope, or to suffer the backlash. A recent crucifiction of a woman by the inane patriarchy fan boys and girls is the Amber Heard trial, so the heartbreaking fact is that nothing's changed - and the only means of instant emancipation of a woman is simply to be vocal. To scream if necessary. Would feminist icons like Gaga and others be possible today if not for Sinnead? We can't speculate, but it's clear she was the first. It's encouraging to know that the climate in Ireland has also changed.The boys are simply terrified, and likely due to inept mothers like Sinnead's - and these mothers, and women in general who have operated themselves from compassion in awe of patriarchy, bear the guilt. It's symptomatic that a woman on TV, Sinnead's accuser, said angrily that child abuse in her case had been justified.I see that Sinnead was quick to be deemed bipolar by dubious psychiatrists, which was later reversed, and she's now branded ""borderline"". Current psychology, however, tends to summon all Cluster B disorders under the umbrella of CPTSD. And that's curable through mere compassion, support, and a feeling of safety. Her big heart is what's kept Sinnead sane, and she IS saner than anyone who tries to cover child abuse. Let's say the majority of the music business, not to mention the Catholic church.Big kudos to Kris Kristofferson... Sinnead's first husband also speaks of her with such warmth. It makes me happy that these filmmakers have made the steps to reinstate a true icon.I see she's recently written an autobiography, described as ""full of heart, humour and remarkable generosity"", and she has an album coming. She is still OUT THERE. How many of us have dared?!...
""Thank you for breaking my heart and making it stronger.""",False
8,7,"""Female vocalist interested in joining folk rock group""",moonspinner55,n/a,16/08/2025,"Born in Dublin to a violently erratic mother, Sinead O'Connor was a troubled youth and Dylan-fan sent to a girl's group home when she was 14, where she met a caring female music teacher who changed Sinead's life; hearing her student sing for the first time, the teacher was so moved she asked Sinead to perform ""Evergreen"" at her wedding, a powerful moment that started the locals talking. This music biography/documentary from director Kathryn Ferguson through the Showtime Network is well-researched and presented, although anyone who has already seen the excellent VH1 ""Behind the Music"" special on O'Connor will experience quite a bit of déjà vu. That being said, Sinead's turbulent life is worth revisiting and, of course, the music is still great to hear. Watching how the public and media turned on Sinead after she tore up a picture of the Pope on live TV in 1992 is still tough after all these years, but her resolve in passionate matters of the heart is at once startlingly mature and fascinating. *** from ****",False
9,9,She lost all. But it did not break her.,Avwillfan89,n/a,16/08/2025,"SpoilerAll the people in the entertainment industry who bullied and threatened Sinead after she refused to sing the US national anthem before a concert AND that famous moment where she ripped a picture of the pope on SNL, owe her an apology. In the first instance, she refused as an act to protest against the Gulf War. The picture ripping was to express her anger at the cover up of decades of child sexual abuse by priests in the Catholic Church.They absolutely railroaded her and her career was never the same after that. All because she refused to conform.Ireland and the US at the time had a lot of things in common when it came to misogyny and sexism, but with a few differences. While Ireland at the time was far more regressive, the US, particularly if you were a female musician, had their own set of rules: You could be what ever you wanted and dress how ever you wanted, but if you are not respectful of certain people, even if they are doing something wrong, if they are horrible people, they will destroy you. And that is what happened to Sinead. She escaped all of her family abuse and rigid misogyny of her country to the US, only to be scored, abused and cast out like a pariah after the picture ripping.This is quite a short bio-doc. It doesn't cover the whole of her life. Just literally up until the Bob Dylan concert. This is more about the impact she had on female musicians that grow up today, and how they don't have to face as much scorn as Sinead did in the early 90s for speaking out on important issues.Also the incident with Prince is not mentioned (another bad man). Not surprising since his estate refused to licence Nothing Compares To You for this film, despite the fact that it is her signature song.If you want to find out more about Sinead's life, read her autobiography Rememberings, because it is a fantastic book.",True
10,7,Entertaining but could have gone deeper,winedivanyc,n/a,16/08/2025,"I was a fan I'd SOC as an American coming of age in the 90's, and I still am. I'd like to first clarify that her downward spiral in America was as much about her refusal to have the national anthem play before her concerts as ripping up a photo of the pope. The former exhibited an overwhelming display of immature arrogance toward a country that only served her well, which might explain why Prince's estate refused to allow footage of SOC performing the song he wrote.That said, I felt the film was entertaining although I would have enjoyed seeing more of her process, like how she composes her songs. And more about how her career bounced back. She is a very talented artist with a great story, and a lot has happened in the past 30 years.",False
