Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Terrific!,MaxBorg89,n/a,15/08/2025,"You will always remember this as the movie that made Johnny Depp a superstar and almost got him an Oscar.The fact that he didn't win isn't a problem,since thanks to him this is the best pirate film ever made.The opening concept is a clichè:a beautiful woman(Keira Knightley)is kidnapped by a bunch of filthy pirates(led by Geoffrey Rush's Barbossa)and the man(Orlando Bloom)who's desperately in love with her decides to track them down.From now on,things get unexpected,as he asks another pirate for help.And it's no ordinary pirate:it's Captain Jack Sparrow(Johnny Depp),a lying,cheating,but charismatic scumbag,the hardest man on Earth to predict,not to mention quite unlucky and clumsy(""You are,with no doubt,the worst pirate I've ever heard of"" ""But you HAVE heard of me!"").It's got all the elements of a classic pirate movie,elements that would give this flick a 9/10.So,why am I giving it a 10/10? The answer is simple:Captain Jack.From the moment he makes his entrance,justly included in the Empire Top 10 Entrances of all time,we know he's the reason people will keep watching the movie.He 's Depp's best non-Tim Burton-character ever,and I can't wait 'til he returns.See you next summer,Captain!",False
2,9,Bloody Brilliant!,rising_star-42,n/a,15/08/2025,"Pirates of the Caribbean is a well-written, well-made, and well-acted film. Do not expect a simple action film; it is humourous and creepy, fascinating and thrilling.  Like most films, there are a couple of holes here and there in the fabric of the story; but this film wasn't made for the Oscars, it's meant to entertain and it succeeds in full at that.  It's a jolly good time with some good actors (and great Academy Award Winner Geoffrey Rush) and high adventure on the high seas.  Not to be missed!",False
3,8,Surprisingly Good,Brad2002,n/a,15/08/2025,"Although I had expectations ( from watching the trailers ) that this might be a good movie, I was still surprised that it's as good as it is. The story is actually more complex than I had expected, involving cursed pirates and their quest to rid themselves of the curse. I won't say more than that so as not to spoil it if you haven't seen it.There aren't as many action scenes as I had thought there would be in a pirate movie, but the ones that are in the movie were very fun and enjoyable. After seeing it, I think it had the right balance of action and drama. There are also, of course, a lot of funny bits interspersed between the action and drama. Some really good special effects also add to the enjoyment of this movie.I wasn't much of a fan of Johnny Depp until I saw this movie. I think he deserved to win the Academy Award for best actor. It's largely because of his performance, IMO, that the movie was so good. Most of the supporting cast did well, mind you, just that Johnny Depp stood high above the rest. I did find Orlando Bloom's performance a bit wooden, but other than that the acting was good.Basically, it's a really fun movie and I'd give it about 8 out of 10",False
4,10,Depp for Emperor?,eak-1,n/a,15/08/2025,"I am nearly fifty years old. A sober grown man. With children. Children with whom I have now sat through hundreds of movies. Many of which I have enjoyed. And I am not completely hardened in my sophistication. The opening music to The Lion King brought tears to my eyes when my little ones were but wee tots. But still, these are after all just children's movies. In another life, I would never have seen them. And, really, one can't take such movies too seriously, can one?And so, this summer, after the ritual badgering, I dutifully trudged into yet another Disney ""adventure"" movie. Named after that tired old ride in Anaheim I first went on in 1965. I mean really, how much can you expect?And then, it happened. The swirling intoxication. The stunned feeling. What? Who? How? Was this a movie? Or a religious experience? Perhaps more like an addictive experience...I cannot remember ever willingly paying to see any movie not starring a relative of mine more than twice, and I can count those movies on one hand. I have now seen ""Pirates"" four times. The only thing keeping me from seeing it again is the sense that this whole thing is just getting out of hand. I cannot get enough of it. It's like walking into a painting that you never want to come back out of. My children ask, with a note of concern in their voices, ""Dad, you really like Pirates of the Caribbean a lot, don't you?""And that Depp fellow. My God. I never had any idea who he was, but his name sounded like something created for a pubescent cover-boy for magazines published to hook thirteen year-old girls on make-up and bad music. Wasn't Depp the name of some hair-goo product back in the 60s?I am a straight male. I have several good friends who are gay, but have never fantasized about any gender but the female. But now I understand how women can experience swooning crushes on male film stars. He is simply extraordinary. So sly, so seductive, so canny! I read an interview in which Depp said he went through a slight depression when he had to stop playing Captain Jack Sparrow. I can see why. His inventiveness and sheer pleasure in inhabiting the character come through in every frame. How can I admit to my children that I now troll through fan websites about a former teen heart-throb?I often don't even watch the Academy Awards, and I certainly never have any emotional investment in who wins.Except for this year.Go Jack.And, in a time when many big-budget movies are little more than a hodge-podge of loosely- connected ""money shots"" this movie puts all the pieces together, with a sense of fun and light-heartedness in special effects that are simply dazzling. I find myself laughing with dizzy appreciation when Barbossa barks out, ""You'd best be believing in ghost stories, Miss Turner, you're in one!"" and the grinning skeletons come into view, with Badelt's pounding score keeping time to the beat of their maniacal deck-swabbing. And then there's the scene of the pirate-ghouls slithering up from the darkened sea on the mooring cables of the Dauntless, like infernal cats stalking their prey.And now to the music. I can just hear the effete aesthetes dismissing this score, as Mr. Zimmerman anticipates with his winking ""overproduced by"" credit on the cover-liner. ""Bombastic."" ""Overdone."" ""Absurdly Stupendous.""Well, perhaps it is, for those who spend their lives evaluating such things. To me, it is absolutely transporting. I first listened to it while doing a work-out on a rowing machine and found that I tripled my usual distance. It was like mainlining some hazardous tachycardic amphetamine.Once again, the children were wondering, ""What's up with Daddy? Is he OK?""Perhaps I am just losing my grip, having an adolescent movie get to me this way. But when those final credits roll, and Captain Jack narrows his eyes and says, ""Now, bring me that horizon. Drink up me hearties, yo ho"" and the music swells ... it is difficult to put into words the effect it has.At this point my children have to yank me forcibly from the theater, lest I persist in watching the credits to the bitter end, and bid good-bye to the little monkey once more, wiping tears of exultation from my eyes.This is not just another ""entry"" in the summer blockbust sweepstakes. It is an exquisite work of fantasy and inventiveness, a true classic, on the order of ""The Wizard of Oz."" I do hope Depp's performance garners not just awards, but a place in the pantheon, something we old fogies -- and our gently fogeying children decades hence -- will show to our children and grandchildren like a revealed treasure. I cannot recall any movie having such an effect on me.",False
5,10,Amazing,BelisariusOU,n/a,15/08/2025,"Yep, 20 years late with a review. But give me a break, i was a kid back then.
Anyways this movie is amazing. It is original, full of twists and turns, fun, funny... It deserves 9 stars. However considering the fact i had to lower criteria for 'modern' movies made in the past decade, i have to give this a maxumum rating because compared to them it should get 15/10 stars.",False
6,10,Johnny Depp is fantastic!,0U,n/a,15/08/2025,"Awesome action and swashbuckling adventure, great music from the likes of Hans Zimmer, good visuals and Johnny Depp's hilarious improvisational performance as Captain Jack Sparrow (the other performances are good as well but Depp's the highlight and you damn well know it) make the first Pirates of the Caribbean adventure a fun action flick that's not only a great first non-Touchstone/Hollywood Pictures/pre-2006 Miramax & Dimension PG-13 Disney movie but also a much better movie than a movie based off of a THEME PARK RIDE has the right to be.",False
7,9,"""That's got to be the best pirate I've ever seen.""",classicsoncall,n/a,15/08/2025,"SpoilerIf you're ever in the mood for just a flat out entertaining flick, you can't go wrong with 'Curse of the Black Pearl"". I wasn't writing these reviews when this movie first came out, didn't even know there was such a thing as IMDb. So I'm finally getting back to it this many years later and even though I'd forgotten a lot about the story, I was blown away all over again by the outrageous antics of Captain Jack Sparrow and those transition scenes where the skeleton pirates manifest in the moonlight. In fact, the story itself might be incidental to the special effects and physical stunts that highlight the action in the film. Johnny Depp of course makes the movie with his swish-buckling (yeah, I misspelled it on purpose) approach to the character, and you couldn't ask for a more fetching lady in distress than Keira Knightley, although she managed to hold her own against most of those menacing pirates quite nicely. Orlando Bloom and Geoffrey Rush round out the rest of the principal cast, and each did a superb job. I've never gotten beyond this movie's sequel, 'Dead Man's Chest', but watching this one again inspires me to go forward and check out all the rest.",True
8,n/a,Why is the rum gone?,n/a,n/a,15/08/2025,"A damn good movie. One of the best of 2003 in my view.This movie made me laugh, and it really pulled me in.At first I was afraid this would be another bad Pirate movie. I went to see it anyway, as I've always loved the legends of pirates, and I love adventure. I saw it once. Then twice. Then Quadrupul. Then six times. And one more 7. And now I eagerly wait for the DVD in Australia.What i'm saying is I couldn't get enough of this movie. It was so well done.Johnny Depp was hilarious a Jack Sparrow, and acted like a true Pirate. His obsessive drinking antics, and his walk really brought out this chaqracter. Plus he made character we could all love and enjoy, that deserves an Oscar in my view.Geoffrey Rush played Barbosa the bad guy. Who turned out to be quite a good bad guy in my view. He showed real potential, and I loved the way how he manipulated people.Keira Knightley plays Elizabeth, the governor's daughter. Prisoner of the Pirates. She is quite momorable in this role, and is a great jump for her evergrowing popularity.Orlando Bloom plays Will Turner. A simple blacksmith, who is also a well trained swordsman. Who is in hot pursuit of saving Elizabeth from the Pirates.The more memorable thing about this though is the curse. A well thought out curse. That can always lead to sequel or a prequel. You'll see what I mean when you watch it.The story is based on these Pirates who happen to be cursed, and they want to rid the curse. To do that they need the blood of a pirate, not just any pirate but the son of Bill Turner- William Turner. Mistaken for Bill Turner's child the pirates Capture Elizabeth, and take her hostage, while William teams up with a Rogue pirate, Jack Sparrow, who is on a streak for revenge against Barbosa. While all at the same time are being chased by the british fleet.A great adventure. Well played swordfighting. Great laughs. Great music. And great story. Pirates are back in my good book.",False
9,7,A true adventure,briancham1994,n/a,15/08/2025,"This film is the epitome of a solid action-filled adventure. It has a straightforward and fast-paced plot that drags you in, propelled by a charming lead, witty jokes and compelling special effects. It roars along with gusto and thrills the audience from beginning to end.",False
10,9,"""You better start believing in ghost stories. You're in one.""",mark.waltz,n/a,15/08/2025,"SpoilerWhat a great line to describe probably the greatest pirate movie ever. Certainly, it isn't perfect, a bit over the top, yet filled with characters that you love to hate or you can't resist rooting for. Thanks to the performance of Johnny Depp as Captain Jack Sparrow, this has become a long-lasting franchise of the Disney cannon with the many sequels that followed up, which aren't as good, Jack has remained consistently strong in the ones where he was given a great opportunity to show off his huge talents.Johnny was justifiably nominated for an Oscar for his performance in this, and is ably supported by Geoffrey Rush as the ghostly Captain Barbarossa and Orlando Bloom as Will Turner (brought up as a pirate until he was rescued at sea as a child), and Keira Knightley as Elizabeth Swann, the daughter of the governor of a Caribbean island.In his performance, Depp gives several insights into the real character of Jack Sparrow, and it is debated whether he was just an eccentric drunk or possibly gay or bisexual. Certainly, the slaps he gets from various women throughout the film debate the second point, but other insinuations indicate that possibility. Sparrow and Turner are rivals at first until they must join forces to rescue Elizabeth who is kidnapped by Barbarossa. She goes through a frightening sequence when she learns of who they really are, and that brings terrific elements of horror into the film.Fans of the Disneyland ride will be gleefully surprised to see various elements of it from the drunk man sleeping with pigs, the jailed men trying to get a dog to bring over the key or the various battle fights at sea. They are spread throughout the film so you don't feel like you taking the ride and then gone back into a plot, so it makes it fun for experienced riders of that tourist attraction as they pop up.The terrific makeup, costumes, photography and music adds to the sensational performances. This takes the best elements of all the classic pirate movies (from ""Treasure Island"" to ""Captain Kidd"") and adds a reality with the violence and filth and crudeness, but somehow, some of the pirates (especially Sparrow) are quite loveable in a strange way. This is non-stop action, filled with humor both physical and verbal, and some of it in spite of the lack of etiquette of the characters is subtlety classy. I can see myself returning to this every couple of years because certainly, like a trip to Disney, it's a ride that you don't want to miss when you have the opportunity.",True
