Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,7,Entertaining but oh so problematic,filip_m91,n/a,16/08/2025,"SpoilerI want to start out by saying that Son (unlikely but I hope he sees this), is so unnecessarily mean and harsh. He makes me want to egg his house to put it VERY lightly.As for Nikky Paramo - for someone who preaches about attitude, hers is pretty gosh darn garbage. It makes me want to egg her house too. The scene where she criticises Hinari shows her complete lack of pedagogical sense. It's honestly gross to watch. It's one thing not to mince your words, it's another to deliver criticism like a train wreck. It just goes to show that being good at something doesn't automatically make you a good teacher. She can dance, but her teaching is a piece of work.Anyway, it was an entertaining watch overall, but the lack of sincerity and clarity on what was happening was so problematic for so many reasons. My heart broke many times for the girls, and I wish them all a beautiful future, and I hope this experience hasn't left lasting trauma because although I'm only looking from the outside, 14 year old me would not have managed an environment like this.One of the things they did well was implement a therapist to manage the girl's stress and anxiety (Props to you Dr. Wetter!). But that should have been there from the start. Whoever managed this project needs to get schooled on project management before they're EVER allowed to manage a project of this size again, especially if it involves young and impressionable girls.",True
2,7,Wrong people eliminated,theprincessrose,n/a,16/08/2025,"SpoilerThis was an entertaining documentary detailing the long and sometimes cruel process of training to qualify for a hybrid English-speaking k-pop girl group. It's a shame that the final results did not include several of the girls with the most natural talent or hard work and dedication. It was most disappointing to see Adela, Emily and Iliya go home. Hopefully, they band together and form their own group or create successful solo careers.It will be interesting to see if Katseye succeeds as a recording group... they will certainly get a big boost with the global Netflix series. Wishing best of luck to the girls that made the team, and hope their music continues to focus on women's empowerment.",True
3,7,Dystopian but Entertaining,melissamariekrall,n/a,16/08/2025,"SpoilerI'm a huge fan of sports documentaries, especially dance-related, so this felt like it was right up my alley. And it was, up until it switched to a survival show. There's a cruelty to this show. Tearing these (very) young women down and pitting them against each other, engineering drama for the plot. We know all reality shows do it, but there was something disturbing about it being so laid out by the so called ""executives"" in such a stark and honest manner. It felt like they fed into the worst parts of the audience and human nature, while these girl's lives and dreams hung in the balance. Overall, it's an entertaining but somewhat dystopian show. It reads less like Making the Band and more like Black Mirror at certain points. None of this should take away from the participants, who are all clearly very talented. I loved watching their progression throughout the series and found their dedication to be inspiring.",True
4,7,Season 1,Martin_Pyramid,n/a,16/08/2025,"I prefer survival/talent reality shows when they focus on the hard work of their participant so this one really hits the spot. There's a refreshing lack of drama but a huge focus on how difficult and full of sacrifice the K-pop Industry is. It does feel unfair sometimes since the participants are really young and were clearly not prepared for how difficult it would be. I would still appreciate more complete performances, it was always like a teaser of them and I have no interest in checking the full performance on the internet.I appreciate how honest the production was there, they told you right on camera that if they did this is because it would work well with the audience even if it seemed unfair.Speaking of production some of the managers always looked like on the edge of a burn-out, they don't really talk about that but you can feel how tiresome it was for the multiple managers there.I won't follow the final band, K-pop is not my thing but they definitely deserve a career for their talent and dedication.",False
5,6,Amazing training opportunity,tomwatts-52260,n/a,16/08/2025,"I marveled at what an amazing training opportunity this was for the tremendously talented girls aspiring to be professional entertainers. 1-2 years of coaching every day by the industry's best. Seeing how the coaches polished the participants who already had natural talent, and in most cases, many years of training already reminded me of the many levels between better and best.Is it good television? It is a documentary of two major entertainment companies investing in a project with potential billion dollar returns. Every decision made is a business decision, with the girls as business inputs. Nevertheless, I appreciated getting to know the trainees.Some of my favorites did not get chosen in the end. Good luck to both those who made it in the group and to the ones who didn't make it, who no doubt will go on to successful careers in the entertainment industry.",False
6,9,Competitive Popstar Competition,myoung-41961,n/a,16/08/2025,"Redundant title, but that's the point. Watch it if you like reality tv, competition shows, cliffhangers, and twists.The show has a very unique perspective. I came into the show after I discovered Katseye. I personally loved building a deeper appreciation for the newly formed group.Some aspects were slow. The competition itself does not start until episode 5, and the first 4 episodes consist of the training before the competition starts. This makes you build a connection with the girls that have been there at the beginning of the bootcamp.I've only watched singing competitions; I like this more. It takes a lot of dedication and hard work to be in a girl group and this shows that hard work. The show also displays how dedication and hard work are the basics. There are 5 categories to consider such as Dancing, Singing, and Star Quality. This becomes more prevalent when the girls start to compete against each other. Unfortunately, the girls don't really understand until the competition really starts.Is it cruel? Maybe, but the audience needs to decide it for themselves. The twists may push some girls over the edge. I was on the edge of my seat due to twists and cliffhangers. Despite knowing who makes the group I did have the occasional trainee that I was secretly rooting for. You'll never see the twists coming.Just like any competition/reality show, there's gonna be drama. It's easy to pick a side but every result has an underlying reason.Overall:
I liked the perspective and execution of the show. In the end, despite already knowing the results, I was crying for one of my favs that didn't get in. It really takes you through all of the emotions and perspectives, so if you feel a certain way then this show did its thing. I wasn't planning on crying but the music and timing really had me crying then happy for all of my favorites. If I could rank on making me feel something alone it would be a 10/10. However, the show is slow. I think it's valid to criticize the show for not telling the trainees it was as a competition show until the 5th episode. Then I go back to loving how intentional every aspect of the show was. I really only removed 1 star because I wish episode 1 started with the competition versus the very beginning of this training bootcamp. The title of the show is accurate, but I wish it was just ""PopStar Competition"". Or, ""Popstar Academy to Competition"", which is wordy but is more accurate to the show. Instead it focused on the origins on Katseye. It's easy to be confused by the rules for each mission but I recommend making sure you understand the rules before watching the elimination rounds or you might find things unfair. Again, everything is intentional.Shoutout to the Philippines 🇵🇭",False
7,7,Solid reality,JonyVeana,n/a,16/08/2025,"All 20 girls are so talented and Im sur everything's is going to work for them, overall the show is engaging and fun to watch and the performances and the music isa plus.Its a shame everything that's happening with Hybe and i hope everyone can be happy, including the newjeans girls, the 6 winners are definitely amazing with Lexy for me they were the most all rounder girls in the whole survival show.The final girls are going to go big im sure because we the people were the one who choose them and we are kinda experts in kpop after years if listening music and watching the choreography so we choose well.",False
8,7,"Wild finalle, poor sick talent woman great push through",UltraNeptuneCat,n/a,16/08/2025,"SpoilerMonae, or however you spell it, wish she didnt stay. Im glad she straightened up and I dont actively hate her outside of the show but. She was arrogant like they said because she had some natural talent that she didnt really sharpen till the end.I think the girl who really pushed toward the end when she was sick, great work that was so challenging especially when you get covid.You get a lot of depth, and rules and what happens in training for these groups, and while its a little bit saturated of a market and this is part of their stradgie get more eyes on their group keep them going, its just really cool to know in general.All these group members were so talented, and im crushed abele was voted out. The voters got limited vision and if they saw everything in this documentry they would of voted the right people out. Fun fact now, this group is still going and did a song or something related to monster high latest media.",True
9,2,LOVE THE CONTESTANTS! HATE THE MAKERS!,jules000,n/a,16/08/2025,"Love seeing al the contestants be so nice to each other and form deep relationships, they all worked soooo hard!!! Huge respect!Hated the fact that all these lovely people did not know what they signed up for and got lied to by the makers of the showThe makers said things like, fans want drama and the show needs itNO WE DON'T WANT DRAMA!!! WE WANT TO SEE GIRLS FOLLOW THEIR DREAMS, HYPING EACH OTHER UP, HELPING EACH OTHER, they did exactly that, But the makers ruined itThis show missed the mark, it wasted it's own potential by choice, could have been a great launce for a new gil band!!!",False
10,1,Social Experiment,tpceebee,n/a,16/08/2025,"Taking young girls, lying to them, manipulating them and overworking them is crazy twisted. This does NOT paint the label or the executives that approved this project in a good light. Towards the end felt like the teachers were trying their best to damage-control the girls' mental healths in the face of the horrible executive decision-making. Feels like I'm watching some kind of twisted social experiment - barely feels legal to treat anyone like this, let alone under 18's. I didn't care at all about who ended up in the group by the end and just felt bad all round for all of the girls that were subjected to 2 YEARS of this. This is a lesson on how NOT to build a lasting global pop group.",False
