Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,An extremely good movie that superseded my preconceptions about the animation style it is presented in.,beardyfriesen,n/a,15/08/2025,"A few years ago I would have tossed this film into a collection of movies I like to call the rubbish pile. Recently, however, I have forced myself, with great difficulty, to open my mind and look at the entire picture. Instead of focusing on one or two aspects of the movie I do not like and formulating a biased opinion based on my hasty and clouded notions, I can now decipher both the good and bad points of a given flick. Upon watching Princess Mononoke, I must say I first thought it would be very difficult to look past the animation style and see it for what it was- a dynamic film directed be the highly acclaimed Hayao Miyazaki. After about ten minutes of dwelling on the follies (and there are, in my opinion, many) of the ""anime"" style of art, I became enthralled with the quickly unfolding plot and the subsequently dire fate bestowed upon Ashitaka, the protagonist of the film. After Ashitaka leaves his village to search for a treatment to remedy his affliction, I no longer cared that this was an animated feature; I was on the edge of my seat, wondering what would happen next. I no longer disliked that every character had abnormally large eyes (though not over-sized to the point of utter absurdity) or that the English overdubbing was a little choppy. In fact, I even began to enjoy the accomplished yet subtle computer generated effects interspersed throughout. By the last half hour I was hooked to the screen, eagerly awaiting the conclusion I wanted so badly to end the bitter conflict of the plot. By the end, I realized that this movie carried a powerful moral with it: man's continuous tampering with nature brings about as much savagery as it does progress, as much suffering as it does good, and that a sound compromise must be struck between nature and civilization. I do not harbor any negative feelings towards those who rated this movie poorly, as I used to be one of those people. All I have to say to them is this: look at a both the visual and symbolic attributes of a movie before rating it harshly. If, after observing all these features and idiosyncrasies, you still wholeheartedly hate the film, then by all means give it a one. After all, what would the world be like if we were all did not criticize or question our surroundings?",False
2,9,Palm Oil Forest Demons...,Xstal,n/a,15/08/2025,"... and arable desert dust bowl aliens. It seems our intent to unbalance, upset, bias, distort and thoroughly irritate Mother Nature knows no bounds. I'm curious of the curses and phantasms this great animator would conjure against Homo Ignorantia in todays world, spectral beasts perhaps, to unite alongside the current pandemic sent to warn us off the path we're so resolutely set on taking.As engaging a narrative and animation as any you'll come across, with enough to keep you pessimistically in despair of the curse the people of the world are to the lifeforms we share resources with on this planet we call home.",False
3,8,Riveting and marvelous cartoon movie by the genius Hayao Miyazaki,ma-cortes,n/a,15/08/2025,"This magnificent cartoon movie concerns Japanese legends , it begins when Ashikata, a prince warrior is wounded by a cursed giant boar . He attempts to encounter some way to heal incurable curse inflicted . Ashikata saddled in his red deer goes to the east, where finds the Iron Town , ruled by Lady Ebosi confronting Sam , the princess Mononoke, a human girl raised by wolves . Ashikata encounters in the middle of fighting among the forest animals : large wolves, giant boars and humans : emperor Mikado soldiers , Lady Ebosi soldiers and Shogun army . Furthermore, in the forest finds the deer god and spirits called Kodamas .This wonderful film is plenty of fantasy , adventures, drama, spectacular combats and with ecological message . The picture is narrated with sensibility and sense of wonder and quite entertaining, though isn't apt for small kids but contains graphic violence . It's a deep critical about nature exploiting and killing the forests for the encroaching civilization represented by an iron mining town that cause a damage environment . This stunning film, though a bit too long, converted the first of any kind to gross over the box office in Japan and around the world. The motion picture was splendidly realized by Hayao Miyazaki , he personally corrected or redrew more than 80,000 of the film's 144,000 animation cels . Being accompanied by sensitive music score composed by his usual musician , Joe Hisaishi. Miyazaki also directed other excellent cartoon movies as ¨Howl's moving castle¨ , ¨Chihiro¨ , ¨Porco Rosso¨ and ¨My neighbour Tororo¨ . Rating : Sensational and fantastic , it's a masterpiece cartoon movie.",False
4,10,Allegory on the balance between humans and nature,TanjBennett,n/a,15/08/2025,"This seems to be Miyazake's most personal work, clearly a serious design. It is set in an imaginary time which blends the time of the ancient gods (Shinto style, gods of place and nature) with the settlement of humans and the coming of metalworking and war.  The world is not in balance, and a distant conflict between industry and nature has wounded one of the gods of the forest, which is then killed by a sentry boy as it rampages into farmland he guards.  The evil controlling it transfers to him, beginning a slow takeover, and he must journey to the origin of the conflict to find a way to cure himself and incidentally, as he will learn, to try to restore balance.  But this is not a simplistic tale, he finds there are other characters in play, and there is good and evil in everyone, and no easy balance.  The Princess (Hime) of the story is a mysterious human who has been raised by wolves (which are themselves powerful forest gods, a little reminiscent of the Amerindian Coyote myth), who becomes both his ally and his enemy.  The story is not easy to understand.  It has many Japanese mythic elements but even then, it is a work of Miyazake's unique imagination, and is not intended to be simple or to have a clean resolution.The animation is spectacular, and unusual, with new elements even for Miyazake and marks a new departure for style which you can see continued in his next film, Sen to Chihiro - more nature, more wild, more jamming on elements from Japanese myth and folklore.  And, continuing the trend to be more personal, concerned with ethics and character, and less sci-fi. There are at least half a dozen well developed characters threaded through the story, and their animation is wonderful in displaying subtle character.The original Japanese soundtrack has some amazing singing and draws upon some of the best talent available for voices - in Japan, Miyazake is universally known and this was a masterpiece carefully crafted.  Japanese television documented a lot of the production.  The English translation drew on some good talent but they seem not to have ""gotten it"" quite so intensely as the Japanese crew.If you haven't seen Miyazake, give it a try (but maybe look at Sen to Chihiro first, or even Laputa or Kiki's Delivery Service, for easier and lighter introduction to his work).  Some say he is the Japanese Disney, but I don't like that.  His work has a depth and sophistication that goes beyond Disney cute.  There is no other animation like it.  This is truly an adult work: children might like some of the visuals, but I doubt that many kids below teen age will have any idea what it is all about, and even adults will get more out of this each time you see it again.",False
5,10,A true work of art that takes animation to an entirely new level,alvaradj,n/a,15/08/2025,"I saw Mononoke Hime on its USA release back in late December 1999 under its U.S. title Princess Mononoke.  I had read quite a bit about this film and its director but was still totally overwhelmed by the beauty and brutality of this movie.  The complexity of this movie is something never seen in the United States in an animated movie and even exceeds that of most live action movies as well.  It combines love and hate, war and romance, nobility and deception in ways rarely seen in movies today.  Lines of good and evil are anything but clear cut and in the end is hope but no guarantees, no promises.  This is truly an adult movie but my children, ages 12 to 15 all loved it and talked about it for days later.  Even my wife who holds a strong prejudice against Japanese animation enjoyed this movie.Go and see this movie.  You won't be disappointed.",False
6,10,Very touching movie!,misty6767,n/a,15/08/2025,"The first time I saw Princess Mononoke I was completely moved and surprised. Since it was a Studio Ghibli film dubbed by Disney I liked the fact that it wasn't a ""they all lived naively ever after"" film. There were no complete ""good"" or ""bad"" guys. Even Lady Eboshi the most antagonist character in the movie had a reasonable motive for trying to get rid of the animal gods and cutting down the forest. Although it her actions were environmentally damaging and wrong in general, she did it to help her people survive which is what all the species on Earth strive for. Another wonderful aspect of the plot is that it sends a message - Protect the Earth and all will survive in peace - a message either discreetly or strongly portrayed in many of Miyazaki's films. Perhaps the portrayal of this message (and the tiny hint of San and Ashitaka's romance and Moro's views on nature) was what made the film so touching to me.Like many Miyazaki movies, the animation (as always) is wonderful and nicely detailed which is also another quality that genuine Disney films lack (thank goodness for Studio Ghibli). The music was beautiful and well suited to the movie.The only predicament to the movie is that it is a bit downbeat and does not contain much happy laughter (oh well, I can watch My Neighbor Totoro - also a good movie - for happy laughter.).10/10 - And my favourite movie of all time.",False
7,10,one of the best films i've ever had the chance to see,zetes,n/a,15/08/2025,"Princess Mononoke is, without a doubt, one of the best films I have ever witnessed. There has never been an animated film even close to this -- I kept thinking after I left the theater, how can Disney even have the guts to make another film after seeing this? Even live action movies pale in comparison to Princess Mononoke. There has never been a film to pay such close attention to details. Watch for the magnificent and subtle flying insects throughout the film, especially in the ancient forest, where bioluminescent dragonflies glide gently around the screen. There are thousands of subtleties such as this. You'd have to see it a dozen times to appreciate this film fully. Aside from it being the most beautiful film I've ever seen, it also has an enormously powerful script. The characters are some of the the most well rounded in all film. Ashitaka especially, the main character of the film, is so nuanced that he has become in my mind one of the great characters in film, up there with Charles Foster Kane and Jake LaMotta. I would compare him to Freder, the main character of Fritz Lang's Metropolis. His role in the film is a mediator between the forces of humans and the gods of nature. Both sides comment several times that Ashitaka must be on the other side, when he is trying desperately to convince everyone that there are no sides. Peace is the way. There is a little to be desired in the American voice talent. Claire Daines was certainly a wrong choice for San (Princess Mononoke), and Billy Bob Thornton just could not hide his southern accent, which made the character of Jigo seem more comical than he was probably supposed to be. Gillian Anderson's voice clashed with her character, the wolf god Moro, a bit. It hardly affected my passion. The film was so spectacular and beautiful that James Earl Jones could have voiced San and it would have detracted little. Definitely, though, I'm praying that they release the DVD with subtitle options. Anyway, Princess Mononoke is the best film of 1999, the best film of the 1990's, and, in my personal top ten list, no lower than #5, but closer to #2. 12 hours later and my heart is still beating with the power of Princess Mononoke! America: SEE IT!",False
8,10,Stunning and sharp (in any language),seamas,n/a,15/08/2025,"I saw this film in Japan, in Japanese with no sub-titles, I don't speak a word of the language and I was still enthralled!  It is Miyazaki most visually intense (surpassing, at long last, Nausicaa) and is alive with color and movement the like not yet seen in anime.The story is complex, and after talking with Japanese friends, it is clear that much of it went over my head (particularly that relating to specific Japanese myths), but the important elements came through. Miyazaki's long infatuation with technology verses nature and man's relation to God (or gods) weave throughout the film as does his trend for strong women characters.Even with the language barrier, the film is of such intense emotion that it caries you through to the end. The change in dynamic between the crashing fight scenes and the quiet scenes of healing by the lake is so broad and so well paced that I can't remember a film where my emotional state was so expertly varied.If you have a chance to see this film, in any language, I recommend you do.",False
9,10,Japanese JEWEL,belis_kikyo,n/a,15/08/2025,"Fantastic film! It makes me speechlessly. Good dialogs, beautiful soundtrack,incredible animation effects (take a look at the rain, at the movement of the grass, hear the sounds of the steps) and interesting characters,who are everything but ordinary. Ashitaka is captivating (what a strength, what a heart, what a soul!); San (the Princess Mononoke herself) is intriguing; and Lady Eboshi is ambiguous -is she the villain? I don't think so. After all, who can blame her? Don't let the over exploration of themes related to ecology discourage you. Go ahead and watch Mononoke. It's a totally new way of treating the conflict between men and nature, which is far from its ending. Definitely, a jewel among the predictable animations of Disney and Pixar's also predictable jokes. There are no jokes here. TAKE A LOOK AT IT!",False
10,10,"This film has ""raised the bar"" in the world of animation.",HeyMrPiccolo,n/a,15/08/2025,"I have seen many many animated features, but none compare to the talent that is shown in this anime. After seeing this for the first time, I could see why so many animators (especially disney animators) consider Mr. Miazaki a GOD! His animation style has the best ""flowing motion"" I have ever seen.The American dubbing team, whoever they are did an excellent job picking voices, they got top notch actors to do the job right (unlike most animes today). They even took on the hair-pulling task of RE-ANIMATING the mouth movements to match!This is by far one of the best films I have ever seen.",False
