Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Women who fought for the truth,comms-92709,n/a,16/08/2025,"Fascinating documentary on the women--local mothers, a waitress, a young lawyer--who fought efforts to downplay the accident by the nuclear industry and the federal Nuclear Regulatory Commission.Their efforts led to hearings that cast doubt on officials' statements--for example, it turns out no one knows how much radiation was released because the sensors atop the towers were pushed past their maximum limits--and led to the federal prosecution and conviction of the utility company for falsifying records.The film notes that more such doubt is cast by recent peer-reviewed, journal-published research. One paper shows that cancer rates are higher where the radioactive plume fell. Another paper explains the disparity between official expectations of illness and the observed higher rate--in part because the expectations accounted for short-lasting gamma radiation and not fat-soluble beta radiation.The film notes that the efforts of these women did not stop the reopening of TMI after six years--but did help scuttle more than 100 planned nuclear plants.Well worth seeing.",False
2,9,Engrossing Documentary with Engaging Characters,steeplechaser,n/a,16/08/2025,"This movie tells the story of the women who fought back against the official response to the disaster at Three Mile Island. Focusing primarily on the efforts of four women who led the local community's protest, and a fresh-out-of-law-school lawyer who took a lawsuit all the way to the Supreme Court, it is both an indictment of the nuclear industry and its regulators and a personal story about real people.I saw this at a local film festival and was expecting an amateur production or agitprop. But it's anything but. Rather, it is expertly filmed and carefully edited, splicing slice-of-life portraits, interviews with experts, and historical footage. It makes a compelling case that not only was the leak at Three Mile Island a cover-up that led to drastic spikes in cancer rates upwind of the site, but also that the official response to the leak was a travesty of justice against, and a personal tragedy for, the victims of the accident.But what makes this film so compelling is how human it is. I found myself pulled into the lives of the people in this community, saddened at their tragedy, rooting for them as underdogs, and uplifted by their dogged spirit. The audience around me was rapt, sometimes in tears, and standing in applause at the end.",False
3,9,An inspirational story of women who fight back!,suzannekbamford,n/a,16/08/2025,"A never-before-told story about the women who fought the Nuclear Industry and their BIG LIE. They could have been warned but instead were kept in the dark, even after the Three Mile Island disaster occurred - putting their lives and their children's lives at risk. But they didn't slink away into darkness. They took on Goliath.The film's director clearly built close relationship with the women who opened their homes to her, and she then interviews experts in the field to fill out the story. Cancer rates in that area are through the roof, and the suffering is horrific. And all of that could have been avoided if our government and big business believed in transparency.",False
4,10,Women Speak Truth to Nuclear Power,yaelsandler-29873,n/a,16/08/2025,"This enlightening documentary exposes the political, emotional and physical effects on those living in the vicinity of the 1979 Three Mile Island Nuclear Disaster. The caring, concern of producer, Professor Heidi Hutner, explains how these four empowered mothers grappled with mis and the lack of information and so become politicized in order protect and preserve the welfare of their families. The facts and legal entanglements of these issues are sincerely recounted by the reporter and lawyers who attempted to uncover the truth. The women in this film speak loud and clear and still the physical effects remain obscured by the nuclear industry. These women's legacy to us, as women, and in fact as humans, is our own mission for today to seek truth about nuclear power, before we too have to deal with the fallout.",False
5,10,New Perspective on Three Mile Island,jessi9,n/a,16/08/2025,"I learned so much from ""Radioactive"" about the Three Mile Island disaster. I left the movie with a new perspective on the disaster itself. The film presents information I'd never heard before about the radiation exposure that people experienced. It also sheds light on the government and industry response to the disaster. The film mentions ongoing scientific research into the lasting effects of the exposures, and I am curious to learn more as that research develops. It's a must-see for anyone who remembers Three Mile Island, who lives near a nuclear power plant, or who is interested in nuclear policy.",False
6,10,Standing Ovations,electricity2,n/a,16/08/2025,"This film has been shown at two festivals so far, one in NYC, one in DC. I attended both, and in both it received standing ovations from the audience. Meticulous in reporting the science and the facts, it does an even better job capturing the emotional tension of four mothers taking on the federal government and corrupt corporations that were pushing the fake narrative that there was ""nothing to see here"" at Three Mile Island.Calling the corporation ""corrupt"" is no exagerration, since court cases the women brought proved a pattern of falsifying documents, cheating on licensing exams, and lying to regulators.Those government regulators also continue to lie to the public about the radiation released at TMI and the health effects on the downwinders, again as documented in the movie.Anyone who is thinking about drinking the radioactive kool-aid the Biden administration is offering in the form of tax payer support for the nuclear industry needs to watch this movie and learn about its decades of lying and cover ups and cheer at the bravery of the women who exposed it.",False
7,2,Living with paranoia for decades,CCharlesIC,n/a,16/08/2025,"😢 What a sad joke.Yes, radiation was briefly released, roughly the equivalent of a single Xray - if you were exactly downwind & on a 30 foot ladder during the hour it was released.If the paranoia of this film were correct, the hundreds of workers at both reactors & their nearby families would have been greatly affected. Instead, the other reactor continued normal operations until 2019 - 40 years later!I've no doubt rumors & empty innuendo have left some residents with fears, but those are groundless. It is a shame that this misinformation has terrified these persons for so long. Perhaps watching a lecture by Dr Geri Thomas would help, or the new Oliver Stone film, Nuclear Now.",False
8,10,Brilliant thoughtful and moving documentary,akoreenmdpc,n/a,16/08/2025,This brilliant movie tells the moving story of three women and their communities that were greatly impacted by a horrible nuclear accident. It is masterfully told thru interviews and scenes where the lying and deceit of the industry and politicians attempting to minimize and deny any of the risk can be seen. It unfolds beautifully under the direction of its superb writer and director and it's cinematographer. The three women and the various people in the documentary bring credibility and a humanity to the story. The reality of the horror is brought to life and is frighteningShouldn't be missed!,False
9,10,Filling a critical void,dougbrugge,n/a,16/08/2025,"This film fills a critical void in the coverage of Three Mile Island. While it is tempting to let TMI fade into the past, the impact it had on nearby residents continues to this day. Hutner has done a masterful job of telling the stories of these women and integrating it with the science that suggests that harms to health might have been greater than understood at the time. That combination, the stories of the victims together with cutting edge science is not so easy to get right and she has done it masterfully. While current research continues and the full answers are not yet known, it is appropriate to take stock and consider the risks of nulcear power even as some are promoting it as an alternative to fossil fuel combustion.",False
10,10,Enlightening Documentary with Heart,tonylombardo1,n/a,16/08/2025,"I watched this at an environmental film fest. Knowing very little about Three Mile Island, I was disturbed to learn the extent of the failings of the local and federal government and big business. The residents of the community and our entire nation were misled. Telling this story through the eyes and of mothers in the community was effective and sincere. The women brought tears to my eyes but also laughs. You see their stories play out over decades and they are truly heroes and dedicated advocates. There are fascinating science and health concerns raised (I won't spoil them here), but you will walk away from the film with a healthy skepticism of nuclear energy and the protections in place in the United States of America.",False
