Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,8,Inspiring!,MrRangos,n/a,16/08/2025,A must watch documentary. The stories were so inspiring & emotional... The journey these individuals have gone through is extraordinary.,False
2,8,Rising Phoenix is Must See,magmigda,n/a,16/08/2025,"Beautifully told stories of many Paralympic competitors, as well as the story of how parasports began and the struggle the Games have faced over the years to exist. Informative, inspiring, heart wrenching!",False
3,8,A must watch,darrenpatterson,n/a,16/08/2025,The challenges and successes of both the athletes and the Paralympics are wEll told in this inspirational and must see documentary.,False
4,10,Fantastic and uplifting,csulon,n/a,16/08/2025,"Thanks, I haven't had anything like this in a long time.",False
5,10,Best documentary ever,michaeleejiang,n/a,16/08/2025,"I was lucky to work for Paralympic movements for 6 six years. Those were the best 6 six years. I met a lot of best athletes and people on this planet. This documentary brings back a lot of good memories, and re-inspired me to be a stronger and better person.",False
6,10,Exciting,virginialeigh,n/a,16/08/2025,I am not usually one for documentaries but this one was riveting and had me sitting on the edge of my seat. Although I was surprised to find myself in tears at certain times and laughing at other times. This has forever changed my mind about the Paralympics and something that I would like to attend in the future.,False
7,10,Real Super Heroes,ashleyhonorablenet,n/a,16/08/2025,"THIS Docu was extremely engaging. Loved the weaving in of historical context throughout with old footage testifying and linking the STILL forbidden controversial discourse that our modern society refuse to have, in addressing children and adults with disabilities. With a needed dose of humility for everyone, This Docu awakens the humanity in all of us, reminding everyone that none of us is perfect and we are all Superheroes. It reminds me of the Scripture in Corinthians which implores you to remember that each and every one of us was born with a UNIQUE Gift from The Almighty, and we should NOT focus on what is impossible, but lean towards that Gift from God and you will be exceptional. Never let what you are unable to do, Overshadow what you Can Do. This Docu reminds me of the Power in ME, The Power I DO Have!!! Engaging, Uplifting and Superbly Inspirational!! Support the Paralympics👍👍",False
8,7,Inspiring!,MaverickV,n/a,16/08/2025,"Surely it is great, inspirational, and gives you goosebumps. The directors did a commendable job though it would have been amazing if they would have portrayed the stories of more 'not so known' Paralympic Warriors (I choose not to call them just Heroes). And more deeper day-2-day trials and tribulations they face and then how they overcome to reach to the point they are in, surely with the people in their lives who supported them all the way...Because my fellow humans it is NOT just about winning, success or showcasing to others - it is about conquering your own insecurities and fears and transcending them. It is about living that life of a true Warrior!But do give this a chance and you (who is in any stage or situation in your life) will be Inspired!",False
9,10,A Story Untold,kbaugh-87126,n/a,16/08/2025,"This is a really interesting film set more as a group of stories than a standard documentary. It is equal parts uplifting and engaging. The important thing here is it shines a light on incredible athletes and people who are often hidden behind able-bodies counterparts.What I found most engaging was that with each person featured, the audience got to know their story and a little about their past and journey to the Paralympics. I can agree it can feel a bit rushed, but that's only because each person's story and journey had enough meat to be its own movie. But, it seems like Parasport champions don't get these kind of fictional power stories like other athletes such as Michael Jordan, Michael Bennett, IU basketball, the 1980 US Hockey team, a horse named Seabiscuit, the Oakland As, you get the idea. These are all inspiring stories, and every on of the athletes who participate in the Paralympics can equal them.I don't agree with The NY Times narrow view of the documentary lambasting it for showing athletes at the top of their game and that using the idea that this is some sort of advertisement as a negative. Of course it is! In the best way. The Paralympics do not receive widespread attention it deserves. Look what almost happened in Rio. If watching this documentary is an inducement for someone, who would otherwise be unaware of the amazing athletes or the sports, to take interest and start following, well that's sort of the point. And this film showcases it well. Documentaries are made to bring attention to the subject matter to shine the light in a positive or eye opening way or provide commentary on the subject matter.I rated this a 10 because I really want to encourage people to see this documentary because the content is fantastic. If this was getting more attention I'd realistically rate it an 8 from a pure technical film standpoint. Some of the cuts and editing choices could have been done a bit better. It did have that feeling that they needed to get everything in this one film because it was their only chance. This easily could have been set as a short docu-series with each episode focusing on an individual athlete and overlaying the history and recent olympics. However, the content, as mentioned, was fantastic.",False
10,6,A celebration of human potential,urbanswami,n/a,16/08/2025,"The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event, despite major setbacks and the unlikeliness of the mere existence of the games to begin with -is what the plot summary should say.
The featured athletes' personal stories are inspirational sure, but I'd argue that the film's most potent message lies in the story of the founder of the Games; the man who saw and helped others to see the value of human life, the grace and beauty of the human form and it's motion, thus starting a movement that would not only challenge presumptions about disability, but also rekindle appreciation for humanity.",False
