Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Great homeschool curriculum,stacywillis-25197,n/a,15/08/2025,"We watched this film for a homeschool lesson to coincide with a habitat, ecosystem, sustainability unit for my kindergartner and 4th grader. We live in a dairy/cattle farm community and this film really wrapped a nice bow around all the things we are learning about in a way that my kids can apply it. It was very informative. I've been anxiously waiting for this to become available. Thank you for bringing this to the world.",False
2,9,Highlights Major Global Issues,info-07819-13582,n/a,15/08/2025,"I am very interested in the topic of food production, and one of the issues is the fact that it has become a plant vs meat battle, that is being played out via media, social media and various other platforms for propaganda.Being single minded or closed minded is never going to solve anything. All conflicts are eventually solved by dialogue and some give and take. The plant based activists need to realise that there is an environmental cost, a loss of life cost and a personal health cost to their diet, and that eating small amounts of meat that was raised in a natural environment is actually a win on all of these levels.From a farming perspective, farmers and more importantly governments and multi national corporations need to realise that how a large proportion of farming is currently being done is also wrong from an environmental perspective, from a loss of life perspective and from a health perspective. So when you look at these opposed stand points, the negative realities of both sides are actually very similar.So if you could stop the gesturing and pontification, the solution is fairly simple - produce food as nature intended, let nature repair the environment, stimulate life and provide healthy nutritious food regardless of whether it is plant or meat based. This film is a good step in the right direction.Remember the words of Nelson Mandela - Education is the greatest weapon known to man!!!",False
3,8,Glad for some balance!,qkhalsa,n/a,15/08/2025,Very happy to watch this documentary! The promise of regenerative farming is amazing but talked about very little! It exposes some of the flaws of the veggie movement without being all aggressive and the movie itself isn't super depressing as some of these documentaries can be. I liked it!,False
4,10,True sustainability is regenerative,steve-23-755662,n/a,15/08/2025,"This film said nothing I did not already know, but it said it eloquently, thoughtfully and beautifully. The only way humans have a future on this planet is to reverse the damage we have done to our ecosystem. Repairing anything requires first understanding it, then you have to do what that understanding tells you. There is no ecosystem anywhere on earth that does not include animals, so animals will have to play a part in the regeneration of our planet. Any system of agriculture that does not include animals is destined to fail. Thank you very much to the entire team behind The Sacred Cow, and all the farmers around the world who are helping in the fight to save our sacred planet.",False
5,10,"amazing, sober, informative, thought provoking and giving",henrikbredsdorff,n/a,15/08/2025,"Dear Diana and Rob. And all the people involved.What an amazing, sober, informative, thought provoking and giving film you have made. I am proud to have supported you and will gladly share this essential message to everyone I know. Also the vegan ones 😊. I look so much forward to this spreading across the world. It's a really important message and I sense you are driving one of the most important movements in our time.Thank you!",False
6,10,I think we need more movies like this...,cselenyi-tibor,n/a,15/08/2025,"The film perfectly reflects the contradictory views in the public consciousness. It is not easy to navigate between them, in this it helps to find the right path, following the principle of striving for balance in nature.",False
7,10,"beautiful, thoughtful and loving",jeroensluiter,n/a,15/08/2025,"Dear Diana and Robb and all participants to this wonderful movie,Thank you for your hard work.I consider regenerative agriculture to be one of the most important movements in our lifetime, and this movie makes the case in a beautiful, thoughtful and loving manner.
As Frederic Leroy has so pointedly demonstrated with his research on the concerted efforts by the ideological driven anti-meat movement represented by the World Economic Forum and the EATLANCET folks, we are up against a well-oiled, well financed propaganda machine.
I speak to you as an ex-vegan who had been influenced by what Nina Teicholz's paradigm shifting book The Big Fat Surprise has shown to be pseudo-science; the fallacy that meat is harmful.
I still at times struggle with the reality that industrial livestock operations are extremely harmful to both cattle and the environment, and it's a moral tradeoff at times. This movie really makes the point that things can be done differently, no, need to be done differently or else we will all fail.
I am grateful to all of you for your efforts, I am sure often at great personal costs, to educate the world how we can do better, for all of our sakes.Regards from Haarlem, the Netherlands.Jeroen Sluiter",False
8,n/a,SACRED COW,n/a,n/a,15/08/2025,"A brilliant and thought provoking journey. The importance of the subject must not be underestimated if farmers are to continue to be able to feed the world. Of concern is the narrative being pushed those with vested interest in the artificial meat business, including politicians. Thank you for putting out this film.",False
9,6,A Paen to Paleo,mellynuss,n/a,15/08/2025,"This film is a full-throated defense of eating meat. If you have any radical vegans in your life and need an argument to try to persuade them to abandon their lifestyle or accept yours, this film is it. I was hoping for more of an environmental analysis of regenerative farming, and unfortunately this film comes up shallow. There is only a small section on the carbon impact of beef (and nothing comparing it to other forms of meat eating). And although there is some good footage of regenerative grazing techniques, the film doesn't look at the resources consumed by beef farming or at alternative uses of resources and land. Perhaps this is necessary. The film covers a good deal of ground, from obesity to humane slaughtering techniques to restoring the Chihuahuan desert to 3rd world malnutrition. But for each topic, I found myself wanting more depth. It's hard to talk about the demonization of meat and fat in the American diet without talking about our overreliance on corn and sugar. And is veganism really the same problem as eating too much Fruity Pebbles? Is eating Fruity Pebbles the same problem as factory farming? Is factory farming the same problem as the paucity of nutritional supplements in the 3rd world? Is the paucity of supplements the same problem as using fossil fuels? Instead of a detailed look at how we might solve any of these problems (e.g. land regeneration, obesity, malnutrition, climate change), we just get a panacea: eating meat is good for everything if you do it right. That's a necessary argument if you're confronting an extremist who wants to eliminate all meat from Berkeley, CA by 2020, or if you have someone who needs reassurance that eating even a grass-fed, sustainably raised burger won't damage their enviro street cred. But if you want to persuade someone who thinks that meat is okay -- even nutritious! -- in moderation, but is concerned about land use or climate change, you'll need a different film.",False
10,10,Regenerative farming is so important,drhodeback-46539,n/a,15/08/2025,This documentary explains regenerative farming and how it's actually good for the planet. I had heard about Polyface Farm before and was glad to see they were represented. We have got to do better for this planet by supporting farmers who practice regenerative farming.,False
