Review_number,User_rating,Review_title,User_id,User_id_link,Created_at,Review_Text,Spoiler
1,9,Exceed to Excess,akpiggott,n/a,15/08/2025,"Every great gangster movie has under-currents of human drama. Don't expect an emotional story of guilt, retribution and despair from ""Scarface"". This is a tale of ferocious greed, corruption, and power. The darker side of the fabled ""American Dream"".Anybody complaining about the ""cheesiness"" of this film is missing the point. The superficial characters, cheesy music, and dated fashions further fuel the criticism of this life of diabolical excess. Nothing in the lives of these characters really matter, not on any human level at least. In fact the film practically borderlines satire, ironic considering all the gangsta rappers that were positively inspired by the lifestyle of Tony Montana.This isn't Brian DePalma's strongest directorial effort, it is occasionally excellent and well-handled (particularly the memorable finale), but frequently sinks to sloppy and misled. Thankfully, it is supported by a very strong script by Oliver Stone (probably good therapy for him, considering the coke habit he was tackling at the time). The themes are consistent, with the focus primarily on the life of Tony Montana, and the evolution of his character as he is consumed by greed and power. The dialogue is also excellent, see-sawing comfortably between humour and drama. There are many stand-out lines, which have since wormed their way into popular culture in one form or another.The cast help make it what it is as well, but this is really Pacino's film. One of his earlier less subtle performances (something much more common from him nowadays), this is a world entirely separate from Michael Corleone and Frank Serpico. Yet he is as watchable here as ever, in very entertaining (and intentionally over-the-top) form. It is hard to imagine another Tony Montana after seeing this film, in possibly one of the most mimicked performances ever. Pfeiffer stood out as dull and uncomfortable on first viewing, but I've come to realize how she plays out the part of the bored little wife. Not an exceptional effort, but unfairly misjudged. The supporting players are very good too, particularly Paul Shenar as the suave Alejandro Sosa.Powerful, occasionally humorous, sometimes shocking, and continually controversial. ""Scarface"" is one of the films of the eighties (whatever that might mean to you). An essential and accessible gangster flick, and a pop-culture landmark. 9/10",False
2,9,Al Pacino made it unforgettable,ankitbbd,n/a,15/08/2025,"Scarface is surely one of the best crime movie ever made.Al Pacino's performance as a sharp minded,angry,dangerous and powerful criminal is phenomenal.Al Pacino is playing a character which is brutal,angry,fearless and at the same time has love for his sister. Although movie is 2 hours and 50 mins long,but you will not find any dull moment in the movie.Alhough Al Pacino is playing a drug dealer but you will still like him as a person.Dialogues were excellent and there were couple of good songs in movie too.I also liked the way in which Al Pacino's character used to flirt with Michelle Pfeiffer's character.It was funny sometimes and was gentle too.I have seen many criminal movies but there is something special in Scarface.It is realistic and touching.This is Al Pacino's one of the finest performance.There was violence in some scenes but this is a crime movie and we expect some fighting scenes with violence.I heard a lot of positive things about this movie and when I finally watched it, I became its fan too. I am surprised that this movie even did not received any Oscar nominations.This movie surely deserves to be in top 250 list.Movie is a treat for Al Pacino's fans.This movie is recommended for all adults. Overall I give Scarface 9/10.",False
3,9,A Potpourri of Vestiges Review: Pacino gives a heart-wrenching performance as the modern-day Macbeth,murtaza_mma,n/a,15/08/2025,"SpoilerBrian De Palma's Scarface depicts cinema at its most macabre, and not for a second does Stone's cut-throat screenplay go awry in its unforgiving attempt to limn the naked reality associated with drug mafia and the kingpins who govern it. Brian De Palma's unquenchable thirst to mimic the gore reality on the celluloid didn't go well with the MPAA, which rated even the highly censored third cut of the movie as 'X'. Brian De Palma and the producer Martin Bergman arranged a hearing with the MPAA and roped in a panel of experts including some narcotics officers, who testified the movie's verisimilitude to the conditions prevalent in the drug underworld. Their testimonies greatly convinced the members of the rating board, who eventually condescended to give an 'R' rating to the aforesaid third cut of the movie. Brian De Palma used the pervasive kerfuffle as a subterfuge to release the unedited original version of the movie instead of the curtailed one and kept this fact surreptitious for months until the movie was released on videocassettes.A remake of a 1932 classic of the same name, Scarface portrays the life of a young, tempestuous Cuban émigré named Tony Montana, highlighting his sanguinary journey from being a thug to becoming a kingpin of drug mafia. Montana's story is one of rise and fall, trust and deceit, love and hatred, greed and lust, but most importantly: life and death. He is a hapless victim of the vicissitudes of his time; a product of his tainted conscience and naked ambition. As the modern-day Macbeth, Montana is the quintessential anti-hero of American cinema: he adores his friends and folks, and is unforgiving to his foes.Brian De Palma took yet another calculated risk by choosing Al Pacino, who was then going through a lean patch in his career, to play Montana's part. Pacino took few months off to prepare himself for the role and to perfect his Cuban accent. Chagrin driven, Pacino uses all his talent and guile to give Montana an ineffable charm and an element of frenzy, which not only brings Montana to life, but also makes the portrayal, singularly remarkable. Pacino's breathtaking performance, which is arguably his best, manages to hold the viewer in a transfixion right from the inception to the finale. In fact, it's clear from the very first scene itself (the first scene in which Pacino is interrogated by the police for being a Cuban emigrant) that Pacino is on an inexorable mission to outperform not only his contemporaries, but also himself. He punctiliously takes care of the nuances and the subtleties in mannerisms needed for an exorbitant portrayal such as Montana's. As Tony Montana, Pacino not only substantiates his acting prowess and answers his critics once and for all, but also establishes Montana as a cult figure in American cinema. The entire cast has given a thorough performance with a special mention of Michelle Pfeiffer and Steven Bauer. Pfeiffer is absolutely ravishing in her intense portrayal of the quintessential, uber-sexy mobster's moll. The chemistry between Pfeiffer and Pacino is scintillating and at times, awe-inspiring.The movie is a highlight reel of some of the most graphic and grotesque sequences ever caricatured in cinema. The scene in which Tony Montana asseverates his innocence and loyalty to the drug kingpin Frank Lopez elevates cinema to a new zenith, while the Macbeth like climax gives the movie an operatic feel that is seldom associated with cinema.Scarface marked the upsurge of a new force in cinema: the triumvirate of De Palma, Stone and Pacino. Almost three decades have passed since Scarface, but Al Pacino, Brian De Palma and Oliver Stone still enjoy a global iconic status as they continue to enthrall the audiences worldwide with their idiosyncratic cinematic styles.PS. Scarface has become a prototype in modern cinema and is one heck of a cinematic experience, but is not meant for the faint-hearted, or the sycophantic adherents of conservative cinema. 9/10http://www.apotpourriofvestiges.com/",True
4,10,"""You wanna play rough?? OKAY!""",Aditya_Gokhale,n/a,15/08/2025,"""Scarface"" has a major cult following even now, 22 years after its release.It has also been widely criticized as being very tacky, unrefined, over-the-top and all bloated up! These are people who compare Scarface to The Godfather movies. It is true that on the technical front, (cinematography, screenplay, direction, etc.) Scarface is way behind 'The Godfather'.But it is also true, that what Scarface has and some other gangster movies lack, is the rawness, the sheer crude approach of the gangsters. The Latino gangsters in this movie look much more menacing and real than any of the polished Italian or Irish gangsters from other gangster classics like 'The Godfather' or 'Goodfellas'. This is one of the major winning points of Scarface and I strongly believe that this fact has been written off as ""tackiness"" by most critics! I have seen the original 1932 Scarface, and I must say that both these movies are way too different from each other and should be seen as two different movies instead of praising the original over the ""remake""!Al Pacino has been criticized to be over-the-top and loud in this movie. But how about considering that that is precisely the way the film-makers wanted Tony Montana's character to be! He is this angry young man who takes hasty decisions and throws fits of tantrum every other minute! He is not the calm Michael Corleone here. He is Tony Montana, a very tacky, uneducated individual who doesn't really think much and gets angry all the time!There is definitely a very 80s feel to this movie. The soundtrack is all 80s! I love some of the songs, including 'Gina and Elvira's theme', 'Push it to the limit' and the title track instrumental.There are some memorable and beautifully shot sequences, including the famous chainsaw scene, the Rebenga hit, the first meeting with Sosa and Tony's visit to his mother's.About the performances: Al Pacino is brilliant as the angry Cuban refugee. He has reportedly mentioned that he enjoyed playing Tony Montana the most in his entire career. And it really does seem like he has enjoyed himself thoroughly in all his scenes! One wonders what ""Scarface"" would be like without Pacino. I just couldn't imagine anyone else portraying Tony Montana and in all probabilities, the film wouldn't be as effective without him!Steven Bauer shines as Tony's friend Manny.Robert Loggia is wonderful as Tony's boss, Lopez. So is F. Murray Abraham (as Omar) in a small role.Then there is some eye-candy in the form of Elvira played by Michelle Pfeiffer. She looks beautiful and is adequate in her role.The director does go a bit overboard during a particular part in the climax. Without revealing anything, I would only say that that was the only little part that suffers due to improper handling.""Scarface"" is definitely one of the most entertaining and one of the best gangster movies to ever come out. Enjoy it for what it is: a raw portrayal of the Drug Lords and their gangland!",False
5,10,"A stone cold, 100% gangster classic",Leofwine_draca,n/a,15/08/2025,"SpoilerWords alone cannot express how much I love this movie. The first time I saw it, it blew me away. When I watched it again recently it hadn't lost any of its impact. SCARFACE is, quite simply, one of the best films in the ""gangster"" genre that there is, if not the best. The simple tale tells of Tony Montana's journey from being a lowly refugee, to working in a cheap mobile café, to working for a drug lord's assistant, to working for a drug lord, to becoming a drug lord and then losing everything due to his own mistakes.De Palma here crafts an epic tale in what I consider to be his finest film. Although it runs for over two and a half hours, this is never less than engrossing, something that is partially due to the excellent acting we have on display from the ensemble cast. Al Pacino has never been better as the volatile Tony Montana, making the role his own and his performance is a totally convincing one right down to his appearance and accent. Steven Bauer is also very good in an understated role as his partner, his role always takes the backseat when compared to Pacino's but it is still a pivotal one. Michelle Pfeiffer and Mary Elizabeth Mastrantonio are the addicted wife and loving sister respectively, and as both of their loves are ruined, we feel their pain with them. The supporting cast includes great turns from Robert Loggia (drug lord), F. Murray Abraham (quietly sinister), Harris Yulin (a corrupt cop) and Paul Shenar (a drug baron).The film does start slowly but the build-up is worthwhile. De Palma's trademark excessiveness turns up in the form of a number of brutal shootings and, especially, a gruelling chainsaw murder. However, all the best is saved for the wildly excessive finale which, in my mind at least, even surpasses that of THE FURY. Pacino has dug his own grave and has destroyed his business and either killed or alienated all of his friends and family. He sits alone in his huge mansion, snorting from a pile of cocaine on his desk. It is at this point a small army invade the mansion and execute all of his staff; he must then battle them alone in a bloody massacre in which the outcome is foretold. I love this ending, with all the violence it holds, and I love the way that Pacino's body is so pumped full of drugs that he doesn't even notice it when he gets repeatedly shot. Who can forget the classic line ""Say hello to my little friend!"" as he machine-guns a dozen men on his staircase. A classic, re-watchable movie with the director and stars all at the peak of their game.",True
6,10,The Real Scarface.,TruPretender,n/a,15/08/2025,"""A Classic is something that everybody wants to have read but nobody wants to read. A classic is also something that everyone praises but no one has read."" -Mark Twain'Classic' seems to be the word used to describe ""Scarface"", Brian DePalma's 1983 film about opulence, self surrender, greed, and danger among Florida's drug ring. People and critics (and rappers for that matter) deem this film 'an epic gangster classic' or 'eptiome of gangster films.' When it is anything but. It is praised for all the wrong reasons. Scarface is a terrific film that deserves praise from all over, but not all the praise it gets from audiences today, and therefor the fine points it so poignantly makes are missed by the general public.First off, the film is about a Cuban refugee, with a past of wanting to escape communism grasp and find happiness. Simple? Yes. But the layers of De Palma's directing genius, and the great story written by Oliver Stone (yes I know, he actually wrote a real good one here) play into all of it. The characters are all looking for an escape, as escape is a natural element dealt with in the film by all. Each character has something to offer, that makes them likable by everyone who could appreciate this film. They are entwined in a world of mystique and money, but all that has a price, as they all learn. Each character thinks they are getting better chances in life, when in true dramatic irony, they are actually getting worse. 'Tragedy' would be a better word to describe this movie. All those who praise the film for it's drug usage, it's violence, it's dialog, totally missed the point. There is nothing really positive about the film besides the characters positive expectations of themselves. And that is why the film works so well. The devastation through out the film serves to deliver the message of the film, not to look cool or attract viewers. Brian De Palma doesn't make movies for cult gangsters, or brainless action fans.Next on, the film is an adult drama. It is not a 'gangster film'. It has it's share of action, but the action is plotted very carefully, so it has a point. It's not like ""Aliens""- an example of a big dumb action film, and most audiences perceive this film as a big dumb action gangster film about doing drugs and shooting people. Ridiculous. Hogwash. If this film is about that, then it is about how bad it is. Not a promotion of it.This being said, the film is indeed a great film. It has great cinematography that pulls you into the story. It has a very dramatic score (in true Giorgio Moroder style), which simply could give you chills, or bring you to tears. The film is rather lengthy, but it is a story, and each moment counts. The acting is terrific. Al Pacino - enough said. He can do any role that he puts his mind to, and this was no exception. Pretty boy Steven Bauer, as Manny. I didn't think much of him in other films he did, but he actually makes you like him when he goes under maestro De Palma's direction. Michelle Pfeiffer is a true gem as Elvira. Popping' fresh off the heels of a sort of embarrassment in ""Grease 2"" she got her ticket to ride performing a no holds barred performance of a beauty that is more than meets the eye. But the three true diamonds in this rough are Mary Elizabeth Mastrontonio as Tony's sister Gina, who when she smiles, or cries, we see her soul and her fresh way of living, and watch it deteriorate; Paul Shenar as Alejandro Sosa, a drug lord, who runs deeper than a river, and Shenar portrays him as so; and Miriam Colom as Tony and Gina's torn mother. These three dig the film as deep as it can go.This reviewer learned one main thing when watching ""Scarface"" for the first time. Always go into a film unsuspecting. All the hype and talk of this film cannot possibly prepare you for what you really see. Only knowing De Palma (like I do) can give you even a glimpse of what this film holds. So ignore the rap crap, ignore the mindless violence supporters, and fix yourself a glass of Bailey's on the rocks, and indulge yourself in an emotional viewing of a great film, the real ""Scarface.""",False
7,10,"Grandiose, bloodyminded and implacable",imdb-5032,n/a,15/08/2025,"This is one of my all time favorites.If the movie has a flaw, it's that it comes at you like a raging bull. It doesn't so much engage the viewer as assault him. ''Scarface'' is as voracious and unyielding a production as Tony Montana himself. Nothing is left to the viewer's imagination.Moroder's languorous synthpop fits the action to a tee. Like the chorus in a Greek tragedy, it wails and gnashes, broods and tugs, a constant reminder of Tony's inexorable fate.Not so much a tale of caution as a disaster in progress, ''Scarface'' rips across the screen with the unstoppable force of a runaway train.",False
8,10,One Word: PERFECT!!!!!!!,0U,n/a,15/08/2025,"Scarface has a great storyline, brutal violence as well as having Al Pacino at one of his finest roles. Scarface is one of the best gangster dramas!",False
9,n/a,Pure Pacino,n/a,n/a,15/08/2025,Pacino gives an amazing performance that is both comic and tragic in this remake of the 1932 classic about corruption in America.Brian De Palma updated the original Prohibition story to the era of the Mariel boat-lift and the heavy traffic in drugs that still infest the United States. The film is an uncompromising revelation of humanity's dark side as Pacino's character learns never to underestimate the other guy's greed. He neglects to learn the other important lesson -- never get caught in the vice you are pushing on others.Pacino's character wants the world and everything in it. That's what he gets. We are reminded to beware of what we wish for.The film is violent but never makes drug dealing seem glamorous.,False
10,10,"Loved, But For The Wrong Reasons",alexkolokotronis,n/a,15/08/2025,"Many people like this movie and many more love it, but it seems that it is all for the wrong reasons. Scarface should be liked and loved but not in the way it has been or is.Many people say the acting was over-the-top, but who better to do an over-the-top character than Al Pacino. To say that Pacino went over-the-top in here would be an understatement. Yet he does it so well, he just brings the inner devil out of you so well. His character Tony Montana was not such a great guy to begin with but his thirst for power just bring his sickness of greed to another level; an inhumane level. Sure at times Pacino seems to be a bit cartoonish and surreal but that does not at all to me seem to be a liability at all. The supporting cast served its job very well. Michelle Pfeiffer was not really at her best but she certainly fit the role she played. On the other hand Steven Bauer was at his best, still he is Steven Bauer. Mary Elizabeth Mastrantonio was good and like Michelle Pfeiffer fit her role very well. Robert Loggia I have always enjoyed watching in just seeing him yell. Other than Pacino they were not really any standout or memorable performances. Everybody just seemed to fit their roles by being there. They did not fit in perfectly but were convincing enough.Brian De Palma did a very good job directing this movie. Whenever an actor is able to become larger than life with his performance some credit should be given to the director and I will certainly give De Palma that. Brian De Palma, though not given the respect, is a very versatile director by my count. He knows how to direct movies according to their genres, but that at times has not turned out well. In here it does, this is by all counts a gangster movie but few are much better than this one because of De Palma.The writing was great it was just pure Oliver Stone. When I saw the credits at the end of this movie and saw that Oliver Stone had written this I was not the least bit surprised. That is a testament to him though. I have always though of him as a great writer and to me he proves this once again with Scarface. Nobody knows how to write a surreal reality for a movie than Oliver Stone.The music was good but not that great. It is certainly not my favorite from Giorgio Moroder. The music was a little bit too 80s-ish for me but it didn't annoy me. The cinematography was good, not amazing but really who cares with a movie like this.This has probably been one of the most influential movies in the past 25 years but as mentioned before it is for the wrong reasons. People should realize that the character of Tony Montana is no hero, he is a monster. He is not inspiring in anyway. He is greedy, bloodthirsty, uneducated and self consumed. Yet he is a role model to many people because he is in some way or another a rebel but probably most of all because he is a deluded gangster. A vigilante would be like Mother Tereasa next to Scarface.The good thing about this movie though is that it shows that the Tony Montanas' are not the real problem. If we or the people of authority would want to shut people like him down we could do it but we don't. In a freaky twisted way he is a necessity of our society. He is somebody you could blame everything on and fell better about yourself doing it. The Tony Montanas' of this world are the scapegoats of our society. This in no way excuses people like him. Instead it is more of a reminder that we shouldn't excuse or allow ourselves to do bad things just because we measure up or think we measure up compared better to a gangster or drug dealer. I love this movie because it is more than a corruption movie, it is a movie that in a strange way makes you self reflect.",False
